planet ,τ ,Case ,Model ,t(yr) ,T_surf(K) ,T_pot(K) ,flux_surf(W/m2) ,flux_OLR(W/m2) ,flux_ASR(W/m2) ,phi(vol_frac) ,fO2_solid(bar) ,fO2_melt(bar) ,thick_surf_bl(m) ,massC_solid(kg) ,massC_melt(kg) ,massC_atm(kg) ,massH_solid(kg) ,massH_melt(kg) ,massH_atm(kg) ,massO_atm(kg) ,p_surf(bar) ,p_H2O(bar) ,p_CO2(bar) ,p_CO(bar) ,p_H2(bar) ,p_CH4(bar) ,p_O2(bar) ,mmw(kg/mol) ,R_trans(m) ,R_solid(m) ,viscosity(Pa.s)
trappist-1b ,3 ,Hot ,neongooey ,1000293.29 ,3.411364461082E+03 ,3.440133684747E+03 ,2.660059634401E+04 ,1.990875825313E+05 ,1.724845362174E+05 ,8.495215458550E-01 ,NaN ,NaN ,4.542407163758E-03 ,9.032014979626E+15 ,6.168549030090E+19 ,2.112227093140E+20 ,8.087352230031E+17 ,4.614375260651E+20 ,5.994486743030E+19 ,8.887725177886E+15 ,1.725403053118E+02 ,1.368275176471E+01 ,1.488574988623E+02 ,NaN ,9.998345258055E+00 ,NaN ,1.709426758034E-03 ,3.951479555919E-02 ,NaN ,3.712860291111E+06 ,4.790759152231E-07
trappist-1b ,3 ,Cold ,pacman ,1002.80 ,2835.2980837488753 ,2909.511630027938 ,84384.2873150609 ,92548.1860631587 ,8163.674068389709 ,0.6184245888217698 ,0.12895455153522375 ,0.08723831092948513 ,0.003693778833591344 ,2.8893807048758825e+18 ,4.142488386982704e+19 ,2.2868573100812304e+20 ,3.2431546173465436e+19 ,4.366972297062066e+20 ,8.710185046922237e+17 ,4.903673917462979e+20 ,138.55144476864578 ,2.884215596376052 ,79.27557691651306 ,56.09503107251123 ,0.20938287213330373 ,1.8266453242449353e-10 ,0.08723831092948514 ,0.037139139379429524 ,NaN ,4440306.412402559 ,0.0026694609635622398
trappist-1b ,4 ,Hot ,neongooey ,9800.85 ,3.363801396707E+03 ,3.363914852085E+03 ,1.624132835224E+01 ,1.725007463487E+05 ,1.724845362174E+05 ,8.069065227096E-01 ,NaN ,NaN ,2.933950847034E-02 ,1.170997645339E+16 ,5.924993514641E+19 ,2.136442522926E+20 ,1.079494199176E+18 ,4.607922443156E+20 ,6.042995182516E+19 ,9.230259183164E+15 ,1.751946458815E+02 ,1.464482728944E+01 ,1.505640617236E+02 ,NaN ,9.983981560214E+00 ,NaN ,1.775308272419E-03 ,3.944358737136E-02 ,NaN ,3.889200703602E+06 ,5.090982524255E-07
trappist-1b ,4 ,Cold ,pacman ,10011.80 ,2245.9481817759834 ,2255.1860100882805 ,3450.7578437480147 ,11613.461364650157 ,8162.621179636436 ,0.1370431706043652 ,0.0015110337458049588 ,0.0011607366280315956 ,0.0112435820386361 ,1.19993701299321e+19 ,2.5871672436490965e+19 ,2.3512862812798566e+20 ,1.356564691975183e+20 ,3.3188902738952035e+20 ,2.450902840909579e+18 ,5.8033753550285904e+20 ,157.40865357558928 ,8.908084482066894 ,117.17769176163222 ,30.96467939928224 ,0.35703719404638 ,1.933527078532965e-09 ,0.0011607366280315951 ,0.039504517239491097 ,NaN ,5720447.626250341 ,0.009371555690607096
trappist-1b ,6 ,Hot ,neongooey ,1016695.54 ,3.276413203793E+03 ,3.276485199570E+03 ,8.638636897819E+00 ,1.367129190940E+05 ,1.367042744564E+05 ,7.562046294598E-01 ,NaN ,NaN ,3.500346908492E-02 ,1.485723703738E+16 ,5.599385035129E+19 ,2.153558599739E+20 ,1.419159317522E+18 ,4.585515653000E+20 ,5.328136358336E+19 ,9.700895056880E+15 ,1.761174271543E+02 ,1.587372719104E+01 ,1.517703034166E+02 ,NaN ,8.471530718298E+00 ,NaN ,1.865828348110E-03 ,3.964675340578E-02 ,NaN ,4.082946470693E+06 ,5.486031498306E-07
trappist-1b ,6 ,Cold ,planatmo ,1.008647e+06,2.075408e+03,2.075449e+03,0.000000e+00,8.240557e+03,8.240852e+03,1.049289e-01,NaN,NaN,0.000000e+00,5.871738e+16,9.325581e+18,2.636015e+20,8.834688e+16,4.999915e+18,8.750859e+16,7.029443e+20,1.852793e+02,3.660229e-01,1.849133e+02,NaN,NaN,NaN,NaN,4.394867e-02,NaN,6.165724e+06,1.729064e-02 
trappist-1alpha ,3 ,Hot ,gooey ,1010.89 ,3533.79496230048 ,3547.0176636735 ,9687.22996106749 ,386318.370393139 ,373067.152896693 ,0.906230086852901 ,0.0 ,0.00172135576135502 ,0.00573284065619043 ,0.0 ,0.0 ,0.0 ,2.98919529842233e+17 ,2.30923154085325e+20 ,3.77484619511749e+18 ,8.94974696540317e+15 ,12.9774835058759 ,12.9757621501145 ,0.0 ,0.0 ,0.0 ,0.0 ,0.00172135576135502 ,0.0180168549944842 ,0.0 ,3638638.60831628 ,0.00198998089023954
trappist-1alpha ,3 ,Cold ,proteus ,985.00 ,3.2423316655e+03 ,3.9074685703e+03 ,1.1567200000e+05 ,4.8867929496e+05 ,5.6936670707e+05 ,1.0000000000e+00 ,1.2431473840e+02 ,1.2431473840e+02 ,1.0000000000e-02 ,0.0000000000e+00 ,4.1046467001e+19 ,1.6162363570e+20 ,0.0000000000e+00 ,4.6846465532e+20 ,1.1346645659e+18 ,6.6950509894e+20 ,2.2277305714e+02 ,3.8179060845e+00 ,7.1256986017e+01 ,2.3248501361e+01 ,1.3492527246e-01 ,1.9229077580e-12 ,1.2431473840e+02 ,3.5166777046e-02 ,6.8581619024e+06 ,3.4719930453e+06 ,1.0000000000e+02
trappist-1alpha ,4 ,Hot ,gooey ,10039.90 ,3520.54366117086 ,3520.63863587547 ,13.3407575814351 ,373082.336074655 ,373067.152896693 ,0.892738793100605 ,0.0 ,0.00162722807457592 ,0.029900382865092 ,0.0 ,0.0 ,0.0 ,3.62964758154937e+17 ,2.30669982448517e+20 ,3.89927571959588e+18 ,8.46035424483705e+15 ,13.4051069143822 ,13.4034796863076 ,0.0 ,0.0 ,0.0 ,0.0 ,0.00162722807457592 ,0.0180166976205239 ,0.0 ,3704185.33013331 ,0.00202795028203998
trappist-1alpha ,4 ,Cold ,proteus ,9871.00 ,2.7358372200e+03 ,3.5371386086e+03 ,1.8000440000e+05 ,5.3308325586e+05 ,5.6936668237e+05 ,1.0000000000e+00 ,3.3213009955e+01 ,3.3213009955e+01 ,1.0000000000e-02 ,0.0000000000e+00 ,0.0000000000e+00 ,0.0000000000e+00 ,0.0000000000e+00 ,5.1609520130e+19 ,1.5086246880e+16 ,8.3320847537e+19 ,3.3260800674e+01 ,4.6337353223e-02 ,0.0000000000e+00 ,0.0000000000e+00 ,1.4533657774e-03 ,0.0000000000e+00 ,3.3213009955e+01 ,3.1978208408e-02 ,6.6720667008e+06 ,3.4719930453e+06 ,1.0000000000e+02
