# T Ptot H He C N O Na K Si Ar Ti V S Cl Mg Al Ca Fe Cr Li Cs Rb F P
1.500000000000000000e+03 9.780000521612551267e+01 3.106026979490356665e-01 0.000000000000000000e+00 1.804296736200288187e-01 0.000000000000000000e+00 5.089676277241471647e-01 6.769544614513656632e-10 2.894144508586661074e-11 2.768242791341533073e-14 0.000000000000000000e+00 3.740627220676538216e-17 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.571509757028218713e-14 4.495941455792532558e-21 9.614270364860690874e-21 8.489186474041557864e-13 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.525000000000000000e+03 9.780001549578425113e+01 3.106325227166998326e-01 0.000000000000000000e+00 1.804469983900086061e-01 0.000000000000000000e+00 5.089204778565562526e-01 9.920874373275227544e-10 4.310615651596668747e-11 5.493345538606756338e-14 0.000000000000000000e+00 7.792555339492640023e-17 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.930675460800257179e-14 1.175427024694631015e-20 2.150226286419320003e-20 1.457494702288740668e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.550000000000000000e+03 9.780004441412793881e+01 3.106627722081459764e-01 0.000000000000000000e+00 1.804645820314121629e-01 0.000000000000000000e+00 5.088726442590453258e-01 1.435421183880419930e-09 6.335145075096591295e-11 1.066298435040271812e-13 0.000000000000000000e+00 1.582766182492460341e-16 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.349871802281514134e-14 2.977506607625164712e-20 4.688023545026255866e-20 2.463413274104134896e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.575000000000000000e+03 9.780006301933286750e+01 3.106934100994815928e-01 0.000000000000000000e+00 1.804823752750380761e-01 0.000000000000000000e+00 5.088242124774395858e-01 2.051711146162403180e-09 9.192898775553996295e-11 2.026720239662762573e-13 0.000000000000000000e+00 3.138272435659514211e-16 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.570114380033161285e-14 7.319296336752182929e-20 9.978203301809838458e-20 4.101854186591063741e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.600000000000000000e+03 9.780008854872249913e+01 3.107243606492356980e-01 0.000000000000000000e+00 1.805003576149935285e-01 0.000000000000000000e+00 5.087752786979351516e-01 2.898763581057703701e-09 1.317923604210700450e-10 3.775865223984113272e-13 0.000000000000000000e+00 6.081394349118265126e-16 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.679330085761298941e-13 1.748562355775025497e-19 2.076109107491616957e-19 6.733346993794516556e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.625000000000000000e+03 9.780012194936693959e+01 3.107555848738357551e-01 0.000000000000000000e+00 1.805184945456886070e-01 0.000000000000000000e+00 5.087259163313437860e-01 4.050473709566228304e-09 1.867741961842547243e-10 6.901662057842495621e-13 0.000000000000000000e+00 1.152987992387090134e-15 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.893495109288034907e-13 4.065225697268153958e-19 4.227872562152962026e-19 1.090334276789867126e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.650000000000000000e+03 9.780016768894871859e+01 3.107870288749937648e-01 0.000000000000000000e+00 1.805367636226311301e-01 0.000000000000000000e+00 5.086762016210368831e-01 5.600383658670347096e-09 2.617969563294497438e-10 1.238759457198459461e-12 0.000000000000000000e+00 2.140903495565636049e-15 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.899790939296048017e-13 9.209591577305573998e-19 8.436618242979416234e-19 1.742665019861532872e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.675000000000000000e+03 9.780022744775379806e+01 3.108186601499476898e-01 0.000000000000000000e+00 1.805551347122991424e-01 0.000000000000000000e+00 5.086261970783109154e-01 7.665810044506543456e-09 3.631214194271721536e-10 2.185115865032038546e-12 0.000000000000000000e+00 3.897041052592454619e-15 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.161696999905759504e-13 2.035518863276678676e-18 1.651408568207806440e-18 2.750562639814322120e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.700000000000000000e+03 9.780030710681791106e+01 3.108504291196508285e-01 0.000000000000000000e+00 1.805735910282994516e-01 0.000000000000000000e+00 5.085759689127923311e-01 1.039259047400119154e-08 4.986369587170158309e-10 3.790989009479691378e-12 0.000000000000000000e+00 6.960310963152869091e-15 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.338421108749963063e-12 4.394249125904079454e-18 3.174027863706562789e-18 4.289362388559161372e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.725000000000000000e+03 9.780041139759083535e+01 3.108823049636646463e-01 0.000000000000000000e+00 1.805921056335778874e-01 0.000000000000000000e+00 5.085255746892893836e-01 1.396050355166265270e-08 6.781979708091645662e-10 6.473475148602147993e-12 0.000000000000000000e+00 1.220802403267409804e-14 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.162513221722583272e-12 9.275466364730561467e-18 5.995630911406998551e-18 6.611840038192768779e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
