pressure[Pa] solidus[K] liquidus[K]
0.0000e+00 1.3752e+03 1.9731e+03
6.5179e+07 1.3838e+03 1.9793e+03
1.3036e+08 1.3924e+03 1.9853e+03
1.9554e+08 1.4010e+03 1.9913e+03
2.6072e+08 1.4096e+03 1.9971e+03
3.2590e+08 1.4182e+03 2.0029e+03
3.9107e+08 1.4268e+03 2.0087e+03
4.5625e+08 1.4354e+03 2.0143e+03
5.2143e+08 1.4440e+03 2.0199e+03
5.8661e+08 1.4526e+03 2.0254e+03
6.5179e+08 1.4612e+03 2.0308e+03
7.1697e+08 1.4698e+03 2.0362e+03
7.8215e+08 1.4784e+03 2.0414e+03
8.4733e+08 1.4870e+03 2.0466e+03
9.1251e+08 1.4956e+03 2.0518e+03
9.7769e+08 1.5042e+03 2.0568e+03
1.0429e+09 1.5128e+03 2.0618e+03
1.1080e+09 1.5214e+03 2.0667e+03
1.1732e+09 1.5300e+03 2.0716e+03
1.2384e+09 1.5386e+03 2.0764e+03
1.3036e+09 1.5472e+03 2.0811e+03
1.3688e+09 1.5558e+03 2.0857e+03
1.4339e+09 1.5644e+03 2.0903e+03
1.4991e+09 1.5730e+03 2.0948e+03
1.5643e+09 1.5816e+03 2.0992e+03
1.6295e+09 1.5902e+03 2.1036e+03
1.6947e+09 1.5988e+03 2.1079e+03
1.7598e+09 1.6074e+03 2.1122e+03
1.8250e+09 1.6161e+03 2.1163e+03
1.8902e+09 1.6247e+03 2.1205e+03
1.9554e+09 1.6333e+03 2.1245e+03
2.0206e+09 1.6419e+03 2.1285e+03
2.0857e+09 1.6505e+03 2.1324e+03
2.1509e+09 1.6591e+03 2.1363e+03
2.2161e+09 1.6677e+03 2.1401e+03
2.2813e+09 1.6763e+03 2.1439e+03
2.3464e+09 1.6849e+03 2.1476e+03
2.4116e+09 1.6935e+03 2.1512e+03
2.4768e+09 1.7021e+03 2.1548e+03
2.5420e+09 1.7107e+03 2.1583e+03
2.6072e+09 1.7193e+03 2.1617e+03
2.6723e+09 1.7279e+03 2.1651e+03
2.7375e+09 1.7363e+03 2.1685e+03
2.8027e+09 1.7451e+03 2.1718e+03
2.8679e+09 1.7537e+03 2.1750e+03
2.9331e+09 1.7621e+03 2.1782e+03
2.9982e+09 1.7703e+03 2.1813e+03
3.0634e+09 1.7783e+03 2.1844e+03
3.1286e+09 1.7861e+03 2.1874e+03
3.1938e+09 1.7938e+03 2.1903e+03
3.2590e+09 1.8013e+03 2.1933e+03
3.3241e+09 1.8087e+03 2.1961e+03
3.3893e+09 1.8159e+03 2.1989e+03
3.4545e+09 1.8229e+03 2.2017e+03
3.5197e+09 1.8299e+03 2.2044e+03
3.5849e+09 1.8366e+03 2.2071e+03
3.6500e+09 1.8433e+03 2.2097e+03
3.7152e+09 1.8498e+03 2.2122e+03
3.7804e+09 1.8562e+03 2.2148e+03
3.8456e+09 1.8625e+03 2.2172e+03
3.9107e+09 1.8687e+03 2.2197e+03
3.9759e+09 1.8748e+03 2.2221e+03
4.0411e+09 1.8808e+03 2.2244e+03
4.1063e+09 1.8866e+03 2.2267e+03
4.1715e+09 1.8924e+03 2.2289e+03
4.2366e+09 1.8981e+03 2.2311e+03
4.3018e+09 1.9037e+03 2.2333e+03
4.3670e+09 1.9091e+03 2.2354e+03
4.4322e+09 1.9146e+03 2.2375e+03
4.4974e+09 1.9199e+03 2.2395e+03
4.5625e+09 1.9251e+03 2.2415e+03
4.6277e+09 1.9303e+03 2.2435e+03
4.6929e+09 1.9354e+03 2.2454e+03
4.7581e+09 1.9404e+03 2.2473e+03
4.8233e+09 1.9453e+03 2.2492e+03
4.8884e+09 1.9502e+03 2.2510e+03
4.9536e+09 1.9550e+03 2.2527e+03
5.0188e+09 1.9597e+03 2.2545e+03
5.0840e+09 1.9643e+03 2.2562e+03
5.1492e+09 1.9689e+03 2.2578e+03
5.2143e+09 1.9735e+03 2.2595e+03
5.2795e+09 1.9780e+03 2.2610e+03
5.3447e+09 1.9824e+03 2.2626e+03
5.4099e+09 1.9867e+03 2.2641e+03
5.4750e+09 1.9910e+03 2.2656e+03
5.5402e+09 1.9953e+03 2.2671e+03
5.6054e+09 1.9995e+03 2.2685e+03
5.6706e+09 2.0036e+03 2.2699e+03
5.7358e+09 2.0077e+03 2.2713e+03
5.8009e+09 2.0117e+03 2.2726e+03
5.8661e+09 2.0157e+03 2.2740e+03
5.9313e+09 2.0196e+03 2.2752e+03
5.9965e+09 2.0235e+03 2.2765e+03
6.0617e+09 2.0274e+03 2.2777e+03
6.1268e+09 2.0312e+03 2.2789e+03
6.1920e+09 2.0349e+03 2.2801e+03
6.2572e+09 2.0386e+03 2.2813e+03
6.3224e+09 2.0423e+03 2.2824e+03
6.3876e+09 2.0459e+03 2.2835e+03
6.4527e+09 2.0495e+03 2.2846e+03
6.5179e+09 2.0531e+03 2.2856e+03
6.5831e+09 2.0566e+03 2.2867e+03
6.6483e+09 2.0601e+03 2.2877e+03
