pressure[Pa]             solidus[K]               liquidus[K]
1.350000000000000000e+11 4.757059312499999578e+03 5.340912249999998494e+03
1.336363636363737335e+11 4.740564193634435469e+03 5.329824683833153358e+03
1.322727272727474670e+11 4.723459835517805914e+03 5.318178253688445693e+03
1.309090909091212158e+11 4.705775954101886782e+03 5.305999044874252832e+03
1.295454545454949493e+11 4.687541344192362885e+03 5.293312113670889630e+03
1.281818181818686829e+11 4.668783879448817970e+03 5.280141487330586642e+03
1.268181818182424316e+11 4.649530512384741996e+03 5.266510164077513764e+03
1.254545454546161652e+11 4.629807274367526588e+03 5.252440113107755678e+03
1.240909090909898987e+11 4.609639275618466854e+03 5.237952274589340050e+03
1.227272727273636322e+11 4.589050705212764115e+03 5.223066559662218424e+03
1.213636363637373657e+11 4.568064831079519536e+03 5.207801850438258953e+03
1.200000000001111145e+11 4.546704000001739587e+03 5.192176000001272769e+03
1.186363636364848480e+11 4.524989637616334221e+03 5.176205832406992158e+03
1.172727272728585815e+11 4.502942248414115966e+03 5.159907142683079655e+03
1.159090909092323303e+11 4.480581415739801741e+03 5.143294696829123495e+03
1.145454545456060638e+11 4.457925801792012862e+03 5.126382231816645799e+03
1.131818181819797974e+11 4.434993147623267760e+03 5.109182455589088022e+03
1.118181818183535309e+11 4.411800273140001082e+03 5.091707047061826415e+03
1.104545454547272644e+11 4.388363077102537318e+03 5.073966656122166569e+03
1.090909090911010132e+11 4.364696537125111718e+03 5.055970903629332497e+03
1.077272727274747467e+11 4.340814709675862105e+03 5.037728381414492105e+03
1.063636363638484802e+11 4.316730730076827967e+03 5.019246652280723538e+03
1.050000000002222290e+11 4.292456812503955007e+03 5.000532250003050649e+03
1.036363636365959625e+11 4.268004249987089679e+03 4.981590679328410260e+03
1.022727272729696960e+11 4.243383414409982834e+03 4.962426415975676719e+03
1.009090909093434296e+11 4.218603756510289713e+03 4.943042906635651889e+03
9.954545454571716309e+10 4.193673805879570864e+03 4.923442568971058790e+03
9.818181818209091187e+10 4.168601170963281220e+03 4.903626791616557966e+03
9.681818181846464539e+10 4.143392539060791933e+03 4.883595934178732023e+03
9.545454545483837891e+10 4.118053676325365814e+03 4.863349327236095633e+03
9.409090909121212769e+10 4.092589427764177799e+03 4.842885272339085532e+03
9.272727272758586121e+10 4.067003717238302670e+03 4.822201042010076890e+03
9.136363636395959473e+10 4.041299547462721421e+03 4.801292879743361482e+03
9.000000000033332825e+10 4.015479000006311253e+03 4.780156000005165879e+03
8.863636363670706177e+10 3.989543235291860128e+03 4.758784588233645991e+03
8.727272727308081055e+10 3.963492492596057673e+03 4.737171800838878880e+03
8.590909090945454407e+10 3.937326090049495178e+03 4.715309765202880044e+03
8.454545454582827759e+10 3.911042424636667874e+03 4.693189579679582494e+03
8.318181818220202637e+10 3.884638972195978113e+03 4.670801313594854037e+03
8.181818181857575989e+10 3.858112287419724453e+03 4.648134007246490000e+03
8.045454545494949341e+10 3.831458003854116669e+03 4.625175671904213232e+03
7.909090909132322693e+10 3.804670833899262107e+03 4.601913289809674097e+03
7.772727272769696045e+10 3.777744568809174325e+03 4.578332814176449574e+03
7.636363636407070923e+10 3.750672078691772185e+03 4.554419169190049615e+03
7.500000000044444275e+10 3.723445312508873940e+03 4.530156250007908056e+03
7.363636363681817627e+10 3.696055298076200870e+03 4.505526922759387162e+03
7.227272727319192505e+10 3.668492142063382744e+03 4.480513024545780354e+03
7.090909090956565857e+10 3.640745029993950084e+03 4.455095363440308574e+03
6.954545454593939209e+10 3.612802226245335987e+03 4.429253718488116647e+03
6.818181818231312561e+10 3.584651074048876126e+03 4.402966839706281462e+03
6.681818181868686676e+10 3.556277995489812383e+03 4.376212448083811068e+03
6.545454545506060791e+10 3.527668491507289673e+03 4.348967235581632849e+03
