pressure[Pa] solidus[K] liquidus[K]
112699919706.11418 4814.928869803209 5414.928869803209
111561536678.7797 4784.727568088025 5384.727568088025
110423153651.4452 4754.526266372841 5354.526266372841
109284770624.11072 4724.324964657657 5324.324964657657
108146387596.77623 4694.123662942473 5294.123662942473
107008004569.44174 4663.922361227289 5263.922361227289
105869621542.10725 4633.721059512105 5233.721059512105
104731238514.77277 4603.519757796921 5203.519757796921
103592855487.43828 4573.318456081737 5173.318456081737
102454472460.10379 4543.117154366553 5143.117154366553
101316089432.76932 4512.91585265137 5112.91585265137
100177706405.43483 4482.714550936186 5082.714550936186
99039323378.10034 4452.513249221001 5052.513249221001
97900940350.76585 4422.311947505817 5022.311947505817
96762557323.43137 4392.1106457906335 4992.1106457906335
95624174296.09688 4361.90934407545 4961.90934407545
94485791268.76239 4331.708042360266 4931.708042360266
93347408241.4279 4301.506740645082 4901.506740645082
92209025214.09341 4271.305438929898 4871.305438929898
91070642186.75893 4241.104137214714 4841.104137214714
89932259159.42444 4210.90283549953 4810.90283549953
88793876132.08995 4180.701533784346 4780.701533784346
87655493104.75548 4150.500232069163 4750.500232069163
86517110077.42099 4120.298930353979 4720.298930353979
85378727050.0865 4090.097628638795 4690.097628638795
84240344022.75201 4059.896326923611 4659.896326923611
83101960995.41753 4029.6950252084266 4629.695025208426
81963577968.08304 3999.493723493243 4599.493723493243
80825194940.74855 3969.292421778059 4569.292421778059
79686811913.41406 3939.0911200628752 4539.091120062875
78548428886.07957 3908.889818347691 4508.88981834769
77410045858.74509 3878.688516632508 4478.688516632508
76271662831.4106 3848.487214917324 4448.487214917324
75133279804.07611 3818.2859132021404 4418.28591320214
73994896776.74164 3788.084611486957 4388.084611486956
72856513749.40715 3757.8833097717743 4357.883309771774
71718130722.07266 3727.6820080565926 4327.682008056592
70579747694.73817 3697.4807063414128 4297.480706341413
69441364667.40369 3667.2794046262356 4267.279404626235
68302981640.0692 3637.078102911064 4237.078102911064
67164598612.73471 3606.8768011959 4206.8768011959
66026215585.40022 3576.6754994807525 4176.6754994807525
64887832558.065735 3546.474197765632 4146.474197765632
63749449530.731255 3516.272896050559 4116.272896050559
62611066503.39677 3486.07159433557 4086.07159433557
61472683476.06228 3455.870292620727 4055.870292620727
60334300448.72779 3425.6689909061383 4025.6689909061383
59195917421.3933 3395.467689191995 3995.467689191995
58057534394.058815 3365.266387478629 3965.266387478629
56919151366.724335 3335.0650857666183 3935.0650857666183
55780768339.38985 3304.8637840569695 3904.8637840569695
54642385312.05536 3274.662482351439 3874.662482351439
53504002284.72087 3244.461180653077 3844.461180653077
52365619257.38638 3214.259878967193 3814.259878967193
51227236230.051895 3184.058577303006 3784.058577303006
50088853202.717415 3153.8572756765257 3753.8572756765257
48950470175.38293 3123.655974115515 3723.655974115515
47812087148.04844 3093.454672668098 3693.454672668098
46673704120.71395 3063.253371417591 3663.253371417591
45535321093.37946 3033.052070508112 3633.052070508112
44396938066.044975 3002.85077018868 3602.85077018868
43258555038.710495 2972.6494708890846 3572.6494708890846
42120172011.37601 2942.4481733502093 3542.4481733502093
40981788984.04152 2912.246878847559 3512.246878847559
39843405956.70703 2882.0455895739515 3482.0455895739515
38705022929.37254 2851.844309293535 3451.844309293535
37566639902.038055 2821.6430444571884 3421.6430444571884
36428256874.703575 2791.441806100566 3391.441806100566
35289873847.36909 2761.2406130660015 3361.2406130660015
34151490820.0346 2731.039497456747 3331.039497456747
33013107792.70011 2700.8385138422923 3300.8385138422923
31874724765.365627 2670.637754741767 3270.637754741767
30736341738.03114 2640.437376567449 3240.437376567449
29597958710.69665 2610.237642905769 3210.237642905769
28459575683.362167 2580.038996361777 3180.038996361777
27321192656.02768 2549.842177128009 3149.842177128009
26182809628.69319 2519.6484173378262 3119.6484173378262
25044426601.358707 2489.4597570698993 3089.4597570698993
23906043574.02422 2459.279553126027 3059.279553126027
22767660546.68973 2429.1132882749134 3029.1132882749134
21629277519.355247 2398.9698386326213 2998.9698386326213
20490894492.02076 2368.86341846946 2968.86341846946
19352511464.68627 2338.8164817455477 2938.8164817455477
18214128437.351788 2308.863875765543 2908.863875765543
17075745410.0173 2279.0584042110945 2879.0584042110945
15937362382.682814 2249.4774030740673 2849.4774030740673
14798979355.348326 2220.2283808640336 2820.2283808640336
13660596328.01384 2191.447994295654 2791.447994295654
12522213300.679354 2163.2802159866715 2763.2802159866715
11383830273.344866 2135.8024291647757 2735.8024291647757
10245447246.01038 2108.8378580781887 2708.8378580781887
9107064218.675894 2081.553875347283 2681.553875347283
7968681191.341407 2051.7472355702316 2651.7472355702316
6830298164.00692 2014.9251100334013 2614.9251100334013
5691915136.672433 1963.9656100490786 2563.9656100490784
4553532109.337947 1890.9804784809912 2490.980478480991
3415149082.00346 1791.951923600707 2391.9519236007072
2276766054.6689734 1670.5109148053846 2270.5109148053843
1138383027.3344867 1536.0204431537873 2136.0204431537873
0.0 1397.813417180727 1997.813417180727
