pressure[Pa] solidus[K] liquidus[K]
0.000000000000000000e+00 1.380603810991651017e+03 1.980012932292291680e+03
1.000000000000000000e+09 1.497198157563196901e+03 2.056414094628722978e+03
2.000000000000000000e+09 1.635008519811019369e+03 2.130858114945941907e+03
3.000000000000000000e+09 1.758701322034861732e+03 2.186766025250662096e+03
4.000000000000000000e+09 1.864535035565017552e+03 2.230200338063701111e+03
5.000000000000000000e+09 1.951216814766440848e+03 2.266350834815249982e+03
6.000000000000000000e+09 2.020109731675961484e+03 2.300392600401731215e+03
7.000000000000000000e+09 2.074777228245194692e+03 2.332451017425007649e+03
8.000000000000000000e+09 2.118303435421465110e+03 2.362648226024402447e+03
9.000000000000000000e+09 2.153325071069661590e+03 2.391101234420291348e+03
1.000000000000000000e+10 2.182063836299907507e+03 2.417949814825976773e+03
1.100000000000000000e+10 2.207479621112091536e+03 2.443319675885570177e+03
1.200000000000000000e+10 2.231157475285802320e+03 2.467331910882862758e+03
1.300000000000000000e+10 2.253420576498673654e+03 2.490111628629834740e+03
1.400000000000000000e+10 2.274570500606517726e+03 2.511792437988353868e+03
1.500000000000000000e+10 2.294849094274812160e+03 2.532500276041097550e+03
1.600000000000000000e+10 2.314457587684772079e+03 2.552357003976151645e+03
1.700000000000000000e+10 2.333554778853327662e+03 2.571491853748772883e+03
1.800000000000000000e+10 2.352257848916565308e+03 2.590034094842014383e+03
1.900000000000000000e+10 2.370651534299421201e+03 2.608109810642069988e+03
2.000000000000000000e+10 2.388786914755924499e+03 2.625843450814659718e+03
2.100000000000000000e+10 2.406691082642400033e+03 2.643364462178240046e+03
2.200000000000000000e+10 2.424369062409238268e+03 2.660799647935753455e+03
2.300000000000000000e+10 2.441811781284449353e+03 2.678275185300751218e+03
2.400000000000000000e+10 2.459000933133366743e+03 2.695813783273858917e+03
2.500000000000000000e+10 2.475916113223605862e+03 2.713352501080119509e+03
2.600000000000000000e+10 2.492542129162602578e+03 2.730891336337078883e+03
2.700000000000000000e+10 2.508874491504824164e+03 2.748430288208756338e+03
2.800000000000000000e+10 2.524930250449320738e+03 2.765969355855667800e+03
2.900000000000000000e+10 2.540885582717719899e+03 2.783508536086018466e+03
3.000000000000000000e+10 2.556840906876260760e+03 2.801047836266155628e+03
3.100000000000000000e+10 2.572796224207333125e+03 2.818587255522083979e+03
3.200000000000000000e+10 2.588751540807048514e+03 2.836126795148900783e+03
3.300000000000000000e+10 2.604706865006293810e+03 2.853666459199659130e+03
3.400000000000000000e+10 2.620662187554496541e+03 2.871206248003551536e+03
3.500000000000000000e+10 2.636617508800334235e+03 2.888746165887131610e+03
3.600000000000000000e+10 2.652572833008458019e+03 2.906286214698671301e+03
3.700000000000000000e+10 2.668528158293107936e+03 2.923826397979687499e+03
3.800000000000000000e+10 2.684483483094426902e+03 2.941366719199494128e+03
3.900000000000000000e+10 2.700438808253530169e+03 2.958907179597048071e+03
4.000000000000000000e+10 2.716394134112687425e+03 2.976447781383349138e+03
4.100000000000000000e+10 2.732349459623030270e+03 2.993988526182370151e+03
4.200000000000000000e+10 2.748304785062945484e+03 3.011529422900801364e+03
4.300000000000000000e+10 2.764260111253138348e+03 3.029070469390551352e+03
4.400000000000000000e+10 2.780215437306707372e+03 3.046611671930061220e+03
4.500000000000000000e+10 2.796170763134507069e+03 3.064153030945657974e+03
4.600000000000000000e+10 2.812126089846230570e+03 3.081694550368594264e+03
4.700000000000000000e+10 2.828081417246514775e+03 3.099236232646265307e+03
4.800000000000000000e+10 2.844036744791240380e+03 3.116778079255427201e+03
4.900000000000000000e+10 2.859992071874070916e+03 3.134320094356623486e+03
5.000000000000000000e+10 2.875947397302238642e+03 3.151862279310872509e+03
5.100000000000000000e+10 2.891902720996576136e+03 3.169404637244844253e+03
5.200000000000000000e+10 2.907858043180207460e+03 3.186947169666932041e+03
5.300000000000000000e+10 2.923813364643211116e+03 3.204489879690117505e+03
5.400000000000000000e+10 2.939768687669065457e+03 3.222032769055586868e+03
5.500000000000000000e+10 2.955724012964727535e+03 3.239575839675511816e+03
5.600000000000000000e+10 2.971679336828836767e+03 3.257119091874364585e+03
5.700000000000000000e+10 2.987634659105142418e+03 3.274662526459153469e+03
5.800000000000000000e+10 3.003589980107271458e+03 3.292206148809393653e+03
5.900000000000000000e+10 3.019545302547569008e+03 3.309749960693568482e+03
6.000000000000000000e+10 3.035500627576657280e+03 3.327293959806479052e+03
6.100000000000000000e+10 3.051455951567203556e+03 3.344838149842893017e+03
6.200000000000000000e+10 3.067411274239618251e+03 3.362382531773719165e+03
6.300000000000000000e+10 3.083366595922701890e+03 3.379927105222942373e+03
6.400000000000000000e+10 3.099321919153662748e+03 3.397471874311657302e+03
6.500000000000000000e+10 3.115277244747728673e+03 3.415016842136902596e+03
6.600000000000000000e+10 3.131232569939267250e+03 3.432562007453645492e+03
6.700000000000000000e+10 3.147187894419801978e+03 3.450107372745163957e+03
6.800000000000000000e+10 3.163143218706109110e+03 3.467652940646090428e+03
6.900000000000000000e+10 3.179098544108432179e+03 3.485198710128970561e+03
7.000000000000000000e+10 3.195053871144084042e+03 3.502744683176922535e+03
7.100000000000000000e+10 3.211009197460840369e+03 3.520290861928155209e+03
7.200000000000000000e+10 3.226964522492142351e+03 3.537837245254265781e+03
7.300000000000000000e+10 3.242919846451366993e+03 3.555383834667644805e+03
7.400000000000000000e+10 3.258875170032387814e+03 3.572930631225254274e+03
7.500000000000000000e+10 3.274830493611306338e+03 3.590477633630860510e+03
7.600000000000000000e+10 3.290785815300627291e+03 3.608024843570339272e+03
7.700000000000000000e+10 3.306741134472225440e+03 3.625572261955493559e+03
7.800000000000000000e+10 3.322696451412201895e+03 3.643119887765651583e+03
7.900000000000000000e+10 3.338651766873459565e+03 3.660667722450934889e+03
8.000000000000000000e+10 3.354607081872206891e+03 3.678215768739024043e+03
