t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
0,3599,3600,313.641706404044,467495.538011203,306.450196012079,0.930523110194752,0.0,0.00191759066593571,0.0133910762320283,0.0,0.0,0.0,1.7186943003539e+17,2.31299345324122e+20,3.53294844317836e+18,9.97001992768423e+15,12.1461736259434,12.1442560352775,0.0,0.0,0.0,0.0,0.00191759066593571,0.0180172078974242,0.0,3504050,0.00191807485056089
1.78813934326172e-07,3598.99999965769,3599.99999999984,313.641849488185,467495.537595754,306.450196012079,0.930523110194684,0.0,0.0019175906657292,0.0133910747047684,0.0,0.0,0.0,1.71869430035745e+17,2.3129934532412e+20,3.53294844317902e+18,9.97001992661053e+15,12.1461736259455,12.1442560352798,0.0,0.0,0.0,0.0,0.0019175906657292,0.018017207897424,0.0,3504050.00000041,0.0019180748505611
3.57627868652344e-07,3598.99999931538,3599.99999999968,313.641992572342,467495.537180304,306.450196012079,0.930523110194617,0.0,0.0019175906657292,0.0133910731775092,0.0,0.0,0.0,1.718694300361e+17,2.31299345324119e+20,3.53294844317967e+18,9.97001992661053e+15,12.1461736259477,12.144256035282,0.0,0.0,0.0,0.0,0.0019175906657292,0.018017207897424,0.0,3504050.00000083,0.00191807485056131
5.36441802978516e-07,3598.99999897306,3599.99999999952,313.642135656515,467495.536764855,306.450196012079,0.930523110194549,0.0,0.00191759066552269,0.0133910716502507,0.0,0.0,0.0,1.71869430036455e+17,2.31299345324117e+20,3.53294844318033e+18,9.97001992553682e+15,12.1461736259498,12.1442560352842,0.0,0.0,0.0,0.0,0.00191759066552269,0.0180172078974238,0.0,3504050.00000124,0.00191807485056152
2.11596488952637e-06,3598.99999593494,3599.99999999809,313.643405572246,467495.53307762,306.450196012079,0.930523110193948,0.0,0.0019175906657292,0.013391058095403,0.0,0.0,0.0,1.71869430039608e+17,2.31299345324104e+20,3.53294844318613e+18,9.97001992661053e+15,12.1461736259699,12.1442560353042,0.0,0.0,0.0,0.0,0.0019175906657292,0.018017207897424,0.0,3504050.00000491,0.00191807485056338
3.69548797607422e-06,3598.99999289681,3599.99999999667,313.644675489263,467495.529390384,306.450196012079,0.930523110193347,0.0,0.0019175906657292,0.0133910445406103,0.0,0.0,0.0,1.71869430042761e+17,2.31299345324091e+20,3.53294844319193e+18,9.97001992661053e+15,12.1461736259899,12.1442560353241,0.0,0.0,0.0,0.0,0.0019175906657292,0.018017207897424,0.0,3504050.00000858,0.00191807485056524
5.27501106262207e-06,3598.99998985869,3599.99999999525,313.645945407565,467495.525703148,306.450196012079,0.930523110192747,0.0,0.0019175906657292,0.0133910309858724,0.0,0.0,0.0,1.71869430045915e+17,2.31299345324077e+20,3.53294844319773e+18,9.97001992661053e+15,12.1461736260098,12.1442560353441,0.0,0.0,0.0,0.0,0.0019175906657292,0.018017207897424,0.0,3504050.00001225,0.0019180748505671
6.85453414916992e-06,3598.99998682056,3599.99999999382,313.647215327153,467495.522015912,306.450196012079,0.930523110192146,0.0,0.00191759066593571,0.0133910174311894,0.0,0.0,0.0,1.71869430049067e+17,2.31299345324064e+20,3.53294844320353e+18,9.97001992768423e+15,12.14617362603,12.144256035364,0.0,0.0,0.0,0.0,0.00191759066593571,0.0180172078974242,0.0,3504050.00001592,0.00191807485056896
2.26199626922607e-05,3598.99995643932,3599.99999997959,313.659914593157,467495.485143556,306.450196012079,0.930523110186138,0.0,0.0019175906657292,0.013390881887384,0.0,0.0,0.0,1.71869430080597e+17,2.31299345323931e+20,3.53294844326156e+18,9.97001992661053e+15,12.1461736262292,12.1442560355635,0.0,0.0,0.0,0.0,0.0019175906657292,0.018017207897424,0.0,3504050.00005263,0.00191807485058754
3.83853912353516e-05,3598.99992605807,3599.99999996535,313.67261398618,467495.448271204,306.450196012079,0.93052311018013,0.0,0.00191759066552269,0.0133907463490826,0.0,0.0,0.0,1.71869430112128e+17,2.31299345323798e+20,3.53294844331958e+18,9.97001992553682e+15,12.1461736264284,12.1442560357629,0.0,0.0,0.0,0.0,0.00191759066552269,0.0180172078974237,0.0,3504050.00008934,0.00191807485060612
