t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
0,3599,3600,313.641706404044,1039076.23024986,306.450196012079,0.930523110194752,0.0,0.00191505053979277,0.0133910762320283,0.0,0.0,0.0,5.75659479431275e+16,7.74714041319917e+19,8.05750985843692e+17,9.95681319450915e+15,2.77162608089944,2.76971103035965,0.0,0.0,0.0,0.0,0.00191505053979277,0.01802466291304,0.0,3504050,0.00191807485056089
1.78813934326172e-07,3598.99999923859,3599.99999999984,313.64202475165,1039076.22858092,306.450196012079,0.930523110194684,0.0,0.00191505053958625,0.0133910728340316,0.0,0.0,0.0,5.75659479432462e+16,7.74714041319909e+19,8.05750985843838e+17,9.95681319343544e+15,2.77162608089973,2.76971103036015,0.0,0.0,0.0,0.0,0.00191505053958625,0.0180246629130389,0.0,3504050.00000041,0.0019180748505611
3.57627868652344e-07,3598.99999847717,3599.99999999968,313.642343099337,1039076.22691197,306.450196012079,0.930523110194617,0.0,0.00191505053979277,0.0133910694360384,0.0,0.0,0.0,5.7565947943365e+16,7.74714041319902e+19,8.05750985843983e+17,9.95681319450915e+15,2.77162608090044,2.76971103036065,0.0,0.0,0.0,0.0,0.00191505053979277,0.0180246629130399,0.0,3504050.00000083,0.00191807485056131
5.36441802978516e-07,3598.99999771576,3599.99999999952,313.642661447104,1039076.22524303,306.450196012079,0.930523110194549,0.0,0.00191505053999928,0.0133910660380487,0.0,0.0,0.0,5.75659479434839e+16,7.74714041319895e+19,8.05750985844129e+17,9.95681319558285e+15,2.77162608090115,2.76971103036115,0.0,0.0,0.0,0.0,0.00191505053999928,0.018024662913041,0.0,3504050.00000124,0.00191807485056152
1.74343585968018e-06,3598.9999925393,3599.99999999843,313.644825732287,1039076.21389675,306.450196012079,0.930523110194089,0.0,0.00191505053999928,0.013391042936952,0.0,0.0,0.0,5.75659479442916e+16,7.74714041319843e+19,8.05750985845118e+17,9.95681319558285e+15,2.77162608090455,2.76971103036455,0.0,0.0,0.0,0.0,0.00191505053999928,0.018024662913041,0.0,3504050.00000405,0.00191807485056295
2.95042991638184e-06,3598.99998736284,3599.99999999734,313.646990021204,1039076.20255047,306.450196012079,0.930523110193629,0.0,0.00191505053979277,0.0133910198360148,0.0,0.0,0.0,5.75659479450991e+16,7.74714041319792e+19,8.05750985846108e+17,9.95681319450915e+15,2.77162608090774,2.76971103036795,0.0,0.0,0.0,0.0,0.00191505053979277,0.0180246629130399,0.0,3504050.00000686,0.00191807485056437
4.1574239730835e-06,3598.99998218638,3599.99999999625,313.649154313854,1039076.19120418,306.450196012079,0.930523110193169,0.0,0.00191505053979277,0.013390996735237,0.0,0.0,0.0,5.75659479459067e+16,7.7471404131974e+19,8.05750985847097e+17,9.95681319450915e+15,2.77162608091114,2.76971103037135,0.0,0.0,0.0,0.0,0.00191505053979277,0.0180246629130399,0.0,3504050.00000968,0.00191807485056579
5.36441802978516e-06,3598.99997700992,3599.99999999516,313.651318610238,1039076.1798579,306.450196012079,0.930523110192709,0.0,0.00191505053979277,0.0133909736346186,0.0,0.0,0.0,5.75659479467142e+16,7.74714041319689e+19,8.05750985848086e+17,9.95681319450915e+15,2.77162608091454,2.76971103037475,0.0,0.0,0.0,0.0,0.00191505053979277,0.0180246629130399,0.0,3504050.00001249,0.00191807485056722
1.57430768013e-05,3598.99993253022,3599.99999998578,313.669915890924,1039076.08236282,306.450196012079,0.930523110188754,0.0,0.00191505053979277,0.0133907751447467,0.0,0.0,0.0,5.75659479536543e+16,7.74714041319248e+19,8.05750985856589e+17,9.95681319450915e+15,2.77162608094377,2.76971103040398,0.0,0.0,0.0,0.0,0.00191505053979277,0.0180246629130398,0.0,3504050.00003665,0.00191807485057945
2.61217355728149e-05,3598.99988805052,3599.99999997641,313.688513444987,1039075.98486775,306.450196012079,0.9305231101848,0.0,0.00191505053979277,0.0133905766666673,0.0,0.0,0.0,5.75659479605948e+16,7.74714041318807e+19,8.05750985865092e+17,9.95681319450915e+15,2.771626080973,2.76971103043321,0.0,0.0,0.0,0.0,0.00191505053979277,0.0180246629130397,0.0,3504050.00006081,0.00191807485059168
