t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
0,3599,3600,313.641706404044,426094.889588193,306.450196012079,0.930523110194752,0.0,0.00192147729648418,0.0133910762320283,0.0,0.0,0.0,3.05877330176461e+17,4.11645201853152e+20,7.6992122404848e+18,9.990227464521e+15,26.4674095030071,26.4654880257106,0.0,0.0,0.0,0.0,0.00192147729648418,0.0180160152810757,0.0,3504050,0.00191807485056089
1.78813934326172e-07,3598.99999968805,3599.99999999984,313.64183678918,426094.889239401,306.450196012079,0.930523110194684,0.0,0.00192147729627767,0.0133910748403158,0.0,0.0,0.0,3.05877330177093e+17,4.1164520185315e+20,7.69921224048623e+18,9.9902274634473e+15,26.4674095030118,26.4654880257155,0.0,0.0,0.0,0.0,0.00192147729627767,0.0180160152810756,0.0,3504050.00000041,0.0019180748505611
3.57627868652344e-07,3598.99999937611,3599.99999999968,313.64196717433,426094.888890608,306.450196012079,0.930523110194617,0.0,0.00192147729648418,0.0133910734486038,0.0,0.0,0.0,3.05877330177725e+17,4.11645201853147e+20,7.69921224048766e+18,9.990227464521e+15,26.4674095030169,26.4654880257204,0.0,0.0,0.0,0.0,0.00192147729648418,0.0180160152810757,0.0,3504050.00000083,0.00191807485056131
5.36441802978516e-07,3598.99999906416,3599.99999999952,313.642097559493,426094.888541816,306.450196012079,0.930523110194549,0.0,0.00192147729607116,0.0133910720568924,0.0,0.0,0.0,3.05877330178358e+17,4.11645201853145e+20,7.69921224048909e+18,9.9902274623736e+15,26.4674095030214,26.4654880257254,0.0,0.0,0.0,0.0,0.00192147729607116,0.0180160152810755,0.0,3504050.00000124,0.00191807485056152
2.16066837310791e-06,3598.99999620844,3599.99999999805,313.643291178754,426094.885348778,306.450196012079,0.93052311019393,0.0,0.00192147729648418,0.0133910593164158,0.0,0.0,0.0,3.05877330184146e+17,4.11645201853121e+20,7.69921224050215e+18,9.990227464521e+15,26.4674095030668,26.4654880257703,0.0,0.0,0.0,0.0,0.00192147729648418,0.0180160152810757,0.0,3504050.00000503,0.00191807485056344
3.7848949432373e-06,3598.99999335271,3599.99999999658,313.644484799151,426094.88215574,306.450196012079,0.93052311019331,0.0,0.00192147729648418,0.0133910465759876,0.0,0.0,0.0,3.05877330189934e+17,4.11645201853098e+20,7.69921224051522e+18,9.990227464521e+15,26.4674095031117,26.4654880258152,0.0,0.0,0.0,0.0,0.00192147729648418,0.0180160152810757,0.0,3504050.00000881,0.00191807485056536
5.4091215133667e-06,3598.99999049699,3599.99999999511,313.645678420683,426094.878962701,306.450196012079,0.93052311019269,0.0,0.00192147729648418,0.0133910338356079,0.0,0.0,0.0,3.05877330195723e+17,4.11645201853075e+20,7.69921224052829e+18,9.990227464521e+15,26.4674095031566,26.4654880258601,0.0,0.0,0.0,0.0,0.00192147729648418,0.0180160152810757,0.0,3504050.0000126,0.00191807485056727
7.03334808349609e-06,3598.99998764126,3599.99999999364,313.646872043351,426094.875769663,306.450196012079,0.930523110192071,0.0,0.00192147729648418,0.0133910210952766,0.0,0.0,0.0,3.05877330201511e+17,4.11645201853051e+20,7.69921224054136e+18,9.990227464521e+15,26.4674095032015,26.4654880259051,0.0,0.0,0.0,0.0,0.00192147729648418,0.0180160152810757,0.0,3504050.00001639,0.00191807485056919
2.32979655265808e-05,3598.99995908402,3599.99999997896,313.658808330968,426094.843839282,306.450196012079,0.930523110185874,0.0,0.00192147729627767,0.0133908936946473,0.0,0.0,0.0,3.05877330259397e+17,4.11645201852818e+20,7.69921224067206e+18,9.9902274634473e+15,26.4674095036506,26.4654880263543,0.0,0.0,0.0,0.0,0.00192147729627767,0.0180160152810756,0.0,3504050.00005425,0.00191807485058836
3.95625829696655e-05,3598.99993052678,3599.99999996427,313.670744730813,426094.811908905,306.450196012079,0.930523110179677,0.0,0.00192147729607116,0.0133907662988803,0.0,0.0,0.0,3.05877330317286e+17,4.11645201852584e+20,7.69921224080275e+18,9.9902274623736e+15,26.4674095040996,26.4654880268036,0.0,0.0,0.0,0.0,0.00192147729607116,0.0180160152810754,0.0,3504050.00009211,0.00191807485060753
5.58272004127502e-05,3598.99990196954,3599.99999994958,313.682681242504,426094.779978531,306.450196012079,0.93052311017348,0.0,0.00192147729607116,0.0133906389079794,0.0,0.0,0.0,3.05877330375179e+17,4.11645201852351e+20,7.69921224093346e+18,9.9902274623736e+15,26.4674095045489,26.4654880272529,0.0,0.0,0.0,0.0,0.00192147729607116,0.0180160152810754,0.0,3504050.00012998,0.0019180748506267
