t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
0,3599,3600,313.641706404044,467495.538011203,198.344450865433,0.930523110194752,0.0,0.00191759066593571,0.0133910762320283,0.0,0.0,0.0,1.7186943003539e+17,2.31299345324122e+20,3.53294844317836e+18,9.97001992768423e+15,12.1461736259434,12.1442560352775,0.0,0.0,0.0,0.0,0.00191759066593571,0.0180172078974242,0.0,3504050,0.00191807485056089
1.78813934326172e-07,3598.99999965534,3599.99999999984,313.641850470605,467495.537592903,198.344450865433,0.930523110194684,0.0,0.0019175906657292,0.0133910746942822,0.0,0.0,0.0,1.71869430035742e+17,2.31299345324114e+20,3.53294844317889e+18,9.97001992661053e+15,12.146173625945,12.1442560352793,0.0,0.0,0.0,0.0,0.0019175906657292,0.018017207897424,0.0,3504050.00000042,0.0019180748505611
1.06543302536011e-06,3598.99999794638,3599.99999999904,313.642564801116,467495.53551883,198.344450865433,0.930523110194346,0.0,0.00191759066552269,0.0133910670696322,0.0,0.0,0.0,1.71869430037491e+17,2.31299345324074e+20,3.53294844318148e+18,9.97001992553682e+15,12.1461736259537,12.1442560352882,0.0,0.0,0.0,0.0,0.00191759066552269,0.0180172078974238,0.0,3504050.00000248,0.00191807485056215
5.50597906112671e-06,3598.99998938726,3599.99999999503,313.6461424629,467495.525131037,198.344450865433,0.930523110192654,0.0,0.00191759066552269,0.0133910288825673,0.0,0.0,0.0,1.71869430046251e+17,2.31299345323874e+20,3.53294844319448e+18,9.97001992553682e+15,12.1461736259984,12.1442560353329,0.0,0.0,0.0,0.0,0.00191759066552269,0.0180172078974238,0.0,3504050.00001282,0.00191807485056738
2.77087092399597e-05,3598.99994659164,3599.99999997498,313.664030922381,467495.473192078,198.344450865433,0.930523110184194,0.0,0.0019175906657292,0.0133908379538029,0.0,0.0,0.0,1.71869430090052e+17,2.31299345322876e+20,3.53294844325946e+18,9.97001992661053e+15,12.146173626222,12.1442560355563,0.0,0.0,0.0,0.0,0.0019175906657292,0.018017207897424,0.0,3504050.00006451,0.00191807485059356
0.000138729810714722,3598.99973259927,3599.99999987469,313.753483001879,467495.213479967,198.344450865433,0.93052311014188,0.0,0.00191759066531618,0.0133898834097373,0.0,0.0,0.0,1.71869430309108e+17,2.31299345317886e+20,3.53294844358445e+18,9.97001992446312e+15,12.1461736273387,12.1442560366734,0.0,0.0,0.0,0.0,0.00191759066531618,0.0180172078974233,0.0,3504050.00032305,0.00191807485072444
0.000693842768669128,3598.99866262545,3599.99999937285,314.200843846054,467493.914904879,198.344450865433,0.93052310993013,0.0,0.00191759066345758,0.0133851147170627,0.0,0.0,0.0,1.71869431405359e+17,2.31299345292929e+20,3.53294844521122e+18,9.97001991479981e+15,12.1461736329288,12.1442560422653,0.0,0.0,0.0,0.0,0.00191759066345758,0.0180172078974201,0.0,3504050.00161685,0.00191807485137945
0.00240015238523483,3598.99537375842,3599.99999782579,315.576928850348,467489.92336702,198.344450865433,0.930523109277361,0.0,0.00191759065767527,0.0133704992261756,0.0,0.0,0.0,1.71869434784953e+17,2.3129934521619e+20,3.53294845023014e+18,9.97001988473616e+15,12.1461736501752,12.1442560595175,0.0,0.0,0.0,0.0,0.00191759065767527,0.0180172078974103,0.0,3504050.00560532,0.00191807485339866
0.00500256568193436,3598.99035774785,3599.99999545324,317.678548023851,467483.835678577,198.344450865433,0.930523108276276,0.0,0.00191759064879529,0.0133483308489383,0.0,0.0,0.0,1.71869439968306e+17,2.31299345099067e+20,3.53294845793878e+18,9.970019838567e+15,12.1461736766642,12.1442560860154,0.0,0.0,0.0,0.0,0.00191759064879529,0.0180172078973953,0.0,3504050.01172202,0.00191807485649533
0.00833963602781296,3598.98392585439,3599.99999238783,320.378480089959,467476.029600877,198.344450865433,0.930523106982849,0.0,0.00191759063723067,0.0133201188770675,0.0,0.0,0.0,1.71869446666071e+17,2.31299344948734e+20,3.53294846791903e+18,9.97001977843971e+15,12.146173710959,12.1442561203218,0.0,0.0,0.0,0.0,0.00191759063723067,0.0180172078973757,0.0,3504050.01962496,0.00191807486049629
0.0123085603117943,3598.97627630955,3599.99998870817,323.596953703215,467466.745717255,198.344450865433,0.930523105430243,0.0,0.00191759062360093,0.0132868743819251,0.0,0.0,0.0,1.71869454707015e+17,2.3129934476972e+20,3.53294847992894e+18,9.97001970757541e+15,12.1461737522286,12.144256161605,0.0,0.0,0.0,0.0,0.00191759062360093,0.0180172078973525,0.0,3504050.02911149,0.00191807486529897
0.0168412551283836,3598.96754042668,3599.99998446076,327.28228496181,467456.14339572,198.344450865433,0.930523103638076,0.0,0.00191759060749306,0.0132493115037706,0.0,0.0,0.0,1.7186946399006e+17,2.31299344564993e+20,3.53294849383127e+18,9.97001962382668e+15,12.1461738000007,12.1442562093932,0.0,0.0,0.0,0.0,0.00191759060749306,0.0180172078973253,0.0,3504050.04006173,0.00191807487084269
0.0218911170959473,3598.95780812018,3599.99997967197,331.40019380591,467444.331760332,198.344450865433,0.930523101617479,0.0,0.00191759058973311,0.0132079600414527,0.0,0.0,0.0,1.71869474458092e+17,2.31299344336546e+20,3.53294850955458e+18,9.97001953148835e+15,12.1461738540307,12.144256263441,0.0,0.0,0.0,0.0,0.00191759058973311,0.018017207897295,0.0,3504050.05240765,0.00191807487709302
0.0274269282817841,3598.94713965354,3599.99997435341,335.928919016629,467431.383949282,198.344450865433,0.930523099373347,0.0,0.00191759056970153,0.0131632184343831,0.0,0.0,0.0,1.71869486086298e+17,2.31299344085677e+20,3.53294852707622e+18,9.9700194273393e+15,12.1461739142401,12.1442563236703,0.0,0.0,0.0,0.0,0.00191759056970153,0.018017207897261,0.0,3504050.06611942,0.0019180748840348
0.0334216877818108,3598.93558716459,3599.99996851231,340.850141564854,467417.363239006,198.344450865433,0.930523096908734,0.0,0.00191759054781135,0.0131154461015878,0.0,0.0,0.0,1.71869498859427e+17,2.31299343813492e+20,3.53294854638804e+18,9.97001931352693e+15,12.1461739806012,12.1442563900533,0.0,0.0,0.0,0.0,0.00191759054781135,0.0180172078972238,0.0,3504050.08117831,0.0019180748916586
0.0398545861244202,3598.92319086073,3599.99996214958,346.150603855979,467402.318426532,198.344450865433,0.930523094224025,0.0,0.00191759052385606,0.0130649473460554,0.0,0.0,0.0,1.7186951277606e+17,2.31299343520811e+20,3.53294856750316e+18,9.97001918897755e+15,12.1461740531589,12.1442564626351,0.0,0.0,0.0,0.0,0.00191759052385606,0.018017207897183,0.0,3504050.09758203,0.00191807489996322
0.0467119887471199,3598.90997712509,3599.99995525859,351.822964934975,467386.281531009,198.344450865433,0.93052309131642,0.0,0.00191759049783565,0.0130119651557035,0.0,0.0,0.0,1.71869527851303e+17,2.31299343208128e+20,3.53294859046005e+18,9.97001905369116e+15,12.1461741320455,12.1442565415477,0.0,0.0,0.0,0.0,0.00191759049783565,0.0180172078971387,0.0,3504050.11534765,0.00191807490895733
0.0539829581975937,3598.8959671466,3599.99994782935,357.862151447461,467369.278267575,198.344450865433,0.930523088181703,0.0,0.00191759047016316,0.0129567176881635,0.0,0.0,0.0,1.71869544107625e+17,2.31299342875808e+20,3.53294861530892e+18,9.97001890981515e+15,12.1461742174341,12.1442566269639,0.0,0.0,0.0,0.0,0.00191759047016316,0.0180172078970913,0.0,3504050.13450099,0.00191807491865396
0.0616558119654655,3598.88118355256,3599.999939852,364.262497065294,467351.336097058,198.344450865433,0.930523084815712,0.0,0.00191759044001254,0.0128994241666708,0.0,0.0,0.0,1.71869561567236e+17,2.31299342524246e+20,3.53294864210003e+18,9.97001875305472e+15,12.1461743094964,12.1442567190564,0.0,0.0,0.0,0.0,0.00191759044001254,0.0180172078970399,0.0,3504050.15506744,0.001918074929066
0.0697256997227669,3598.86563580953,3599.99993130885,371.02406538792,467332.466507656,198.344450865433,0.930523081210989,0.0,0.00191759040841633,0.0128402482253515,0.0,0.0,0.0,1.71869580269446e+17,2.31299342153521e+20,3.53294867091032e+18,9.97001858877838e+15,12.1461744084981,12.1442568180897,0.0,0.0,0.0,0.0,0.00191759040841633,0.0180172078969855,0.0,3504050.17709248,0.00191807494021651
0.0781851187348366,3598.84933849833,3599.99992218417,378.144756633431,467312.687194469,198.344450865433,0.930523077360891,0.0,0.00191759037392898,0.0127793692647087,0.0,0.0,0.0,1.71869600249381e+17,2.31299341763826e+20,3.53294870181114e+18,9.97001840947022e+15,12.146174514683,12.1442569243091,0.0,0.0,0.0,0.0,0.00191759037392898,0.0180172078969265,0.0,3504050.20061684,0.00191807495212603
0.0870318785309792,3598.83229596946,3599.99991245559,385.626991207912,467292.003436495,198.344450865433,0.930523073255985,0.0,0.00191759033758302,0.0127169242650553,0.0,0.0,0.0,1.71869621556663e+17,2.31299341355105e+20,3.53294873489671e+18,9.97001822049875e+15,12.1461746283759,12.1442570380383,0.0,0.0,0.0,0.0,0.00191759033758302,0.018017207896864,0.0,3504050.22569812,0.00191807496482376
0.0962624326348305,3598.81451519064,3599.99990210117,393.472122570494,467270.42368908,198.344450865433,0.930523068887008,0.0,0.00191759029875892,0.0126530565664659,0.0,0.0,0.0,1.71869644240057e+17,2.31299340927358e+20,3.53294877026071e+18,9.97001801864285e+15,12.1461747498983,12.1442571595995,0.0,0.0,0.0,0.0,0.00191759029875892,0.0180172078967972,0.0,3504050.25239291,0.00191807497833834
0.1058733984828,3598.79600281833,3599.99989109776,401.681699418766,467247.956029767,198.344450865433,0.930523064244191,0.0,0.0019175902574567,0.0125879042557433,0.0,0.0,0.0,1.71869668350975e+17,2.3129934048057e+20,3.53294880800163e+18,9.97001780390254e+15,12.1461748795887,12.1442572893312,0.0,0.0,0.0,0.0,0.0019175902574567,0.018017207896726,0.0,3504050.28076088,0.00191807499269999
0.11586557328701,3598.77675746322,3599.99987941625,410.260915001328,467224.598771259,198.344450865433,0.93052305931526,0.0,0.00191759021346983,0.0125215735033087,0.0,0.0,0.0,1.71869693953881e+17,2.31299340014526e+20,3.5329488482391e+18,9.97001757520411e+15,12.1461750178581,12.1442574276446,0.0,0.0,0.0,0.0,0.00191759021346983,0.0180172078966503,0.0,3504050.31087694,0.00191807500794668
0.1262396723032,3598.75677790037,3599.99986702625,419.215004167482,467200.350425688,198.344450865433,0.930523054087382,0.0,0.00191759016700482,0.0124541685692663,0.0,0.0,0.0,1.71869721116179e+17,2.31299339529004e+20,3.53294889109847e+18,9.97001733362126e+15,12.1461751651376,12.1442575749706,0.0,0.0,0.0,0.0,0.00191759016700482,0.01801720789657,0.0,3504050.34281961,0.0019180750241181
0.136994160711765,3598.73606724437,3599.99985389865,428.547349533784,467175.214771827,198.344450865433,0.93052304854828,0.0,0.00191759011764866,0.0123858051012122,0.0,0.0,0.0,1.71869749902393e+17,2.31299339023879e+20,3.53294893670134e+18,9.97001707700659e+15,12.1461753218449,12.1442577317272,0.0,0.0,0.0,0.0,0.00191759011764866,0.0180172078964847,0.0,3504050.37666392,0.00191807504125223
0.148132547736168,3598.71461890255,3599.99983999678,438.265803720113,467149.183807101,198.344450865433,0.930523042682481,0.0,0.00191759006519484,0.0123165634871738,0.0,0.0,0.0,1.71869780393727e+17,2.3129933849878e+20,3.53294898519655e+18,9.97001680428639e+15,12.1461754884912,12.144257898426,0.0,0.0,0.0,0.0,0.00191759006519484,0.018017207896394,0.0,3504050.41250438,0.00191807505939694
0.159655213356018,3598.6924323156,3599.99982528618,448.375614525033,467122.256851327,198.344450865433,0.930523036475444,0.0,0.00191759001026288,0.0122465412893225,0.0,0.0,0.0,1.71869812666554e+17,2.31299337953475e+20,3.53294903672626e+18,9.97001651868178e+15,12.1461756655659,12.1442580755557,0.0,0.0,0.0,0.0,0.00191759001026288,0.0180172078962985,0.0,3504050.45042968,0.00191807507859721
0.171565003693104,3598.66950218292,3599.99980972762,458.884295303252,467094.427469883,198.344450865433,0.930523029910617,0.0,0.00191758995161371,0.0121758180546911,0.0,0.0,0.0,1.71869846807739e+17,2.31299337387602e+20,3.53294909145056e+18,9.97001621375053e+15,12.1461758536181,12.1442582636665,0.0,0.0,0.0,0.0,0.00191758995161371,0.0180172078961968,0.0,3504050.49054114,0.00191807509890422
0.183865703642368,3598.64582140488,3599.99979327878,469.800323428052,467065.687044741,198.344450865433,0.930523022970138,0.0,0.0019175898900734,0.0121044656352128,0.0,0.0,0.0,1.71869882911021e+17,2.31299336800743e+20,3.53294914954157e+18,9.97001589378747e+15,12.1461760532403,12.1442584633502,0.0,0.0,0.0,0.0,0.0019175898900734,0.0180172078960897,0.0,3504050.53294793,0.00191807512037324
0.19655966758728,3598.62138564458,3599.99977589725,481.131040979078,467036.030310735,198.344450865433,0.930523015636124,0.0,0.00191758982460937,0.0120325619595659,0.0,0.0,0.0,1.71869921070273e+17,2.31299336192538e+20,3.53294921117264e+18,9.97001555342408e+15,12.1461762650272,12.1442586752026,0.0,0.0,0.0,0.0,0.00191758982460937,0.0180172078959758,0.0,3504050.57775924,0.00191807514305959
0.209650754928589,3598.59618767662,3599.99975753664,492.88525831785,467005.448497023,198.344450865433,0.930523007888988,0.0,0.00191758975542814,0.0119601739199973,0.0,0.0,0.0,1.71869961388283e+17,2.31299335562539e+20,3.53294927653268e+18,9.97001519373405e+15,12.1461764896284,12.144258899873,0.0,0.0,0.0,0.0,0.00191758975542814,0.0180172078958553,0.0,3504050.62509475,0.00191807516702385
0.223143294453621,3598.57021938185,3599.99973814767,505.072353316354,466973.931747911,198.344450865433,0.930522999707942,0.0,0.00191758968252971,0.0118873638143015,0.0,0.0,0.0,1.71870003974141e+17,2.31299334910264e+20,3.53294934582202e+18,9.9700148147174e+15,12.1461767277326,12.1442591380501,0.0,0.0,0.0,0.0,0.00191758968252971,0.0180172078957281,0.0,3504050.67508146,0.00191807519233033
0.237041048705578,3598.54347374092,3599.99971767959,517.701338476453,466941.471542424,198.344450865433,0.930522991071575,0.0,0.00191758960550106,0.011814194957252,0.0,0.0,0.0,1.7187004894021e+17,2.31299334235244e+20,3.53294941924759e+18,9.97001441422672e+15,12.1461769800507,12.1442593904452,0.0,0.0,0.0,0.0,0.00191758960550106,0.0180172078955936,0.0,3504050.72785031,0.00191807521904525
0.251350082457066,3598.51593931462,3599.99969607584,530.783474136887,466908.053995256,198.344450865433,0.93052298195602,0.0,0.0019175895245487,0.011740716696703,0.0,0.0,0.0,1.71870096411704e+17,2.3129933353688e+20,3.5329494970383e+18,9.97001399333571e+15,12.1461772473697,12.1442596578452,0.0,0.0,0.0,0.0,0.0019175895245487,0.0180172078954518,0.0,3504050.78354687,0.00191807524724245
0.266075313091278,3598.48760688336,3599.9996732789,544.329148789953,466873.667914884,198.344450865433,0.930522972337008,0.0,0.00191758943843356,0.0116669828823532,0.0,0.0,0.0,1.71870146515975e+17,2.31299332814615e+20,3.53294957942827e+18,9.97001354560216e+15,12.1461775304932,12.1442599410548,0.0,0.0,0.0,0.0,0.00191758943843356,0.0180172078953011,0.0,3504050.84231963,0.001918075276997
0.281221956014633,3598.45846666579,3599.99964922811,558.349187981115,466838.301427872,198.344450865433,0.930522962188942,0.0,0.00191758934818819,0.011593044104121,0.0,0.0,0.0,1.71870199387347e+17,2.31299332067858e+20,3.5329496666641e+18,9.97001307639458e+15,12.1461778302699,12.1442602409217,0.0,0.0,0.0,0.0,0.00191758934818819,0.0180172078951427,0.0,3504050.90432481,0.00191807530838808
0.296795919537544,3598.42850755986,3599.99962385885,572.855230846621,466801.94105777,198.344450865433,0.930522951484552,0.0,0.00191758925278005,0.0115189459752011,0.0,0.0,0.0,1.71870255168907e+17,2.31299331295968e+20,3.53294975900865e+18,9.97001258034446e+15,12.1461781476022,12.1442605583494,0.0,0.0,0.0,0.0,0.00191758925278005,0.0180172078949752,0.0,3504050.96972937,0.00191807534150003
0.312804490327835,3598.39771582556,3599.99959710109,587.860394233842,466764.570126397,198.344450865433,0.930522940194301,0.0,0.00191758915200262,0.0114447263725287,0.0,0.0,0.0,1.71870314015622e+17,2.31299330498213e+20,3.53294985674547e+18,9.9700120563781e+15,12.1461784834647,12.1442608943127,0.0,0.0,0.0,0.0,0.00191758915200262,0.0180172078947981,0.0,3504051.03871361,0.00191807537642424
0.329253435134888,3598.36608066058,3599.99956888409,603.376571062884,466726.175520858,198.344450865433,0.930522928288327,0.0,0.0019175890458559,0.0113704291279574,0.0,0.0,0.0,1.71870376084195e+17,2.31299329673919e+20,3.53294996016253e+18,9.9700115044955e+15,12.1461788388473,12.1442612498014,0.0,0.0,0.0,0.0,0.0019175890458559,0.0180172078946113,0.0,3504051.11145979,0.00191807541325307
0.346149355173111,3598.33358967189,3599.9995391323,619.416626850574,466686.742197482,198.344450865433,0.930522915734764,0.0,0.00191758893372035,0.0112960928564755,0.0,0.0,0.0,1.71870441541849e+17,2.31299328822346e+20,3.53295006956718e+18,9.97001092147555e+15,12.1461792148057,12.144261625872,0.0,0.0,0.0,0.0,0.00191758893372035,0.0180172078944139,0.0,3504051.18816298,0.00191807545208509
0.363500952720642,3598.30022644186,3599.99950776282,635.995638793265,466646.250227942,198.344450865433,0.930522902498624,0.0,0.0019175888158025,0.0112217460508976,0.0,0.0,0.0,1.71870510572135e+17,2.31299327942626e+20,3.53295018529508e+18,9.97001030839196e+15,12.1461796124941,12.1442620236783,0.0,0.0,0.0,0.0,0.0019175888158025,0.0180172078942058,0.0,3504051.26903652,0.00191807549302853
0.381314262747765,3598.26597969813,3599.99947469363,653.126360657681,466604.685928369,198.344450865433,0.930522888545306,0.0,0.00191758869106977,0.0111474278481237,0.0,0.0,0.0,1.71870583356653e+17,2.31299327034002e+20,3.53295030768096e+18,9.97000965987622e+15,12.1461800330621,12.144262444371,0.0,0.0,0.0,0.0,0.00191758869106977,0.0180172078939857,0.0,3504051.35429229,0.00191807553619043
0.399596594274044,3598.23083573489,3599.99943983655,670.822967291094,466562.032661395,198.344450865433,0.930522873837597,0.0,0.00191758855993521,0.0110731707010181,0.0,0.0,0.0,1.71870660090692e+17,2.31299326095626e+20,3.53295043708361e+18,9.97000897807573e+15,12.1461804777433,12.1442628891833,0.0,0.0,0.0,0.0,0.00191758855993521,0.0180172078937539,0.0,3504051.44415749,0.00191807558168589
0.418356642127037,3598.19477820028,3599.99940309649,689.101203749807,466518.270577983,198.344450865433,0.930522858335376,0.0,0.00191758842157275,0.0109990006153328,0.0,0.0,0.0,1.71870740984768e+17,2.31299325126554e+20,3.53295057388924e+18,9.97000825869569e+15,12.1461809478644,12.1442633594428,0.0,0.0,0.0,0.0,0.00191758842157275,0.0180172078935091,0.0,3504051.5388771,0.00191807562963902
