t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
0,3299,3300,273.277543289051,204005.286046126,396.765903224096,0.924167372918529,0.0,0.00094041874642721,0.0153689906219538,0.0,0.0,0.0,1.87084170720857e+17,2.29965374735514e+20,4.85170429110084e+18,4.88650344787096e+15,16.6884345357787,16.6874941170323,0.0,0.0,0.0,0.0,0.00094041874642721,0.0180157880760859,0.0,3328847.5,0.00222899538966483
1.78813934326172e-07,3298.99999984307,3299.99999999984,273.27760041268,204005.28595637,396.765903224096,0.924167372918454,0.0,0.000940418746220574,0.0153689898188034,0.0,0.0,0.0,1.87084170721263e+17,2.29965374735512e+20,4.85170429110185e+18,4.88650344679726e+15,16.688434535782,16.6874941170358,0.0,0.0,0.0,0.0,0.000940418746220574,0.0180157880760857,0.0,3328847.50000046,0.00222899538966513
3.57627868652344e-07,3298.99999968614,3299.99999999969,273.277657536312,204005.285866614,396.765903224096,0.924167372918379,0.0,0.000940418746530528,0.0153689890156532,0.0,0.0,0.0,1.87084170721668e+17,2.2996537473551e+20,4.85170429110287e+18,4.88650344840781e+15,16.6884345357858,16.6874941170393,0.0,0.0,0.0,0.0,0.000940418746530528,0.018015788076086,0.0,3328847.50000092,0.00222899538966543
5.36441802978516e-07,3298.99999952921,3299.99999999953,273.277714659948,204005.285776859,396.765903224096,0.924167372918304,0.0,0.000940418746323892,0.0153689882125032,0.0,0.0,0.0,1.87084170722074e+17,2.29965374735508e+20,4.85170429110388e+18,4.88650344733411e+15,16.6884345357891,16.6874941170428,0.0,0.0,0.0,0.0,0.000940418746323892,0.0180157880760858,0.0,3328847.50000138,0.00222899538966573
2.30967998504639e-06,3298.99999795993,3299.99999999798,273.278285895305,204005.284879303,396.765903224096,0.924167372917555,0.0,0.000940418746323892,0.0153689801810284,0.0,0.0,0.0,1.87084170726133e+17,2.29965374735487e+20,4.85170429111405e+18,4.88650344733411e+15,16.6884345358241,16.6874941170777,0.0,0.0,0.0,0.0,0.000940418746323892,0.0180157880760858,0.0,3328847.50000599,0.00222899538966874
4.08291816711426e-06,3298.99999639064,3299.99999999643,273.27885713096,204005.283981747,396.765903224096,0.924167372916806,0.0,0.00094041874642721,0.0153689721495704,0.0,0.0,0.0,1.87084170730192e+17,2.29965374735467e+20,4.85170429112422e+18,4.88650344787096e+15,16.6884345358591,16.6874941171127,0.0,0.0,0.0,0.0,0.00094041874642721,0.0180157880760859,0.0,3328847.50001059,0.00222899538967175
5.85615634918213e-06,3298.99999482135,3299.99999999488,273.279428366914,204005.283084191,396.765903224096,0.924167372916057,0.0,0.00094041874642721,0.0153689641181291,0.0,0.0,0.0,1.87084170734252e+17,2.29965374735447e+20,4.85170429113439e+18,4.88650344787096e+15,16.6884345358941,16.6874941171477,0.0,0.0,0.0,0.0,0.00094041874642721,0.0180157880760859,0.0,3328847.5000152,0.00222899538967476
7.62939453125e-06,3298.99999325207,3299.99999999332,273.279999603167,204005.282186635,396.765903224096,0.924167372915308,0.0,0.000940418746323892,0.0153689560867047,0.0,0.0,0.0,1.87084170738311e+17,2.29965374735427e+20,4.85170429114456e+18,4.88650344733411e+15,16.688434535929,16.6874941171827,0.0,0.0,0.0,0.0,0.000940418746323892,0.0180157880760858,0.0,3328847.50001981,0.00222899538967777
2.53915786743164e-05,3298.99997755921,3299.9999999778,273.285711981447,204005.273211075,396.765903224096,0.924167372907817,0.0,0.000940418746220574,0.0153688757733929,0.0,0.0,0.0,1.87084170778905e+17,2.29965374735224e+20,4.85170429124624e+18,4.88650344679726e+15,16.6884345362786,16.6874941175324,0.0,0.0,0.0,0.0,0.000940418746220574,0.0180157880760857,0.0,3328847.50006587,0.00222899538970787
4.31537628173828e-05,3298.99996186634,3299.99999996227,273.291424389247,204005.264235515,396.765903224096,0.924167372900327,0.0,0.000940418746117256,0.0153687954617645,0.0,0.0,0.0,1.870841708195e+17,2.29965374735021e+20,4.85170429134793e+18,4.88650344626041e+15,16.6884345366283,16.6874941178822,0.0,0.0,0.0,0.0,0.000940418746117256,0.0180157880760856,0.0,3328847.50011194,0.00222899538973796
6.09159469604492e-05,3298.99994617348,3299.99999994674,273.297136826235,204005.255259956,396.765903224096,0.924167372892835,0.0,0.000940418746013937,0.015368715151824,0.0,0.0,0.0,1.87084170860097e+17,2.29965374734819e+20,4.85170429144962e+18,4.88650344572356e+15,16.688434536978,16.6874941182319,0.0,0.0,0.0,0.0,0.000940418746013937,0.0180157880760855,0.0,3328847.500158,0.00222899538976806
7.86781311035156e-05,3298.99993048062,3299.99999993121,273.302849292577,204005.246284398,396.765903224096,0.924167372885344,0.0,0.000940418746013937,0.0153686348435692,0.0,0.0,0.0,1.87084170900694e+17,2.29965374734616e+20,4.85170429155132e+18,4.88650344572356e+15,16.6884345373277,16.6874941185817,0.0,0.0,0.0,0.0,0.000940418746013937,0.0180157880760855,0.0,3328847.50020407,0.00222899538979816
0.000256314873695374,3298.99977355209,3299.99999977591,273.359975568523,204005.156528849,396.765903224096,0.924167372810422,0.0,0.000940418745703983,0.0153678318537418,0.0,0.0,0.0,1.87084171306711e+17,2.2996537473259e+20,4.85170429256837e+18,4.886503444113e+15,16.6884345408256,16.6874941220799,0.0,0.0,0.0,0.0,0.000940418745703983,0.0180157880760851,0.0,3328847.50066478,0.00222899539009917
0.000433951616287231,3298.99961662366,3299.99999962058,273.417104776126,204005.066773364,396.765903224096,0.924167372735485,0.0,0.000940418745497347,0.0153670290324539,0.0,0.0,0.0,1.87084171712814e+17,2.29965374730563e+20,4.85170429358564e+18,4.8865034430393e+15,16.6884345443243,16.6874941255788,0.0,0.0,0.0,0.0,0.000940418745497347,0.0180157880760847,0.0,3328847.5011256,0.00222899539040024
0.000611588358879089,3298.99945969535,3299.99999946522,273.474236914899,204004.977017942,396.765903224096,0.924167372660532,0.0,0.000940418744980756,0.0153662263796462,0.0,0.0,0.0,1.87084172119001e+17,2.29965374728536e+20,4.85170429460313e+18,4.88650344035505e+15,16.6884345478234,16.6874941290785,0.0,0.0,0.0,0.0,0.000940418744980756,0.0180157880760841,0.0,3328847.50158651,0.00222899539070138
0.000789225101470947,3298.99930276715,3299.99999930982,273.531371984523,204004.887262584,396.765903224096,0.924167372585563,0.0,0.000940418744567483,0.0153654238952567,0.0,0.0,0.0,1.87084172525273e+17,2.29965374726509e+20,4.85170429562083e+18,4.88650343820764e+15,16.6884345513234,16.6874941325789,0.0,0.0,0.0,0.0,0.000940418744567483,0.0180157880760836,0.0,3328847.50204751,0.00222899539100258
0.00256558507680893,3298.99773349142,3299.99999775406,274.102883809836,204003.989712516,396.765903224096,0.924167371835012,0.0,0.000940418740538075,0.0153574083007625,0.0,0.0,0.0,1.87084176592675e+17,2.29965374706221e+20,4.85170430580974e+18,4.88650341727046e+15,16.6884345863643,16.6874941676237,0.0,0.0,0.0,0.0,0.000940418740538075,0.0180157880760786,0.0,3328847.50666287,0.00222899539401804
0.00434194505214691,3298.99616422703,3299.99999619505,274.674688371711,204003.092168825,396.765903224096,0.924167371082893,0.0,0.000940418736198712,0.0153494094803328,0.0,0.0,0.0,1.87084180668584e+17,2.29965374685903e+20,4.85170431602029e+18,4.88650339472273e+15,16.6884346214793,16.6874942027431,0.0,0.0,0.0,0.0,0.000940418736198712,0.0180157880760733,0.0,3328847.51128787,0.0022289953970398
0.00611830502748489,3298.99459497397,3299.99999463279,275.246785350101,204002.194631513,396.765903224096,0.924167370329206,0.0,0.000940418732272622,0.0153414273727314,0.0,0.0,0.0,1.87084184753005e+17,2.29965374665554e+20,4.85170432625249e+18,4.8865033743224e+15,16.6884346566691,16.6874942379368,0.0,0.0,0.0,0.0,0.000940418732272622,0.0180157880760683,0.0,3328847.51592252,0.00222899540006786
0.00789466500282288,3298.99302573227,3299.99999306728,275.819174425616,204001.297100582,396.765903224096,0.924167369573949,0.0,0.000940418728139896,0.015333461917043,0.0,0.0,0.0,1.87084188845941e+17,2.29965374645175e+20,4.85170433650635e+18,4.88650335284837e+15,16.6884346919332,16.6874942732051,0.0,0.0,0.0,0.0,0.000940418728139896,0.0180157880760632,0.0,3328847.52056682,0.00222899540310223
0.0149423480033875,3298.98679988648,3299.99998682402,278.092997014043,203997.73621459,396.765903224096,0.924167366561991,0.0,0.000940418711918945,0.0153020219255022,0.0,0.0,0.0,1.87084205168637e+17,2.29965374564025e+20,4.85170437740206e+18,4.8865032685628e+15,16.6884348325783,16.6874944138664,0.0,0.0,0.0,0.0,0.000940418711918945,0.018015788076043,0.0,3328847.53908825,0.00222899541520327
0.021990031003952,3298.98057421943,3299.99998052942,280.371392746504,203994.175429127,396.765903224096,0.924167363525264,0.0,0.00094041869538804,0.0152708393677756,0.0,0.0,0.0,1.87084221625713e+17,2.29965374482399e+20,4.85170441863952e+18,4.88650318266667e+15,16.6884349743985,16.6874945557031,0.0,0.0,0.0,0.0,0.00094041869538804,0.0180157880760224,0.0,3328847.55776198,0.00222899542740382
0.0290377140045166,3298.97434873124,3299.99997418338,282.654342057113,203990.614744268,396.765903224096,0.92416736046372,0.0,0.000940418678960453,0.0152399105834654,0.0,0.0,0.0,1.8708423821744e+17,2.29965374400295e+20,4.85170446021941e+18,4.8865030973074e+15,16.6884351173966,16.6874946987176,0.0,0.0,0.0,0.0,0.000940418678960453,0.0180157880760019,0.0,3328847.57658833,0.00222899543970408
0.0360853970050812,3298.96812342205,3299.99996778579,284.941825575472,203987.054160088,396.765903224096,0.924167357377309,0.0,0.000940418662119593,0.0152092319860739,0.0,0.0,0.0,1.87084254944086e+17,2.29965374317714e+20,4.85170450214242e+18,4.88650300980072e+15,16.6884352615744,16.6874948429123,0.0,0.0,0.0,0.0,0.000940418662119593,0.018015788075981,0.0,3328847.59556759,0.00222899545210425
0.0431330800056458,3298.96189829199,3299.99996133655,287.233824124184,203983.493676662,396.765903224096,0.924167354265981,0.0,0.000940418645072097,0.015178800061067,0.0,0.0,0.0,1.87084271805917e+17,2.29965374234653e+20,4.85170454440922e+18,4.88650292122034e+15,16.6884354069345,16.6874949882895,0.0,0.0,0.0,0.0,0.000940418645072097,0.0180157880759598,0.0,3328847.61470007,0.00222899546460452
0.0766362324357033,3298.93230784272,3299.99992996885,298.190651419524,203966.569299343,396.765903224096,0.924167339133145,0.0,0.000940418563140797,0.0150374027770827,0.0,0.0,0.0,1.87084353820358e+17,2.29965373833222e+20,4.85170475005887e+18,4.88650249549768e+15,16.688436114187,16.6874956956239,0.0,0.0,0.0,0.0,0.000940418563140797,0.0180157880758578,0.0,3328847.70775639,0.00222899552540319
0.110139384865761,3298.90272145897,3299.99989742093,309.247105921855,203949.647208386,396.765903224096,0.924167323430933,0.0,0.000940418477903317,0.0149011549404486,0.0,0.0,0.0,1.87084438924e+17,2.29965373420846e+20,4.85170496356474e+18,4.88650205259578e+15,16.6884368484577,16.6874964299798,0.0,0.0,0.0,0.0,0.000940418477903317,0.0180157880757517,0.0,3328847.80431399,0.00222899558848943
0.143642537295818,3298.87313915478,3299.99986368222,320.401292208427,203932.727411472,396.765903224096,0.924167307154243,0.0,0.000940418389359655,0.0147697376082494,0.0,0.0,0.0,1.87084527144523e+17,2.29965372997426e+20,4.85170518499717e+18,4.88650159251466e+15,16.6884376099886,16.6874971915993,0.0,0.0,0.0,0.0,0.000940418389359655,0.0180157880756415,0.0,3328847.9044042,0.00222899565388374
0.177145689725876,3298.84356094389,3299.99982874233,331.651397087888,203915.809916134,396.765903224096,0.924167290298064,0.0,0.000940418297716449,0.0146428593279261,0.0,0.0,0.0,1.87084618509105e+17,2.29965372562866e+20,4.85170541442529e+18,4.88650111632802e+15,16.6884383990177,16.68749798072,0.0,0.0,0.0,0.0,0.000940418297716449,0.0180157880755274,0.0,3328848.00805784,0.00222899572160623
0.210648842155933,3298.81398683981,3299.99979259107,342.995683971135,203898.894729769,396.765903224096,0.924167272857481,0.0,0.000940418202870379,0.0145202531345434,0.0,0.0,0.0,1.87084713044427e+17,2.29965372117073e+20,4.85170565191698e+18,4.88650062349901e+15,16.6884392157783,16.6874987975755,0.0,0.0,0.0,0.0,0.000940418202870379,0.0180157880754094,0.0,3328848.11530516,0.00222899579167668
0.244151994585991,3298.78441685579,3299.99975521844,354.432487760252,203881.981859634,396.765903224096,0.924167254827664,0.0,0.000940418105028083,0.0144016739418145,0.0,0.0,0.0,1.87084810776692e+17,2.29965371659952e+20,4.85170589753887e+18,4.88650011510132e+15,16.6884400604999,16.6874996423949,0.0,0.0,0.0,0.0,0.000940418105028083,0.0180157880752875,0.0,3328848.22617585,0.00222899586411447
0.342082224786282,3298.69800708051,3299.99963888301,388.378131015634,203832.558626126,396.765903224096,0.924167198703537,0.0,0.000940417799619607,0.0140761107125035,0.0,0.0,0.0,1.87085115019728e+17,2.29965370257984e+20,4.85170666272148e+18,4.88649852817042e+15,16.6884426920491,16.6875022742495,0.0,0.0,0.0,0.0,0.000940417799619607,0.0180157880749073,0.0,3328848.57129978,0.00222899608960253
0.440012454986572,3298.61163293133,3299.99951179123,423.063895737071,203783.155414863,396.765903224096,0.924167137390185,0.0,0.000940417465695319,0.0137782762138621,0.0,0.0,0.0,1.87085447417378e+17,2.29965368756261e+20,4.8517074995046e+18,4.8864967930687e+15,16.6884455698406,16.6875051523749,0.0,0.0,0.0,0.0,0.000940417465695319,0.0180157880744916,0.0,3328848.94833376,0.00222899633593923
0.537942685186863,3298.5252947073,3299.99937371651,458.456585127017,203733.772389635,396.765903224096,0.924167070778292,0.0,0.000940417102738629,0.013504292531756,0.0,0.0,0.0,1.87085808562762e+17,2.29965367152681e+20,4.85170840939657e+18,4.88649490711191e+15,16.6884486990618,16.687508281959,0.0,0.0,0.0,0.0,0.000940417102738629,0.0180157880740397,0.0,3328849.35794999,0.00222899660356376
0.635872915387154,3298.43899269403,3299.9992244421,494.526225952875,203684.409706878,396.765903224096,0.924166998763293,0.0,0.000940416709922991,0.0132510127835353,0.0,0.0,0.0,1.87086199023218e+17,2.29965365445235e+20,4.85170939384024e+18,4.88649286600525e+15,16.6884520846746,16.6875116679646,0.0,0.0,0.0,0.0,0.000940416709922991,0.0180157880735506,0.0,3328849.80079143,0.00222899689289626
0.733803145587444,3298.35272716499,3299.99906376016,531.24558786699,203635.067516383,396.765903224096,0.924166921244915,0.0,0.000940416286938451,0.0130158515338811,0.0,0.0,0.0,1.87086619342814e+17,2.29965363631994e+20,4.8517104542193e+18,4.88649066813816e+15,16.6884557314379,16.6875153151509,0.0,0.0,0.0,0.0,0.000940416286938451,0.0180157880730239,0.0,3328850.27747474,0.0022289972043396
