t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
0.0000000000E+00,0.3385000000E+04,0.3385000000E+04,0.4552724036E+05,0.4573541159E+05,0.2081712296E+03,0.1000000000E+01,NaN,NaN,NaN,NaN,NaN,NaN,0.0000000000E+00,0.4552452752E+21,0.1142139149E+20,0.9137113195E+20,0.1967086666E+02,0.1967086666E+02,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
0.7097678200E+02,0.3375000000E+04,0.3375000000E+04,0.4503273866E+05,0.4524090989E+05,0.2081712296E+03,0.9993725547E+00,NaN,NaN,NaN,NaN,NaN,NaN,0.3319809054E+16,0.4552340608E+21,0.1142895777E+20,0.9143166216E+20,0.1968478101E+02,0.1968478101E+02,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
0.1064651730E+03,0.3370048918E+04,0.3370048918E+04,0.4477207275E+05,0.4498024399E+05,0.2081712414E+03,0.9987531904E+00,NaN,NaN,NaN,NaN,NaN,NaN,0.6599155890E+16,0.4552230757E+21,0.1143643951E+20,0.9149151612E+20,0.1969853990E+02,0.1969853990E+02,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
0.1785207429E+03,0.3360048918E+04,0.3360048918E+04,0.4423607389E+05,0.4444424514E+05,0.2081712474E+03,0.9973130204E+00,NaN,NaN,NaN,NaN,NaN,NaN,0.1422966286E+17,0.4551976296E+21,0.1145388053E+20,0.9163104427E+20,0.1973061385E+02,0.1973061385E+02,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
0.2513835863E+03,0.3350048918E+04,0.3350048918E+04,0.4368357357E+05,0.4389174483E+05,0.2081712594E+03,0.9955368903E+00,NaN,NaN,NaN,NaN,NaN,NaN,0.2365329231E+17,0.4551662420E+21,0.1147546630E+20,0.9180373040E+20,0.1977030997E+02,0.1977030997E+02,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
0.3251242970E+03,0.3340048918E+04,0.3340048918E+04,0.4312079232E+05,0.4332896359E+05,0.2081712715E+03,0.9935393437E+00,NaN,NaN,NaN,NaN,NaN,NaN,0.3425750627E+17,0.4551309066E+21,0.1149981350E+20,0.9199850798E+20,0.1981508435E+02,0.1981508435E+02,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
0.3997888774E+03,0.3330048918E+04,0.3330048918E+04,0.4255223670E+05,0.4276040798E+05,0.2081712838E+03,0.9914041912E+00,NaN,NaN,NaN,NaN,NaN,NaN,0.4558973114E+17,0.4550931029E+21,0.1152589713E+20,0.9220717705E+20,0.1986305203E+02,0.1986305203E+02,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
0.4754146312E+03,0.3320048918E+04,0.3320048918E+04,0.4197909688E+05,0.4218726817E+05,0.2081712963E+03,0.9891518487E+00,NaN,NaN,NaN,NaN,NaN,NaN,0.5754405718E+17,0.4550531680E+21,0.1155348492E+20,0.9242787940E+20,0.1991378585E+02,0.1991378585E+02,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
0.5520407679E+03,0.3310048918E+04,0.3310048918E+04,0.4140197163E+05,0.4161014294E+05,0.2081713089E+03,0.9867914673E+00,NaN,NaN,NaN,NaN,NaN,NaN,0.7007599918E+17,0.4550112387E+21,0.1158248529E+20,0.9265988229E+20,0.1996711738E+02,0.1996711738E+02,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
0.6297028940E+03,0.3300048918E+04,0.3300048918E+04,0.4083565403E+05,0.4104382535E+05,0.2081713217E+03,0.9843302174E+00,NaN,NaN,NaN,NaN,NaN,NaN,0.8315144044E+17,0.4549664380E+21,0.1161380725E+20,0.9291045797E+20,0.2002287779E+02,0.2002287779E+02,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
0.7084093708E+03,0.3290048918E+04,0.3290048918E+04,0.4028142392E+05,0.4048959525E+05,0.2081713346E+03,0.9817741730E+00,NaN,NaN,NaN,NaN,NaN,NaN,0.9674195700E+17,0.4549187485E+21,0.1164749700E+20,0.9317997602E+20,0.2008096089E+02,0.2008096089E+02,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
0.7881624158E+03,0.3280048918E+04,0.3280048918E+04,0.3972477109E+05,0.3993294244E+05,0.2081713477E+03,0.9791279815E+00,NaN,NaN,NaN,NaN,NaN,NaN,0.1108266166E+18,0.4548692278E+21,0.1168251935E+20,0.9346015483E+20,0.2014134146E+02,0.2014134146E+02,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
