t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
0.0000000000E+00,0.3385000000E+04,0.3385000000E+04,0.1183128810E+06,0.1185210522E+06,0.2081712296E+03,0.1000000000E+01,NaN,NaN,NaN,NaN,NaN,NaN,0.0000000000E+00,0.1517851255E+21,0.3770430063E+19,0.3016344051E+20,0.6500440277E+01,0.6500440277E+01,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
0.2731213193E+02,0.3375000000E+04,0.3375000000E+04,0.1169943038E+06,0.1172024750E+06,0.2081712296E+03,0.9993725547E+00,NaN,NaN,NaN,NaN,NaN,NaN,0.1106870650E+16,0.1517812335E+21,0.3773069465E+19,0.3018455572E+20,0.6504990759E+01,0.6504990759E+01,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
0.4096819790E+02,0.3370050336E+04,0.3370050336E+04,0.1163093010E+06,0.1165174722E+06,0.2081712342E+03,0.9987533677E+00,NaN,NaN,NaN,NaN,NaN,NaN,0.2199936524E+16,0.1517774632E+21,0.3775679653E+19,0.3020543723E+20,0.6509490875E+01,0.6509490875E+01,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
0.6870525503E+02,0.3360050336E+04,0.3360050336E+04,0.1149054373E+06,0.1151136085E+06,0.2081712364E+03,0.9973132519E+00,NaN,NaN,NaN,NaN,NaN,NaN,0.4743953424E+16,0.1517686901E+21,0.3781764852E+19,0.3025411882E+20,0.6519982111E+01,0.6519982111E+01,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
0.9675585484E+02,0.3350050336E+04,0.3350050336E+04,0.1134672533E+06,0.1136754246E+06,0.2081712411E+03,0.9955371627E+00,NaN,NaN,NaN,NaN,NaN,NaN,0.7885838474E+16,0.1517578709E+21,0.3789296081E+19,0.3031436865E+20,0.6532966386E+01,0.6532966386E+01,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
0.1251451733E+03,0.3340050336E+04,0.3340050336E+04,0.1120073061E+06,0.1122154774E+06,0.2081712457E+03,0.9935396377E+00,NaN,NaN,NaN,NaN,NaN,NaN,0.1142137209E+17,0.1517456936E+21,0.3797790590E+19,0.3038232472E+20,0.6547611413E+01,0.6547611413E+01,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
0.1538896920E+03,0.3330050336E+04,0.3330050336E+04,0.1105346956E+06,0.1107428668E+06,0.2081712505E+03,0.9914045026E+00,NaN,NaN,NaN,NaN,NaN,NaN,0.1519963097E+17,0.1517326662E+21,0.3806890542E+19,0.3045512434E+20,0.6563300259E+01,0.6563300259E+01,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
0.1830031315E+03,0.3320050336E+04,0.3320050336E+04,0.1090518188E+06,0.1092599901E+06,0.2081712553E+03,0.9891521760E+00,NaN,NaN,NaN,NaN,NaN,NaN,0.1918529654E+17,0.1517189048E+21,0.3816514802E+19,0.3053211841E+20,0.6579893041E+01,0.6579893041E+01,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
0.2125000829E+03,0.3310050336E+04,0.3310050336E+04,0.1075598777E+06,0.1077680490E+06,0.2081712601E+03,0.9867918093E+00,NaN,NaN,NaN,NaN,NaN,NaN,0.2336353464E+17,0.1517044571E+21,0.3826631348E+19,0.3061305078E+20,0.6597334553E+01,0.6597334553E+01,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
0.2423938072E+03,0.3300050336E+04,0.3300050336E+04,0.1060598547E+06,0.1062680259E+06,0.2081712650E+03,0.9843305732E+00,NaN,NaN,NaN,NaN,NaN,NaN,0.2772296834E+17,0.1516893574E+21,0.3837216343E+19,0.3069773075E+20,0.6615583700E+01,0.6615583700E+01,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
