t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
0.0000000000E+00,0.3385000000E+04,0.3385000000E+04,0.2722746919E+05,0.2743564042E+05,0.2081712296E+03,0.1000000000E+01,NaN,NaN,NaN,NaN,NaN,NaN,0.0000000000E+00,0.8127452069E+21,0.2058812643E+20,0.1647050114E+21,0.3549512496E+02,0.3549512496E+02,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
0.1186807702E+03,0.3375000000E+04,0.3375000000E+04,0.2694481788E+05,0.2715298911E+05,0.2081712296E+03,0.9993725547E+00,NaN,NaN,NaN,NaN,NaN,NaN,0.5926824601E+16,0.8127240282E+21,0.2060281845E+20,0.1648225476E+21,0.3552045487E+02,0.3552045487E+02,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
0.1780211553E+03,0.3370046513E+04,0.3370046513E+04,0.2679691664E+05,0.2700508789E+05,0.2081712494E+03,0.9987528895E+00,NaN,NaN,NaN,NaN,NaN,NaN,0.1178424839E+17,0.8127032714E+21,0.2061735383E+20,0.1649388307E+21,0.3554551470E+02,0.3554551470E+02,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
0.2984109896E+03,0.3360046513E+04,0.3360046513E+04,0.2649351683E+05,0.2670168809E+05,0.2081712593E+03,0.9973126276E+00,NaN,NaN,NaN,NaN,NaN,NaN,0.2540775797E+17,0.8126551530E+21,0.2065122326E+20,0.1652097861E+21,0.3560390757E+02,0.3560390757E+02,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
0.4200696434E+03,0.3350046513E+04,0.3350046513E+04,0.2618179511E+05,0.2638996639E+05,0.2081712794E+03,0.9955364280E+00,NaN,NaN,NaN,NaN,NaN,NaN,0.4223223787E+17,0.8125957786E+21,0.2069314158E+20,0.1655451327E+21,0.3567617718E+02,0.3567617718E+02,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
0.5431038877E+03,0.3340046513E+04,0.3340046513E+04,0.2586482297E+05,0.2607299427E+05,0.2081712996E+03,0.9935388447E+00,NaN,NaN,NaN,NaN,NaN,NaN,0.6116399653E+17,0.8125289256E+21,0.2074042313E+20,0.1659233850E+21,0.3575769331E+02,0.3575769331E+02,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
0.6675816565E+03,0.3330046513E+04,0.3330046513E+04,0.2554482632E+05,0.2575299764E+05,0.2081713202E+03,0.9914036628E+00,NaN,NaN,NaN,NaN,NaN,NaN,0.8139529043E+17,0.8124573924E+21,0.2079107854E+20,0.1663286283E+21,0.3584502618E+02,0.3584502618E+02,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
0.7935580325E+03,0.3320046513E+04,0.3320046513E+04,0.2522238978E+05,0.2543056112E+05,0.2081713409E+03,0.9891512934E+00,NaN,NaN,NaN,NaN,NaN,NaN,0.1027370715E+18,0.8123818181E+21,0.2084465730E+20,0.1667572584E+21,0.3593739908E+02,0.3593739908E+02,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
0.9210913760E+03,0.3310046513E+04,0.3310046513E+04,0.2489780546E+05,0.2510597682E+05,0.2081713619E+03,0.9867908869E+00,NaN,NaN,NaN,NaN,NaN,NaN,0.1251099102E+18,0.8123024584E+21,0.2090098186E+20,0.1672078549E+21,0.3603450588E+02,0.3603450588E+02,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
0.1050233875E+04,0.3300046513E+04,0.3300046513E+04,0.2457131165E+05,0.2477948304E+05,0.2081713832E+03,0.9843296135E+00,NaN,NaN,NaN,NaN,NaN,NaN,0.1484528865E+18,0.8122195059E+21,0.2095992044E+20,0.1676793635E+21,0.3613611941E+02,0.3613611941E+02,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
