t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
0.0000000000E+00,0.3385000000E+04,0.3385000000E+04,0.3754244784E+05,0.4573541159E+05,0.8192963754E+04,0.1000000000E+01,NaN,NaN,NaN,NaN,NaN,NaN,0.0000000000E+00,0.4552452752E+21,0.1142139149E+20,0.9137113195E+20,0.1967086666E+02,0.1967086666E+02,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
0.8607262447E+02,0.3375000000E+04,0.3375000000E+04,0.3704976153E+05,0.4524272528E+05,0.8192963754E+04,0.9993725547E+00,NaN,NaN,NaN,NaN,NaN,NaN,0.3319809054E+16,0.4552159212E+21,0.1142852550E+20,0.9142820402E+20,0.1968398607E+02,0.1968398607E+02,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
0.1291089367E+03,0.3370060238E+04,0.3370060238E+04,0.3679058412E+05,0.4498353731E+05,0.8192953194E+04,0.9987546065E+00,NaN,NaN,NaN,NaN,NaN,NaN,0.6591527842E+16,0.4551960022E+21,0.1143577616E+20,0.9148620930E+20,0.1969732000E+02,0.1969732000E+02,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
0.2167966129E+03,0.3360060238E+04,0.3360060238E+04,0.3625639401E+05,0.4444934193E+05,0.8192947914E+04,0.9973148690E+00,NaN,NaN,NaN,NaN,NaN,NaN,0.1421927677E+17,0.4551521608E+21,0.1145277116E+20,0.9162216931E+20,0.1972857372E+02,0.1972857372E+02,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
0.3056959024E+03,0.3350060238E+04,0.3350060238E+04,0.3570568619E+05,0.4389862334E+05,0.8192937155E+04,0.9955390660E+00,NaN,NaN,NaN,NaN,NaN,NaN,0.2364021430E+17,0.4551021235E+21,0.1147390399E+20,0.9179123189E+20,0.1976743688E+02,0.1976743688E+02,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
0.3959128659E+03,0.3340060238E+04,0.3340060238E+04,0.3514467454E+05,0.4333760079E+05,0.8192926248E+04,0.9935416921E+00,NaN,NaN,NaN,NaN,NaN,NaN,0.3424201986E+17,0.4550478615E+21,0.1149779115E+20,0.9198232921E+20,0.1981136527E+02,0.1981136527E+02,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
0.4875226715E+03,0.3330060238E+04,0.3330060238E+04,0.3457787250E+05,0.4277078768E+05,0.8192915180E+04,0.9914066781E+00,NaN,NaN,NaN,NaN,NaN,NaN,0.4557144369E+17,0.4549908391E+21,0.1152340558E+20,0.9218724464E+20,0.1985847008E+02,0.1985847008E+02,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
0.5805892847E+03,0.3320060238E+04,0.3320060238E+04,0.3400647140E+05,0.4219937534E+05,0.8192903941E+04,0.9891544624E+00,NaN,NaN,NaN,NaN,NaN,NaN,0.5752240709E+17,0.4549313820E+21,0.1155051420E+20,0.9240411363E+20,0.1990832271E+02,0.1990832271E+02,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
0.6751799993E+03,0.3310060238E+04,0.3310060238E+04,0.3343107032E+05,0.4162396285E+05,0.8192892523E+04,0.9867941987E+00,NaN,NaN,NaN,NaN,NaN,NaN,0.7005036222E+17,0.4548696125E+21,0.1157902481E+20,0.9263219850E+20,0.1996075358E+02,0.1996075358E+02,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
0.7713589584E+03,0.3300060238E+04,0.3300060238E+04,0.3286269614E+05,0.4105557706E+05,0.8192880917E+04,0.9843330593E+00,NaN,NaN,NaN,NaN,NaN,NaN,0.8312113417E+17,0.4548048991E+21,0.1160958846E+20,0.9287670766E+20,0.2001560436E+02,0.2001560436E+02,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
