t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
0.0000000000E+00,0.3385000000E+04,0.3385000000E+04,0.4446014522E+05,0.4573541159E+05,0.1275266380E+04,0.1000000000E+01,NaN,NaN,NaN,NaN,NaN,NaN,0.0000000000E+00,0.4552452752E+21,0.1142139149E+20,0.9137113195E+20,0.1967086666E+02,0.1967086666E+02,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
0.7268030725E+02,0.3375000000E+04,0.3375000000E+04,0.4396585236E+05,0.4524111874E+05,0.1275266380E+04,0.9993725547E+00,NaN,NaN,NaN,NaN,NaN,NaN,0.3319809054E+16,0.4552319739E+21,0.1142890804E+20,0.9143126433E+20,0.1968468955E+02,0.1968468955E+02,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
0.1090204609E+03,0.3370050199E+04,0.3370050199E+04,0.4370535429E+05,0.4498061929E+05,0.1275264992E+04,0.9987533507E+00,NaN,NaN,NaN,NaN,NaN,NaN,0.6598292250E+16,0.4552199857E+21,0.1143636382E+20,0.9149091056E+20,0.1969840070E+02,0.1969840070E+02,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
0.1828347035E+03,0.3360050199E+04,0.3360050199E+04,0.4316956123E+05,0.4444482553E+05,0.1275264298E+04,0.9973132296E+00,NaN,NaN,NaN,NaN,NaN,NaN,0.1422848661E+17,0.4551924472E+21,0.1145375411E+20,0.9163003288E+20,0.1973038136E+02,0.1973038136E+02,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
0.2574976421E+03,0.3350050199E+04,0.3350050199E+04,0.4261726457E+05,0.4389252746E+05,0.1275262888E+04,0.9955371366E+00,NaN,NaN,NaN,NaN,NaN,NaN,0.2365181062E+17,0.4551589423E+21,0.1147528845E+20,0.9180230761E+20,0.1976998291E+02,0.1976998291E+02,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
0.3330833910E+03,0.3340050199E+04,0.3340050199E+04,0.4205468383E+05,0.4332994529E+05,0.1275261462E+04,0.9935396095E+00,NaN,NaN,NaN,NaN,NaN,NaN,0.3425575097E+17,0.4551214637E+21,0.1149958355E+20,0.9199666843E+20,0.1981466149E+02,0.1981466149E+02,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
0.4096407607E+03,0.3330050199E+04,0.3330050199E+04,0.4148632624E+05,0.4276158626E+05,0.1275260019E+04,0.9914044727E+00,NaN,NaN,NaN,NaN,NaN,NaN,0.4558765772E+17,0.4550814906E+21,0.1152561422E+20,0.9220491375E+20,0.1986253176E+02,0.1986253176E+02,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
0.4872095726E+03,0.3320050199E+04,0.3320050199E+04,0.4091338234E+05,0.4218864090E+05,0.1275258557E+04,0.9891521446E+00,NaN,NaN,NaN,NaN,NaN,NaN,0.5754160216E+17,0.4550393565E+21,0.1155314803E+20,0.9242518423E+20,0.1991316630E+02,0.1991316630E+02,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
0.5658316733E+03,0.3310050199E+04,0.3310050199E+04,0.4033645091E+05,0.4161170799E+05,0.1275257075E+04,0.9867917765E+00,NaN,NaN,NaN,NaN,NaN,NaN,0.7007309214E+17,0.4549951973E+21,0.1158209333E+20,0.9265674667E+20,0.1996639658E+02,0.1996639658E+02,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
0.6455453100E+03,0.3300050199E+04,0.3300050199E+04,0.3976989887E+05,0.4104515444E+05,0.1275255574E+04,0.9843305391E+00,NaN,NaN,NaN,NaN,NaN,NaN,0.8314800456E+17,0.4549481660E+21,0.1161333004E+20,0.9290664035E+20,0.2002205507E+02,0.2002205507E+02,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
0.7263609669E+03,0.3290050199E+04,0.3290050199E+04,0.3921581102E+05,0.4049106507E+05,0.1275254052E+04,0.9817745065E+00,NaN,NaN,NaN,NaN,NaN,NaN,0.9673791089E+17,0.4548981903E+21,0.1164695884E+20,0.9317567074E+20,0.2008003307E+02,0.2008003307E+02,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
0.8082811468E+03,0.3280050199E+04,0.3280050199E+04,0.3865929873E+05,0.3993455124E+05,0.1275252508E+04,0.9791283262E+00,NaN,NaN,NaN,NaN,NaN,NaN,0.1108218714E+18,0.4548463518E+21,0.1168191898E+20,0.9345535187E+20,0.2014030638E+02,0.2014030638E+02,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
0.8913440883E+03,0.3270050199E+04,0.3270050199E+04,0.3810057589E+05,0.3937582683E+05,0.1275250944E+04,0.9763954788E+00,NaN,NaN,NaN,NaN,NaN,NaN,0.1253851411E+18,0.4547926881E+21,0.1171818530E+20,0.9374548244E+20,0.2020283163E+02,0.2020283163E+02,NaN,NaN,NaN,NaN,NaN,0.1800000000E-01,NaN,0.3507955000E+07,NaN
