# T Ptot H He C N O Na K Si Ar Ti V S Cl Mg Al Ca Fe Cr Li Cs Rb F P
1.500000000000000000e+03 4.870509742512255968e+01 1.410735694360310986e-03 0.000000000000000000e+00 3.121958106319072668e-01 0.000000000000000000e+00 6.863934536538721654e-01 1.865160201258358418e-11 7.662709715729387031e-13 5.373757670812217896e-15 0.000000000000000000e+00 7.685982355790535635e-17 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.105005915794048459e-16 1.594208474597536342e-20 9.114793140091280342e-22 4.367471434734353116e-13 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.525000000000000000e+03 4.870513214267475632e+01 1.410735677345079965e-03 0.000000000000000000e+00 3.121958086111980002e-01 0.000000000000000000e+00 6.863934556771468243e-01 3.213128641277942594e-11 1.346131634134590411e-12 1.149108173489041167e-14 0.000000000000000000e+00 1.601003028761356076e-16 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.635692131902212003e-16 4.078928142522598432e-20 2.478486205928306405e-21 8.205826761236731154e-13 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.550000000000000000e+03 4.870517842606188452e+01 1.410735692756765131e-03 0.000000000000000000e+00 3.121958107718323383e-01 0.000000000000000000e+00 6.863934534771889417e-01 5.436745668800326787e-11 2.320931058205044499e-12 2.396261144443994546e-14 0.000000000000000000e+00 3.251513678405274572e-16 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.105578417462822557e-16 1.011636779926363915e-19 6.496400344616226844e-21 1.508707106515987121e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.575000000000000000e+03 4.870523918647378281e+01 1.410735699834177138e-03 0.000000000000000000e+00 3.121958097189853065e-01 0.000000000000000000e+00 6.863934544840498697e-01 9.043152077876968946e-11 3.930934608231502399e-12 4.878974804794173489e-14 0.000000000000000000e+00 6.446371684580285529e-16 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.375539483616677338e-15 2.435819563425757792e-19 1.644702746406512382e-20 2.717293977589931880e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.600000000000000000e+03 4.870531953353464871e+01 1.410735694980042249e-03 0.000000000000000000e+00 3.121958131638270517e-01 0.000000000000000000e+00 6.863934509817616325e-01 1.479852936727154006e-10 6.545657199168497489e-12 9.710523116695285216e-14 0.000000000000000000e+00 1.249059687647086749e-15 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.017917049877690349e-15 5.702053150195784595e-19 4.029475593990813477e-20 4.798962352334677823e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.625000000000000000e+03 4.870542552823231119e+01 1.410735690603683382e-03 0.000000000000000000e+00 3.121958082301766191e-01 0.000000000000000000e+00 6.863934558215482040e-01 2.384305294929828035e-10 1.072450033988420916e-11 1.891232897959804829e-13 0.000000000000000000e+00 2.367879639897340598e-15 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.456066642583924761e-15 1.299479705098686280e-18 9.570093144873225443e-20 8.318412733626224596e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.650000000000000000e+03 4.870556183692667673e+01 1.410735702330900886e-03 0.000000000000000000e+00 3.121958096448458342e-01 0.000000000000000000e+00 6.863934542424864338e-01 3.784921580462476890e-10 1.730171161213747993e-11 3.608087966193005362e-13 0.000000000000000000e+00 4.396289766250309366e-15 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.348220850741654966e-14 2.886766528655878231e-18 2.206975043385988404e-19 1.416429003959655999e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.675000000000000000e+03 4.870573868339891987e+01 1.410735686610572201e-03 0.000000000000000000e+00 3.121958096271748029e-01 0.000000000000000000e+00 6.863934540419195374e-01 5.923691069792619878e-10 2.750374211705950850e-11 6.749243550031470079e-13 0.000000000000000000e+00 8.001624841810096529e-15 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.751452224883747387e-14 6.258608422873075894e-18 4.949380287269037282e-19 2.371190833057486808e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.700000000000000000e+03 4.870596611116594232e+01 1.410735715178255793e-03 0.000000000000000000e+00 3.121958099719054358e-01 0.000000000000000000e+00 6.863934533148234873e-01 9.146192347222842377e-10 4.310919991112709190e-11 1.239001986405766275e-12 0.000000000000000000e+00 1.428977898520956192e-14 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.493109936927542973e-14 1.325739850319503458e-17 1.080912526973371505e-18 3.905626119872781451e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.725000000000000000e+03 4.870625622345286843e+01 1.410735714684946407e-03 0.000000000000000000e+00 3.121958089090799970e-01 0.000000000000000000e+00 6.863934538498824844e-01 1.393981285493040192e-09 6.666406382787738812e-11 2.234083665958623291e-12 0.000000000000000000e+00 2.506083825331234323e-14 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.073869342272282096e-13 2.746732282512818778e-17 2.301918830222071677e-18 6.334072050847840440e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
