# T Ptot H He C N O Na K Si Ar Ti V S Cl Mg Al Ca Fe Cr Li Cs Rb F P
1.500000000000000000e+03 5.885513641622161174e+01 4.121651093632570061e-03 0.000000000000000000e+00 2.628489308513785039e-01 0.000000000000000000e+00 7.330294180382000979e-01 1.576175220972354932e-11 6.354156552381056241e-13 4.755938693696306347e-15 0.000000000000000000e+00 6.804731827579763355e-17 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.678078227361389200e-17 1.963599482378424326e-20 8.063570390121838623e-22 3.866284304526181274e-13 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.525000000000000000e+03 5.885517539841819712e+01 4.121651150213481024e-03 0.000000000000000000e+00 2.628489344790588267e-01 0.000000000000000000e+00 7.330294143418617514e-01 2.701678169001564656e-11 1.112176026617648563e-12 1.016887820642015317e-14 0.000000000000000000e+00 1.417437076284034662e-16 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.305861151591019295e-16 5.021479797676467084e-20 2.192388873108167327e-21 7.263970676102831869e-13 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.550000000000000000e+03 5.885522555704643821e+01 4.121651091386624444e-03 0.000000000000000000e+00 2.628489357588739139e-01 0.000000000000000000e+00 7.330294131009784664e-01 4.549261383089096883e-11 1.910805394677270254e-12 2.120257817213609513e-14 0.000000000000000000e+00 2.878705428072400556e-16 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.335190726294216138e-16 1.244660557117229669e-19 5.745763398598822098e-21 1.335494926050354601e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.575000000000000000e+03 5.885528801977038427e+01 4.121651194413573395e-03 0.000000000000000000e+00 2.628489354626218910e-01 0.000000000000000000e+00 7.330294132619720182e-01 7.531716727090876338e-11 3.225323423468996720e-12 4.316299713890113174e-14 0.000000000000000000e+00 5.707251117794668731e-16 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.200470588452291441e-15 2.994817134182649241e-19 1.454450380239462539e-20 2.405230153097081674e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.600000000000000000e+03 5.885536658292710399e+01 4.121651191491430832e-03 0.000000000000000000e+00 2.628489362025278608e-01 0.000000000000000000e+00 7.330294124735923234e-01 1.226980384207590591e-10 5.353112722412196105e-12 8.588899829056384253e-14 0.000000000000000000e+00 1.105846432914545680e-15 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.630338880169299278e-15 7.005010878640215768e-19 3.562775871427631094e-20 4.247630976523398404e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.625000000000000000e+03 5.885546475926801691e+01 4.121651179142963098e-03 0.000000000000000000e+00 2.628489361944617575e-01 0.000000000000000000e+00 7.330294124132832323e-01 1.968318919818629152e-10 8.742908413270777482e-12 1.672369301825530280e-13 0.000000000000000000e+00 2.096386047047548486e-15 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.619130228674560065e-15 1.594952531379872872e-18 8.460105911259170993e-20 7.362334490322773185e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.650000000000000000e+03 5.885558803772514125e+01 4.121651233506363164e-03 0.000000000000000000e+00 2.628489368655644864e-01 0.000000000000000000e+00 7.330294115628458451e-01 3.111513020529894436e-10 1.406181456078607334e-11 3.189579438695202885e-13 0.000000000000000000e+00 3.892224992479879566e-15 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.171735810948585546e-14 3.539433019667673522e-18 1.950594721331046689e-19 1.253548690559358287e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.675000000000000000e+03 5.885574077255013492e+01 4.121651148610985110e-03 0.000000000000000000e+00 2.628489366973799091e-01 0.000000000000000000e+00 7.330294116250989367e-01 4.850115882316376873e-10 2.228759200847144170e-11 5.964218651637286321e-13 0.000000000000000000e+00 7.084183638043174522e-15 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.387642777344461729e-14 7.664450976594657535e-18 4.373407801326286510e-19 2.098356721267461632e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.700000000000000000e+03 5.885593051378432961e+01 4.121651124048945208e-03 0.000000000000000000e+00 2.628489332809345602e-01 0.000000000000000000e+00 7.330294147785247905e-01 7.459439721501776421e-10 3.483405271778263281e-11 1.094412963186402664e-12 0.000000000000000000e+00 1.265135746240382662e-14 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.759220906841131350e-14 1.621341367458683666e-17 9.548779737148081370e-19 3.455925458202346942e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.725000000000000000e+03 5.885616368954330824e+01 4.121651155661654187e-03 0.000000000000000000e+00 2.628489356811274935e-01 0.000000000000000000e+00 7.330294119187333868e-01 1.132628892207542669e-09 5.371929267096841472e-11 1.972346651574432330e-12 0.000000000000000000e+00 2.218744047317820048e-14 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.288618337068952120e-14 3.354061564650378626e-17 2.032933807505709611e-18 5.604170572007443942e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
