# T Ptot H He C N O Na K Si Ar Ti V S Cl Mg Al Ca Fe Cr Li Cs Rb F P
1.500000000000000000e+03 5.597761929566066641e+01 2.984884963942941675e-03 0.000000000000000000e+00 2.875015877313922275e-01 0.000000000000000000e+00 7.095135272875265908e-01 1.608729517910939084e-11 6.528469695505981024e-13 4.837040995348671810e-15 0.000000000000000000e+00 6.920117729354625634e-17 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.870752885132766159e-17 1.785279286010526096e-20 8.201974502022954327e-22 3.931959677467292009e-13 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.525000000000000000e+03 5.597765569027183830e+01 2.984885039571408272e-03 0.000000000000000000e+00 2.875015873865088833e-01 0.000000000000000000e+00 7.095135275444027778e-01 2.762312869632921206e-11 1.144162113281269515e-12 1.034257964661421313e-14 0.000000000000000000e+00 1.441472073980680977e-16 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.352477072353846904e-16 4.566089910051975660e-20 2.230087325300467028e-21 7.387416120494293712e-13 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.550000000000000000e+03 5.597770203132986921e+01 2.984885070021144320e-03 0.000000000000000000e+00 2.875015943989793210e-01 0.000000000000000000e+00 7.095135204810583129e-01 4.659245861906699938e-11 1.968212444945183239e-12 2.156551962065141796e-14 0.000000000000000000e+00 2.927518761383166048e-16 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.444792386066399758e-16 1.131965273198736030e-19 5.844764837466216851e-21 1.358202674941267286e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.575000000000000000e+03 5.597776305169842459e+01 2.984885039375460413e-03 0.000000000000000000e+00 2.875015894238422409e-01 0.000000000000000000e+00 7.095135254536998337e-01 7.726447974539070671e-11 3.326227854366560867e-12 4.390378535094576482e-14 0.000000000000000000e+00 5.804027191408402755e-16 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.225547280688118696e-15 2.724163424116829866e-19 1.479568958673424900e-20 2.446152952201338564e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.600000000000000000e+03 5.597784033142526994e+01 2.984885032668261814e-03 0.000000000000000000e+00 2.875015897133957887e-01 0.000000000000000000e+00 7.095135251179279789e-01 1.260698669514529683e-10 5.527017882071477387e-12 8.736782256662013188e-14 0.000000000000000000e+00 1.124597924063936024e-15 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.686244299112797778e-15 6.373306923523974556e-19 3.624465317383253910e-20 4.319955246509945854e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.625000000000000000e+03 5.597793852198282138e+01 2.984885051803716320e-03 0.000000000000000000e+00 2.875015871136951118e-01 0.000000000000000000e+00 7.095135276152471082e-01 2.025509967346861239e-10 9.037108185911196287e-12 1.701276880079029628e-13 0.000000000000000000e+00 2.131933785793005997e-15 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.740718393824957979e-15 1.451479241272851699e-18 8.607018925695021814e-20 7.487805207238173909e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.650000000000000000e+03 5.597806351779620115e+01 2.984885013785525294e-03 0.000000000000000000e+00 2.875015903919764804e-01 0.000000000000000000e+00 7.095135242459303937e-01 3.206668790879883431e-10 1.455083845853809380e-11 3.244974397452985354e-13 0.000000000000000000e+00 3.958224208004354558e-15 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.197562682984559456e-14 3.221952408966407913e-18 1.984577659006988981e-19 1.274934497781959084e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.675000000000000000e+03 5.597822104175303082e+01 2.984884991169297393e-03 0.000000000000000000e+00 2.875015885840535024e-01 0.000000000000000000e+00 7.095135258791482880e-01 5.005613760202840656e-10 2.308700606175460156e-11 6.068392873014815602e-13 0.000000000000000000e+00 7.204307934326167725e-15 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.441278539716581888e-14 6.979200553707047448e-18 4.449876417170712574e-19 2.134199280474872840e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.700000000000000000e+03 5.597841825925236492e+01 2.984885081592239531e-03 0.000000000000000000e+00 2.875015880160720627e-01 0.000000000000000000e+00 7.095135260589612303e-01 7.709285382937817409e-10 3.612032462626522077e-11 1.113658569404275938e-12 0.000000000000000000e+00 1.286588292698475372e-14 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.868232070028529240e-14 1.476919272260133854e-17 9.716409569060285750e-19 3.515041771299829824e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.725000000000000000e+03 5.597866657459717743e+01 2.984884977381168768e-03 0.000000000000000000e+00 2.875015847514348910e-01 0.000000000000000000e+00 7.095135289841605353e-01 1.172138589728911999e-09 5.575798250903986766e-11 2.007310248980160621e-12 0.000000000000000000e+00 2.256366610715900422e-14 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.505649815424108845e-14 3.056546863584597745e-17 2.068780611636184491e-18 5.700193502821665187e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
