# T Ptot H He C N O Na K Si Ar Ti V S Cl Mg Al Ca Fe Cr Li Cs Rb F P
1.500000000000000000e+03 4.738759880414612269e+01 1.223637806373807212e-03 0.000000000000000000e+00 3.172101077833744953e-01 0.000000000000000000e+00 6.815662543894897007e-01 1.950622604240200026e-11 8.044363796839052516e-13 5.484243318940083671e-15 0.000000000000000000e+00 7.843098802017028986e-17 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.131565191300594376e-16 1.512043956951700748e-20 9.303442245656275099e-22 4.456912449195589210e-13 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.525000000000000000e+03 4.738763565949707868e+01 1.223637805493948310e-03 0.000000000000000000e+00 3.172101027236013393e-01 0.000000000000000000e+00 6.815662594350030412e-01 3.363782719184078643e-11 1.414204477590183540e-12 1.172774850031822726e-14 0.000000000000000000e+00 1.633730643725576577e-16 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.700018427314576694e-16 3.869350911159952399e-20 2.529878023900499163e-21 8.373948607750160179e-13 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.550000000000000000e+03 4.738768470350617434e+01 1.223637800575827711e-03 0.000000000000000000e+00 3.172101009717105402e-01 0.000000000000000000e+00 6.815662611667363535e-01 5.697218574569965741e-11 2.439997848403971643e-12 2.445720130452559371e-14 0.000000000000000000e+00 3.317980981564579338e-16 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.256984928734976992e-16 9.598461170823230120e-20 6.631385088752302109e-21 1.539634490068772980e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.575000000000000000e+03 4.738775035352692555e+01 1.223637804269579830e-03 0.000000000000000000e+00 3.172101053594350573e-01 0.000000000000000000e+00 6.815662567344822342e-01 9.485277744410273194e-11 4.135360866234621061e-12 4.979945876662186515e-14 0.000000000000000000e+00 6.578148125643490162e-16 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.410219769697337252e-15 2.311642238111996516e-19 1.678957334623104848e-20 2.773032633248253945e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.600000000000000000e+03 4.738783662637192151e+01 1.223637804785440404e-03 0.000000000000000000e+00 3.172101053083299926e-01 0.000000000000000000e+00 6.815662567196335564e-01 1.553596780979450365e-10 6.890483481975958554e-12 9.912142541849326021e-14 0.000000000000000000e+00 1.274592886709668207e-15 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.095320167518904603e-15 5.412781551546122111e-19 4.113620188838882692e-20 4.897477581259740240e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.625000000000000000e+03 4.738795130109553355e+01 1.223637807083237123e-03 0.000000000000000000e+00 3.172101020160679741e-01 0.000000000000000000e+00 6.815662599063334603e-01 2.505273800353981340e-10 1.129643475022338166e-11 1.930657418078007688e-13 0.000000000000000000e+00 2.416283719203368430e-15 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.624603602007042544e-15 1.233926404564532328e-18 9.770530604455211946e-20 8.489332859371313908e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.650000000000000000e+03 4.738810010094620395e+01 1.223637809690466226e-03 0.000000000000000000e+00 3.172101026425043213e-01 0.000000000000000000e+00 6.815662591167045425e-01 3.980233434542227718e-10 1.823521279114012562e-11 3.683665203758464497e-13 0.000000000000000000e+00 4.486158539880232551e-15 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.384061735774683669e-14 2.742082151844207731e-18 2.253350973045966711e-19 1.445563945768759454e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.675000000000000000e+03 4.738829461455581082e+01 1.223637795230400052e-03 0.000000000000000000e+00 3.172101048107171528e-01 0.000000000000000000e+00 6.815662567166921315e-01 6.234302784746828725e-10 2.900420811939359134e-11 6.891436991082395685e-13 0.000000000000000000e+00 8.165193439898010373e-15 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.825971005311953253e-14 5.947245876369691302e-18 5.053765666693698601e-19 2.420025820826980753e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.700000000000000000e+03 4.738854410106269199e+01 1.223637805567036546e-03 0.000000000000000000e+00 3.172101072375080877e-01 0.000000000000000000e+00 6.815662539069313741e-01 9.633094237202249081e-10 4.548593317228944389e-11 1.265285588206882006e-12 0.000000000000000000e+00 1.458188958439565292e-14 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.644739808744791042e-14 1.260340426637794198e-17 1.103802514035396263e-18 3.986180688148479427e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.725000000000000000e+03 4.738886480866603534e+01 1.223637793309308511e-03 0.000000000000000000e+00 3.172101059833509762e-01 0.000000000000000000e+00 6.815662546166345592e-01 1.469261504292026179e-09 7.037649968175469537e-11 2.281863350716016957e-12 0.000000000000000000e+00 2.557313005619217143e-14 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.104092314789722335e-13 2.612530375912166033e-17 2.350884997638290995e-18 6.464934824919253074e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
