# T Ptot H He C N O Na K Si Ar Ti V S Cl Mg Al Ca Fe Cr Li Cs Rb F P
1.500000000000000000e+03 6.253760284419756488e+01 1.728453953686040316e-03 0.000000000000000000e+00 2.536655170724261277e-01 0.000000000000000000e+00 7.446060289578312341e-01 1.507670824347765430e-11 6.061163161828373370e-13 4.538937508877232424e-15 0.000000000000000000e+00 6.494467373652589610e-17 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.227289529508183028e-17 1.963758380624434318e-20 7.695351496382408770e-22 3.689960751479089700e-13 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.525000000000000000e+03 6.253763429607510460e+01 1.728453919193064783e-03 0.000000000000000000e+00 2.536655139504107037e-01 0.000000000000000000e+00 7.446060321028087348e-01 2.582368233965892627e-11 1.060316472790461294e-12 9.704800578724652655e-15 0.000000000000000000e+00 1.352808440510254237e-16 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.198221507074728909e-16 5.021642978822928506e-20 2.092251877379213858e-21 6.932675974141198712e-13 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.550000000000000000e+03 6.253767406524362826e+01 1.728453919713630795e-03 0.000000000000000000e+00 2.536655160440554058e-01 0.000000000000000000e+00 7.446060299896616330e-01 4.345279863159136772e-11 1.820748587796805454e-12 2.023470010546188240e-14 0.000000000000000000e+00 2.747449575562568742e-16 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.085558721589085531e-16 1.244630558092472886e-19 5.483259186271932852e-21 1.274581766334338997e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.575000000000000000e+03 6.253772471773515917e+01 1.728453940373530368e-03 0.000000000000000000e+00 2.536655156055004912e-01 0.000000000000000000e+00 7.446060303768250455e-01 7.189068254466873517e-11 3.071748497270733376e-12 4.119200171395674337e-14 0.000000000000000000e+00 5.447026603779771515e-16 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.144162629459068175e-15 2.994548118057994024e-19 1.387982298534638268e-20 2.295516692731231561e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.600000000000000000e+03 6.253778914932360067e+01 1.728453935246122104e-03 0.000000000000000000e+00 2.536655118809440501e-01 0.000000000000000000e+00 7.446060340575366698e-01 1.170380714357938454e-10 5.095709228627758359e-12 8.196538478346230837e-14 0.000000000000000000e+00 1.055424899182170550e-15 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.506643299788329923e-15 7.003850056597435686e-19 3.399904530508403088e-20 4.053859112180677736e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.625000000000000000e+03 6.253787044841831744e+01 1.728453915012423707e-03 0.000000000000000000e+00 2.536655154810507073e-01 0.000000000000000000e+00 7.446060304007939834e-01 1.876310703006855678e-10 8.318532989735092306e-12 1.595933850786459938e-13 0.000000000000000000e+00 2.000800395923290316e-15 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.354163254935401383e-15 1.594549078011308324e-18 8.073212281527451530e-20 7.026435816570484005e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.650000000000000000e+03 6.253797203316405273e+01 1.728453939726911758e-03 0.000000000000000000e+00 2.536655156642164677e-01 0.000000000000000000e+00 7.446060300739795190e-01 2.964211595298491965e-10 1.337307320046604349e-11 3.043712957543023301e-13 0.000000000000000000e+00 3.714757424650496861e-15 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.116325887687335304e-14 3.538184859199519401e-18 1.861354341290906074e-19 1.196349395456885841e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.675000000000000000e+03 6.253810053040660222e+01 1.728453944435098073e-03 0.000000000000000000e+00 2.536655150941288239e-01 0.000000000000000000e+00 7.446060304578544509e-01 4.617705210760670467e-10 2.118645127734190098e-11 5.691264981600030860e-13 0.000000000000000000e+00 6.761177471817684236e-15 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.274398238231303366e-14 7.660878629516686708e-18 4.173231105555770922e-19 2.002594224049800452e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.700000000000000000e+03 6.253826093699095168e+01 1.728453945352417028e-03 0.000000000000000000e+00 2.536655116145268285e-01 0.000000000000000000e+00 7.446060336631570298e-01 7.097816620459167378e-10 3.309864521326331827e-11 1.044283630803010202e-12 0.000000000000000000e+00 1.207451356178368787e-14 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.532794089506626446e-14 1.620377366246989381e-17 9.111495880629082912e-19 3.298179526615310501e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.725000000000000000e+03 6.253846061513747401e+01 1.728453932833489077e-03 0.000000000000000000e+00 2.536655123129943346e-01 0.000000000000000000e+00 7.446060325705702310e-01 1.077105760261170231e-09 5.102151283740953033e-11 1.881910725557111413e-12 0.000000000000000000e+00 2.117579493982864757e-14 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.845275310735524213e-14 3.351581379256376886e-17 1.939783354898546956e-18 5.348314806415033200e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
