# T Ptot H He C N O Na K Si Ar Ti V S Cl Mg Al Ca Fe Cr Li Cs Rb F P
1.500000000000000000e+03 6.136765705291624329e+01 5.594487956661820492e-03 0.000000000000000000e+00 2.744243567036100395e-01 0.000000000000000000e+00 7.199811553238987250e-01 1.485982226360269444e-11 6.002910737110644649e-13 4.484948346489581532e-15 0.000000000000000000e+00 6.416829052369115706e-17 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.133962073571076380e-17 1.788451216624028636e-20 7.604351458184209088e-22 3.645917986449719757e-13 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.525000000000000000e+03 6.136770299000641415e+01 5.594487890111990609e-03 0.000000000000000000e+00 2.744243530057070002e-01 0.000000000000000000e+00 7.199811590769502612e-01 2.548467571059277471e-11 1.051120387503984734e-12 9.589539764899933056e-15 0.000000000000000000e+00 1.336636217071130693e-16 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.176410572378575565e-16 4.573754920048859161e-20 2.067550735755093775e-21 6.849961072231346559e-13 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.550000000000000000e+03 6.136775943607879213e+01 5.594487972300892994e-03 0.000000000000000000e+00 2.744243573261778701e-01 0.000000000000000000e+00 7.199811546554990560e-01 4.293537015089131976e-11 1.806610543960001310e-12 1.999483383128096894e-14 0.000000000000000000e+00 2.714605137917751484e-16 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.036137097047690384e-16 1.133735982131003607e-19 5.418644113172768548e-21 1.259381692919921226e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.575000000000000000e+03 6.136783151991565433e+01 5.594487996472143065e-03 0.000000000000000000e+00 2.744243576592100275e-01 0.000000000000000000e+00 7.199811542678370424e-01 7.111968241320076205e-11 3.050597766959210591e-12 4.070485399735006123e-14 0.000000000000000000e+00 5.381909912688074239e-16 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.133290779040106338e-15 2.728062711334756409e-19 1.371660602068111138e-20 2.268156931340324191e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.600000000000000000e+03 6.136792229626873763e+01 5.594487978111570455e-03 0.000000000000000000e+00 2.744243553350321219e-01 0.000000000000000000e+00 7.199811565617840747e-01 1.159172090182562477e-10 5.064963651922243288e-12 8.099885865924917715e-14 0.000000000000000000e+00 1.042807784961188717e-15 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.483396721755692659e-15 6.381451521084165526e-19 3.360019018661740824e-20 4.005574486061409354e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.625000000000000000e+03 6.136803524569420176e+01 5.594488016661853212e-03 0.000000000000000000e+00 2.744243576319203015e-01 0.000000000000000000e+00 7.199811541499917533e-01 1.860430389712302071e-10 8.275210045724411925e-12 1.577181968913197803e-13 0.000000000000000000e+00 1.976881771568475538e-15 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.305794214330353933e-15 1.453078248405219285e-18 7.978756219189037166e-20 6.942812573183312507e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.650000000000000000e+03 6.136817649200711600e+01 5.594487966846087117e-03 0.000000000000000000e+00 2.744243591227901735e-01 0.000000000000000000e+00 7.199811525906802956e-01 2.942325431446292238e-10 1.331412888308292308e-11 3.008105577448336840e-13 0.000000000000000000e+00 3.670349142888059542e-15 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.106522464764039586e-14 3.224852838456301453e-18 1.839642129381567962e-19 1.182124731778670517e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.675000000000000000e+03 6.136835243318556365e+01 5.594487961092223585e-03 0.000000000000000000e+00 2.744243563742337355e-01 0.000000000000000000e+00 7.199811551643398033e-01 4.588449898776354181e-10 2.110950977257761537e-11 5.625036074920330336e-13 0.000000000000000000e+00 6.680350517238889486e-15 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.255025374028672971e-14 6.983884429588649234e-18 4.124715263461998270e-19 1.978809479361407751e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.700000000000000000e+03 6.136856944011073267e+01 5.594488057464137507e-03 0.000000000000000000e+00 2.744243557118971055e-01 0.000000000000000000e+00 7.199811554579490513e-01 7.060067135358150137e-10 3.300335804267061162e-11 1.032208667777545126e-12 0.000000000000000000e+00 1.193016827459649752e-14 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.495436063479860868e-14 1.477527350511749949e-17 9.005968940127201600e-19 3.259057564876890500e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.725000000000000000e+03 6.136883771588238545e+01 5.594487942295454756e-03 0.000000000000000000e+00 2.744243566173217852e-01 0.000000000000000000e+00 7.199811542622117644e-01 1.072440335449289781e-09 5.091189296848367790e-11 1.860316417071867476e-12 0.000000000000000000e+00 2.092264844056459128e-14 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.774921226115238521e-14 3.056911983367288245e-17 1.917411594353646508e-18 5.284969555411475576e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
