# T Ptot H He C N O Na K Si Ar Ti V S Cl Mg Al Ca Fe Cr Li Cs Rb F P
1.500000000000000000e+03 2.133627995265850785e+01 3.731906681023526851e-01 0.000000000000000000e+00 6.127118576666639171e-01 0.000000000000000000e+00 7.748271383714520379e-03 1.085994205150261563e-04 4.641015118836623027e-06 1.455691995157072259e-03 0.000000000000000000e+00 8.931504780553877465e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.148196954093489607e-04 3.573142612512350359e-09 6.723374000382796957e-11 4.665446991377084768e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.525000000000000000e+03 2.157359379283316159e+01 3.718613324751958715e-01 0.000000000000000000e+00 6.105293549121862950e-01 0.000000000000000000e+00 9.753587747888691276e-03 1.348897133707966680e-04 5.858290805755479577e-06 1.968242884630701413e-03 0.000000000000000000e+00 1.368028261135297102e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.542214130359038319e-04 5.798622228155109495e-09 1.072725051140979333e-10 5.592506520188353890e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.550000000000000000e+03 2.185381285265058793e+01 3.702753740160242280e-01 0.000000000000000000e+00 6.079254556622208927e-01 0.000000000000000000e+00 1.216328152159145901e-02 1.660503792605057835e-04 7.324810139082572355e-06 2.614089276401901796e-03 0.000000000000000000e+00 2.059067656509550852e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.044347527392362056e-04 9.237344195395403960e-09 1.679915403667212609e-10 6.643979970380071813e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.575000000000000000e+03 2.218264189482968618e+01 3.684032539551526098e-01 0.000000000000000000e+00 6.048517638671413454e-01 0.000000000000000000e+00 1.502643685978510661e-02 2.026521740113846985e-04 9.074898006480757159e-06 3.413769337274517000e-03 0.000000000000000000e+00 3.047987858696387982e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.676002623734537460e-04 1.445610116178988686e-08 2.584285771583529803e-10 7.825433626926432337e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.600000000000000000e+03 2.256581313201960270e+01 3.662175427976502307e-01 0.000000000000000000e+00 6.012632766970148479e-01 0.000000000000000000e+00 1.838901893820192937e-02 2.452661062456964916e-04 1.114403852079231496e-05 4.387084699870234979e-03 0.000000000000000000e+00 4.440568873765903450e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.460602665250420303e-04 2.223969812453300966e-08 3.908119745345697436e-10 9.140583381404093072e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.625000000000000000e+03 2.300888121940907993e+01 3.636947979657538244e-01 0.000000000000000000e+00 5.971213722301382809e-01 0.000000000000000000e+00 2.229077856669034463e-02 2.944491471353211922e-04 1.356815883321510235e-05 5.551769718825374893e-03 0.000000000000000000e+00 6.371219108082549238e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.423213053113438835e-04 3.365391331713871770e-08 5.813779003754695481e-10 1.059090803489930177e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.650000000000000000e+03 2.351697056508902861e+01 3.608174451448993292e-01 0.000000000000000000e+00 5.923972998611183316e-01 0.000000000000000000e+00 2.676180539838821787e-02 3.507294021756762617e-04 1.638283142950432898e-05 6.921961647854817448e-03 0.000000000000000000e+00 9.007575202076925563e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.590019829498665176e-04 5.011828656901453015e-08 8.512869206369459196e-10 1.217532186085337927e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.675000000000000000e+03 2.409447753994193775e+01 3.575760994907283830e-01 0.000000000000000000e+00 5.870755355068945081e-01 0.000000000000000000e+00 3.181886046980456767e-02 4.145912256978908934e-04 1.962243311309506388e-05 8.506537399764859883e-03 0.000000000000000000e+00 1.255481281197506277e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.987659783943905249e-04 7.348695244193995585e-08 1.227616394495894747e-09 1.388991152555211703e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.700000000000000000e+03 2.474474728576661775e+01 3.539713649511929683e-01 0.000000000000000000e+00 5.811572250120868866e-01 0.000000000000000000e+00 3.746196262920126197e-02 4.864623363287428020e-04 2.331934847662951209e-05 1.030751315709579723e-02 0.000000000000000000e+00 1.725933249987394653e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.642436357102758690e-04 1.061346416886193087e-07 1.744397833401513033e-09 1.572779932493459029e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.725000000000000000e+03 2.546973107553628424e+01 3.500156991935138295e-01 0.000000000000000000e+00 5.746627547925066137e-01 0.000000000000000000e+00 4.367146952831307133e-02 5.667036905406272820e-04 2.750326409946735642e-05 1.231864827870721504e-02 0.000000000000000000e+00 2.341139682229749573e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.057945065257640026e-03 1.510430137840811464e-07 2.443652833358120773e-09 1.767912035925514255e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.750000000000000000e+03 2.626966687958809388e+01 3.457343103720674216e-01 0.000000000000000000e+00 5.676334797024094048e-01 0.000000000000000000e+00 5.040631455166701136e-02 6.556034832340100352e-04 3.220065685692652028e-05 1.452453400119747134e-02 0.000000000000000000e+00 3.134633833283432913e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.282170367055246235e-03 2.118812733617075804e-07 3.376381916439806940e-09 1.973116847322345033e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.775000000000000000e+03 2.714282165199835362e+01 3.411652928786398364e-01 0.000000000000000000e+00 5.601319928892952715e-01 0.000000000000000000e+00 5.760368806820757859e-02 7.533753764574325313e-04 3.743448270977158297e-05 1.690036117049923542e-02 0.000000000000000000e+00 4.144390474681754400e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.538919782139527761e-03 2.930727062628003219e-07 4.603449220763714870e-09 2.186863353150531389e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.800000000000000000e+03 2.808534764632896952e+01 3.363586826401834817e-01 0.000000000000000000e+00 5.522403764686893979e-01 0.000000000000000000e+00 6.518073736177232291e-02 8.601614109708064513e-04 4.322408278378426778e-05 1.941262831952669798e-02 0.000000000000000000e+00 5.412542588863389488e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.829809468249214092e-03 3.998379107934043808e-07 6.196300919071667771e-09 2.407396880106992682e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
