# T Ptot H He C N O Na K Si Ar Ti V S Cl Mg Al Ca Fe Cr Li Cs Rb F P
1.500000000000000000e+03 6.767005693653888443e+01 1.074691025928400907e-04 0.000000000000000000e+00 2.727028472030962325e-01 0.000000000000000000e+00 7.271896836798625863e-01 1.356489132795386997e-11 5.466219400171782112e-13 4.092232284424253241e-15 0.000000000000000000e+00 5.855140900530396307e-17 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.326162636728184809e-17 1.701600906480689371e-20 6.938230863151906055e-22 3.326744116348705157e-13 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.525000000000000000e+03 6.767007737176037097e+01 1.074691024456124829e-04 0.000000000000000000e+00 2.727028463524233115e-01 0.000000000000000000e+00 7.271896845202916460e-01 2.324862260219864630e-11 9.566804372843364539e-13 8.749764967604286527e-15 0.000000000000000000e+00 1.219635679828512213e-16 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.983725357362313785e-16 4.351443655298252731e-20 1.886419223922470959e-21 6.250280532024364044e-13 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.550000000000000000e+03 6.767010529734331215e+01 1.074691023170664512e-04 0.000000000000000000e+00 2.727028475012698294e-01 0.000000000000000000e+00 7.271896833544584382e-01 3.914333291663278765e-11 1.643520833830603707e-12 1.824362539383741568e-14 0.000000000000000000e+00 2.476985986928479816e-16 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.589765775171550034e-16 1.078571358879416003e-19 4.943875489849760239e-21 1.149125493598534057e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.575000000000000000e+03 6.767014308927566901e+01 1.074691029309342131e-04 0.000000000000000000e+00 2.727028486839590538e-01 0.000000000000000000e+00 7.271896821434293834e-01 6.479860229100147319e-11 2.773949393670083935e-12 3.713923816725426226e-14 0.000000000000000000e+00 4.910812013672332749e-16 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.032722931488157907e-15 2.595159059685256103e-19 1.251462241996521464e-20 2.069577037241777537e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.600000000000000000e+03 6.767019240301928562e+01 1.074691017666139453e-04 0.000000000000000000e+00 2.727028501726381782e-01 0.000000000000000000e+00 7.271896806117079670e-01 1.055517511724857525e-10 4.603617297664752590e-12 7.390224408357407559e-14 0.000000000000000000e+00 9.515270684621095881e-16 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.262743144887515129e-15 6.070124074829279520e-19 3.065534842847750467e-20 3.654865759297437511e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.625000000000000000e+03 6.767025804908044506e+01 1.074691027046580213e-04 0.000000000000000000e+00 2.727028486559574527e-01 0.000000000000000000e+00 7.271896820580249221e-01 1.693092952766500339e-10 7.518259807976928153e-12 1.438966425328889044e-13 0.000000000000000000e+00 1.803838214453598321e-15 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.833741748816363921e-15 1.382072616593072187e-18 7.279345856230747452e-20 6.334900871597589750e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.650000000000000000e+03 6.767034390360456086e+01 1.074691011308492568e-04 0.000000000000000000e+00 2.727028490594514132e-01 0.000000000000000000e+00 7.271896815486343923e-01 2.676182757358331140e-10 1.209128186658307984e-11 2.744415940822777564e-13 0.000000000000000000e+00 3.349070306239708472e-15 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.007939323384062463e-14 3.066975790439606759e-18 1.678348892453387994e-19 1.078611520980801517e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.675000000000000000e+03 6.767045417876593660e+01 1.074691027901305575e-04 0.000000000000000000e+00 2.727028479662136351e-01 0.000000000000000000e+00 7.271896824761228117e-01 4.171155018991299298e-10 1.916304946306945298e-11 5.131776014873521956e-13 0.000000000000000000e+00 6.095595566044863523e-15 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.053827220052106348e-14 6.641258556846000625e-18 3.762995205834371171e-19 1.805521524582717024e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.700000000000000000e+03 6.767059690650488335e+01 1.074691028503660790e-04 0.000000000000000000e+00 2.727028458254790455e-01 0.000000000000000000e+00 7.271896843695291324e-01 6.414631370142574616e-10 2.994862397579024379e-11 9.416565289211031415e-13 0.000000000000000000e+00 1.088587802768298818e-14 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.093736066258692630e-14 1.404868036291491283e-17 8.215989536160830348e-19 2.973631414486146247e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.725000000000000000e+03 6.767077953082711872e+01 1.074691028408733740e-04 0.000000000000000000e+00 2.727028476375620847e-01 0.000000000000000000e+00 7.271896821894954233e-01 9.739027070076579967e-10 4.618228146927615758e-11 1.697036314962361081e-12 0.000000000000000000e+00 1.909121401855640320e-14 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.989581652307754961e-14 2.906181866557450680e-17 1.749175480698192512e-18 4.822069101939866567e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
