# T Ptot H He C N O Na K Si Ar Ti V S Cl Mg Al Ca Fe Cr Li Cs Rb F P
1.500000000000000000e+03 4.724259878921444056e+01 1.226551251079656185e-03 0.000000000000000000e+00 3.176767698393063721e-01 0.000000000000000000e+00 6.810966788887401480e-01 1.961222748663172460e-11 8.091411002605277156e-13 5.497378324376134587e-15 0.000000000000000000e+00 7.861773066919829674e-17 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.134741456759530346e-16 1.503327261400034063e-20 9.325876083353369211e-22 4.467543830868256809e-13 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.525000000000000000e+03 4.724263633866170409e+01 1.226551210158129818e-03 0.000000000000000000e+00 3.176767679546212420e-01 0.000000000000000000e+00 6.810966807991218896e-01 3.382436073273254444e-11 1.422586994984558967e-12 1.175588627827708290e-14 0.000000000000000000e+00 1.637620475577675679e-16 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.707715274135543847e-16 3.847122642686276836e-20 2.535989715645295989e-21 8.393932652224432327e-13 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.550000000000000000e+03 4.724268555981747397e+01 1.226551231104438958e-03 0.000000000000000000e+00 3.176767723560062207e-01 0.000000000000000000e+00 6.810966763515716726e-01 5.729417748694692949e-11 2.454645177227981382e-12 2.451600971802542891e-14 0.000000000000000000e+00 3.325881009619910678e-16 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.275111115388494192e-16 9.543545489537323551e-20 6.647439273276287263e-21 1.543310755662975048e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.575000000000000000e+03 4.724275224743983870e+01 1.226551219130238247e-03 0.000000000000000000e+00 3.176767702164798868e-01 0.000000000000000000e+00 6.810966784619992831e-01 9.539851580110597048e-11 4.160485241969798327e-12 4.991952883222096673e-14 0.000000000000000000e+00 6.593810320757563138e-16 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.414373901380523183e-15 2.298479913669962385e-19 1.683031798133243821e-20 2.779658339942201222e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.600000000000000000e+03 4.724283959192279525e+01 1.226551231657404400e-03 0.000000000000000000e+00 3.176767690186995674e-01 0.000000000000000000e+00 6.810966795814286101e-01 1.562686900420365435e-10 6.932825910579090847e-12 9.936121511739948637e-14 0.000000000000000000e+00 1.277627630863881034e-15 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.104597176462908348e-15 5.382132280970651497e-19 4.123629970957984662e-20 4.909188610634888274e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.625000000000000000e+03 4.724295560396890181e+01 1.226551233175927121e-03 0.000000000000000000e+00 3.176767662989283258e-01 0.000000000000000000e+00 6.810966821958001072e-01 2.520166112199450124e-10 1.136660610173152888e-11 1.935346996260865915e-13 0.000000000000000000e+00 2.422036744844250066e-15 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.644814607849808093e-15 1.226984049805028892e-18 9.794376930122932960e-20 8.509651712277042891e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.650000000000000000e+03 4.724310609058193933e+01 1.226551216135327287e-03 0.000000000000000000e+00 3.176767681792950770e-01 0.000000000000000000e+00 6.810966801709171792e-01 4.004249785981813111e-10 1.834965652681080943e-11 3.692656912573855732e-13 0.000000000000000000e+00 4.496839913339118774e-15 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.388362321322183493e-14 2.726767657799793565e-18 2.258869117994781335e-19 1.449027656199681485e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.675000000000000000e+03 4.724330232995597356e+01 1.226551232308547819e-03 0.000000000000000000e+00 3.176767673510427215e-01 0.000000000000000000e+00 6.810966807352295538e-01 6.272454525199030390e-10 2.918802415804068330e-11 6.908358171609437576e-13 0.000000000000000000e+00 8.184634642843433146e-15 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.834917664210611061e-14 5.914309770677731102e-18 5.066188130517301331e-19 2.425831856895724687e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.700000000000000000e+03 4.724355539358398914e+01 1.226551209001216277e-03 0.000000000000000000e+00 3.176767644076323727e-01 0.000000000000000000e+00 6.810966833270085674e-01 9.692837183993308758e-10 4.577689146064473817e-11 1.268414202907441954e-12 0.000000000000000000e+00 1.461660826808237873e-14 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.662954752700918712e-14 1.253427534852019573e-17 1.106527039682113793e-18 3.995758543635674529e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.725000000000000000e+03 4.724387968829601903e+01 1.226551217305678213e-03 0.000000000000000000e+00 3.176767657963437963e-01 0.000000000000000000e+00 6.810966813698015043e-01 1.478489468701151951e-09 7.083066749771773448e-11 2.287552664776887543e-12 0.000000000000000000e+00 2.563401929160021154e-14 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.107725049034853559e-13 2.598356510863189469e-17 2.356714300141021344e-18 6.480495296751035670e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.750000000000000000e+03 4.724429243605897710e+01 1.226551216284113652e-03 0.000000000000000000e+00 3.176767647916336479e-01 0.000000000000000000e+00 6.810966815487072834e-01 2.227315300077818121e-09 1.081889771504890472e-10 4.055632929855660287e-12 0.000000000000000000e+00 4.418304399777873360e-14 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.123753068267441256e-13 5.274028043139808338e-17 4.900635049968239119e-18 1.035584443219658321e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.775000000000000000e+03 4.724481479484166613e+01 1.226551232204299395e-03 0.000000000000000000e+00 3.176767665852276989e-01 0.000000000000000000e+00 6.810966785329822804e-01 3.315659120274908010e-09 1.632187770050046669e-10 7.073909792988094538e-12 0.000000000000000000e+00 7.490136395170253580e-14 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.994235328567870785e-13 1.049171162527245170e-16 9.960937184261852462e-18 1.631594946595256433e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.800000000000000000e+03 4.724547199045472468e+01 1.226551224430276216e-03 0.000000000000000000e+00 3.176767633583917894e-01 0.000000000000000000e+00 6.810966800274661503e-01 4.879761551241735193e-09 2.433369774835644253e-10 1.214766574850116130e-11 0.000000000000000000e+00 1.249760928235719820e-13 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.375207385963808412e-13 2.047408792619160884e-16 1.981165008473501077e-17 2.536029554197900395e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.825000000000000000e+03 4.724629242578212995e+01 1.226551225637066310e-03 0.000000000000000000e+00 3.176767620763014111e-01 0.000000000000000000e+00 6.810966788265795380e-01 7.103490980163038607e-09 3.567934216177140218e-10 2.055238631869828256e-11 0.000000000000000000e+00 2.053800007075135983e-13 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.338010769643584586e-12 3.922748086430310866e-16 3.859709595433094529e-17 3.891011812912071341e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.850000000000000000e+03 4.724731307596308483e+01 1.226551200133860643e-03 0.000000000000000000e+00 3.176767581876238644e-01 0.000000000000000000e+00 6.810966792329622432e-01 1.023251554311034647e-08 5.201394824919874584e-10 3.428128649120317938e-11 0.000000000000000000e+00 3.326275945652404560e-13 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.386740729649188021e-12 7.385126632564613600e-16 7.372521056030197118e-17 5.896234375455990929e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.875000000000000000e+03 4.724857221532939633e+01 1.226551204930253960e-03 0.000000000000000000e+00 3.176767615680608503e-01 0.000000000000000000e+00 6.810966709406577335e-01 1.459193335878385772e-08 7.503771208412888397e-10 5.640966213642712554e-11 0.000000000000000000e+00 5.312358660414784738e-13 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.188992490042203225e-12 1.367234237724482360e-15 1.381954587268271237e-16 8.829090480258004073e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.900000000000000000e+03 4.725011937875418511e+01 1.226551184787730677e-03 0.000000000000000000e+00 3.176767585325074306e-01 0.000000000000000000e+00 6.810966671962267460e-01 2.060799451256651616e-08 1.071707833421227766e-09 9.162521975912322648e-11 0.000000000000000000e+00 8.371276699684479027e-13 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.238607076183589149e-12 2.490945274432202810e-15 2.544213769176964054e-16 1.307072338993570793e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.925000000000000000e+03 4.725200867080189226e+01 1.226551178308832530e-03 0.000000000000000000e+00 3.176767520131782430e-01 0.000000000000000000e+00 6.810966643833641365e-01 2.883465116079568663e-08 1.515936538880915758e-09 1.469920195083533162e-10 0.000000000000000000e+00 1.302280130134348283e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.232278844283242320e-11 4.469143024941936021e-15 4.604047706875288386e-16 1.913939174065918965e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.950000000000000000e+03 4.725430370218425935e+01 1.226551123646713298e-03 0.000000000000000000e+00 3.176767454739302665e-01 0.000000000000000000e+00 6.810966582632232980e-01 3.998569913831875133e-08 2.124492223498327483e-09 2.330401717436802250e-10 0.000000000000000000e+00 2.000998064584773578e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.067878141079977758e-11 7.901515176950724372e-15 8.195524322571485107e-16 2.773279642997629552e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.975000000000000000e+03 4.725707660739228544e+01 1.226551098333377235e-03 0.000000000000000000e+00 3.176767390519000811e-01 0.000000000000000000e+00 6.810966475447657320e-01 5.497340459750352118e-08 2.950883203827610197e-09 3.653060824742832910e-10 0.000000000000000000e+00 3.038283012717699535e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.422497193376501178e-11 1.377511686176713467e-14 1.436052107531037091e-15 3.978128453518442219e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+03 4.726041083911467666e+01 1.226551063865391261e-03 0.000000000000000000e+00 3.176767277346217444e-01 0.000000000000000000e+00 6.810966359049603902e-01 7.495450699867138599e-08 4.063655470622740329e-09 5.664910284191077292e-10 0.000000000000000000e+00 4.560875029483426564e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.589735873680109671e-11 2.369397437566800695e-14 2.478612825893803607e-15 5.651414402098759238e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.025000000000000000e+03 4.726440009011591314e+01 1.226551017015871554e-03 0.000000000000000000e+00 3.176767077140266182e-01 0.000000000000000000e+00 6.810966254139771969e-01 1.013844960163887532e-07 5.549922390005552344e-09 8.694619645660635115e-10 0.000000000000000000e+00 6.771668485895174593e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.013333731018817739e-11 4.027964348548148605e-14 4.216621336961201325e-15 7.954150588701918515e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.050000000000000000e+03 4.726914842232444869e+01 1.226550934995223252e-03 0.000000000000000000e+00 3.176766911578622898e-01 0.000000000000000000e+00 6.810966017351186563e-01 1.360819819787731705e-07 7.519587802840490045e-09 1.321393528374615255e-09 0.000000000000000000e+00 9.948338712656539549e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.435592989420541198e-10 6.756449333270949276e-14 7.074494605221196070e-15 1.109547835234539175e-08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.075000000000000000e+03 4.727477446227868541e+01 1.226550823799246346e-03 0.000000000000000000e+00 3.176766675091453607e-01 0.000000000000000000e+00 6.810965726796691655e-01 1.813022739493743023e-07 1.011024317168565293e-08 1.989441507775184846e-09 0.000000000000000000e+00 1.446717739940882786e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.259558035169638702e-10 1.119983609086209158e-13 1.171236074540396614e-14 1.534488095092249865e-08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.100000000000000000e+03 4.728141050131190326e+01 1.226550682857678685e-03 0.000000000000000000e+00 3.176766309872413596e-01 0.000000000000000000e+00 6.810965406251020537e-01 2.398237937398436087e-07 1.349296167555015392e-08 2.968467744444649106e-09 0.000000000000000000e+00 2.083330372659943836e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.515985460937217673e-10 1.835584036543688990e-13 1.914440215791170260e-14 2.104694109333159338e-08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.125000000000000000e+03 4.728920013654975918e+01 1.226550552698233614e-03 0.000000000000000000e+00 3.176765877232878843e-01 0.000000000000000000e+00 6.810964951967044545e-01 3.150466475181947645e-07 1.787898565170134877e-08 4.391488929227190063e-09 0.000000000000000000e+00 2.971861629343151499e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.411004643422845270e-10 2.975803474106468323e-13 3.091045481184599400e-14 2.863903959661963240e-08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.150000000000000000e+03 4.729830505136030183e+01 1.226550323466320215e-03 0.000000000000000000e+00 3.176765266475474192e-01 0.000000000000000000e+00 6.810964424139140938e-01 4.111050172585372821e-07 2.352742931785211176e-08 6.443724791122467333e-09 0.000000000000000000e+00 4.200904083760442001e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.239164266786774215e-10 4.774069329485244384e-13 4.932208492482913673e-14 3.867244844818004911e-08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.175000000000000000e+03 4.730889954992326096e+01 1.226550047357159072e-03 0.000000000000000000e+00 3.176764576807638019e-01 0.000000000000000000e+00 6.810963660032245404e-01 5.329944623807161599e-07 3.075409541557539993e-08 9.381380345991035485e-09 0.000000000000000000e+00 5.886287657435341107e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.241714494325487679e-09 7.582356828941281359e-13 7.781176853351690019e-14 5.183730295518232560e-08 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
