# T Ptot H He C N O Na K Si Ar Ti V S Cl Mg Al Ca Fe Cr Li Cs Rb F P
1.500000000000000000e+03 1.367626066998187007e+01 2.146798640850144380e-01 0.000000000000000000e+00 7.564023505837931260e-01 0.000000000000000000e+00 1.644478110947145827e-02 1.770511591473930275e-04 7.566141085657180814e-06 4.064092539831012409e-03 0.000000000000000000e+00 1.701535930460176099e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.975434952742673742e-04 6.536998081659971780e-09 1.156733580035941897e-10 8.026744063557652784e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.525000000000000000e+03 1.402063590424291561e+01 2.129992355812790061e-01 0.000000000000000000e+00 7.504808382423437951e-01 0.000000000000000000e+00 2.094723823412555919e-02 2.190883435293431694e-04 9.514811470799449433e-06 5.488862124990865482e-03 0.000000000000000000e+00 2.598740190361737230e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.644784427903919830e-04 1.058704665281992315e-08 1.839643682329231699e-10 9.590733188585167171e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.550000000000000000e+03 1.443358115992155000e+01 2.109807375940946639e-01 0.000000000000000000e+00 7.433688860433902423e-01 0.000000000000000000e+00 2.639427266319901988e-02 2.684543478384994334e-04 1.184170556380919981e-05 7.278332966958300093e-03 0.000000000000000000e+00 3.897501523267249767e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.491857996999339435e-04 1.681996872296975610e-08 2.869385055958399633e-10 1.134827138259803837e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.575000000000000000e+03 1.492512914398654900e+01 2.085896720155855366e-01 0.000000000000000000e+00 7.349441949428477949e-01 0.000000000000000000e+00 3.288892409082427165e-02 3.257851027369231206e-04 1.458839291113324693e-05 9.481927802908955705e-03 0.000000000000000000e+00 5.743648979064868097e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.548126974322297205e-04 2.622924625227147707e-08 4.392239106061193903e-10 1.330006771191793655e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.600000000000000000e+03 1.550517675360482883e+01 2.057991562108204553e-01 0.000000000000000000e+00 7.251121232980409781e-01 0.000000000000000000e+00 4.051243443149062096e-02 3.916240849168814995e-04 1.779337789625567016e-05 1.214090041655257329e-02 0.000000000000000000e+00 8.321372599628615324e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.846056397451451824e-04 4.016699486048792304e-08 6.602044003980608294e-10 1.544132088120072493e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.625000000000000000e+03 1.618271766760187091e+01 2.025949411511448195e-01 0.000000000000000000e+00 7.138223656947005891e-01 0.000000000000000000e+00 4.931017274845622689e-02 4.663921469064409402e-04 2.149036977112400121e-05 1.528165231707602663e-02 0.000000000000000000e+00 1.185760869290830967e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.417821484051485966e-04 6.043036880318934796e-08 9.749811785145064165e-10 1.776114083242869707e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.650000000000000000e+03 1.696476380490008751e+01 1.989805612296623449e-01 0.000000000000000000e+00 7.010875052520777473e-01 0.000000000000000000e+00 5.927590243173246759e-02 5.503688097789887369e-04 2.570694911935868571e-05 1.890799924345078903e-02 0.000000000000000000e+00 1.662488114675049017e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.293891348666005010e-04 8.935144829698660036e-08 1.415334419120926372e-09 2.024247452004089565e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.675000000000000000e+03 1.785494057314892657e+01 1.949825277443933691e-01 0.000000000000000000e+00 6.870007816660149702e-01 0.000000000000000000e+00 7.033633425493544811e-02 6.436926529322252845e-04 3.046415178909594933e-05 2.299318516561552408e-02 0.000000000000000000e+00 2.294209097870297165e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.150168038360677072e-03 1.298849879714100283e-07 2.020649229571404771e-09 2.286271212611237780e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.700000000000000000e+03 1.885189775713105576e+01 1.906537824173674123e-01 0.000000000000000000e+00 6.717488825831463561e-01 0.000000000000000000e+00 8.233980538123661375e-02 7.463901946014858462e-04 3.577738431746459803e-05 2.747354336322096330e-02 0.000000000000000000e+00 3.117323945331896958e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.406461107787016418e-03 1.856891859030306382e-07 2.838804615113151423e-09 2.559516592300824234e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.725000000000000000e+03 1.994798182225354921e+01 1.860738170146565840e-01 0.000000000000000000e+00 6.556119523209061883e-01 0.000000000000000000e+00 9.505539723698995525e-02 8.584330261038815605e-04 4.165890649364160453e-05 3.224687213098405975e-02 0.000000000000000000e+00 4.172494057120381032e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.700188910833577011e-03 2.611986820879718556e-07 3.927097014875061249e-09 2.841141115475885257e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
