# T Ptot H He C N O Na K Si Ar Ti V S Cl Mg Al Ca Fe Cr Li Cs Rb F P
1.500000000000000000e+03 5.637762412136213896e+01 3.448724599399531111e-03 0.000000000000000000e+00 2.645757394283124175e-01 0.000000000000000000e+00 7.319755359547983620e-01 1.641913604166423641e-11 6.625196929501571545e-13 4.955605091007530952e-15 0.000000000000000000e+00 7.090328775688041578e-17 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.008789520359303273e-16 2.014885339726723191e-20 8.402213466009166872e-22 4.028568215998210270e-13 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.525000000000000000e+03 5.637765979919723947e+01 3.448724630667874495e-03 0.000000000000000000e+00 2.645757445912192973e-01 0.000000000000000000e+00 7.319755307480346751e-01 2.815034550296010473e-11 1.159822954033062749e-12 1.059583051313114351e-14 0.000000000000000000e+00 1.476927372799325727e-16 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.403592657202772977e-16 5.152719843895901399e-20 2.284470459208450448e-21 7.568876439499150460e-13 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.550000000000000000e+03 5.637770595082174907e+01 3.448724643425059560e-03 0.000000000000000000e+00 2.645757422829773109e-01 0.000000000000000000e+00 7.319755330227777357e-01 4.741240930698905490e-11 1.993009508475482712e-12 2.209289099533125982e-14 0.000000000000000000e+00 2.999525608124531764e-16 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.561538566322040657e-16 1.277216027549247567e-19 5.987114466670699952e-21 1.391553990406269136e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.575000000000000000e+03 5.637776513018071256e+01 3.448724585305183894e-03 0.000000000000000000e+00 2.645757408198343708e-01 0.000000000000000000e+00 7.319755345104295152e-01 7.851324205858794216e-11 3.364639132121574718e-12 4.497568894853410351e-14 0.000000000000000000e+00 5.946786287536101056e-16 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.251453775423640752e-15 3.073220692455402203e-19 1.515551982321432820e-20 2.506195940273319743e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.600000000000000000e+03 5.637783797969112953e+01 3.448724607936555064e-03 0.000000000000000000e+00 2.645757434742903591e-01 0.000000000000000000e+00 7.319755317797359551e-01 1.279326174523705202e-10 5.585236524351244176e-12 8.949663392931551076e-14 0.000000000000000000e+00 1.152259170166577903e-15 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.742169433970141939e-15 7.188591598207777704e-19 3.712468761304973525e-20 4.425943311376976216e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.625000000000000000e+03 5.637793059913914107e+01 3.448724625048128507e-03 0.000000000000000000e+00 2.645757437911357424e-01 0.000000000000000000e+00 7.319755313615664560e-01 2.052725486998064852e-10 9.123444190801579679e-12 1.742628933806821944e-13 0.000000000000000000e+00 2.184372060156156651e-15 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.858304910874365205e-15 1.636801648530406744e-18 8.815617982120664496e-20 7.671413856729196401e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.650000000000000000e+03 5.637804538507548813e+01 3.448724707696347071e-03 0.000000000000000000e+00 2.645757471765730617e-01 0.000000000000000000e+00 7.319755277630836110e-01 3.245606755475058039e-10 1.467607210510235263e-11 3.323613480093298078e-13 0.000000000000000000e+00 4.055582947731551368e-15 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.221669995446688376e-14 3.632429290672875556e-18 2.032576982524304405e-19 1.306176999360650333e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.675000000000000000e+03 5.637819025958316388e+01 3.448724562752006253e-03 0.000000000000000000e+00 2.645757416589175071e-01 0.000000000000000000e+00 7.319755332265336367e-01 5.060139481184189927e-10 2.326457582752221568e-11 6.214924757598611417e-13 0.000000000000000000e+00 7.381509175613927512e-15 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.489521424834996343e-14 7.866142383619061120e-18 4.557254274005205483e-19 2.186458593205842537e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.700000000000000000e+03 5.637836925760630891e+01 3.448724611315075184e-03 0.000000000000000000e+00 2.645757444102553868e-01 0.000000000000000000e+00 7.319755301264547764e-01 7.783949940916982576e-10 3.636616738163155991e-11 1.140433135887836509e-12 0.000000000000000000e+00 1.318233920990509105e-14 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.962559347011500212e-14 1.664082208388609136e-17 9.950270151710530456e-19 3.601037188820840310e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.725000000000000000e+03 5.637859170757993610e+01 3.448724606098634189e-03 0.000000000000000000e+00 2.645757420784585201e-01 0.000000000000000000e+00 7.319755320166605461e-01 1.182122076471816823e-09 5.608974341485319517e-11 2.055319423139542608e-12 0.000000000000000000e+00 2.311865491670609175e-14 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.686018320659212117e-14 3.442654276352763145e-17 2.118431167032856981e-18 5.839505641340658402e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
