# T Ptot H He C N O Na K Si Ar Ti V S Cl Mg Al Ca Fe Cr Li Cs Rb F P
1.500000000000000000e+03 6.063515536214666213e+01 5.587920612665575951e-03 0.000000000000000000e+00 2.763048420577479680e-01 0.000000000000000000e+00 7.181072373136043741e-01 1.500292639411559799e-11 6.064599173845728784e-13 4.527379562255341395e-15 0.000000000000000000e+00 6.477480330220074130e-17 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.222786245885835194e-17 1.785965223225256513e-20 7.676373085219412768e-22 3.680389029690302465e-13 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.525000000000000000e+03 6.063520082386165200e+01 5.587920497647043058e-03 0.000000000000000000e+00 2.763048413242618073e-01 0.000000000000000000e+00 7.181072381505930746e-01 2.573445352943861813e-11 1.062054775045349362e-12 9.680290004785029255e-15 0.000000000000000000e+00 1.349269981084554949e-16 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.197637203954605483e-16 4.567455516162383314e-20 2.087138621053401578e-21 6.914730071620457888e-13 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.550000000000000000e+03 6.063525783353440346e+01 5.587920584859996931e-03 0.000000000000000000e+00 2.763048388253147025e-01 0.000000000000000000e+00 7.181072405433439609e-01 4.336327862077173160e-11 1.825624260475259858e-12 2.018412134685765468e-14 0.000000000000000000e+00 2.740263363995692175e-16 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.085406605380628498e-16 1.132191363542762750e-19 5.469997727537466557e-21 1.271290650223186395e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.575000000000000000e+03 6.063532943363387773e+01 5.587920591820354568e-03 0.000000000000000000e+00 2.763048379709911462e-01 0.000000000000000000e+00 7.181072413599330906e-01 7.183985727791519455e-11 3.083063484387706273e-12 4.109036747316151156e-14 0.000000000000000000e+00 5.432779182763155564e-16 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.144414159712963526e-15 2.724393144472612177e-19 1.384665166688716282e-20 2.289607355219258502e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.600000000000000000e+03 6.063541962546621988e+01 5.587920570250729142e-03 0.000000000000000000e+00 2.763048387934776695e-01 0.000000000000000000e+00 7.181072405099143685e-01 1.171089523933819859e-10 5.119444474043927041e-12 8.176640839252426619e-14 0.000000000000000000e+00 1.052664305866205014e-15 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.507855190395611938e-15 6.372994732772935253e-19 3.391888937273318062e-20 4.043460829474160046e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.625000000000000000e+03 6.063553264128405829e+01 5.587920602281620970e-03 0.000000000000000000e+00 2.763048385058639034e-01 0.000000000000000000e+00 7.181072406883306503e-01 1.879836119028177528e-10 8.365134352484057315e-12 1.592137292891704211e-13 0.000000000000000000e+00 1.995567106391468922e-15 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.358237782559718425e-15 1.451185941521517040e-18 8.054472220904440480e-20 7.008490303032430726e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.650000000000000000e+03 6.063567416215692418e+01 5.587920588295109368e-03 0.000000000000000000e+00 2.763048372507619921e-01 0.000000000000000000e+00 7.181072418378866562e-01 2.973442540909405637e-10 1.346023087424707136e-11 3.036652189832608171e-13 0.000000000000000000e+00 3.705040986286576690e-15 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.117500756906245042e-14 3.220737686154048957e-18 1.857109332294808888e-19 1.193309389886084812e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.675000000000000000e+03 6.063584944750945738e+01 5.587920653557462182e-03 0.000000000000000000e+00 2.763048373366247534e-01 0.000000000000000000e+00 7.181072415041396262e-01 4.637619977931504464e-10 2.134333535410476298e-11 5.678468628644866104e-13 0.000000000000000000e+00 6.743492732254083806e-15 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.277486285540259649e-14 6.975180661462040133e-18 4.163903188371919457e-19 1.997535805794050646e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.700000000000000000e+03 6.063606707736897761e+01 5.587920585488911386e-03 0.000000000000000000e+00 2.763048397633812159e-01 0.000000000000000000e+00 7.181072388700910913e-01 7.136682514891725723e-10 3.337223116153560285e-11 1.042025015918851272e-12 0.000000000000000000e+00 1.204293116858630369e-14 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.540395022232789036e-14 1.475735806496242769e-17 9.091590872036370385e-19 3.289906762303570911e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.725000000000000000e+03 6.063633637030918067e+01 5.587920455717287384e-03 0.000000000000000000e+00 2.763048371358380884e-01 0.000000000000000000e+00 7.181072412174014374e-01 1.084219559132207414e-09 5.148586127394629875e-11 1.878032457272999699e-12 0.000000000000000000e+00 2.112040693892361362e-14 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.863051539789601213e-14 3.053321813328927029e-17 1.935654678882725853e-18 5.335009366578169107e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.750000000000000000e+03 6.063666729233992925e+01 5.587920529319181928e-03 0.000000000000000000e+00 2.763048356485091617e-01 0.000000000000000000e+00 7.181072420279426272e-01 1.627036559845235518e-09 7.841909696419517824e-11 3.327003052102425741e-12 0.000000000000000000e+00 3.640333875273992359e-14 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.695595996699179617e-13 6.184141945647189117e-17 4.023460768816069495e-18 8.524055860425610319e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
