# T Ptot H He C N O Na K Si Ar Ti V S Cl Mg Al Ca Fe Cr Li Cs Rb F P
1.500000000000000000e+03 1.555297948644986405e+01 2.242296820364338694e-01 0.000000000000000000e+00 7.502568437640962928e-01 0.000000000000000000e+00 1.452075596280689128e-02 1.552805315700313369e-04 6.635786933349996544e-06 3.609001319838226786e-03 0.000000000000000000e+00 1.497587042184723163e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.734641084331753260e-04 5.748181744855377101e-09 1.015734640375922835e-10 7.048330490374292608e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.525000000000000000e+03 1.590170879124482006e+01 2.226802527443104973e-01 0.000000000000000000e+00 7.450726380734871146e-01 0.000000000000000000e+00 1.851081074345616376e-02 1.923137386424780468e-04 8.352009718953293791e-06 4.874854813795142898e-03 0.000000000000000000e+00 2.288739249276346384e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.324239100865901214e-04 9.316283663835661914e-09 1.616680437119851758e-10 8.428344259677318651e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.550000000000000000e+03 1.631921426264371533e+01 2.208151839352321122e-01 0.000000000000000000e+00 7.388321583371838530e-01 0.000000000000000000e+00 2.334854812677442104e-02 2.358974920120530017e-04 1.040559433178404316e-05 6.467604415414975917e-03 0.000000000000000000e+00 3.435708956950748431e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.071767503724945965e-04 1.481549068603654596e-08 2.524181742667486208e-10 9.983009937198587119e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.575000000000000000e+03 1.681570651216645729e+01 2.185994577613971923e-01 0.000000000000000000e+00 7.314184951649786992e-01 0.000000000000000000e+00 2.913314961041037210e-02 2.866443344223557630e-04 1.283569176404015949e-05 8.434016192147505281e-03 0.000000000000000000e+00 5.069201565642780622e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.006015771050470682e-04 2.313223235201263174e-08 3.868709352967324406e-10 1.171477564175144384e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.600000000000000000e+03 1.740138004683827688e+01 2.160041383664778325e-01 0.000000000000000000e+00 7.227347884928588817e-01 0.000000000000000000e+00 3.594787100825700549e-02 3.450994097496049300e-04 1.567952500300997184e-05 1.081509423847198947e-02 0.000000000000000000e+00 7.355356594882750822e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.157106033285875635e-04 3.547887364962869502e-08 5.824002149226738134e-10 1.362158155904359853e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.625000000000000000e+03 1.808572940106503424e+01 2.130104548204366788e-01 0.000000000000000000e+00 7.127181198253251804e-01 0.000000000000000000e+00 4.384830276153885154e-02 4.117126739707542104e-04 1.897083551951641344e-05 1.364057317328886895e-02 0.000000000000000000e+00 1.050043616749609314e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.555441229593451631e-04 5.347619802685945989e-08 8.616317600025221088e-10 1.569626639908763138e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.650000000000000000e+03 1.887658292650850100e+01 2.096144158958301862e-01 0.000000000000000000e+00 7.013552135159497603e-01 0.000000000000000000e+00 5.284895891136998092e-02 4.868183426250649029e-04 2.273857328850771150e-05 1.692240476672892888e-02 0.000000000000000000e+00 1.475437993377125908e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.230479189315102403e-04 7.924155016796459322e-08 1.253391068511516778e-09 1.792632010489690966e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.675000000000000000e+03 1.977885568421761420e+01 2.058315551937286714e-01 0.000000000000000000e+00 6.886980643017170944e-01 0.000000000000000000e+00 6.290966335163622469e-02 5.706269512609105045e-04 2.700612708087801874e-05 2.064788198998853547e-02 0.000000000000000000e+00 2.041269466847860607e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.020949079447049362e-03 1.154777182224967414e-07 1.793633441879509406e-09 2.029413369251936369e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.700000000000000000e+03 2.079313497350617368e+01 2.017006027282000624e-01 0.000000000000000000e+00 6.748761407968190129e-01 0.000000000000000000e+00 7.392467485023522522e-02 6.632381659583092915e-04 3.179154015550838294e-05 2.477377760206711868e-02 0.000000000000000000e+00 2.781651349094534416e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.251654624407233215e-03 1.655578388418724525e-07 2.526342294784119687e-09 2.277794882632477175e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.725000000000000000e+03 2.191443509334453665e+01 1.972844147378681190e-01 0.000000000000000000e+00 6.600998829089965714e-01 0.000000000000000000e+00 8.571918604520833984e-02 7.646755023985512883e-04 3.710887905312626115e-05 2.922379843456855003e-02 0.000000000000000000e+00 3.735129500320929483e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.517197854385208275e-03 2.336039334140919884e-07 3.504424000226881389e-09 2.535349479403459227e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
