# T Ptot H He C N O Na K Si Ar Ti V S Cl Mg Al Ca Fe Cr Li Cs Rb F P
1.500000000000000000e+03 2.112101547655149858e+01 9.320559393832462680e-01 0.000000000000000000e+00 6.766903594310595682e-02 0.000000000000000000e+00 1.342262070312206840e-04 2.104531811189369860e-05 8.996972404908878694e-07 4.400262321118336477e-06 0.000000000000000000e+00 1.511872609111617838e-13 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.749096714985634865e-06 9.290620663306095814e-12 1.609767130625917346e-12 1.117040811763581564e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.525000000000000000e+03 2.114237449480312492e+01 9.319266522911916484e-01 0.000000000000000000e+00 6.765965003065654848e-02 0.000000000000000000e+00 2.031149307005330334e-04 2.929248289715485670e-05 1.272683641462465759e-06 7.814792046253191135e-06 0.000000000000000000e+00 3.300837984609679325e-13 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.621271356836319652e-06 2.089993039835744106e-11 3.214459465175365957e-12 1.675814930651635750e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.550000000000000000e+03 2.117279417373115891e+01 9.317401093452301053e-01 0.000000000000000000e+00 6.764610990712083272e-02 0.000000000000000000e+00 3.031708654037127337e-04 4.027404147050348487e-05 1.777343039655101282e-06 1.358673274960560058e-05 0.000000000000000000e+00 7.012579487539981238e-13 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.611202302814420651e-06 4.565501098178145962e-11 6.254454915262730214e-12 2.473605100720187105e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.575000000000000000e+03 2.121554480464828885e+01 9.314749499785465181e-01 0.000000000000000000e+00 6.762685575552970785e-02 0.000000000000000000e+00 4.463726334153784721e-04 5.470774306448392268e-05 2.451018580713887386e-06 2.313049047659327336e-05 0.000000000000000000e+00 1.450099906518827840e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.228478234655263967e-05 9.687897114943834576e-11 1.186385580959796032e-11 3.592474878471308948e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.600000000000000000e+03 2.127466162014479423e+01 9.311038001488376459e-01 0.000000000000000000e+00 6.759991248378986739e-02 0.000000000000000000e+00 6.482329450505387985e-04 7.343008050577909255e-05 3.338138589778701498e-06 3.856285573924853321e-05 0.000000000000000000e+00 2.918715115085260424e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.943280105423871878e-05 1.997161039619095569e-10 2.194608567559182730e-11 5.132903218519758570e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.625000000000000000e+03 2.135485566520260292e+01 9.305926126806857157e-01 0.000000000000000000e+00 6.756279742245833997e-02 0.000000000000000000e+00 9.283035939568862844e-04 9.738981612370462622e-05 4.490218910033898258e-06 6.295773123919297680e-05 0.000000000000000000e+00 5.716937512101457930e-12 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.012504449401640896e-05 3.999337117586047149e-10 3.959634808670979847e-11 7.213230468852806568e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.650000000000000000e+03 2.146124179008918276e+01 9.299002797362747597e-01 0.000000000000000000e+00 6.751253458708536548e-02 0.000000000000000000e+00 1.310512985265786931e-03 1.276316351326969086e-04 5.965358164465623281e-06 1.006395998014138958e-04 0.000000000000000000e+00 1.089300967044328058e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.575922570978225836e-05 7.777537097821640653e-10 6.968663287976404611e-11 9.966760142323196920e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.675000000000000000e+03 2.159889453758654199e+01 9.289787712397800101e-01 0.000000000000000000e+00 6.744562923601822579e-02 0.000000000000000000e+00 1.823273163525541236e-03 1.652707259194415230e-04 7.827227024529614108e-06 1.574973578251201607e-04 0.000000000000000000e+00 2.018199307642950974e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.809626839530239536e-05 1.468440615763885887e-09 1.196366290952800905e-10 1.353633173252491483e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.700000000000000000e+03 2.177232051535084878e+01 9.277736458840321054e-01 0.000000000000000000e+00 6.735813467631038276e-02 0.000000000000000000e+00 2.499354665253594471e-03 2.114617045082000421e-04 1.014368410838451349e-05 2.412953799817728394e-04 0.000000000000000000e+00 3.634790698654522500e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.927482403077414279e-05 2.691337717370515370e-09 2.003827420097053909e-10 1.806686253706397309e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.725000000000000000e+03 2.198500164461977846e+01 9.262249155526837141e-01 0.000000000000000000e+00 6.724569495972362865e-02 0.000000000000000000e+00 3.375583707266465155e-03 2.673659844555438168e-04 1.298519099599232731e-05 3.619585870216050511e-04 0.000000000000000000e+00 6.363063220033548708e-11 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.418012156398953645e-04 4.788764661873593857e-09 3.275444677470335457e-10 2.369689622273535561e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.750000000000000000e+03 2.223916720191117946e+01 9.242680616245175784e-01 0.000000000000000000e+00 6.710362245762693800e-02 0.000000000000000000e+00 4.492422733526386588e-03 3.341197911576605610e-04 1.642314938489223479e-05 5.318096988506030957e-04 0.000000000000000000e+00 1.083009974171796277e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.985136524523462888e-04 8.275623720871834753e-09 5.227722609976831975e-10 3.055017985786656447e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.775000000000000000e+03 2.253585173946098763e+01 9.218352130524969379e-01 0.000000000000000000e+00 6.692699457996550971e-02 0.000000000000000000e+00 5.893422350407739006e-03 4.128018415385724632e-04 2.052811270190591723e-05 7.657316395276999666e-04 0.000000000000000000e+00 1.793158719846571722e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.725194684864168534e-04 1.389955140596336473e-08 8.152369435498026742e-10 3.872774060770912442e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.800000000000000000e+03 2.287517559828065572e+01 9.188566827483617416e-01 0.000000000000000000e+00 6.671074677775382100e-02 0.000000000000000000e+00 7.624439940287325648e-03 5.043971813192793226e-04 2.536770327561668355e-05 1.081215385550107636e-03 0.000000000000000000e+00 2.890469980214103667e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.671011745818615482e-04 2.270964827740701237e-08 1.243180359424928728e-09 4.830024846994603396e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.825000000000000000e+03 2.325669699583126260e+01 9.152632544068076692e-01 0.000000000000000000e+00 6.644985892061193444e-02 0.000000000000000000e+00 9.732410896360821004e-03 6.097556880560565939e-04 3.078926022673331587e-05 1.498244960158936221e-03 0.000000000000000000e+00 4.540340042430564693e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.855873955702284805e-04 3.612925961466788640e-08 1.855400121829552434e-09 5.930060033513888731e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.850000000000000000e+03 2.367977031806046639e+01 9.109885514540142504e-01 0.000000000000000000e+00 6.613950498978682369e-02 0.000000000000000000e+00 1.226369684551992072e-02 7.295306018709544864e-04 3.722462959879368105e-05 2.038885598616971793e-03 0.000000000000000000e+00 6.956460296337541699e-10 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.311610276340671099e-04 5.602141298177484054e-08 2.712378987233632522e-09 7.171385423520266339e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.875000000000000000e+03 2.414363934572935122e+01 9.059742290637929907e-01 0.000000000000000000e+00 6.577545510048367350e-02 0.000000000000000000e+00 1.526125962831128072e-02 8.641273174444586477e-04 4.454268018841455926e-05 2.726625792230751803e-03 0.000000000000000000e+00 1.040565731330565365e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.066428010683984566e-04 8.473664541998968884e-08 3.886914838715598430e-09 8.547027952354046762e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.900000000000000000e+03 2.464744724887771099e+01 9.001750288333794092e-01 0.000000000000000000e+00 6.535442149774609022e-02 0.000000000000000000e+00 1.876121263307735029e-02 1.013624725168360552e-03 5.276689494976803674e-05 3.585200739402399309e-03 0.000000000000000000e+00 1.520832161906787089e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.014187858457323834e-03 1.251147478837198511e-07 5.463633392569351285e-09 1.004342471860581593e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.925000000000000000e+03 2.518998733593044648e+01 8.935661862196889738e-01 0.000000000000000000e+00 6.487460946453257882e-02 0.000000000000000000e+00 2.278807209722102239e-02 1.177699841848554342e-03 6.189908666700973496e-05 4.636925232121417648e-03 0.000000000000000000e+00 2.173233262079036988e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.254934350729289012e-03 1.804139096993369281e-07 7.537006541084067864e-09 1.163948358304163315e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.950000000000000000e+03 2.576925602071261423e+01 8.861524244803501427e-01 0.000000000000000000e+00 6.433635573297900867e-02 0.000000000000000000e+00 2.734881478229875609e-02 1.355548255099757330e-03 7.191419907683397304e-05 5.900402466810806927e-03 0.000000000000000000e+00 3.037723008524164719e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.528594212786825142e-03 2.541270589806322066e-07 1.020721228208334885e-08 1.330567849860367184e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.975000000000000000e+03 2.638178882650609580e+01 8.779785214079638411e-01 0.000000000000000000e+00 6.374291744290219719e-02 0.000000000000000000e+00 3.242574111724281366e-02 1.545807579620266234e-03 8.275514988669976165e-05 7.387561636147457582e-03 0.000000000000000000e+00 4.154534636905961229e-09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.833001087082220459e-03 3.496418026124255978e-07 1.357318125481458909e-08 1.500332720963604149e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
