# z(m),p_tot(bar),T(K),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar)
6.311463874745960347e+05,1.000003894223152416e-06,9.414833647597581603e+02,1.020004418562705977e-08,5.882618669650700530e-07,3.889408119218414325e-07,1.260117115061329712e-08,1.565119084908683263e-23,1.227222984974512931e-22
6.311462860947784502e+05,1.000007788461582600e-06,9.414833647653384787e+02,1.020008390702379800e-08,5.882641577879711858e-07,3.889423265443476899e-07,1.260122022223981173e-08,1.565137369405723175e-23,1.227222985498599094e-22
6.311460833351444453e+05,1.000015576968998197e-06,9.414833647764992293e+02,1.020016335012910831e-08,5.882687394517471731e-07,3.889453558012441299e-07,1.260131836587767185e-08,1.565173938970419400e-23,1.227222986546830665e-22
6.311458805755105568e+05,1.000023365537525316e-06,9.414833647876599798e+02,1.020024279385767936e-08,5.882733211514730385e-07,3.889483850819087909e-07,1.260141651028568013e-08,1.565210509391789166e-23,1.227222987595017802e-22
6.311456778158766683e+05,1.000031154167164168e-06,9.414833647988208440e+02,1.020032223820949461e-08,5.882779028871484645e-07,3.889514143863422022e-07,1.260151465546385146e-08,1.565247080669706695e-23,1.227222988643223512e-22
6.311436502195363864e+05,1.000109043824807487e-06,9.414833649104346023e+02,1.020111671601406674e-08,5.883237222211914494e-07,3.889817087380023715e-07,1.260249614959964900e-08,1.565612840565100915e-23,1.227222999125913262e-22
6.311416226231959881e+05,1.000186939594167485e-06,9.414833650220570007e+02,1.020191125615880961e-08,5.883695451505096129e-07,3.890120054667495989e-07,1.260347772074928353e-08,1.565978686141008538e-23,1.227223009609406346e-22
6.311395950268555898e+05,1.000264841475724854e-06,9.414833651336880394e+02,1.020270585864859200e-08,5.884153716753858640e-07,3.890423045727713963e-07,1.260445936891888115e-08,1.566344617417494960e-23,1.227223020093669378e-22
6.311375674305151915e+05,1.000342749469963250e-06,9.414833652453278319e+02,1.020350052348844979e-08,5.884612017961043821e-07,3.890726060562559110e-07,1.260544109411440583e-08,1.566710634414694341e-23,1.227223030578772183e-22
6.311172914671143517e+05,1.001122165716113496e-06,9.414833663622040376e+02,1.021145060222556347e-08,5.889197008371636162e-07,3.893757516928884113e-07,1.261526258383587188e-08,1.570375523455497774e-23,1.227223135474957792e-22
