z(m),p_tot(bar),T(K),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar)
0.000000000000000000e+00,1.530075999999999965e+02,3.027029090050801187e+03,1.031031372964218562e+01,1.191780053694887016e+02,1.561069758526499207e+01,1.841436956071470232e-01,4.591327200379100737e-12,7.724439619992359063e+00
2.145294587635753942e+03,1.478974926006229396e+02,3.012544302715682534e+03,9.980640026588671887e+00,1.156502438529925456e+02,1.478141466146997196e+01,1.745840921884829477e-01,3.989370294607185259e-12,7.310609967379273932e+00
6.261445515200191039e+03,1.386122974371897669e+02,2.984780187533805929e+03,9.380290940973946334e+00,1.091996858667579460e+02,1.330215970030384831e+01,1.575291777480410937e-01,3.042086649615665655e-12,6.572631751402954414e+00
1.037759644276462677e+04,1.298244549408228750e+02,2.957043273267727272e+03,8.809805850199678545e+00,1.030244482415528040e+02,1.194990132301406049e+01,1.419340957402305814e-01,2.310751039629735438e-12,5.898365430313806002e+00
1.362594282528948679e+04,1.232263455554726761e+02,2.935172993316593875e+03,8.379940234786877440e+00,9.834093379051830652e+01,1.096657963920840650e+01,1.305878792323740822e-01,1.854798509136041517e-12,5.408304011724851534e+00
1.687428920781434499e+04,1.169143278623001692e+02,2.913319105501315335e+03,7.967431721020701296e+00,9.382111632320527406e+01,1.005268859777021540e+01,1.200355477183683295e-01,1.485073225864490877e-12,4.953055672584130598e+00
2.012263559033920683e+04,1.108783915509718128e+02,2.891481358082425686e+03,7.571749002671245066e+00,8.946154953034965729e+01,9.204247033824955793e+00,1.102301148159754718e-01,1.186006585773848506e-12,4.530615869308770804e+00
2.337098197286406503e+04,1.051087774478052523e+02,2.869659493287008900e+03,7.192370671732402521e+00,8.525877792706734226e+01,8.417438635771398836e+00,1.011268167606307472e-01,9.447014822673483956e-13,4.139063396472546508e+00
2.661932835538892687e+04,9.959597434405402794e+01,2.847853247260176431e+03,6.828785183647274160e+00,8.120933867993609567e+01,7.688608709622958948e+00,9.268303751027859305e-02,7.504990120204017697e-13,3.776558733336677243e+00
2.986767473791378507e+04,9.433071581916732384e+01,2.826062350015492484e+03,6.480490824240859205e+00,7.730976356536007188e+01,7.014260850117000956e+00,8.485823510543571979e-02,5.946111626563166303e-13,3.441342344343354842e+00
