# z(m),p_tot(bar),T(K),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar)
6.238657340812807670e+05,1.000003894698942258e-06,1.031020842004754286e+03,2.552308019280745487e-08,8.498316633948193988e-07,4.057489846620852718e-13,1.545491244095059836e-14,9.860931714837976077e-49,1.246487299074180481e-07
6.238656361485837260e+05,1.000007789413162282e-06,1.031020842010852903e+03,2.552317959756421844e-08,8.498349732345313735e-07,4.057497748766267327e-13,1.545494253972970132e-14,9.860970125748141161e-49,1.246492153763492908e-07
6.238654402831912739e+05,1.000015578872157986e-06,1.031020842023050363e+03,2.552337840785764126e-08,8.498415929399219648e-07,4.057513553073149928e-13,1.545500273734856748e-14,9.861046947870915035e-49,1.246501863180202216e-07
6.238652444177987054e+05,1.000023368392265000e-06,1.031020842035247824e+03,2.552357721971080907e-08,8.498482126972466872e-07,4.057529357442389648e-13,1.545506293520526889e-14,9.861123770596289793e-49,1.246511572673087314e-07
6.238650485524061369e+05,1.000031157973483747e-06,1.031020842047445512e+03,2.552377603312372850e-08,8.498548325065060701e-07,4.057545161874146027e-13,1.545512313329977085e-14,9.861200593924497887e-49,1.246521282242144762e-07
6.238630898984766100e+05,1.000109057146925800e-06,1.031020842169427397e+03,2.552576425304219314e-08,8.499210334555895531e-07,4.057703209626759065e-13,1.545572512732916555e-14,9.861968860366670813e-49,1.246618382122476394e-07
6.238611312445471995e+05,1.000186962432084108e-06,1.031020842291418830e+03,2.552775262894997734e-08,8.499872395985860009e-07,4.057861263625265284e-13,1.545632714514837425e-14,9.862737187101888545e-49,1.246715489620945061e-07
6.238591725906176725e+05,1.000264873829439576e-06,1.031020842413419587e+03,2.552974116085935647e-08,8.500534509359033658e-07,4.058019323869972150e-13,1.545692918675769041e-14,9.863505574134218221e-49,1.246812604738150569e-07
6.238572139366881456e+05,1.000342791339475224e-06,1.031020842535429892e+03,2.553172984878264227e-08,8.501196674679525646e-07,4.058177390361047786e-13,1.545753125215836043e-14,9.864274021468469919e-49,1.246909727474698283e-07
6.238376273973928764e+05,1.001122302743528955e-06,1.031020843756056138e+03,2.555162531149353311e-08,8.507821185890066002e-07,4.059758398880603544e-13,1.546355321490203571e-14,9.871961812484413082e-49,1.247881374036358554e-07
6.238180408580976073e+05,1.001902425947135195e-06,1.031020844977633487e+03,2.557153638916217712e-08,8.514450896349347232e-07,4.061340032317960103e-13,1.546957755783294827e-14,9.879655638966969396e-49,1.248853783194575671e-07
6.237984543188024545e+05,1.002683161433877971e-06,1.031020846200162850e+03,2.559146309413111158e-08,8.521085810167008023e-07,4.062922290923738447e-13,1.547560428190594167e-14,9.887355505689727890e-49,1.249826955552126338e-07
6.237788677795071853e+05,1.003464509687729461e-06,1.031020847423644909e+03,2.561140543875273708e-08,8.527725931455982022e-07,4.064505174948781199e-13,1.548163338807565435e-14,9.895061417429922368e-49,1.250800891712275888e-07
6.235830023865521653e+05,1.011311801173616227e-06,1.031020859711026105e+03,2.581169179061060750e-08,8.594414462514556827e-07,4.080368468500223095e-13,1.554205567549140902e-14,9.972454064524219363e-49,1.260582395526476222e-07
6.233871369935971452e+05,1.019220904596735916e-06,1.031020872094499055e+03,2.601355576832002931e-08,8.661628289212530544e-07,4.096294580502634669e-13,1.560271722572594466e-14,1.005045649636427755e-48,1.270440946749876710e-07
6.231912716006421251e+05,1.027192310350473160e-06,1.031020884574820911e+03,2.621700988819086248e-08,8.729371579054427946e-07,4.112283763416713295e-13,1.566361900024905097e-14,1.012907355349139904e-48,1.280377156648442037e-07
6.229954062076871051e+05,1.035226512717715672e-06,1.031020897152754515e+03,2.642206676580476185e-08,8.797648532598907910e-07,4.128336270676159853e-13,1.572476196423373995e-14,1.020831011488197393e-48,1.290391641336308105e-07
6.227995408147320850e+05,1.043324009938145514e-06,1.031020909829068842e+03,2.662873911773261255e-08,8.866463384030597470e-07,4.144452356763527520e-13,1.578614708684808345e-14,1.028817109861222024e-48,1.300485021859707113e-07
6.223503542453667615e+05,1.062136097091619885e-06,1.031020939275930914e+03,2.710887985761872089e-08,9.026333890946836077e-07,4.181653554212306792e-13,1.592784399111062756e-14,1.047370466309352662e-48,1.323933940461182304e-07
6.219011676760015544e+05,1.081289865248041637e-06,1.031020969253777821e+03,2.759774132055666439e-08,9.189108101414471314e-07,4.219193588171800378e-13,1.607083145181315716e-14,1.066260906222090186e-48,1.347808757958476372e-07
6.215343733901621308e+05,1.097188111816594841e-06,1.031020994133455815e+03,2.800351213478660633e-08,9.324215956893888360e-07,4.250101311277224687e-13,1.618855684962071044e-14,1.081940659792727255e-48,1.367625627937313256e-07
6.211675791043225909e+05,1.113321815424609185e-06,1.031021019378957590e+03,2.841529251823644624e-08,9.461324794100813749e-07,4.281238776125942398e-13,1.630715728337494831e-14,1.097852706744548279e-48,1.387735990652566329e-07
6.208007848184831673e+05,1.129694488410440483e-06,1.031021044995701459e+03,2.883317211631476887e-08,9.600464461900498901e-07,4.312607715716273839e-13,1.642663935292079531e-14,1.114000514358638785e-48,1.408144224166648787e-07
6.204339905326437438e+05,1.146309695870990273e-06,1.031021070989186228e+03,2.925724192098664206e-08,9.741665257515585051e-07,4.344209876306459130e-13,1.654700970858459727e-14,1.130387602061113540e-48,1.428854772304478684e-07
6.200671962468043203e+05,1.163171056470893539e-06,1.031021097364993011e+03,2.968759429142635130e-08,9.884957933402779400e-07,4.376047017539610716e-13,1.666827505164880414e-14,1.147017542225075731e-48,1.449872145662128670e-07
6.197004019609648967e+05,1.180282243250989641e-06,1.031021124128786141e+03,3.012432297465209504e-08,1.003037370412349617e-06,4.408120912544005487e-13,1.679044213473455181e-14,1.163893960971607159e-48,1.471200922614546121e-07
6.189668133892873302e+05,1.215269064353310619e-06,1.031021178843412144e+03,3.101729133327567043e-08,1.032770174096211401e-06,4.472986124452795884e-13,1.703750879060371333e-14,1.198401012347852528e-48,1.514811345877031048e-07
6.182332248176098801e+05,1.251300662597694036e-06,1.031021235180092162e+03,3.193692553561458994e-08,1.063390859489874134e-06,4.538819970760311646e-13,1.728826473912383877e-14,1.233938871399401800e-48,1.559724064019440854e-07
6.174996362459324300e+05,1.288408465438536616e-06,1.031021293187268157e+03,3.288402770456294903e-08,1.094926134551425043e-06,4.605637132844867343e-13,1.754276589083031952e-14,1.270538566831920561e-48,1.605978250760705404e-07
6.167660476742549799e+05,1.326624852516954665e-06,1.031021352914840236e+03,3.385942426567680908e-08,1.127403516434747753e-06,4.673452518158350265e-13,1.780106901687966753e-14,1.308232068752972742e-48,1.653614266702102975e-07
6.160324591025774134e+05,1.365983184720703822e-06,1.031021414414208721e+03,3.486396668887067663e-08,1.160851356185482551e-06,4.742281263783398979e-13,1.806323176257524859e-14,1.347052317480682861e-48,1.702673695549931531e-07
6.152988705308999633e+05,1.406517834141788553e-06,1.031021477738321892e+03,3.589853225302547596e-08,1.195298864199869201e-06,4.812138740056073728e-13,1.832931266114398395e-14,1.387033253248433294e-48,1.753199381457077435e-07
6.145652819592225133e+05,1.448264214943325307e-06,1.031021542941721464e+03,3.696402483380368926e-08,1.230776136456300645e-06,4.883040554226617348e-13,1.859937114765450721e-14,1.428209846815349395e-48,1.805235467497949975e-07
6.133573875149270752e+05,1.519739246898735937e-06,1.031021654546956825e+03,3.878828157886392739e-08,1.291517669819407896e-06,5.002101873462191808e-13,1.905286429192377473e-14,1.498710459673296514e-48,1.894327762374127019e-07
6.121494930706316372e+05,1.594768298022396980e-06,1.031021771661088451e+03,4.070324754578132519e-08,1.355279511094301313e-06,5.124109802310056704e-13,1.951758017104409556e-14,1.572718171237884284e-48,1.987850074537539238e-07
6.109415986263361992e+05,1.673529404869069449e-06,1.031021894558083886e+03,4.271346676145122282e-08,1.422212960886621486e-06,5.249138381339334963e-13,1.999380073653009025e-14,1.650408822352478125e-48,2.086024323133574924e-07
6.097337041820407612e+05,1.756209588363137916e-06,1.031022023525636541e+03,4.482371256083961802e-08,1.492476954979034293e-06,5.377263542728782805e-13,2.048181513978317337e-14,1.731967143147645922e-48,2.189083626150947925e-07
6.085258097377453232e+05,1.843005310470743396e-06,1.031022158865858955e+03,4.703899924262654425e-08,1.566238452424416311e-06,5.508563159610348851e-13,2.098191991964015082e-14,1.817587206484207571e-48,2.297272869654651020e-07
6.073179152934498852e+05,1.934122954281146202e-06,1.031022300896010393e+03,4.936459432232340811e-08,1.643672843532886734e-06,5.643117096790625084e-13,2.149441919513831143e-14,1.907472904804859606e-48,2.410849306198073350e-07
6.061100208491544472e+05,2.029779328659175445e-06,1.031022449949262182e+03,5.180603141251766554e-08,1.724964378740050947e-06,5.781007262819549056e-13,2.201962486338373223e-14,2.001838451572798284e-48,2.530083183862557063e-07
6.049021264048590092e+05,2.130202198752525758e-06,1.031022606375500800e+03,5.436912376301143944e-08,1.810306619447448575e-06,5.922317663472039018e-13,2.255785680276082530e-14,2.100908908600220525e-48,2.655258407524429451e-07
6.033254176372570219e+05,2.268857794094727500e-06,1.031022822269388826e+03,5.790802977325861832e-08,1.928140129480894906e-06,6.112064555504526409e-13,2.328057513234271358e-14,2.237701807061716426e-48,2.828090003535434009e-07
6.017487088696550345e+05,2.416607415033262327e-06,1.031023052218998146e+03,6.167904258183659238e-08,2.053702004742210493e-06,6.307983537435637401e-13,2.402680011943612364e-14,2.383472435272794418e-48,3.012257128840612186e-07
6.001720001020530472e+05,2.574052016087911066e-06,1.031023297146393134e+03,6.569750035087962298e-08,2.187502953743511795e-06,6.510278557195929274e-13,2.479730831595624943e-14,2.538814852246217954e-48,3.208508861683563238e-07
5.985952913344510598e+05,2.741832560742812852e-06,1.031023558034581356e+03,6.997976239134889417e-08,2.330087685771628852e-06,6.719160424618666972e-13,2.559290238204267896e-14,2.704362773572159932e-48,3.417644150708899730e-07
5.970185825668491889e+05,2.920632704715269014e-06,1.031023835931570602e+03,7.454327764810528112e-08,2.482037191207550638e-06,6.934847048219387904e-13,2.641441198504656927e-14,2.880792245531412481e-48,3.640515159604963695e-07
