z(m),p_tot(bar),T(K),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar)
0.000000000000000000e+00,2.065379342903371196e+02,1.307456276252026782e+03,6.791118997203187746e+01,1.223741520508711034e+02,1.240648837073621280e+01,3.845456286905141408e+00,6.476097897399892781e-04,3.041851763812054881e-12
3.930125185169148949e+02,2.040784225321968393e+02,1.304922867371795746e+03,6.708699710582722275e+01,1.209324249287919457e+02,1.224321526415777583e+01,3.815127276663349498e+00,6.579567537775031028e-04,2.758712277757168037e-12
7.979876632836812860e+02,2.015704631227756352e+02,1.302311578155304460e+03,6.624666865630470625e+01,1.194622002122104334e+02,1.207682445124200399e+01,3.784100912760255842e+00,6.688902557550104868e-04,2.493454953778107535e-12
8.639460964927932309e+02,2.011644768208776668e+02,1.301886203634343929e+03,6.611064682339871013e+01,1.192241918008317754e+02,1.204989896634591062e+01,3.779068533010178310e+00,6.706972886390104175e-04,2.452636559067943197e-12
9.299045297019050622e+02,2.007591841742947736e+02,1.301460808613807103e+03,6.597486014226014106e+01,1.189865873238841090e+02,1.202302220788794607e+01,3.774041988476104947e+00,6.725117841082569334e-04,2.412459019270138319e-12
9.958629629110168935e+02,2.003545841984503397e+02,1.301035393074766944e+03,6.583930827725184542e+01,1.187493862100177893e+02,1.199619410472379144e+01,3.769021272675650902e+00,6.743337788732297429e-04,2.372912711312846565e-12
1.061821396120128838e+03,1.999506759099017472e+02,1.300609956998276175e+03,6.570399089312518015e+01,1.185125878885406223e+02,1.196941458579195938e+01,3.764006379131842994e+00,6.761633098536105673e-04,2.333988149887680319e-12
1.127779829329240783e+03,1.995474583263284956e+02,1.300184500365366148e+03,6.556890765501555052e+01,1.182761917894101060e+02,1.194268358011336240e+01,3.758997301372971833e+00,6.780004141795897138e-04,2.295675985576358643e-12
1.134375672650434808e+03,1.995071745189598573e+02,1.300141953570741180e+03,6.555541219635502159e+01,1.182525742797994610e+02,1.194001314504420108e+01,3.758496713216262997e+00,6.781845425820314660e-04,2.291878095043162829e-12
1.140971515971628833e+03,1.994668976078476703e+02,1.300099406570343035e+03,6.554191907547533447e+01,1.182289607861488605e+02,1.193734319432773106e+01,3.757996183146274483e+00,6.783687471286180271e-04,2.288086227076066261e-12
1.147567359292823085e+03,1.994266275920114708e+02,1.300056859364152842e+03,6.552842829204223563e+01,1.182053513078893303e+02,1.193467372789312542e+01,3.757495711156564777e+00,6.785530278568801393e-04,2.284300372545994315e-12
1.154163202614017109e+03,1.993863644704750300e+02,1.300014311952151729e+03,6.551493984572296370e+01,1.181817458444545110e+02,1.193200474566970648e+01,3.756995297240698584e+00,6.787373848043021414e-04,2.280520522337196112e-12
1.154822786945570670e+03,1.993823385374693942e+02,1.300010057199631319e+03,6.551359112961917219e+01,1.181793855189040841e+02,1.193173787407619990e+01,3.756945259042940410e+00,6.787558246925432751e-04,2.280142867203453625e-12
1.155482371277124230e+03,1.993783126733959534e+02,1.300005802445052495e+03,6.551224243688284332e+01,1.181770252334955700e+02,1.193147100732405086e+01,3.756895221425815556e+00,6.787742653433784983e-04,2.279765272012739189e-12
1.156141955608677790e+03,1.993742868782536561e+02,1.300001547688415485e+03,6.551089376751366444e+01,1.181746649882284288e+02,1.193120414541318119e+01,3.756845184389337788e+00,6.787927067568574674e-04,2.279387736756050348e-12
1.156207914041267259e+03,1.993738843025306267e+02,1.300001122212638620e+03,6.551075890186186257e+01,1.181744289659094704e+02,1.193117745948834951e+01,3.756840180717661681e+00,6.787945509401731824e-04,2.279349986526380519e-12
1.156273872473856727e+03,1.993734817274968805e+02,1.300000696736841064e+03,6.551062403644385768e+01,1.181741929439919403e+02,1.193115077361197152e+01,3.756835177051749408e+00,6.787963951310928409e-04,2.279312236895956596e-12
1.156339830906446423e+03,1.993730791531525597e+02,1.300000271262106935e+03,6.551048917126607307e+01,1.181739569224692445e+02,1.193112408779056288e+01,3.756830173385051541e+00,6.787982393144473704e-04,2.279274487960977907e-12
1.156405789339035891e+03,1.993726765794967548e+02,1.299999845778680083e+03,6.550997347778258018e+01,1.181741025529476730e+02,1.193071583876912456e+01,3.757205620366481646e+00,6.790896285824903284e-04,2.278748681984978656e-12
1.156438768555330626e+03,1.993724752929270778e+02,1.299999633034248973e+03,6.550990604564297826e+01,1.181739845422931410e+02,1.193070249614490486e+01,3.757203118292772981e+00,6.790905510176449555e-04,2.278729811493385634e-12
1.156471747771625360e+03,1.993722740065297216e+02,1.299999420289812633e+03,6.550983861356174032e+01,1.181738665317389660e+02,1.193068915353279635e+01,3.757200616220514711e+00,6.790914734547334741e-04,2.278710941151504629e-12
1.156504726987920094e+03,1.993720727203046863e+02,1.299999207545371291e+03,6.550977118153895162e+01,1.181737485212850629e+02,1.193067581093280261e+01,3.757198114149697510e+00,6.790923958937018909e-04,2.278692070959426921e-12
1.156587175030071649e+03,1.993715695054960690e+02,1.299998675684245654e+03,6.550960260173752658e+01,1.181734534955895271e+02,1.193064245448572436e+01,3.757191858979013865e+00,6.790947019994747046e-04,2.278644896134576994e-12
1.156669623072223203e+03,1.993710662917644640e+02,1.299998143823088185e+03,6.550943402230119261e+01,1.181731584705211588e+02,1.193060909811428871e+01,3.757185603817432717e+00,6.790970081171935832e-04,2.278597722245784923e-12
1.156752071114374530e+03,1.993705630791098713e+02,1.299997611961898656e+03,6.550926544322997813e+01,1.181728634460798446e+02,1.193057574181861469e+01,3.757179348664876350e+00,6.790993142468115806e-04,2.278550549293094330e-12
1.156958191217631338e+03,1.993693050521852683e+02,1.299996282308785567e+03,6.550884399714917095e+01,1.181721258877208101e+02,1.193049235141007003e+01,3.757163710823303138e+00,6.791050796230586320e-04,2.278432621006592042e-12
1.157164311320888373e+03,1.993680470319920062e+02,1.299994952655473298e+03,6.550842255335025754e+01,1.181713883332816692e+02,1.193040896147434182e+01,3.757148073038379721e+00,6.791108450737861442e-04,2.278314698570333119e-12
1.157370431424145181e+03,1.993667890185299996e+02,1.299993623001961851e+03,6.550800111183322372e+01,1.181706507827623511e+02,1.193032557201141231e+01,3.757132435310149621e+00,6.791166105990122234e-04,2.278196781983998076e-12
1.157885731682994447e+03,1.993636440143241373e+02,1.299990298867311139e+03,6.550694751802356564e+01,1.181688069236135874e+02,1.193011710042229012e+01,3.757093341237689010e+00,6.791310247381012431e-04,2.277902016109481936e-12
1.158401031941843939e+03,1.993604990521880893e+02,1.299986974731415103e+03,6.550589393847519659e+01,1.181669630889637546e+02,1.192990863178785865e+01,3.757054247519632462e+00,6.791454393428780810e-04,2.277607286790717742e-12
1.158916332200693205e+03,1.993573541321214293e+02,1.299983650594273513e+03,6.550484037318801711e+01,1.181651192788127105e+02,1.192970016610802375e+01,3.757015154156008840e+00,6.791598544133823105e-04,2.277312594023423380e-12
1.160204582849231429e+03,1.993494920160046604e+02,1.299975340245971211e+03,6.550220652236123442e+01,1.181605098606147664e+02,1.192917901483476406e+01,3.756917422297456621e+00,6.791958941272796535e-04,2.276576021989162036e-12
1.161492833497769425e+03,1.993416301628112137e+02,1.299967029889884770e+03,6.549957276066324141e+01,1.181559005955276689e+02,1.192865788202739274e+01,3.756819692653841525e+00,6.792319367522990778e-04,2.275839678306605565e-12
1.162781084146307649e+03,1.993337685725338133e+02,1.299958719526014193e+03,6.549693908809150855e+01,1.181512914835474390e+02,1.192813676768515663e+01,3.756721965225130688e+00,6.792679822887313663e-04,2.275103562908027745e-12
1.174147818050113983e+03,1.992644141128849355e+02,1.299885393632887826e+03,6.547370503815278653e+01,1.181106301399016587e+02,1.192353957438259116e+01,3.755859774293410780e+00,6.795861522213469995e-04,2.268618414686989176e-12
1.185514551953920318e+03,1.991950801162336120e+02,1.299812067133633946e+03,6.545047792497894079e+01,1.180699807127058847e+02,1.191894381823588311e+01,3.754997755761677158e+00,6.799045490284535065e-04,2.262150987203902231e-12
1.245891980550067274e+03,1.988271369856346098e+02,1.299422563776668085e+03,6.532721715251948069e+01,1.178542601151416420e+02,1.189455631452687712e+01,3.750421803835025436e+00,6.815996093507459318e-04,2.228092699041428527e-12
1.306269409146214230e+03,1.984597703231944763e+02,1.299033043300125655e+03,6.520415179568982467e+01,1.176388752206417792e+02,1.187020929549636605e+01,3.745850710259019944e+00,6.833011053098606404e-04,2.194526216977568414e-12
1.366646837742360958e+03,1.980929793787593383e+02,1.298643505689027052e+03,6.508128159878110353e+01,1.174238255938808067e+02,1.184590270695082914e+01,3.741284470078424906e+00,6.850090660151393054e-04,2.161444748316917314e-12
2.170707611244536110e+03,1.932628573319933878e+02,1.293454298596657509e+03,6.346347082702645537e+01,1.145917089813072351e+02,1.152603410530472594e+01,3.680935033182596072e+00,7.083851706075277406e-04,1.763994615036780252e-12
3.203838005139097277e+03,1.872035434316936460e+02,1.286782211471926303e+03,6.143454024002395641e+01,1.110382811885207133e+02,1.112534564057243891e+01,3.604636134469494380e+00,7.402281056966047903e-04,1.355226414176537603e-12
4.236968399033657988e+03,1.813060152124651836e+02,1.280104967415105875e+03,5.946043998731208546e+01,1.075790825039357372e+02,1.073600520333062924e+01,3.529713260672788344e+00,7.742572129266204377e-04,1.038179533332278010e-12
5.270098792928219154e+03,1.755666718633955838e+02,1.273422488454792983e+03,5.753994288097797494e+01,1.042120232007157909e+02,1.035775279472371402e+01,3.456142333620110030e+00,8.106533572596367424e-04,7.929717868557882903e-13
