 z(m),p_tot(bar),T(K),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar)
0.000000000000000000e+00,3.837953427883999780e+02,1.288883946091517146e+03,1.875559666165735848e+02,1.862699923617738023e+02,0.000000000000000000e+00,9.969377686150597384e+00,0.000000000000000000e+00,6.123901974748138990e-06
1.419869006129006493e+03,3.689658313884494305e+02,1.287613362436171883e+03,1.803089705356370871e+02,1.790726851846500267e+02,0.000000000000000000e+00,9.584169780882469070e+00,0.000000000000000000e+00,5.887279837838112808e-06
3.023410108085761749e+03,3.529349691245134295e+02,1.286106407689141406e+03,1.724748893668424898e+02,1.712923182584616484e+02,0.000000000000000000e+00,9.167755867720551066e+00,0.000000000000000000e+00,5.631488747821789822e-06
4.626951210042516323e+03,3.375898885089856662e+02,1.284512179696708472e+03,1.649759410816848515e+02,1.638447863830656104e+02,0.000000000000000000e+00,8.769155657595103293e+00,0.000000000000000000e+00,5.386640103225522220e-06
6.230492311999271806e+03,3.229006405180032289e+02,1.282814876751848715e+03,1.577974899681229317e+02,1.567155541959281777e+02,0.000000000000000000e+00,8.387591201696086074e+00,0.000000000000000000e+00,5.152256032470556825e-06
7.834033413956027289e+03,3.088384808254139671e+02,1.280998284905490209e+03,1.509254890347652918e+02,1.498906710186125224e+02,0.000000000000000000e+00,8.022315844158258713e+00,0.000000000000000000e+00,4.927877886334089600e-06
9.437574515912781862e+03,2.953758343675992819e+02,1.279045910624014141e+03,1.443464626941440940e+02,1.433567536587841573e+02,0.000000000000000000e+00,7.672613301605340830e+00,0.000000000000000000e+00,4.713065672539713955e-06
1.104111561786953644e+04,2.824862610241439711e+02,1.276941115280755866e+03,1.380474899912891544e+02,1.371009697537781449e+02,0.000000000000000000e+00,7.337796771679149899e+00,0.000000000000000000e+00,4.507397508152512618e-06
1.264465671982629283e+04,2.701444221639557668e+02,1.274667247367238588e+03,1.320161882552365284e+02,1.311110215342006597e+02,0.000000000000000000e+00,7.017208064049460958e+00,0.000000000000000000e+00,4.310469085783406420e-06
1.424819782178304740e+04,2.583260478292902462e+02,1.272207768653612220e+03,1.262406970622733411e+02,1.253751298971298098e+02,0.000000000000000000e+00,6.710216747993944075e+00,0.000000000000000000e+00,4.121893149972029501e-06
1.585173892373980198e+04,2.470079043611662541e+02,1.269546371004485991e+03,1.207096624148846615e+02,1.198820186935390524e+02,0.000000000000000000e+00,6.416219311443557061e+00,0.000000000000000000e+00,3.941298980612498809e-06
1.745528002569655655e+04,2.361677623059678410e+02,1.266667081119442173e+03,1.154122210581127916e+02,1.146208991521911855e+02,0.000000000000000000e+00,6.134638327331980001e+00,0.000000000000000000e+00,3.768331880865851490e-06
1.905882112765331476e+04,2.257843644821206794e+02,1.263554351071566998e+03,1.103379848741427622e+02,1.095814543812221586e+02,0.000000000000000000e+00,5.864921624103096143e+00,0.000000000000000000e+00,3.602652667626646591e-06
2.066236222961006933e+04,2.158373941247108974e+02,1.260193133120261336e+03,1.054770253149774533e+02,1.047538239075531834e+02,0.000000000000000000e+00,5.606541458243095910e+00,0.000000000000000000e+00,3.443937163233235597e-06
2.226590333156682391e+04,2.063074430634338512e+02,1.256568937846331437e+03,1.008198578514006130e+02,1.001285882324792027e+02,0.000000000000000000e+00,5.358993687678345275e+00,0.000000000000000000e+00,3.291875687709850229e-06
2.386944443352357848e+04,1.971759799224957135e+02,1.252667875160650510e+03,9.635742643266785024e+01,9.569675339791180591e+01,0.000000000000000000e+00,5.121796945743501084e+00,0.000000000000000000e+00,3.146172551358970132e-06
2.506354095658295410e+04,1.906244364190784495e+02,1.249575141675066334e+03,9.315576935760681465e+01,9.251704842944326401e+01,0.000000000000000000e+00,4.951615590393330990e+00,0.000000000000000000e+00,3.041635039499829451e-06
2.625763747964232971e+04,1.842770301605049781e+02,1.246316258305035944e+03,9.005387159176758871e+01,8.943641877221102732e+01,0.000000000000000000e+00,4.786736856171578403e+00,0.000000000000000000e+00,2.940354775286624301e-06
2.745173400270170532e+04,1.781269952040592273e+02,1.242886166501224125e+03,8.704842670387104420e+01,8.645158066542508379e+01,0.000000000000000000e+00,4.626984992539298958e+00,0.000000000000000000e+00,2.842223800218194009e-06
2.864583052576108457e+04,1.721678012827218254e+02,1.239279995877312786e+03,8.413624343439279585e+01,8.355936473037701262e+01,0.000000000000000000e+00,4.472190370814095317e+00,0.000000000000000000e+00,2.747137916273777809e-06
2.983992704882046019e+04,1.663931466525239955e+02,1.235493057278205697e+03,8.131424220015489368e+01,8.075671249899787085e+01,0.000000000000000000e+00,4.322189298374659927e+00,0.000000000000000000e+00,2.654996571784211842e-06
3.103402357187983580e+04,1.607969509928995819e+02,1.231520833360091274e+03,7.857945162481689749e+01,7.804067296813794030e+01,0.000000000000000000e+00,4.176823834241991662e+00,0.000000000000000000e+00,2.565702748148771247e-06
3.222812009493921141e+04,1.553733483705506728e+02,1.227358966777964042e+03,7.592900510040540496e+01,7.540839918467200675e+01,0.000000000000000000e+00,4.035941606310414542e+00,0.000000000000000000e+00,2.479162847565445238e-06
3.342221661799858703e+04,1.501166802771816720e+02,1.223003246065638450e+03,7.336013738494202130e+01,7.285714486645566978e+01,0.000000000000000000e+00,3.899395630497399345e+00,0.000000000000000000e+00,2.395286581939871241e-06
3.461631314105796628e+04,1.450214887511520203e+02,1.218449589279028260e+03,7.087018124108139716e+01,7.038426106401051641e+01,0.000000000000000000e+00,3.767044132073226859e+00,0.000000000000000000e+00,2.313986863133288773e-06
3.546596385199125507e+04,1.414914634437090797e+02,1.215086751731718778e+03,6.914510218225746030e+01,6.867100998004208634e+01,0.000000000000000000e+00,3.675349023748342603e+00,0.000000000000000000e+00,2.257661195411261973e-06
3.631561456292455114e+04,1.380386850234095846e+02,1.211620286451735410e+03,6.745777270757658073e+01,6.699524965084320627e+01,0.000000000000000000e+00,3.585660462421702999e+00,0.000000000000000000e+00,2.202568091798231428e-06
3.716526527385783993e+04,1.346613617851535878e+02,1.208048810802128173e+03,6.580731723324593929e+01,6.535611049604625578e+01,0.000000000000000000e+00,3.497931907182431299e+00,0.000000000000000000e+00,2.148678963551248927e-06
