# z(m),p_tot(bar),T(K),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar)
1.294023034438067582e+06,1.000003877314750604e-06,1.568361690766749462e+03,2.636402476924165784e-08,6.170432946220406771e-07,1.368930678607257595e-08,2.039928456119891552e-10,8.437211900247573505e-36,3.427032582917837701e-07
1.294022843260290567e+06,1.000007754644778762e-06,1.568361690777821195e+03,2.636412772587578091e-08,6.170457209638780936e-07,1.368933425029034291e-08,2.039932493596642756e-10,8.437245974924124166e-36,3.427045784553747080e-07
1.294022460904734908e+06,1.000015509335390946e-06,1.568361690799964890e+03,2.636433363995990508e-08,6.170505736668848655e-07,1.368938917878301351e-08,2.039940568558571810e-10,8.437314124555071408e-36,3.427072187929074323e-07
1.294022078549179249e+06,1.000023264087114227e-06,1.568361690822108812e+03,2.636453955567275448e-08,6.170554264084140604e-07,1.368944410749621211e-08,2.039948643552876195e-10,8.437382274735102077e-36,3.427098591511757349e-07
1.294021696193623822e+06,1.000031018899949454e-06,1.568361690844252962e+03,2.636474547301435230e-08,6.170602791884665256e-07,1.368949903643005784e-08,2.039956718579577884e-10,8.437450425464494141e-36,3.427124995301804628e-07
1.294017872638073284e+06,1.000108570389557997e-06,1.568361691065702871e+03,2.636680473601376245e-08,6.171088091078287426e-07,1.369004833789718316e-08,2.040037470627332917e-10,8.438131962959521417e-36,3.427389044607554353e-07
1.294014049082522746e+06,1.000186127990890420e-06,1.568361691287170061e+03,2.636886416190163839e-08,6.171573428798439813e-07,1.369059766141887094e-08,2.040118225913196059e-10,8.438813555373122772e-36,3.427653114651348310e-07
1.294010225526972441e+06,1.000263691704432919e-06,1.568361691508654530e+03,2.637092375069092713e-08,6.172058805048195029e-07,1.369114700699616675e-08,2.040198984437306897e-10,8.439495202709947482e-36,3.427917205434827624e-07
1.294006401971421903e+06,1.000341261530674232e-06,1.568361691730156281e+03,2.637298350239467498e-08,6.172544219830637334e-07,1.369169637463006153e-08,2.040279746199821561e-10,8.440176904974322752e-36,3.428181316959655129e-07
1.293968166415913031e+06,1.001117296099052554e-06,1.568361693946120795e+03,2.639358998259996098e-08,6.177400487633695312e-07,1.369719126427048758e-08,2.041087541964800022e-10,8.446996949605272393e-36,3.430823573346163946e-07
1.293929930860404391e+06,1.001893942475062385e-06,1.568361696163810166e+03,2.641421276861182018e-08,6.182260612108585318e-07,1.370268836054914463e-08,2.041895661713706939e-10,8.453822491871704975e-36,3.433467905688718966e-07
