# z(m),p_tot(bar),T(K),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar)
1.553485812903972575e+06,1.000003861194006211e-06,1.347423688616088384e+03,9.998824720571638163e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.213891368425676963e-10
1.553485434325771173e+06,1.000007722403290188e-06,1.347423688626211742e+03,9.998863327977406300e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.213896055496200854e-10
1.553484677169366973e+06,1.000015444852413798e-06,1.347423688646458459e+03,9.998940543094465241e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.213905429674339417e-10
1.553483920012963004e+06,1.000023167362648717e-06,1.347423688666705402e+03,9.999017758822561045e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.213914803926660570e-10
1.553483162856558803e+06,1.000030889933995369e-06,1.347423688686952573e+03,9.999094975161702182e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.213924178253164057e-10
1.553475591292522149e+06,1.000108119008720713e-06,1.347423688889432242e+03,9.999867172161610598e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.214017925598388009e-10
1.553468019728485495e+06,1.000185354195179254e-06,1.347423689091927599e+03,1.000063943027143097e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.214111680362563598e-10
1.553460448164448841e+06,1.000262595493863752e-06,1.347423689294438645e+03,1.000141174949609304e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.214205442546288461e-10
1.553452876600412186e+06,1.000339842905269724e-06,1.347423689496965153e+03,1.000218412984054770e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.214299212150164889e-10
1.553377160960044013e+06,1.001112653327999411e-06,1.347423691523091293e+03,1.000991129596356655e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.215237316429543322e-10
1.553301445319675840e+06,1.001886075567944362e-06,1.347423693550782673e+03,1.001764457951605954e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.216176163385690664e-10
1.553225729679307668e+06,1.002660110121025638e-06,1.347423695580040658e+03,1.002538398545663589e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.217115753620598979e-10
1.553150014038939495e+06,1.003434757483579134e-06,1.347423697610866384e+03,1.003312951874805530e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.218056087736763880e-10
1.552392857635262189e+06,1.011215045125852576e-06,1.347423718005624096e+03,1.011092295078324339e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.227500475282976106e-10
1.551635701231584884e+06,1.019057162737793593e-06,1.347423738558529521e+03,1.018933460746053210e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.237019917405877423e-10
1.550878544827907579e+06,1.026961613518394176e-06,1.347423759270839810e+03,1.026836952015900989e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.246615024932022399e-10
1.550121388424230274e+06,1.034928904826343173e-06,1.347423780143821887e+03,1.034803276184969603e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.256286413737366094e-10
1.549364232020552969e+06,1.042959548253896026e-06,1.347423801178753365e+03,1.042832944783412369e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.266034704836933793e-10
1.547663470222228905e+06,1.061232019993178635e-06,1.347423849025567733e+03,1.061103198451686936e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.288215414917026309e-10
1.545962708423904842e+06,1.079832679500872478e-06,1.347423897710824804e+03,1.079701600050096805e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.310794507758182869e-10
1.544582399772829376e+06,1.095174065597682284e-06,1.347423937849659751e+03,1.095041123876480988e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.329417212014911807e-10
1.543202091121753911e+06,1.110738874947303434e-06,1.347423978558850195e+03,1.110604043834625351e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.348311126782537841e-10
1.541821782470678678e+06,1.126530440042531243e-06,1.347424019846703686e+03,1.126393692012798366e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.367480297329680615e-10
1.540441473819603212e+06,1.142552144233211165e-06,1.347424061721651924e+03,1.142413451350145258e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.386928830659656165e-10
1.539061165168527747e+06,1.158807422531746800e-06,1.347424104192252116e+03,1.158666756442098176e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.406660896488271615e-10
1.537680856517452281e+06,1.175299762417540424e-06,1.347424147267189483e+03,1.175157094344718470e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.426680728220324556e-10
1.534920239215301583e+06,1.209009844141335403e-06,1.347424235265467132e+03,1.208863084046590310e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.467600947452858368e-10
1.532159621913150884e+06,1.243711370033793231e-06,1.347424325788595297e+03,1.243560397567037588e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.509724667557057309e-10
1.529399004610999953e+06,1.279434214055184622e-06,1.347424418910856957e+03,1.279278905239971213e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.553088152135414304e-10
1.526638387308849255e+06,1.316209171623071628e-06,1.347424514708774041e+03,1.316049398744738283e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.597728783335155283e-10
1.523877770006698323e+06,1.354067988689833593e-06,1.347424613261176773e+03,1.353903620180119303e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.643685097145061107e-10
1.521117152704547625e+06,1.393043391762749997e-06,1.347424714649273938e+03,1.392874292080766454e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.690996819836445716e-10
1.518356535402396927e+06,1.433169118880914574e-06,1.347424818956727904e+03,1.432995148390358160e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.739704905565621225e-10
1.513876822887095623e+06,1.500819656830305355e-06,1.347424994653491240e+03,1.500637474331048499e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.821824992570152651e-10
1.509397110371794552e+06,1.571745942562791056e-06,1.347425178648509927e+03,1.571555150416173182e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.907921466180122321e-10
1.504917397856493481e+06,1.646110543002030575e-06,1.347425371343822462e+03,1.645910723835608830e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.998191664218991913e-10
1.500437685341192409e+06,1.724084287004914701e-06,1.347425573161429838e+03,1.723875002709558736e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.092842953560935291e-10
1.495957972825891105e+06,1.805846695010564211e-06,1.347425784544310545e+03,1.805627485685396811e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.192093251676035454e-10
1.491478260310590034e+06,1.891586431565235287e-06,1.347426005957488769e+03,1.891356814407641012e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.296171575944240450e-10
1.486998547795288963e+06,1.981501781922096164e-06,1.347426237889157392e+03,1.981261250059877000e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.405318622193483404e-10
1.482518835279987659e+06,2.075801154041972438e-06,1.347426480851860561e+03,2.075549175304565571e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.519787374071703829e-10
1.476706875193336979e+06,2.205038524075355912e-06,1.347426813395123418e+03,2.204770857385727052e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.676666896290992512e-10
1.470894915106686298e+06,2.342531761500547696e-06,1.347427166657810858e+03,2.342247404689950058e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.843568105980384460e-10
1.465082955020035850e+06,2.488821529908635386e-06,1.347427541964473221e+03,2.488519415177888560e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.021147307472205082e-10
1.459270994933385169e+06,2.644484761111138702e-06,1.347427940726462339e+03,2.644163750628077927e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.210104830608518125e-10
1.453459034846734488e+06,2.810137145301232401e-06,1.347428364447759805e+03,2.809796026495881421e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.411188053514671897e-10
1.447647074760083808e+06,2.986435796087945045e-06,1.347428814731201328e+03,2.986073276624180408e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.625194637648815168e-10
1.441835114673433127e+06,3.174082102951908232e-06,1.347429293285133326e+03,3.173696805352872603e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.852975990359942153e-10
1.436023154586782446e+06,3.373824784592506648e-06,1.347429801930525628e+03,3.373415240495376611e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.095440971305331283e-10
1.430211194500131765e+06,3.586463157627487472e-06,1.347430342608575756e+03,3.586027801641459746e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.353559860281467130e-10
1.423068372062882408e+06,3.866719090691585645e-06,1.347431054032319935e+03,3.866249714811105260e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.693758804803934500e-10
1.415925549625633284e+06,4.169450288809133029e-06,1.347431821100515208e+03,4.168944164791709544e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.061240174235127432e-10
1.408782727188383928e+06,4.496504893377626688e-06,1.347432648279578871e+03,4.495959068637346540e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.458247402802764033e-10
1.401639904751134571e+06,4.849886746447643282e-06,1.347433540403504367e+03,4.849298025154875132e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.887212927683614082e-10
1.394497082313885447e+06,5.231768819457463125e-06,1.347434502704850047e+03,5.231133742008467351e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.350774489965613197e-10
1.387354259876636090e+06,5.644507826761734327e-06,1.347435540848401388e+03,5.643822647474353442e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.851792873815669538e-10
1.380211437439386966e+06,6.090660130819554332e-06,1.347436660967743819e+03,6.089920793698197676e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.393371213575646284e-10
1.373068615002137609e+06,6.572999055743124096e-06,1.347437869705003095e+03,6.572201168142079980e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.978876010448475890e-10
1.365925792564888252e+06,7.094533736666368430e-06,1.347439174254031514e+03,7.093672540665019405e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.611960013495683828e-10
1.358782970127639128e+06,7.658529644195946661e-06,1.347440582407348302e+03,7.657599985482547482e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.296587133995110185e-10
1.350622652012263658e+06,8.359388767234636147e-06,1.347442328799425468e+03,8.358374032165739065e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.014735068897102629e-09
1.342462333896888187e+06,9.126075590930357625e-06,1.347444235178621739e+03,9.124967788769053744e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.107802161303996827e-09
1.334302015781512950e+06,9.964930260840406773e-06,1.347446316586299872e+03,9.963720631227961956e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.209629612445190568e-09
1.326141697666137479e+06,1.088291859055137727e-05,1.347448589513730667e+03,1.088159752755822452e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.321062993154454163e-09
1.317981379550762009e+06,1.188769527333713502e-05,1.347451072045255614e+03,1.188625224184068348e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.443031496453301815e-09
1.309821061435386771e+06,1.298767362680932136e-05,1.347453784015914835e+03,1.298609707040556088e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.576556403761227544e-09
1.301660743320011301e+06,1.419210256067052314e-05,1.347456747185033691e+03,1.419037980024261661e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.722760427908751141e-09
1.293500425204635831e+06,1.551115153212559696e-05,1.347459985427418133e+03,1.550926865409983798e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.882878025761650337e-09
1.285340107089260593e+06,1.695600433611515795e-05,1.347463524943984567e+03,1.695394606933186554e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.058266783292487267e-09
1.277179788973885123e+06,1.853896266927656375e-05,1.347467394493841766e+03,1.853671224928949530e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.250419987071901324e-09
1.269019470858509652e+06,2.027356050838359037e-05,1.347471625650056694e+03,2.027109952787507679e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.460980508515063058e-09
1.260859152743134182e+06,2.217469045713032794e-05,1.347476253081573304e+03,2.217199870098938150e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.691756140949495797e-09
1.252698834627758944e+06,2.425874334077014651e-05,1.347481314864013029e+03,2.425579860422532553e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.944736544822378393e-09
1.244538516512383474e+06,2.654376246769576830e-05,1.347486852822378523e+03,2.654054035572246426e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.222111973308295252e-09
1.236378198397008004e+06,2.904961413213813466e-05,1.347492912909002371e+03,2.904608783816873125e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.526293969404765726e-09
1.228217880281632766e+06,3.179817610450812198e-05,1.347499545620440585e+03,3.179431616626160213e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.859938246523780580e-09
1.220057562166257296e+06,3.481354604746091672e-05,1.347506806457402035e+03,3.480932007747308279e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.225969987840277530e-09
1.211897244050881825e+06,3.812227200870104359e-05,1.347514756432246486e+03,3.811764439687554198e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.627611825506755732e-09
1.203736925935506355e+06,4.175360737828246664e-05,1.347523462629065989e+03,4.174853896349288863e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.068414789580368290e-09
1.195576607820131117e+06,4.573979296139256987e-05,1.347532998821901856e+03,4.573424066884411291e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.552292548462488428e-09
1.187416289704755647e+06,5.011636911034131033e-05,1.347543446157244716e+03,5.011028555104313101e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.083559298185155205e-09
1.179255971589380177e+06,5.492252118505362463e-05,1.347554893907624546e+03,5.491585421335623020e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.666971697400140221e-09
1.171095653474004939e+06,6.020146197350898925e-05,1.347567440303828789e+03,6.019415419822011051e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.307775288886774206e-09
1.162935335358629469e+06,6.600085510643548064e-05,1.347581193454092272e+03,6.599284335053819562e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.011755897297729138e-09
1.154775017243253998e+06,7.237328394876591452e-05,1.347596272359503928e+03,7.236449865221865178e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.785296547268383250e-09
1.146614699127878761e+06,7.937677094904186368e-05,1.347612808035862599e+03,7.936713550853532898e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.635440506549263428e-09
1.138454381012503291e+06,8.707535298282992515e-05,1.347630944753316271e+03,8.706478302170375606e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.056996112617708061e-08
1.130294062897127820e+06,9.553971884365928819e-05,1.347650841406335985e+03,9.552812140443465278e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.159743922465058007e-08
1.122133744781752350e+06,1.048479157220787524e-04,1.347672673027916744e+03,1.048351883732322773e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.272734884648234160e-08
1.113973426666377112e+06,1.150861322780374435e-04,1.347696632463392007e+03,1.150721621257191392e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.397015231831213691e-08
1.105813108551001642e+06,1.263495667626557883e-04,1.347722932220890470e+03,1.263342293570267523e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.533740562905247955e-08
1.097652790435626172e+06,1.387433895922857423e-04,1.347751806517286695e+03,1.387265477170102957e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.684187527547178980e-08
1.089492472320250934e+06,1.523838108313318670e-04,1.347783513540503918e+03,1.523653131634893716e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.849766784251229039e-08
1.081332154204875464e+06,1.673992642125660926e-04,1.347818337951246349e+03,1.673789438388361707e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.032037372993908195e-08
1.073171836089499993e+06,1.839317206278505488e-04,1.347856593649687284e+03,1.839093934012553421e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.232722659522957806e-08
1.065011517974124756e+06,2.021381454729340274e-04,1.347898626835332152e+03,2.021136081926753342e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.453728025871738263e-08
1.056851199858749285e+06,2.221921158434905514e-04,1.347944819391251031e+03,2.221651442384777137e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.697160501286551534e-08
