z(m),p_tot(bar),T(K),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar)
0.000000000000000000e+00,1.286811206951699837e+01,3.131550317851223554e+03,1.286645978703585058e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.652282481149605978e-03
1.363151248759900955e+04,1.172519385113303869e+01,3.088663479074127281e+03,1.172368832085139090e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.505530281648951706e-03
2.734264306327868690e+04,1.066855907356457500e+01,3.045614278571471914e+03,1.066718921657536612e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.369856989209611384e-03
4.105377363895835879e+04,9.698087058455824305e+00,3.002649831663055920e+03,9.696841811347251650e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.245247108572293407e-03
5.476490421463803796e+04,8.807431677033225270e+00,2.959766674743050316e+03,8.806300791244753512e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.130885788472178917e-03
6.847603479031771712e+04,7.990669664292708418e+00,2.916961249915376357e+03,7.989643651818800762e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.026012473907527128e-03
7.964545449316030135e+04,7.376087269523516454e+00,2.882145831435235323e+03,7.375140170235833459e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.470992876829824368e-04
9.081487419600288558e+04,6.804063991648471088e+00,2.847377539993751270e+03,6.803190340900537869e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.736507479331893531e-04
1.019842938988454553e+05,6.271952445516467911e+00,2.812654294051841134e+03,6.271147118589538216e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.053269269296364340e-04
1.131537136016880395e+05,5.777253359119947085e+00,2.777973958226524701e+03,5.776511552205080946e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.418069148658646165e-04
1.243231333045306237e+05,5.317608073139767022e+00,2.743334339857982286e+03,5.316925285282978031e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.827878567891845427e-04
1.354925530073732079e+05,4.890791388539231122e+00,2.708733185281243095e+03,4.890163404505009304e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.279840342223600227e-04
1.466619727102158067e+05,4.494704747147026502e+00,2.674168175773009352e+03,4.494127621157485208e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.771259895415065165e-04
1.578313924130583764e+05,4.127369730786213609e+00,2.639636923140260933e+03,4.126839771094958031e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.299596912557195342e-04
1.690008121159009461e+05,3.786921865115270069e+00,2.605136964913265729e+03,3.786435619376858241e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.862457384121313033e-04
1.771663117903370003e+05,3.554031682564320338e+00,2.579933816378386837e+03,3.553575340231053037e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.563423332675480958e-04
1.853318114647730254e+05,3.333919022505726470e+00,2.554745014502583217e+03,3.333490942926943035e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.280795787834938888e-04
1.934973111392090796e+05,3.125960625494899059e+00,2.529569511917943146e+03,3.125559248047269811e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.013774476291572814e-04
2.016628108136451046e+05,2.929560265625265281e+00,2.504406234244873303e+03,2.929184106241649932e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.761593836154939049e-04
2.098283104880811588e+05,2.744147701737329914e+00,2.479254078614924310e+03,2.743795349570300690e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.523521670290932512e-04
2.179938101625171839e+05,2.569177665485995909e+00,2.454111912089297675e+03,2.568847779701297185e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.298857846986942371e-04
2.261593098369532381e+05,2.404128885070674126e+00,2.428978569964122471e+03,2.403820191766033343e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.086933046408499477e-04
2.343248095113892632e+05,2.248503143469458010e+00,2.403852853952706937e+03,2.248214432714322086e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.887107551359592615e-04
2.400320492043354025e+05,2.145068854696090099e+00,2.386295216790590530e+03,2.144793425039406287e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.754296566836655024e-04
2.457392888972815417e+05,2.045848591103461622e+00,2.368740271095908611e+03,2.045585901458865319e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.626896445961503603e-04
