z(m),p_tot(bar),T(K),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar)
0.000000000000000000e+00,1.385514447686457800e+02,3.351090675584118344e+03,2.780380872118877633e+00,7.506486038303734176e+01,5.868001953528916204e+01,2.760651456382154367e-01,9.413634067806690048e-11,1.750118832468059660e+00
4.473676625875015134e+02,1.377391663431710924e+02,3.347979009094774483e+03,2.764556753462226624e+00,7.466943756190207182e+01,5.830834905487043329e+01,2.743590286098958053e-01,9.300457140045255604e-11,1.722463944233459943e+00
4.960393479602265870e+03,1.299351757463940658e+02,3.316623732782056777e+03,2.612286015625876257e+00,7.085335488172093221e+01,5.474804545568040481e+01,2.580586295067121561e-01,8.271338942074975102e-11,1.463430763777415988e+00
9.473419296617030341e+03,1.225068796468752197e+02,3.285302747537052710e+03,2.466664192810586798e+00,6.716837370650949879e+01,5.139166914560762223e+01,2.427656639758679347e-01,7.373213657252423887e-11,1.237406937893059222e+00
1.398644511363179299e+04,1.154400592325545603e+02,3.254015253253587161e+03,2.327509622273528311e+00,6.361453525751029758e+01,4.822841065413605577e+01,2.284157100309280874e-01,6.588206178286445350e-11,1.041187988536675491e+00
1.785310940038719491e+04,1.096623524227091906e+02,3.227234824471478532e+03,2.213291808784026760e+00,6.067386183572569536e+01,4.566390374426259058e+01,2.168246962108598963e-01,5.993888416812156825e-11,8.944703376654294935e-01
2.171977368714259865e+04,1.041312422848507566e+02,3.200477880394777458e+03,2.103574329722695424e+00,5.782905905611232811e+01,4.322718193764077199e+01,2.058445096963474052e-01,5.462862401765189555e-11,7.655824516236463539e-01
2.558643797389799875e+04,9.883835691267317713e+01,3.173743912786203055e+03,1.998243206694168661e+00,5.507971533526239227e+01,4.091214969675829849e+01,1.954404229000161197e-01,4.987733297310131917e-11,6.528082510082576784e-01
2.945310226065339884e+04,9.377550079847790698e+01,3.147032415023260455e+03,1.897184403016431542e+00,5.242526384495067049e+01,3.871294114493738903e+01,1.855794671360470327e-01,4.562002867793769103e-11,5.545319383916578193e-01
3.331976654740879894e+04,8.893465551757914511e+01,3.120342883403151518e+03,1.800283804696932499e+00,4.986497671050393166e+01,3.662392419050511450e+01,1.762304133093937908e-01,4.179961952770414358e-11,4.692403985219387730e-01
3.718643083416420268e+04,8.430798051136059712e+01,3.093674818306401903e+03,1.707427232173233778e+00,4.739796178484839118e+01,3.463970313174059612e+01,1.673637459834153851e-01,3.836595394983053579e-11,3.955246165765823885e-01
4.105309512091960642e+04,7.988781391470521953e+01,3.067027725197042400e+03,1.618500483465994400e+00,4.502316211300785653e+01,3.275511963041221009e+01,1.589516302372329104e-01,3.527498026838215258e-11,3.320800575466555382e-01
4.491975940767500288e+04,7.566667337186709119e+01,3.040401115442311948e+03,1.533389408133336351e+00,4.273935809797512064e+01,3.096525200471822359e+01,1.509678710493184139e-01,3.248800474320818399e-11,2.777059899586102332e-01
