 z(m),p_tot(bar),T(K),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar)
0.000000000000000000e+00,1.852793000000000063e+02,1.744135588415760139e+03,3.681002520307782300e-01,1.845371050902869570e+02,3.707372976342027671e-01,2.062538269474546509e-04,2.923014207858342995e-18,3.151106221110707307e-03
3.917903504948761793e+02,1.831187905976732395e+02,1.741292644218978921e+03,3.638077185514400624e-01,1.823857013357601886e+02,3.661132389591554848e-01,2.043287254182875995e-04,2.913039378181540802e-18,2.963975677036568938e-03
1.242746260569196920e+03,1.785286157910855138e+02,1.735117045181538515e+03,3.546878158125255087e-01,1.778147943156183430e+02,3.563409938525720078e-01,2.002594745502022430e-04,2.894880671928193100e-18,2.592406327525422806e-03
1.668224215606357347e+03,1.762713213505647047e+02,1.732028933068397237e+03,3.502029187649829955e-01,1.755669344229744127e+02,3.515624740506931856e-01,1.982652581284045966e-04,2.886890827915358191e-18,2.423269516494472222e-03
2.093702170643517547e+03,1.740389059509488447e+02,1.728940609130464736e+03,3.457674317602176806e-01,1.733438243461895354e+02,3.468534529348681894e-01,1.962970579947941421e-04,2.879598675755401324e-18,2.264423006231345951e-03
2.519180125680677975e+03,1.718311347256936870e+02,1.725852070773406467e+03,3.413808897063320136e-01,1.711452318561939592e+02,3.422123292046692633e-01,1.943542137806011211e-04,2.872984139121648562e-18,2.115296374941078202e-03
2.944658080717838402e+03,1.696477746615611295e+02,1.722763315384279622e+03,3.370428311164096469e-01,1.689709264877599821e+02,3.376375599721745391e-01,1.924360897722853479e-04,2.867028220375643649e-18,1.975346622803257103e-03
3.370136035754998829e+03,1.674885945870260286e+02,1.719674340331323720e+03,3.327527980881888059e-01,1.668206795309362747e+02,3.331276587510256793e-01,1.905420741713046567e-04,2.861712961817231838e-18,1.844057176366024724e-03
3.795613990792158802e+03,1.653533651605183650e+02,1.716585142963744602e+03,3.285103362833899365e-01,1.646942640222872285e+02,3.286811934659203405e-01,1.886715783513108632e-04,2.857021408461940836e-18,1.720936903490359734e-03
4.322771470368425980e+03,1.627407441057386848e+02,1.712757385546102341e+03,3.233193304191414597e-01,1.620924013117530933e+02,3.232580499213204561e-01,1.863858531958916616e-04,2.852049914770436823e-18,1.579027791939757687e-03
4.849928949944693159e+03,1.601641108173602674e+02,1.708929277641504541e+03,3.181998078202515345e-01,1.595263511153994784e+02,3.179276533984490283e-01,1.841343338964216022e-04,2.847982939898914778e-18,1.448106408182157781e-03
5.064058947181330950e+03,1.591276696517341804e+02,1.707374208886566066e+03,3.161404933833076858e-01,1.584941596518698645e+02,3.157883941843293019e-01,1.832293151622406825e-04,2.846583172923299886e-18,1.397882981527853383e-03
5.278188944417968742e+03,1.580970679571745450e+02,1.705819081102259588e+03,3.140927784432425152e-01,1.574677796726674046e+02,3.136638841905652897e-01,1.823297141515851537e-04,2.845326612795385112e-18,1.349292159199465659e-03
5.492318941654606533e+03,1.570722775843393890e+02,1.704263893938840283e+03,3.120566072020892756e-01,1.564471832862281815e+02,3.115539703912624248e-01,1.814354685458431833e-04,2.844211644878706015e-18,1.302285049317470278e-03
5.706448938891244325e+03,1.560532704972672775e+02,1.702708647045265707e+03,3.100319240834482626e-01,1.554323427100177071e+02,3.094585025859332150e-01,1.805465172554699175e-04,2.843236707402445374e-18,1.256814062945899122e-03
5.920578936127882116e+03,1.550400187730172661e+02,1.701153340069188289e+03,3.080186737318515999e-01,1.544232302702575339e+02,3.073773333417414433e-01,1.796628003968369996e-04,2.842400290523684421e-18,1.212832885751323692e-03
5.941991935851970084e+03,1.549390090738773154e+02,1.700997806053438353e+03,3.078179753742695257e-01,1.543226330115836618e+02,3.071699972432794801e-01,1.795747143346649319e-04,2.842324210869534702e-18,1.208514961778996448e-03
5.963404935576058051e+03,1.548380566224215045e+02,1.700842271432973575e+03,3.076173907378103589e-01,1.542220927310262084e+02,3.069628025377168501e-01,1.794866799707606285e-04,2.842249500358786004e-18,1.204211439825556788e-03
5.984817935300146928e+03,1.547371613909126040e+02,1.700686736207439253e+03,3.074169197674817555e-01,1.541216094010901543e+02,3.067557490821211097e-01,1.793986972472090449e-04,2.842176157567102583e-18,1.199922275621723546e-03
6.006230935024234896e+03,1.546363233516246964e+02,1.700531200376480911e+03,3.072165624083135205e-01,1.540211829942913937e+02,3.065488367338797260e-01,1.793107661062544333e-04,2.842104181077773069e-18,1.195647425019094557e-03
6.027643934748322863e+03,1.545355424768428634e+02,1.700375663939743617e+03,3.070163186053569970e-01,1.539208134831566781e+02,3.063420653503682867e-01,1.792228864900787856e-04,2.842033569468044064e-18,1.191386843992617121e-03
6.038350434610367302e+03,1.544851734674838895e+02,1.700297895494097020e+03,3.069162392702927677e-01,1.538706500548808265e+02,3.062387324759437424e-01,1.791789659857852290e-04,2.841998775052120592e-18,1.189261890845149001e-03
6.049056934472410830e+03,1.544348187388634983e+02,1.700220126896872671e+03,3.068161883036857329e-01,1.538205008402234171e+02,3.061354347893951999e-01,1.791350583410958959e-04,2.841964321327237750e-18,1.187140488636543928e-03
6.059763434334455269e+03,1.543844782875204942e+02,1.700142358148026005e+03,3.067161656986737150e-01,1.537703658357532106e+02,3.060321722731744742e-01,1.790911635489356353e-04,2.841930208124459514e-18,1.185022631896026158e-03
6.070469934196499707e+03,1.543341521099943350e+02,1.700064589245981779e+03,3.066161714483952583e-01,1.537202450380400762e+02,3.059289449091727731e-01,1.790472816022286727e-04,2.841896435310799263e-18,1.182908315122613426e-03
6.084300387490508001e+03,1.542691628321935298e+02,1.699964128647971393e+03,3.064870401962850877e-01,1.536555209692458845e+02,3.057956472664674075e-01,1.789931530220896408e-04,2.841933866465197636e-18,1.180182331868903341e-03
6.098130840784516295e+03,1.542041973598567495e+02,1.699863667808393075e+03,3.063579587703824103e-01,1.535908205916476845e+02,3.056624107137859703e-01,1.789365089452917630e-04,2.841891377346662095e-18,1.177462215935405187e-03
6.167283107253142589e+03,1.538797268193055174e+02,1.699361359813357694e+03,3.057132604627328942e-01,1.532676738502235878e+02,3.049971054876641774e-01,1.786536091121440227e-04,2.841687427366322022e-18,1.163949522414816978e-03
