 z(m),p_tot(bar),T(K),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar)
0.000000000000000000e+00,1.761174271543000032e+02,3.386207318458596092e+03,2.165235283523719900e+01,1.068033441794913614e+02,3.352655368812526859e+01,8.577659364638993145e-01,1.912980887111409334e-10,1.327741051479663703e+01
5.630346920794537255e+03,1.637780621151388516e+02,3.349631107925105425e+03,2.023556047770187050e+01,1.007696884282131435e+02,3.018061110705144401e+01,7.699903032024308924e-01,1.448307231966377011e-10,1.182221179882515116e+01
1.183462904903435992e+04,1.510545151133885895e+02,3.309396124099497683e+03,1.876487157210952361e+01,9.441373978908177378e+01,2.682282741468432619e+01,6.825132597376930566e-01,1.061565730468581314e-10,1.037056307766913754e+01
1.803891117727418168e+04,1.391606981283078710e+02,3.269229827779984589e+03,1.737996308000384360e+01,8.833170992158152046e+01,2.378058610427836683e+01,6.038104256993547247e-01,7.744399541993361061e-11,9.064628596667331450e+00
2.424319330551400344e+04,1.280542147078147366e+02,3.229131180538200624e+03,1.607724320041074506e+01,8.251944939108139465e+01,2.103102275228253148e+01,5.331403476034562994e-01,5.623085528456430761e-11,7.893359016380401272e+00
3.044747543375382884e+04,1.176941555153545238e+02,3.189099076711196176e+03,1.485320527248899403e+01,7.697262137974323082e+01,1.855229874918702038e+01,4.698109233263768614e-01,4.063560383078602421e-11,6.846219190568278101e+00
3.665175756199364696e+04,1.080410692561184618e+02,3.149132341718338012e+03,1.370442623743538846e+01,7.168668085239578147e+01,1.632359862718979571e+01,4.131771695623235319e-01,2.922753487070481130e-11,5.913186369505939233e+00
4.285603969023346872e+04,9.905693475460788022e+01,3.109229730353254581e+03,1.262756532223090389e+01,6.665685677821969080e+01,1.432512596114370140e+01,3.626390287599450257e-01,2.092429807701385613e-11,5.084747664232723174e+00
4.906032181847329775e+04,9.070513407224858327e+01,3.069389925036484783e+03,1.161936294626039512e+01,6.187813769402859521e+01,1.253809757574913597e+01,3.176392175133384566e-01,1.491133951698859772e-11,4.351896638682210217e+00
5.526460394671311951e+04,8.295042654478859845e+01,3.029611534009780826e+03,1.067663984920600484e+01,5.734526085673066831e+01,1.094473581299932086e+01,2.776611182625426943e-01,1.057889740852098358e-11,3.706128907579497866e+00
6.146888607495294127e+04,7.575892361135444730e+01,2.989893089447406055e+03,9.796296435789292545e+00,5.305270518790817391e+01,9.528258640085260467e+00,2.422267160246511786e-01,7.472983174053115837e-12,3.139436631539599176e+00
6.767316820319276303e+04,6.909806430050866766e+01,2.950233045453128852e+03,8.975312330007053419e+00,4.899468816358855605e+01,8.272867408604584583e+00,2.108945817228833064e-01,5.257446890342556697e-12,2.644301816580323372e+00
7.387745033143258479e+04,6.293659123362640173e+01,2.910629775903879818e+03,8.210746128583252812e+00,4.516516674883376226e+01,7.163732109976177043e+00,1.832579034929034123e-01,3.684781632109483782e-12,2.213688342736635839e+00
8.008173245967240655e+04,5.724452700252918191e+01,2.871081572092199167e+03,7.499735340592916799e+00,4.155784242199480616e+01,6.186974007968215616e+00,1.589425671010835373e-01,2.573780061511014702e-12,1.841032664869582725e+00
8.628601458791222831e+04,5.199315077657792727e+01,2.831586640110050666e+03,6.839496497781961892e+00,3.816617028024543856e+01,5.329645565217175474e+00,1.376052862719100711e-01,1.792533809592852347e-12,1.520233147059646628e+00
9.006825211605893855e+04,4.899625195588283333e+01,2.807535184577812743e+03,6.460756087302733874e+00,3.620146921638560400e+01,4.860423369326078991e+00,1.259235380273487914e-01,1.436106277030352676e-12,1.347679744839635374e+00
9.385048964420563425e+04,4.614688262166583854e+01,2.783502386035910604e+03,6.099279572476909550e+00,3.431282115665401733e+01,4.428528277165121096e+00,1.151650355229453110e-01,1.149763631893452425e-12,1.191088579845696716e+00
9.763272717235234450e+04,4.343920192190884677e+01,2.759487788605249989e+03,5.754479867496083756e+00,3.249862214508772951e+01,4.031514319028957516e+00,1.052672217668658289e-01,9.200625111382489242e-13,1.049318368528279644e+00
1.014149647004990547e+05,4.086753213679158847e+01,2.735490923124339588e+03,5.425780979345139698e+00,3.075724189871740677e+01,3.667052652492611475e+00,9.617101211643325209e-02,7.360526898177785702e-13,9.212855941192654718e-01
1.051972022286457504e+05,3.842635666651043636e+01,2.711511306778849757e+03,5.112618060057870117e+00,2.908702588520353061e+01,3.332928931714883358e+00,8.782065330686872340e-02,5.888337893491282225e-13,8.059631362266957977e-01
1.089794397567924607e+05,3.611031799582909230e+01,2.687548442699426232e+03,4.814437463571123565e+00,2.748629758607886941e+01,3.027040533077442142e+00,8.016358460937991759e-02,4.711869047626441030e-13,7.023788284918027758e-01
1.127616772849391709e+05,3.391421563103323678e+01,2.663601819527049884e+03,4.530696806889747741e+00,2.595336094369913837e+01,2.747393635892228403e+00,7.315030089850989292e-02,3.772692320475803072e-13,6.096139436532362899e-01
