# z(m),p_tot(bar),T(K),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar)
6.326220248506575590e+05,1.000003894190062016e-06,9.431205049387232293e+02,1.021159746496232477e-08,5.873957679028575830e-07,3.898324245076485463e-07,1.256410431459326202e-08,1.477541688925803835e-23,1.380806398551719124e-22
6.326219232168557355e+05,1.000007788395401798e-06,9.431205049443153712e+02,1.021163723101196818e-08,5.873980553335385105e-07,3.898339425893935264e-07,1.256415324145772327e-08,1.477558950153995434e-23,1.380806399140593364e-22
6.326217199492520886e+05,1.000015576836636806e-06,9.431205049554998823e+02,1.021171676342306571e-08,5.874026302128490997e-07,3.898369787647937755e-07,1.256425109557075042e-08,1.477593473149046863e-23,1.380806400318377107e-22
6.326215166816484416e+05,1.000023365338982911e-06,9.431205049666845071e+02,1.021179629645830905e-08,5.874072051280556746e-07,3.898400149640174087e-07,1.256434895045146734e-08,1.477627996952754357e-23,1.380806401496154973e-22
6.326213134140447946e+05,1.000031153902441173e-06,9.431205049778691318e+02,1.021187583011758903e-08,5.874117800791590823e-07,3.898430511870642141e-07,1.256444680610000805e-08,1.477662521565075305e-23,1.380806402673992790e-22
6.326192807380127488e+05,1.000109042898277110e-06,9.431205050897204956e+02,1.021267120103420699e-08,5.874575315645730668e-07,3.898734147278532736e-07,1.256542540481628588e-08,1.478007812168074429e-23,1.380806414452457940e-22
6.326172480619807029e+05,1.000186938005829302e-06,9.431205052015804995e+02,1.021346663436170969e-08,5.875032866399682740e-07,3.899037806511793600e-07,1.256640408031976479e-08,1.478353183656246796e-23,1.380806426231909800e-22
6.326152153859486571e+05,1.000264839225579289e-06,9.431205053134492573e+02,1.021426213010486005e-08,5.875490453056279305e-07,3.899341489572297205e-07,1.256738283261664202e-08,1.478698636048706827e-23,1.380806438012216950e-22
6.326131827099166112e+05,1.000342746558010090e-06,9.431205054253267690e+02,1.021505768826863935e-08,5.875948075618364276e-07,3.899645196461919729e-07,1.256836166171295101e-08,1.479044169364411717e-23,1.380806449793422883e-22
6.325928559496002272e+05,1.001122156186090114e-06,9.431205065445809623e+02,1.022301670413044068e-08,5.880526276665211489e-07,3.902683576374617320e-07,1.257815417797657399e-08,1.482503957481144302e-23,1.380806567656307765e-22
6.325725291892839596e+05,1.001902177613990520e-06,9.431205076647071337e+02,1.023098196749047842e-08,5.885108071383628149e-07,3.905724341272791653e-07,1.258795438085796064e-08,1.485971858851834125e-23,1.380806685611114190e-22
6.325522024289675755e+05,1.002682811325482530e-06,9.431205087857060789e+02,1.023895348328863383e-08,5.889693462615258387e-07,3.908767493042325587e-07,1.259776227643540118e-08,1.489447892549327832e-23,1.380806803657758933e-22
6.325318756686511915e+05,1.003464057804726365e-06,9.431205099075784801e+02,1.024693125646905809e-08,5.894282453204019560e-07,3.911813033570634050e-07,1.260757787079181144e-08,1.492932077691172884e-23,1.380806921796380936e-22
6.323286080654890975e+05,1.011310331621501165e-06,9.431205211744918415e+02,1.032705423490822407e-08,5.940370951058090674e-07,3.942400236918057349e-07,1.270615858897808206e-08,1.528226496820930586e-23,1.380808108257979793e-22
6.321253404623270035e+05,1.019218417649298312e-06,9.431205325295053399e+02,1.040780841936147722e-08,5.986822529739297866e-07,3.973228403438543937e-07,1.280551591215256386e-08,1.564357427625711214e-23,1.380809303997904850e-22
6.319220728591650259e+05,1.027188806475900735e-06,9.431205439733130333e+02,1.048919881962403384e-08,6.033640070927003456e-07,4.004299445596186292e-07,1.290565600395756731e-08,1.601344746384932653e-23,1.380810509089347555e-22
6.317188052560029319e+05,1.035221992582644108e-06,9.431205555066144370e+02,1.057123048525237538e-08,6.080826479171012030e-07,4.035615291033381614e-07,1.300658507695218754e-08,1.639208802709712157e-23,1.380811723606002707e-22
6.315155376528408378e+05,1.043318474411806585e-06,9.431205671301147504e+02,1.065390850625237991e-08,6.128384682287431286e-07,4.067177882833519510e-07,1.310830939345902630e-08,1.677970431011712754e-23,1.380812947622073386e-22
6.310495202060516458e+05,1.062122336549097037e-06,9.431205941227968879e+02,1.084592601404004049e-08,6.238837334714466147e-07,4.140481156893589518e-07,1.334456137425139007e-08,1.770340388161133931e-23,1.380815790098446030e-22
6.305835027592625702e+05,1.081267673574032398e-06,9.431206216020011652e+02,1.104143055391388465e-08,6.351295787953325986e-07,4.215115606019082974e-07,1.358510362287748027e-08,1.867808469265011336e-23,1.380818683814012281e-22
6.302030045564214233e+05,1.097157208316256105e-06,9.431206444054114399e+02,1.120368816135411233e-08,6.444629872041845158e-07,4.277057930398589307e-07,1.378473991085841859e-08,1.951366642536277659e-23,1.380821085146554646e-22
6.298225063535803929e+05,1.113282009277368200e-06,9.431206675439404989e+02,1.136834823323198088e-08,6.539345894263207915e-07,4.339917395510397113e-07,1.398733206677555923e-08,2.038672539055801805e-23,1.380823521773210980e-22
6.294420081507393625e+05,1.129645585937725009e-06,9.431206910225504316e+02,1.153544660782899035e-08,6.635464469066012883e-07,4.403707682403803257e-07,1.419292418291411702e-08,2.129894683301971231e-23,1.380825994216743134e-22
6.290615099478983320e+05,1.146251500506497087e-06,9.431207148462772238e+02,1.170501966190202893e-08,6.733006520624164913e-07,4.468442677681634496e-07,1.440156101401504143e-08,2.225209197185529329e-23,1.380828503007528989e-22
6.286810117450571852e+05,1.163103368730816712e-06,9.431207390202321221e+02,1.187710431894802569e-08,6.831993287589730470e-07,4.534136476654565353e-07,1.461328798743906955e-08,2.324800143491846498e-23,1.380831048684137972e-22
