# z(m),p_tot(bar),T(K),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar)
5.774234074059334816e+05,1.000003895438313929e-06,9.998782189380192449e+02,2.722300488176301823e-08,9.127405369695776950e-07,2.249120543117721874e-13,9.648167796571402592e-15,2.832716614770085567e-49,6.004011902680103087e-08
5.774233152785511920e+05,1.000007790891905626e-06,9.998782189438564956e+02,2.722311092732723727e-08,9.127440924947820406e-07,2.249124924221760700e-13,9.648186590184669300e-15,2.832727651068267150e-49,6.004035290911712048e-08
5.774231310237864964e+05,1.000015581829644249e-06,9.998782189555311106e+02,2.722332301928714407e-08,9.127512035730693390e-07,2.249133686436605643e-13,9.648224177439986673e-15,2.832749723740748685e-49,6.004082067569473586e-08
5.774229467690218007e+05,1.000023372828494394e-06,9.998782189672058394e+02,2.722353511291069968e-08,9.127583147071354511e-07,2.249142448686056209e-13,9.648261764843868643e-15,2.832771796586528890e-49,6.004128844594127444e-08
5.774227625142572215e+05,1.000031163888456272e-06,9.998782189788805681e+02,2.722374720819789417e-08,9.127654258969804826e-07,2.249151210970042475e-13,9.648299352396020176e-15,2.832793869605311882e-49,6.004175621985741122e-08
5.774209199666064233e+05,1.000109077849329214e-06,9.998782190956333125e+02,2.722586825257290916e-08,9.128365408633722747e-07,2.249238835713792023e-13,9.648675236083075751e-15,2.833014609319412897e-49,6.004643416082521249e-08
5.774190774189555086e+05,1.000186997921918201e-06,9.998782192123951518e+02,2.722798946332661566e-08,9.129076614081548154e-07,2.249326463918510895e-13,9.649051134616114909e-15,2.833235366353860579e-49,6.005111246873920087e-08
5.774172348713047104e+05,1.000264924106703711e-06,9.998782193291660860e+02,2.723011084047207651e-08,9.129787875317666561e-07,2.249414095584241247e-13,9.649427047995383775e-15,2.833456140709741980e-49,6.005579114362833428e-08
5.774153923236539122e+05,1.000342856404168554e-06,9.998782194459461152e+02,2.723223238402245712e-08,9.130499192346485717e-07,2.249501730711209261e-13,9.649802976221625456e-15,2.833676932388548665e-49,6.006047018552138539e-08
5.773969668471500045e+05,1.001122515682404337e-06,9.998782206142466293e+02,2.725345697468799798e-08,9.137615432202724895e-07,2.250378272377395659e-13,9.653563075198438022e-15,2.835885802239664564e-49,6.010728079605373339e-08
5.773785413706462132e+05,1.001902786759803840e-06,9.998782217834576613e+02,2.727469822030616979e-08,9.144737256177702139e-07,2.251255160316418753e-13,9.657324659526142750e-15,2.838096405890345043e-49,6.015412813888669365e-08
5.773601158941423055e+05,1.002683670119678345e-06,9.998782229535800070e+02,2.729595613403410405e-08,9.151864668682778800e-07,2.252132394667012796e-13,9.661087729799804244e-15,2.840308744711275688e-49,6.020101224303903259e-08
5.773416904176383978e+05,1.003465166245727712e-06,9.998782241246143485e+02,2.731723072903952018e-08,9.158997674132870595e-07,2.253009975567844138e-13,9.664852286614323022e-15,2.842522820073787781e-49,6.024793313755122189e-08
5.771574356526052579e+05,1.011313936341794211e-06,9.998782358852751031e+02,2.753089705392933085e-08,9.230636314463084339e-07,2.261804875415827695e-13,9.702579745645265369e-15,2.864759386033611635e-49,6.071917195848914320e-08
5.769731808875720017e+05,1.019224517977386677e-06,9.998782477379256761e+02,2.774624606870158315e-08,9.302839131727177432e-07,2.270634583326589731e-13,9.740456515146270936e-15,2.887171122964038419e-49,6.119412193205235808e-08
5.767889261225388618e+05,1.027197401263503567e-06,9.998782596832905938e+02,2.796329111560391404e-08,9.375610599350901906e-07,2.279499239011404983e-13,9.778483194348397447e-15,2.909759420615129793e-49,6.167281248440237189e-08
5.766046713575056056e+05,1.035233080194767380e-06,9.998782717221000667e+02,2.818204564260748289e-08,9.448955226207288313e-07,2.288398982718671840e-13,9.816660384785812018e-15,2.932525679761371459e-49,6.215527327487226384e-08
5.764204165924724657e+05,1.043332052716574248e-06,9.998782838550899896e+02,2.840252320523502080e-08,9.522877557229571475e-07,2.297333955276559808e-13,9.854988690478242056e-15,2.955471312393691768e-49,6.264153419999783587e-08
5.759976578916712897e+05,1.062156470650965396e-06,9.998783120532930297e+02,2.891497855423536669e-08,9.694695013294623601e-07,2.317968487942613524e-13,9.943504516538430949e-15,3.008803985865524774e-49,6.377174902691449799e-08
5.755748991908701137e+05,1.081322882889673773e-06,9.998783407602928719e+02,2.943674398290345583e-08,9.869633978707574193e-07,2.338790943722849264e-13,1.003282644346252195e-14,3.063105883180236466e-49,6.492249712409206737e-08
5.752296371982836863e+05,1.097233919849815835e-06,9.998783645888333922e+02,2.986988863887551979e-08,1.001485992468748956e-06,2.355937011265132384e-13,1.010637777216024782e-14,3.108184944251396240e-49,6.587779304211228731e-08
5.748843752056971425e+05,1.113380694898714303e-06,9.998783887680123144e+02,3.030945077128915160e-08,1.016223753997730258e-06,2.373210530385864797e-13,1.018047580650729160e-14,3.153932108709403562e-49,6.684724262816591432e-08
5.745391132131107152e+05,1.129766724608370362e-06,9.998784133030248995e+02,3.075552611146791660e-08,1.031179892164040932e-06,2.390612461813679660e-13,1.025512466707276992e-14,3.200357349097955663e-49,6.783105701649064822e-08
5.741938512205242878e+05,1.146395578354057649e-06,9.998784381991438295e+02,3.120821182819410239e-08,1.046357664869535864e-06,2.408143773618346686e-13,1.033032850590111448e-14,3.247470787890363777e-49,6.882945051162180170e-08
5.738485892279377440e+05,1.163270879123594891e-06,9.998784634617205711e+02,3.166760654973949987e-08,1.061760378950238612e-06,2.425805441279540116e-13,1.040609150680647330e-14,3.295282699792235161e-49,6.984264063698104824e-08
