 z(m),p_tot(bar),T(K),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar)
0.000000000000000000e+00,1.417275774079566020e+02,3.288844106126816314e+03,3.421703341447454250e+00,8.174676619092579699e+01,5.460685442636523135e+01,2.938079110230643609e-01,9.927264165246432766e-11,1.658445538096929628e+00
1.465317241005913047e+03,1.392160650397648851e+02,3.279673207506829840e+03,3.362646593119769101e+00,8.042866970692982420e+01,5.355752955973166962e+01,2.883545962714184063e-01,9.574067633188630348e-11,1.578864583616445438e+00
6.087529721470567893e+03,1.316584822385028986e+02,3.250779540141435973e+03,3.184572262433232215e+00,7.643859453213555355e+01,5.041471997400702776e+01,2.720643514592760992e-01,8.573069075183277750e-11,1.348531118380474458e+00
1.070974220193522342e+04,1.244522933632384678e+02,3.221920323814440508e+03,3.014094756505504513e+00,7.258745047469160738e+01,4.744714058866934181e+01,2.567378900012177168e-01,7.693446948090074656e-11,1.146869653293647762e+00
1.490724509432354535e+04,1.182017168212197333e+02,3.195742109414281458e+03,2.865684205213379077e+00,6.920990016804057632e+01,4.489627266683984175e+01,2.436044754139601864e-01,6.986432202331048489e-11,9.862553056422019848e-01
1.910474798671186727e+04,1.122205994248524092e+02,3.169591254497410773e+03,2.723203798277784138e+00,6.594558459998556543e+01,4.247559451192628899e+01,2.311740112505226430e-01,6.356034040048273823e-11,8.450425033488880855e-01
2.330225087910019283e+04,1.064995945024720783e+02,3.143467258025828414e+03,2.586495352836711614e+00,6.279364523441555690e+01,4.017867392179092434e+01,2.194060144346222652e-01,5.793162369712352224e-11,7.213739789365058996e-01
2.749975377148851476e+04,1.010295648250501443e+02,3.117369620433233194e+03,2.455401309511106689e+00,5.975306938587303307e+01,3.799933099990183649e+01,2.082620530751530807e-01,5.289844052487279838e-11,6.135010766362302137e-01
3.169725666387683668e+04,9.580158258103443814e+01,3.091297844883958533e+03,2.329764696123794554e+00,5.682268438211917072e+01,3.593164180147137188e+01,1.977057230364371310e-01,4.839087019384381036e-11,5.197859782353169145e-01
3.589475955626516225e+04,9.080692945828874940e+01,3.065251438407439309e+03,2.209429126276231337e+00,5.400115426261287155e+01,3.396994047383925164e+01,1.877026177215375125e-01,4.434760415752509038e-11,4.387029777945345432e-01
4.009226244865348417e+04,8.603709677963848890e+01,3.039229912885671183e+03,2.094238834122282622e+00,5.128697916628188835e+01,3.210881975537748900e+01,1.782202902105060605e-01,4.071488936757050612e-11,3.688387336056132559e-01
4.428976534104180610e+04,8.148378563626533833e+01,3.013232785875730315e+03,1.984038745201917697e+00,4.867849745710336151e+01,3.034312976104735782e+01,1.692282072543522531e-01,3.744559723748267033e-11,3.088914656209066911e-01
4.848726823343012802e+04,7.713890696262819802e+01,2.987259581254398199e+03,1.878674581702812096e+00,4.617389052857119225e+01,2.866797504946359609e+01,1.606976950109654245e-01,3.449840376289862941e-11,2.576691078451253114e-01
5.224295290912406927e+04,7.342158834160888148e+01,2.964040142333164113e+03,1.788374519270990115e+00,4.401935502313700255e+01,2.724208033795083495e+01,1.534343139523677568e-01,3.210471178169145277e-11,2.183441472655745785e-01
5.599863758481801051e+04,6.985932102339032213e+01,2.940839147578298252e+03,1.701714047123607854e+00,4.194489881361357675e+01,2.588178062467579466e+01,1.465008336769474673e-01,2.991688806012560537e-11,1.844267042704804682e-01
5.975432226051194448e+04,6.644673746864945940e+01,2.917656270157540803e+03,1.618584871793777413e+00,3.994893336714961407e+01,2.458406588954553484e+01,1.398802412964876285e-01,2.791454021867314758e-11,1.552730988361321895e-01
6.351000693620588572e+04,6.317860390326700326e+01,2.894491187780466134e+03,1.538879623721761680e+00,3.802979432054301157e+01,2.334607319428737071e+01,1.335565415528887911e-01,2.607951731962698088e-11,1.303002231358811880e-01
6.726569161189981969e+04,6.004981983017520974e+01,2.871343582575336768e+03,1.462491978183057650e+00,3.618574952934908850e+01,2.216508129429696794e+01,1.275147083987054897e-01,2.439565521759288796e-11,1.089823199229957990e-01
7.102137628759376821e+04,5.705541739239458110e+01,2.848213140885188750e+03,1.389316779438545257e+00,3.441500757734427651e+01,2.103850485151780703e+01,1.217406350283577604e-01,2.284855027235648725e-11,9.084754904273752152e-02
7.477706096328770218e+04,5.419056058009210375e+01,2.825099552990117445e+03,1.319250165441800071e+00,3.271572656264344658e+01,1.996388835781452897e+01,1.162210830019554386e-01,2.142535844433956895e-11,7.547441116895331481e-02
7.853274563898163615e+04,5.145054427791315987e+01,2.802002512763363029e+03,1.252189690622953266e+00,3.108602298638316341e+01,1.893889987484251591e+01,1.109436310870967612e-01,2.011461709075315646e-11,6.248809495747584958e-02
8.184035364249469421e+04,4.913717521157765589e+01,2.781674557007206658e+03,1.195539222115785671e+00,2.970685108545288600e+01,1.807553488971360167e+01,1.064870237669875569e-01,1.904521328961202764e-11,5.276299050945309349e-02
8.514796164600775228e+04,4.691404179346650949e+01,2.761358995821192821e+03,1.141074211334631050e+00,2.837883420079745989e+01,1.724750169853561133e+01,1.022016450715943353e-01,1.804877780163715250e-11,4.443003770923689699e-02
