# z(m),p_tot(bar),T(K),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar)
6.247751843366150279e+05,1.000003893464903769e-06,9.556499686742546373e+02,8.590918667284650283e-08,9.116305359271857689e-07,2.115716621085763525e-09,3.484542147175311909e-10,1.395550446409566385e-31,2.907151154794353409e-17
6.247750825765673071e+05,1.000007786945085092e-06,9.556499686805730107e+02,8.590952115726851716e-08,9.116340853287800337e-07,2.115724858562085418e-09,3.484555714029124518e-10,1.395566746689838221e-31,2.907151156141443722e-17
6.247748790564719820e+05,1.000015573936003606e-06,9.556499686932098712e+02,8.591019012873793768e-08,9.116411841598284298e-07,2.115741333581131540e-09,3.484582847846195553e-10,1.395599347763840858e-31,2.907151158830686572e-17
6.247746755363766570e+05,1.000023360988033218e-06,9.556499687058468453e+02,8.591085910545728163e-08,9.116482830465873474e-07,2.115757808729470955e-09,3.484609981876147723e-10,1.395631949601333519e-31,2.907151161520050832e-17
6.247744720162813319e+05,1.000031148101174774e-06,9.556499687184839331e+02,8.591152808742669462e-08,9.116553819890575279e-07,2.115774284007105318e-09,3.484637116119114410e-10,1.395664552202488301e-31,2.907151164209341753e-17
6.247724368153222604e+05,1.000109022593844714e-06,9.556499688448598135e+02,8.591821819588242946e-08,9.117263744779697346e-07,2.115939043894904301e-09,3.484908470260532758e-10,1.395990620214107519e-31,2.907151191103935919e-17
6.247704016143633053e+05,1.000186903198231544e-06,9.556499689712454710e+02,8.592490882938875524e-08,9.117973725384881679e-07,2.116103816713340339e-09,3.485179845698041678e-10,1.396316764603041925e-31,2.907151218000460945e-17
6.247683664134042338e+05,1.000264789914816593e-06,9.556499690976410193e+02,8.593159998798709718e-08,9.118683761710511673e-07,2.116268602463431692e-09,3.485451242433238664e-10,1.396642985387090853e-31,2.907151244899242237e-17
6.247663312124451622e+05,1.000342682744083303e-06,9.556499692240464583e+02,8.593829167171886724e-08,9.119393853760995075e-07,2.116433401146550238e-09,3.485722660468320396e-10,1.396969282585097609e-31,2.907151271799231472e-17
6.247459792028518859e+05,1.001121947340630835e-06,9.556499704886418840e+02,8.600523740051961610e-08,9.126497840102759063e-07,2.118082099498403919e-09,3.488438012653524296e-10,1.400236461231281665e-31,2.907151540920523970e-17
6.247256271932586096e+05,1.001901823737380125e-06,9.556499717542224062e+02,8.607223568837753213e-08,9.133607403780222333e-07,2.119732092245487325e-09,3.491155496633657783e-10,1.403511300957848530e-31,2.907151810250337673e-17
6.247052751836653333e+05,1.002682312418369423e-06,9.556499730207888206e+02,8.613928657687589794e-08,9.140722549206014669e-07,2.121383380411190377e-09,3.493875114094123584e-10,1.406793819773725987e-31,2.907152079790668153e-17
6.246849231740720570e+05,1.003463413868026612e-06,9.556499742883419231e+02,8.620639010763124217e-08,9.147843280796306456e-07,2.123035965020776975e-09,3.496596866723344672e-10,1.410084035732928815e-31,2.907152349541030384e-17
6.244814030781419715e+05,1.011308237498563042e-06,9.556499870183097300e+02,8.688032991930499792e-08,9.219358809886104206e-07,2.139633341612534396e-09,3.523932199634331191e-10,1.443413540513270987e-31,2.907155058615692800e-17
6.242778829822118860e+05,1.019214873730106376e-06,9.556499998477995632e+02,8.755957998100178851e-08,9.291437839323623370e-07,2.156361496058271639e-09,3.551482916124747549e-10,1.477532937232888751e-31,2.907157788855954910e-17
6.240743628862818005e+05,1.027183813427342023e-06,9.556500127775955207e+02,8.824418246235104601e-08,9.364084843963720441e-07,2.173221466892357920e-09,3.579250726549831905e-10,1.512460995621753055e-31,2.907160540428411811e-17
6.238708427903517149e+05,1.035215551354277495e-06,9.556500258084881807e+02,8.893417986796853945e-08,9.437304334208534317e-07,2.190214300898917597e-09,3.607237354850493669e-10,1.548216932473039836e-31,2.907163313501462504e-17
6.236673226944216294e+05,1.043310586241770836e-06,9.556500389412741470e+02,8.962961504325792853e-08,9.511100856623078086e-07,2.207341053254730587e-09,3.635444538788752367e-10,1.584820422478786657e-31,2.907166108245172457e-17
6.232009416315708077e+05,1.062102385771807141e-06,9.556500694246338981e+02,9.124399701825110695e-08,9.682411971943787562e-07,2.247099066713768196e-09,3.700924633917554185e-10,1.672005983994780856e-31,2.907172595255396889e-17
6.227345605687199859e+05,1.081235354058700065e-06,9.556501004570856139e+02,9.288768841201905766e-08,9.856833273697236555e-07,2.287578896221890328e-09,3.767593516636812235e-10,1.764001033712715869e-31,2.907179199045669096e-17
6.223538171953450656e+05,1.097112386913618506e-06,9.556501262053498067e+02,9.425166612288119577e-08,1.000157258945707981e-06,2.321170108895915335e-09,3.822917070615731167e-10,1.842854380507255352e-31,2.907184678297659943e-17
