z(m),p_tot(bar),T(K),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar)
0.000000000000000000e+00,2.090394479500000102e+02,3.318880694193897853e+03,7.014902780897358525e+00,1.478863656396320891e+02,2.659416798443336205e+01,1.612058525597936942e-01,3.628121400510767967e-12,2.738280569247403662e+01
8.976174384585438020e+02,2.066016663054233788e+02,3.313291379331715234e+03,6.937741401130239183e+00,1.464351175969838152e+02,2.609531610110344246e+01,1.581627039236527255e-01,3.444519782762645984e-12,2.697532850227873880e+01
7.185512751916507113e+03,1.906267940443580926e+02,3.274211127436937659e+03,6.431561716360648440e+00,1.368951447411321567e+02,2.284694655731980006e+01,1.383780739629321965e-01,2.391114701417453329e-12,2.431476295558014655e+01
1.347340806537447133e+04,1.756976547111492835e+02,3.235203300504310846e+03,5.955396857516464415e+00,1.277999725270827298e+02,1.993524519495989722e+01,1.207191958968731604e-01,1.645524461233698151e-12,2.188632093569164994e+01
1.976130337883243556e+04,1.617599644718520153e+02,3.196266836785388023e+03,5.507940643764872135e+00,1.191401275275538580e+02,1.733334251409689486e+01,1.049975233915263345e-01,1.122197692724502518e-12,1.967355626304374994e+01
2.604919869229039978e+04,1.487614026943218448e+02,3.157400615910325996e+03,5.087920519164546462e+00,1.109058974263669199e+02,1.501574104314048164e+01,9.103748945598856557e-02,7.580782996876270002e-13,1.766080621619316204e+01
3.233709400574836036e+04,1.366515736733732069e+02,3.118603458075474009e+03,4.694097044537634211e+00,1.030873183145334622e+02,1.295830070904014164e+01,7.867589037811899277e-02,5.070445737739482349e-13,1.583318171488332560e+01
3.862498931920632458e+04,1.253819694121188064e+02,3.079874123318025340e+03,4.325263456854814947e+00,9.567416625322341872e+01,1.113822190373507759e+01,6.776128288755937923e-02,3.356309122866392788e-13,1.417655651541760342e+01
4.491288463266428880e+04,1.149059333173318436e+02,3.041211310894904727e+03,3.980245293517220784e+00,8.865595321445802313e+01,9.534026082386043655e+00,5.815339495686305815e-02,2.197586841660774846e-13,1.267755533201366980e+01
5.120077994612225302e+04,1.051786246633838857e+02,3.002613658785331154e+03,3.657900078075281947e+00,8.202192745112726868e+01,8.125533767867652912e+00,4.972255066041827293e-02,1.422560472202732421e-13,1.132354081565312676e+01
5.748867525958021724e+04,9.615698367758345455e+01,2.964079743338927983e+03,3.357117063075881092e+00,7.576107828538907540e+01,6.893839878183849912e+00,4.234910952216263541e-02,9.099044951550906548e-14,1.010259934141238602e+01
6.377657057303818146e+04,8.779969710007351580e+01,2.925608079093177821e+03,3.076817024917696042e+00,6.986214524078467036e+01,5.821286337748829531e+00,3.592292079500156859e-02,5.747358717132151525e-14,9.003525575827264760e+00
7.006446588649613841e+04,8.006716407405995994e+01,2.887197118785545172e+03,2.815952104857605498e+00,6.431363138081898967e+01,4.891431978364031430e+00,3.034279312386556002e-02,3.582798854714253882e-14,8.015805816895403169e+00
7.419748320693925780e+04,7.530650983557397637e+01,2.861981983844896149e+03,2.654580214795600579e+00,6.085182596943208466e+01,4.350556257582051778e+00,2.709073326463612777e-02,2.606551794630261875e-14,7.422456660499574532e+00
7.833050052738237719e+04,7.078897567263240376e+01,2.836791910323494903e+03,2.500883854830337594e+00,5.753298322321145264e+01,3.860656302044989108e+00,2.413952448957160102e-02,1.884679783772153195e-14,6.870312768056034969e+00
8.246351784782549657e+04,6.650448363792371254e+01,2.811626415625499703e+03,2.354587471036095447e+00,5.435369441288364811e+01,3.417881170958944281e+00,2.146614196626853155e-02,1.354103011787295868e-14,6.356854441078777285e+00
8.659653516826860141e+04,6.244325443607884552e+01,2.786485005942995940e+03,2.215421310870691052e+00,5.131051994808107963e+01,3.018585041038446715e+00,1.904892636974420128e-02,9.665451788862751079e-15,5.879679209718873700e+00
9.072955248871172080e+04,5.859580323381609901e+01,2.761367176388648204e+03,2.083121418122399149e+00,4.839999283224481275e+01,2.659322250391578990e+00,1.686752719304143028e-02,6.852675709118933028e-15,5.436499205864330442e+00
9.486256980915484019e+04,5.495293544625101845e+01,2.736272411152574023e+03,1.957429628690693812e+00,4.561862234242924075e+01,2.336842171727170570e+00,1.490284745414003839e-02,4.824751366806836113e-15,5.025138455949856642e+00
9.899558712959794502e+04,5.150574249407272731e+01,2.711200183683435625e+03,1.838093566812362578e+00,4.296289791467869179e+01,2.048083924981302317e+00,1.313698980793905763e-02,3.372668278055719721e-15,4.643530097792517353e+00
1.031286044500410644e+05,4.824559752688104197e+01,2.686149956893502349e+03,1.724866641366656017e+00,4.042929321577567947e+01,1.790170939740900247e+00,1.155320406674164961e-02,2.340246360887903949e-15,4.289713525931066584e+00
1.055395647804937034e+05,4.642686954531247778e+01,2.671547064154503460e+03,1.661541965448146696e+00,3.900632664140226780e+01,1.652884291362582081e+00,1.070713044878462972e-02,1.884331111831454770e-15,4.095409516650697412e+00
1.079505251109463425e+05,4.466733095383334273e+01,2.656951361632739008e+03,1.600167204109259389e+00,3.762300854979677922e+01,1.524664464934749608e+00,9.914725754249478079e-03,1.513241005270454778e-15,3.909576009238304728e+00
1.103614854413989669e+05,4.296539873552298872e+01,2.642362737931237916e+03,1.540696131973165572e+00,3.627863486762141321e+01,1.405022955348767644e+00,9.173166492978956227e-03,1.211977734378438386e-15,3.731871614086667233e+00
1.127724457718516060e+05,4.131952089725943722e+01,2.627781080524212030e+03,1.483083191767430087e+00,3.497250130463302753e+01,1.293490506165467346e+00,8.479743816804354711e-03,9.680484193114428681e-16,3.561966150876700876e+00
1.151834061023042450e+05,3.972817616906512228e+01,2.613206275776100483e+03,1.427283493877426368e+00,3.370390366630265788e+01,1.189616708949802870e+00,7.831860344949375871e-03,7.710729903788272556e-16,3.399540439590279739e+00
1.175943664327568695e+05,3.818987370143199200e+01,2.598638208961074270e+03,1.373252815845436903e+00,3.247213817038199579e+01,1.092969598613233062e+00,7.227027041877737840e-03,6.124487953576085382e-16,3.244286089549443641e+00
