 z(m),p_tot(bar),T(K),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar)
0.000000000000000000e+00,3.209915583215999959e+02,1.447786071004388987e+03,1.273905572804198414e+02,1.836681081120286478e+02,0.000000000000000000e+00,9.932891777887547846e+00,0.000000000000000000e+00,1.151263958158179391e-06
1.608983338120414373e+03,3.088619833769074603e+02,1.446785357406028425e+03,1.225767443569320676e+02,1.767276885759400784e+02,0.000000000000000000e+00,9.557549336275121377e+00,0.000000000000000000e+00,1.107760189602334140e-06
3.516541581920942917e+03,2.951177765995471418e+02,1.445426869242039857e+03,1.171221393514289133e+02,1.688633931112938171e+02,0.000000000000000000e+00,9.132243078358985855e+00,0.000000000000000000e+00,1.058465404471582819e-06
5.424099825721471461e+03,2.819801764593906910e+02,1.443875599494047719e+03,1.119082757472494194e+02,1.613461918007929228e+02,0.000000000000000000e+00,8.725707900002074524e+00,0.000000000000000000e+00,1.011346266457048252e-06
7.331658069522000005e+03,2.694208960376044502e+02,1.442110347196741259e+03,1.069239274349818061e+02,1.541598991569009911e+02,0.000000000000000000e+00,8.337068479420308265e+00,0.000000000000000000e+00,9.663013220802939538e-07
9.239216313322527640e+03,2.574129274046782143e+02,1.440109589362736642e+03,1.021583758922784000e+02,1.472890615167768829e+02,0.000000000000000000e+00,7.965489072389222436e+00,0.000000000000000000e+00,9.232337050685986398e-07
1.114677455712305709e+04,2.459304939996558517e+02,1.437851647051334794e+03,9.760139128480288662e+01,1.407189297941542634e+02,0.000000000000000000e+00,7.610172038647736947e+00,0.000000000000000000e+00,8.820509655589528004e-07
1.305433280092358473e+04,2.349490047311138312e+02,1.435314840021622558e+03,9.324321425048060519e+01,1.344354332163879064e+02,0.000000000000000000e+00,7.270356421580397743e+00,0.000000000000000000e+00,8.426649054772521990e-07
1.496189104472411236e+04,2.244450094972140448e+02,1.432477625294468908e+03,8.907453824693062927e+01,1.284251538734799851e+02,0.000000000000000000e+00,6.945316571812011119e+00,0.000000000000000000e+00,8.049914190071240992e-07
1.686944928852464000e+04,2.143961558737543669e+02,1.429318715783682592e+03,8.508649236243624614e+01,1.226753019354224961e+02,0.000000000000000000e+00,6.634360806945276856e+00,0.000000000000000000e+00,7.689503372478788104e-07
1.877700753232516945e+04,2.047811467712694480e+02,1.425817176005964029e+03,8.127062451149831190e+01,1.171736914240207597e+02,0.000000000000000000e+00,6.336830101285096717e+00,0.000000000000000000e+00,7.344652763480425041e-07
2.003795534114536349e+04,1.986536240327303915e+02,1.423304453725656913e+03,7.883882057094463391e+01,1.136675851741070460e+02,0.000000000000000000e+00,6.147217575190332184e+00,0.000000000000000000e+00,7.124883866174815834e-07
2.129890314996555753e+04,1.927011662103926994e+02,1.420627229542468967e+03,7.647649390060874453e+01,1.102616492904285650e+02,0.000000000000000000e+00,5.963022328216006862e+00,0.000000000000000000e+00,6.911393823347949225e-07
2.255985095878575157e+04,1.869183304123597509e+02,1.417779781475702748e+03,7.418148440308637248e+01,1.069527694055467038e+02,0.000000000000000000e+00,5.784075933327932795e+00,0.000000000000000000e+00,6.703987420979198248e-07
2.382079876760594925e+04,1.812998494065458033e+02,1.414756480147501861e+03,7.195170169433676222e+01,1.037379316627817616e+02,0.000000000000000000e+00,5.610215399179701024e+00,0.000000000000000000e+00,6.502475745238824963e-07
2.508174657642614329e+04,1.758406266461011853e+02,1.411551786836097108e+03,6.978512312944435791e+01,1.006142198698117909e+02,0.000000000000000000e+00,5.441283016177441034e+00,0.000000000000000000e+00,6.306676004070561332e-07
2.634269438524633733e+04,1.705357313474206649e+02,1.408160249193169648e+03,6.767979184924875824e+01,9.757881268235902894e+01,0.000000000000000000e+00,5.277126204171732837e+00,0.000000000000000000e+00,6.116411350660120610e-07
2.760364219406653137e+04,1.653803936217391310e+02,1.404576494623162944e+03,6.563381484824191148e+01,9.462898081853839471e+01,0.000000000000000000e+00,5.117597361807750822e+00,0.000000000000000000e+00,5.931510708825674132e-07
2.886459000288672542e+04,1.603699996618265402e+02,1.400795221320042629e+03,6.364536106433203599e+01,9.176208430473323574e+01,0.000000000000000000e+00,4.962553717580411750e+00,0.000000000000000000e+00,5.751808600384504673e-07
3.012553781170691946e+04,1.555000869857078669e+02,1.396811186951599666e+03,6.171265949123900896e+01,8.897556975410022062e+01,0.000000000000000000e+00,4.811857182654139642e+00,0.000000000000000000e+00,5.577144974564916151e-07
3.104329277636490224e+04,1.520414801473934574e+02,1.393781024345016021e+03,6.034005687561098341e+01,8.699659006373686054e+01,0.000000000000000000e+00,4.704832662735706883e+00,0.000000000000000000e+00,5.453099052011355206e-07
3.196104774102288502e+04,1.486533855494666909e+02,1.390638705673433151e+03,5.899543815353156617e+01,8.505795676085625701e+01,0.000000000000000000e+00,4.599990101920650609e+00,0.000000000000000000e+00,5.331582111883119014e-07
3.287880270568087144e+04,1.453342255959157114e+02,1.387382242735391173e+03,5.767817723116773720e+01,8.315876716105022126e+01,0.000000000000000000e+00,4.497280682443990152e+00,0.000000000000000000e+00,5.212537572336170425e-07
3.379655767033885058e+04,1.420824606734743440e+02,1.384009647898740695e+03,5.638766308873756117e+01,8.129814031325166468e+01,0.000000000000000000e+00,4.396656761894091048e+00,0.000000000000000000e+00,5.095910213810466621e-07
3.471431263499683701e+04,1.388965882354434314e+02,1.380518929620145855e+03,5.512329941691018576e+01,7.947521647550655643e+01,0.000000000000000000e+00,4.298071844862064950e+00,0.000000000000000000e+00,4.981646146170413902e-07
3.563206759965482343e+04,1.357751418955365068e+02,1.376908087565620917e+03,5.388450425718429670e+01,7.768915659648156691e+01,0.000000000000000000e+00,4.201480554901364961e+00,0.000000000000000000e+00,4.869692776204865708e-07
3.654982256431280257e+04,1.327166905318933345e+02,1.373175107314998058e+03,5.267070964630170238e+01,7.593914180278973447e+01,0.000000000000000000e+00,4.106838606802021729e+00,0.000000000000000000e+00,4.759998775491788451e-07
3.746757752897078899e+04,1.297198374013505031e+02,1.369317954631178736e+03,5.148136126473171714e+01,7.422437289218510159e+01,0.000000000000000000e+00,4.014102779182275427e+00,0.000000000000000000e+00,4.652514048630817049e-07
3.812035642589485360e+04,1.276249791512328216e+02,1.366497743912499118e+03,5.064998376277696224e+01,7.302571628708989238e+01,0.000000000000000000e+00,3.949278643627949226e+00,0.000000000000000000e+00,4.577380147495806587e-07
3.877313532281892549e+04,1.255601136194423759e+02,1.363612919573680301e+03,4.983050934363858175e+01,7.184422121066884870e+01,0.000000000000000000e+00,3.885382614802743717e+00,0.000000000000000000e+00,4.503321961117841640e-07
3.942591421974299010e+04,1.235247685330731429e+02,1.360662720840282418e+03,4.902275057837297112e+01,7.067961743316385537e+01,0.000000000000000000e+00,3.822400078504061050e+00,0.000000000000000000e+00,4.430322551021093898e-07
4.007869311666705471e+04,1.215184796623564694e+02,1.357646375919395041e+03,4.822652323008228592e+01,6.953163932701826866e+01,0.000000000000000000e+00,3.760316669419380808e+00,0.000000000000000000e+00,4.358365267203809428e-07
4.073147201359112660e+04,1.195407906674171841e+02,1.354563100557029429e+03,4.744164619309724884e+01,6.840002577919234739e+01,0.000000000000000000e+00,3.699118266384215037e+00,0.000000000000000000e+00,4.287433742642079164e-07
4.138425091051519121e+04,1.175912529463040386e+02,1.351412096517169175e+03,4.666794143266557171e+01,6.728452010420777185e+01,0.000000000000000000e+00,3.638790987679505040e+00,0.000000000000000000e+00,4.217511887839321123e-07
4.203702980743925582e+04,1.156694254842956582e+02,1.348192549978021361e+03,4.590523392514671031e+01,6.618486995792207495e+01,0.000000000000000000e+00,3.579321186368480845e+00,0.000000000000000000e+00,4.148583885421508754e-07
4.244618102857415215e+04,1.144787886281798990e+02,1.346139275818474289e+03,4.543271092979980352e+01,6.550359964678156643e+01,0.000000000000000000e+00,3.542477641010465028e+00,0.000000000000000000e+00,4.105880665845637461e-07
4.285533224970904848e+04,1.132987621901465047e+02,1.344058539666439401e+03,4.496439884604060211e+01,6.482840050905649321e+01,0.000000000000000000e+00,3.505962428693608413e+00,0.000000000000000000e+00,4.063557998081878588e-07
4.326448347084393754e+04,1.121292419838475496e+02,1.341950129997502927e+03,4.450025632587541935e+01,6.415921293037722251e+01,0.000000000000000000e+00,3.469772325433691851e+00,0.000000000000000000e+00,4.021612145396845599e-07
4.367363469197883387e+04,1.109701249195604191e+02,1.339813831975964604e+03,4.404024245652362168e+01,6.349597792385193884e+01,0.000000000000000000e+00,3.433904141180910141e+00,0.000000000000000000e+00,3.980039410388565175e-07
4.408278591311372293e+04,1.098213089900806381e+02,1.337649427260341326e+03,4.358431675481894985e+01,6.283863712199473639e+01,0.000000000000000000e+00,3.398354719383333222e+00,0.000000000000000000e+00,3.938836134480512669e-07
4.449193713424861926e+04,1.086826932564955399e+02,1.335456693798759488e+03,4.313243916156356761e+01,6.218713276858542116e+01,0.000000000000000000e+00,3.363120936546684536e+00,0.000000000000000000e+00,3.897998697411372168e-07
4.456680190125468653e+04,1.084754502091137311e+02,1.335052392973839460e+03,4.305019149300646575e+01,6.206855040264714773e+01,0.000000000000000000e+00,3.356707924403540488e+00,0.000000000000000000e+00,3.890565746455369158e-07
4.464166666826075380e+04,1.082685447106598531e+02,1.334647134745472158e+03,4.296807778605965211e+01,6.195016117877563744e+01,0.000000000000000000e+00,3.350305357510073190e+00,0.000000000000000000e+00,3.883144901983314903e-07
4.471653143526682834e+04,1.080619761541918820e+02,1.334240917710050098e+03,4.288609779984860637e+01,6.183196474968483614e+01,0.000000000000000000e+00,3.343913217084825362e+00,0.000000000000000000e+00,3.875736142226708299e-07
4.479139620227289561e+04,1.078557439339307393e+02,1.333833740459234377e+03,4.280425129396036255e+01,6.171396076875410586e+01,0.000000000000000000e+00,3.337531484382325608e+00,0.000000000000000000e+00,3.868339445458760906e-07
4.486626096927896288e+04,1.076498474452465359e+02,1.333425601579953536e+03,4.272253802843802362e+01,6.159614889002036620e+01,0.000000000000000000e+00,3.331160140692662974e+00,0.000000000000000000e+00,3.860954789993897735e-07
4.487374744597943209e+04,1.076292762383717303e+02,1.333384734747910443e+03,4.271437402088151458e+01,6.158437825446835490e+01,0.000000000000000000e+00,3.330523577000158664e+00,0.000000000000000000e+00,3.860216985885446740e-07
