t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_melt(bar),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),viscosity(Pa.s),R_solid(m)
0.0,2968.705714001176,2968.705714001176,0.0,2403.4006113110454,459.9999999999999,0.9889216219930441,0.00022301270307023875,0.0,3.3935414833437802e+19,5.1151913062110763e+20,0.0,1.4826619255915607e+21,7.289362996399456e+19,280.2973833992825,34.78186745526502,7.336994117204482,143.5313527474018,94.21210772480045,0.0019851544975948553,0.00022301270307023875,0.01844364337762259,0.001232221878073631,3014579.1377185336
10.0,2968.647624283296,2964.1198597437706,1854.7301252711911,2432.421142770492,459.9999999999999,0.9888859700049126,0.00022299411377380712,0.0,3.393606861569111e+19,5.115184768388543e+20,0.0,1.4826182370423307e+21,7.288572086821491e+19,280.2968594394437,34.78382643967809,7.338562581944047,143.53694453064188,94.20243896142028,0.0019848515172527855,0.00022299411377380712,0.01844454224312824,0.0012325260987550628,3014579.1377185336
30.0,2968.53145031528,2964.003410307218,1854.5764923964064,2432.282237122097,459.9999999999999,0.9888146693844249,0.00022295693297616167,0.0,3.393737577920214e+19,5.115171696753433e+20,0.0,1.482530855431957e+21,7.286990718856875e+19,280.29581276039266,34.78774396629195,7.341700207773174,143.54812600227962,94.1831045214094,0.001984245716325209,0.00022295693297616167,0.01844633979562754,0.0012331346436107527,3014579.1377185336
70.0,2968.2991242238463,2963.770574041692,1854.2412444236547,2432.002020179055,459.9999999999999,0.9886710180368014,0.00022288308019439057,0.0,3.3939914427148337e+19,5.115146310273971e+20,0.0,1.4823558822410346e+21,7.283851012606577e+19,280.29392138513305,34.79568452540563,7.347982519928418,143.57039006681669,94.1446241217494,0.0019830385199205713,0.00022288308019439057,0.018449920974317156,0.001234361891762331,3014579.1377185336
150.0,2967.8345614556215,2963.3048916603752,1853.6114694462376,2431.434780376705,459.9999999999999,0.9883811896405797,0.0002227365945342619,0.0,3.394480609914631e+19,5.115097393553991e+20,0.0,1.4820054316964158e+21,7.277630146063502e+19,280.2906379790535,34.81182123926737,7.360569342953615,143.61466605664268,94.06813749130669,0.001980635565219965,0.0002227365945342619,0.018457048631410365,0.001236841774702596,3014579.1377185336
310.0,2966.9057926648434,2962.3738917926444,1852.3516394267554,2430.2992468968214,459.9999999999999,0.9878017554123024,0.00022244347622209354,0.0,3.395456955647538e+19,5.1149997589807006e+20,0.0,1.4813045803874124e+21,7.265215841460651e+19,280.2841643902288,34.84408806550817,7.3857942615941345,143.70309378970913,93.9153373328122,0.0019758373927364395,0.00022244347622209354,0.018471294716100106,0.001241808509364267,3014579.1377185336
630.0,2965.0496811048074,2960.5133489012487,1849.8320084456197,2428.02848102236,459.9999999999999,0.9866437766127711,0.00022185665853778196,0.0,3.39740165512908e+19,5.1148052890325464e+20,0.0,1.4799030729699093e+21,7.240496774006975e+19,280.27158981706634,34.90859473808392,7.436449199596238,143.87945017899372,93.61043179600492,0.001966272154318839,0.00022185665853778196,0.018499749689485416,0.0012517693906028767,3014579.1377185336
1270.0,2961.343194828591,2956.797703622591,1844.615863576472,2423.2577096963605,459.9999999999999,0.9842129802673397,0.0002207190960252146,0.0,3.4007010005135196e+19,5.1144753544941024e+20,0.0,1.4770850619297945e+21,7.193074102938477e+19,280.2626237076011,35.045518619336214,7.538879977811747,144.22333939799748,93.01661336544014,0.0019475580802448052,0.0002207190960252146,0.01855551032329791,0.001272635208547744,3014579.1377185336
2133.3513687998056,2956.3580716963415,2951.800258349297,1837.4548970552223,2416.760415958305,459.9999999999999,0.9808686148733554,0.00021920409317545926,0.0,3.404728153632683e+19,5.114072639182186e+20,0.0,1.4732783188764884e+21,7.131019508943303e+19,280.26300115557723,35.23515623634205,7.678934718419221,144.67840867835645,92.23007925286065,0.0019227715118813487,0.00021920409317545926,0.01862973729498627,0.0013015769609547125,3014579.1377185336
2999.2791963517666,2951.377593384425,2946.8073890308124,1830.1475234369054,2410.0756962145056,459.9999999999999,0.977432711714453,0.0002177101969939145,0.0,3.4082243097041437e+19,5.11372302357504e+20,0.0,1.4694633979854699e+21,7.071197257989624e+19,280.2794858344504,35.43200916195695,7.8215207591269635,145.12337309472431,91.46003083168617,0.0018984993815537071,0.0002177101969939145,0.018702855681779103,0.0013315975448820556,3014579.1377185336
