t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_melt(bar),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),viscosity(Pa.s),R_solid(m)
0.0,2968.705714001176,2968.705714001176,0.0,2576.3733328343487,459.9999999999999,0.9889216219930441,0.00022301270307023875,0.0,1.2349008851380666e+19,2.6037826387589205e+20,0.0,1.456669374568923e+21,9.888618098663255e+19,180.37065520202606,33.68127138879564,2.664453535935981,52.251277371144894,91.45394720114446,0.0006826468159130286,0.00022301270307023875,0.013188706112036147,0.001232221878073631,3014579.1377185336
10.0,2968.6431621575844,2963.856391512097,1997.5134143252214,2602.2353047948145,459.9999999999999,0.9888832314195203,0.00022299268579398116,0.0,1.2349782521481953e+19,2.6037749020579077e+20,0.0,1.4566067174306616e+21,9.88682854246573e+19,180.3651631096335,33.6826213059964,2.665178594621776,52.255661687774456,91.44196340358113,0.0006825352657810555,0.00022299268579398116,0.013189972342761407,0.0012325494691006855,3014579.1377185336
30.0,2968.5180599879013,2963.7307177289185,1997.4787771000886,2602.251442237297,459.9999999999999,0.9888064512038208,0.0002229526471415745,0.0,1.2351328925569581e+19,2.6037594380170314e+20,0.0,1.4564813806872035e+21,9.88325167676424e+19,180.3541844742768,33.685318965623914,2.666628742641352,52.26442736356828,91.41800647573262,0.0006823123608504189,0.0002229526471415745,0.01319250407649347,0.0012332047964128524,3014579.1377185336
70.0,2968.2678614177294,2963.479367424731,1997.4060073054936,2602.2804639461137,459.9999999999999,0.9886515140007982,0.00022287322514671963,0.0,1.2354384538956235e+19,2.6037288818831648e+20,0.0,1.4562303210787465e+21,9.876139753541304e+19,180.3325312210344,33.69084167362375,2.6695326187500577,52.28190749987336,91.37031709875257,0.0006818681353056315,0.00022287322514671963,0.013197554308966021,0.0012345286824569169,3014579.1377185336
150.0,2967.76748867536,2962.9766795325518,1997.2535179333006,2602.331691640229,459.9999999999999,0.9883393447109742,0.00022271543802472314,0.0,1.2360432866617557e+19,2.6036683986065516e+20,0.0,1.4557275250807826e+21,9.86199636519092e+19,180.28976074478084,33.702096741361046,2.675351376619912,52.3167804795121,91.27534134741077,0.0006809825624758415,0.00022271543802472314,0.013207633617585037,0.00123720006120086,3014579.1377185336
310.0,2966.7668439123754,2961.97141477806,1996.9450583839744,2602.430378719607,459.9999999999999,0.9877150689689624,0.00022239959448771364,0.0,1.2372525072053731e+19,2.60354747655219e+20,0.0,1.454721716517846e+21,9.833782268754767e+19,180.2044083042936,33.72458112877697,2.687023257968437,52.38651517749845,91.08558084682804,0.0006792130290751573,0.00022239959448771364,0.013227798963272268,0.0012425525711076745,3014579.1377185336
630.0,2964.765959447386,2959.9612935188725,1996.3102572219486,2602.608858682778,459.9999999999999,0.9864598916685037,0.00022176907387593241,0.0,1.2396566801330274e+19,2.6033070592594244e+20,0.0,1.452707998113598e+21,9.777767984883833e+19,180.03543371586284,33.769880134770816,2.710509632656986,52.52576573467274,90.70753629825803,0.0006756854555967583,0.00022176907387593241,0.013268109695496879,0.0012533437896357388,3014579.1377185336
1270.0,2960.7658985254993,2955.942438715025,1994.8237384476313,2602.7492299682235,459.9999999999999,0.9838340077729575,0.00022054152203871902,0.0,1.2442451527746028e+19,2.602848211995267e+20,0.0,1.4486563487128554e+21,9.668975924950226e+19,179.71702598113373,33.86747044456345,2.758120152732339,52.80113181075496,89.96650445340406,0.000668740622087678,0.00022054152203871902,0.013348040806367758,0.0012759069962172754,3014579.1377185336
2069.9878158047795,2955.7692488144735,2950.921560869961,1993.0992709063041,2603.123640346851,459.9999999999999,0.9804624011980551,0.00021902802779833505,0.0,1.2497897252676305e+19,2.602293754745964e+20,0.0,1.443574070925082e+21,9.53680424511049e+19,179.33804062202663,33.99477078006529,2.8187318352247845,53.14229320734205,89.05588242534293,0.0006601837872684216,0.00021902802779833505,0.01344742763203434,0.001305103687521377,3014579.1377185336
2870.5120291039348,2950.773313449534,2945.900960641004,1991.3888019658727,2603.5415818987176,459.9999999999999,0.9770132907964599,0.00021752902684355198,0.0,1.2551663044490297e+19,2.6017560968278242e+20,0.0,1.4384720296472818e+21,9.408265020317673e+19,178.97634319999312,34.12663030202203,2.880613185420596,53.480826173671794,88.15935305603331,0.0006517393520444298,0.00021752902684355198,0.013546442800341086,0.0013352879259771486,3014579.1377185336
3671.687539614737,2945.7778608107606,2940.8805335320194,1989.2803203393937,2603.523560562893,459.9999999999999,0.973395746145656,0.0002160724041941388,0.0,1.2601870442427548e+19,2.6012540228484517e+20,0.0,1.4333598645563354e+21,9.285274319254648e+19,178.64728691691312,34.270052547747966,2.9438169167882537,53.81349733116994,87.28846265394712,0.0006434987727673966,0.0002160724041941388,0.01364422103836105,0.0013671974703986505,3014579.1377185336
4473.592360302806,2940.783458041641,2935.86145758433,1986.942316304698,2603.2251854968135,459.9999999999999,0.9697428194468556,0.0002146163381510099,0.0,1.2650892790223602e+19,2.6007637993704912e+20,0.0,1.428260720600998e+21,9.165448208527974e+19,178.33221984508612,34.416711062020575,3.008263112470107,54.1435022392333,86.42975583568996,0.0006353676312194274,0.0002146163381510099,0.01374163210592645,0.0013998706512588892,3014579.1377185336
5276.395876318216,2935.789615773775,2930.842745607712,1984.2528867886704,2602.5341223626647,459.9999999999999,0.9659504866701112,0.0002131924671442659,0.0,1.269680290548197e+19,2.6003046982179075e+20,0.0,1.4231561208405348e+21,9.050462578099963e+19,178.0453596663849,34.57339639374084,3.0740549198410996,54.46810442808159,85.59330569195427,0.0006274179546631635,0.0002131924671442659,0.013837938653690464,0.0014341748722296044,3014579.1377185336
6080.189301252365,2930.7966554355758,2925.825296955028,1981.3864165562431,2601.6564265811016,459.9999999999999,0.962144778571327,0.00021176204760521894,0.0,1.2741873669372445e+19,2.5998539905790027e+20,0.0,1.4180673509129876e+21,8.938111597983898e+19,177.7691927799082,34.732133979638,3.141117897203922,54.79039667367103,84.76654078346408,0.0006195609232690771,0.00021176204760521894,0.013933984402275307,0.0014691221087969452,3014579.1377185336
6885.116008542478,2925.8041881166796,2920.8079433193097,1978.1714338121205,2600.3825806991717,459.9999999999999,0.9581725501175254,0.0002103709758634909,0.0,1.2783265891151446e+19,2.5994400683612127e+20,0.0,1.41296826990732e+21,8.830867138855598e+19,177.52464217085245,34.90297300270428,3.2095935980944117,55.10634092743674,83.96425023308974,0.0006119025454586675,0.0002103709758634909,0.01402867772941639,0.0015060588221646278,3014579.1377185336
7691.257196731865,2920.8126235762484,2915.792060338376,1974.748578046393,2598.894683220389,459.9999999999999,0.9542010399543133,0.00020896896035762922,0.0,1.2824020490096804e+19,2.599032522371759e+20,0.0,1.4078866536286708e+21,8.725889287823814e+19,177.28870328251355,35.075208634652235,3.279374434079848,55.420126350891415,83.17003341521382,0.0006043261382798677,0.00020896896035762922,0.01412316119118893,0.0015435721972596975,3014579.1377185336
