t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
0.0,2773.6874001683377,2713.390039974743,13523.034519357383,14593.243910747002,207.0,0.8125510139314182,NaN,0.00016964365099830732,NaN,7750037428655260.0,2.23146962656237e+19,6.758402512792476e+17,1.0280066393673224e+16,1.548413719308614e+20,2.503831827051279e+20,NaN,119.01073996764369,0.7491321594230033,10.271340830183329,106.15992905997538,1.1365117418417512,2.2296406790592978e-07,0.00016964365099830732,0.02907831456610796,NaN,1.0,NaN
10.0,2773.3762335661286,2710.3744998708125,14341.994372912332,14567.401011266276,207.0,0.8122150722379682,NaN,0.00017042468387484837,NaN,7788673839864752.0,2.2309219402206798e+19,6.693246224609696e+17,1.0266367306815976e+16,1.541696418381726e+20,2.5029068459065626e+20,NaN,118.98142576292099,0.7436876253290376,10.304353372733072,106.11525153914454,1.1242801792196029,2.1756328009430887e-07,0.00017042468387484837,0.02908614646136499,NaN,1.0,NaN
30.0,2772.751844271043,2709.634227627146,14386.633421142442,14611.942491182173,207.0,0.8115409690544223,NaN,0.0001710699545342854,NaN,7645249519396830.0,2.2207444365602718e+19,6.625847166220323e+17,1.000701276482173e+16,1.5282047313434883e+20,2.5019595019565787e+20,NaN,118.95596347170277,0.7383635034396022,10.346657792741187,106.06563674771367,1.1113784189204303,2.1202933192760937e-07,0.0001710699545342854,0.029095332555043235,NaN,1.0,NaN
70.0,2771.4993202452056,2708.7185010433145,14288.501039019693,14513.964762308071,207.0,0.8101887190399979,NaN,0.00016971710464319756,NaN,7324083411896723.0,2.198686966105797e+19,6.712518407039905e+17,9636760737680052.0,1.522374652631926e+20,2.5033316877827663e+20,NaN,119.03541338510271,0.7484077832258998,10.36477333670867,106.10257161281287,1.1253886936637816,2.1820741175329033e-07,0.00016971710464319756,0.029093135529152356,NaN,1.0,NaN
150.0,2769.0124848066366,2706.4295213378455,14233.775474375909,14459.237480432495,207.0,0.8075038817128867,NaN,0.00016919984408853386,NaN,7314195146323217.0,2.186461189420071e+19,6.709841417468727e+17,9576257401852890.0,1.5150364513888135e+20,2.5034921280022082e+20,NaN,119.09275146943578,0.7521718043433411,10.456640700758381,106.0674484394658,1.1216698697284397,2.16745267125563e-07,0.00016919984408853386,0.029105444641572126,NaN,1.0,NaN
310.0,2764.0667902415375,2701.8199318804595,14140.518040889678,14365.9385423197,207.0,0.8020571049706037,NaN,0.00016831553534044178,NaN,7412855031730365.0,2.1683552907805438e+19,6.692020835251468e+17,9599490785443520.0,1.5034128824033742e+20,2.503618715236088e+20,NaN,119.20035039709073,0.7585077993631746,10.64581149554059,105.98810763119612,1.1120240893225797,2.128812600449983e-07,0.00016831553534044178,0.029131405020911695,NaN,1.0,NaN
471.7568552747734,2759.119232587903,2697.373320230128,13996.50105347783,14222.06289201735,207.0,0.7965998976350912,NaN,0.00016662190089649243,NaN,7369857544740748.0,2.1440132894581346e+19,6.735950946180155e+17,9490759066402288.0,1.4933773456236714e+20,2.5046095293665467e+20,NaN,119.34219631824058,0.7706882928568967,10.816595412504423,105.94447639370047,1.1134297681488248,2.1385703207840305e-07,0.00016662190089649243,0.02915162683633078,NaN,1.0,NaN
635.2282755177907,2754.1705592423336,2692.895174693821,13861.475499533912,14087.39670237111,207.0,0.7911414596798219,NaN,0.00016501710184750213,NaN,7370417451641221.0,2.1224357063308415e+19,6.770077253811347e+17,9430433188587854.0,1.4840915127848967e+20,2.5054365318103758e+20,NaN,119.47846609880564,0.7820239688050606,10.992575430919329,105.89274172710144,1.1130289042908195,2.14075562365151e-07,0.00016501710184750213,0.02917301435552694,NaN,1.0,NaN
800.3951887768606,2749.218738585553,2688.3973476975743,13731.480517994778,13957.802756330051,207.0,0.7856388550531013,NaN,0.00016344408506440612,NaN,7391425776739522.0,2.1021930127244497e+19,6.800629509576664e+17,9393064482105514.0,1.4752126357258022e+20,2.50619279422865e+20,NaN,119.61322010700752,0.793126041587204,11.172511740450126,105.83648634626284,1.111918142854532,2.139986756198716e-07,0.00016344408506440612,0.029195070973464646,NaN,1.0,NaN
967.1691136694178,2744.2939564940293,2683.9111441602176,13606.211105387523,13832.615468488877,207.0,0.7800890990943787,NaN,0.00016187105827719008,NaN,7418734282743393.0,2.082930465128524e+19,6.828925902446842e+17,9362283500624330.0,1.4666112392058695e+20,2.5068947553690976e+20,NaN,119.74604462412618,0.8040278614907228,11.354086613878083,105.77728030166944,1.1104073096637919,2.1377226500103558e-07,0.00016187105827719008,0.029217419857046185,NaN,1.0,NaN
