t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_melt(bar),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),viscosity(Pa.s),R_solid(m)
0.0,2968.705714001176,2968.705714001176,0.0,4290.677131185008,459.9999999999999,0.9889216219930441,0.00022301270307023875,0.0,4.4604059005972185e+19,5.0085048644857325e+20,0.0,8.151491951698207e+20,1.8184138163512566e+19,242.21676187966415,11.647114523211108,9.641297431541746,188.78439698302282,31.577240803160283,0.00029359628639703784,0.00022301270307023875,0.024773946902028682,0.001232221878073631,3014579.1377185336
10.0,2968.571106266574,2960.0533717296867,4306.794815349835,4321.567664672245,459.9999999999999,0.9888390078311657,0.0002229696252235652,0.0,4.460274730597889e+19,5.0085179814856655e+20,0.0,8.151325397181746e+20,1.8182164917900915e+19,242.22061713554507,11.649369361540385,9.645357220248025,188.78741467354504,31.57172397197764,0.0002935077103498302,0.0002229696252235652,0.024774765646986403,0.0012329268972010297,3014579.1377185336
30.0,2968.3019528933114,2959.7842669486877,4305.113367278087,4320.202922715092,459.9999999999999,0.9886727827686991,0.0002228839718631047,0.0,4.4600050183999455e+19,5.00854495270546e+20,0.0,8.150991788967837e+20,1.8178267120862515e+19,242.22840589268648,11.653916169462176,9.653490290330723,188.79341176691273,31.560756224686116,0.0002933314121114409,0.0002228839718631047,0.02477639638155438,0.0012343468011482102,3014579.1377185336
70.0,2967.7638966162285,2959.2463178633675,4301.705411384925,4317.460264550504,459.9999999999999,0.9883371037205029,0.00022271430494438015,0.0,4.459441261101312e+19,5.008601328435323e+20,0.0,8.150323050644853e+20,1.8170637515682636e+19,242.2442415058543,11.66313147213191,9.669799783995991,188.8052708371494,31.539048981213476,0.00029298195147159925,0.00022271430494438015,0.024779634303278796,0.0012372192508505538,3014579.1377185336
150.0,2966.68878948748,2958.171356302616,4294.959472403037,4311.983995677286,459.9999999999999,0.9876663728823789,0.00022237494055318656,0.0,4.458315187599042e+19,5.00871393578555e+20,0.0,8.148985654272742e+20,1.8155425198580177e+19,242.27594511046695,11.68156898422916,9.702471631128983,188.8288826277252,31.495714112904782,0.00029228508916392227,0.00022237494055318656,0.024786103963373263,0.001242970662646375,3014579.1377185336
310.0,2964.5425816725938,2956.025425676717,4281.459275057418,4301.030809743662,459.9999999999999,0.9863132528765187,0.0002217006994531161,0.0,4.455999441639945e+19,5.00894551038146e+20,0.0,8.146306836420693e+20,1.8125620828571253e+19,242.34018614410004,11.718811172849264,9.768112397526503,188.87537636450534,31.40994618588866,0.0002909068995029058,0.0002217006994531161,0.024798956897426155,0.00125459714958056,3014579.1377185336
630.0,2960.266290104944,2951.750017436788,4253.739212540877,4278.894238612352,459.9999999999999,0.9835060343417438,0.0002203877332598352,0.0,4.450846400631341e+19,5.00946081448232e+20,0.0,8.140916411591305e+20,1.807016053528333e+19,242.47474018721576,11.796101597518302,9.90092017287485,188.96426804901378,31.244254481393856,0.0002882403211571612,0.0002203877332598352,0.024824080002581322,0.001278742632433228,3014579.1377185336
1004.1559654474258,2955.29955863797,2946.7827136247947,4222.231412353559,4252.774727013057,459.9999999999999,0.9801383740946138,0.0002188874778149872,0.0,4.444349888485976e+19,5.010110465696857e+20,0.0,8.134588429920246e+20,1.8009858878305348e+19,242.63810576876295,11.889202896419476,10.058136833888948,189.06295966797157,31.057159755628835,0.00028523272745987994,0.0002188874778149872,0.024852801242998233,0.001307921250633116,3014579.1377185336
1380.8181304186583,2950.3374399049385,2941.8207761412687,4190.162436506198,4226.487887986121,459.9999999999999,0.9766976453237277,0.00021740236953917487,0.0,4.437496029661692e+19,5.010795851579285e+20,0.0,8.128219595414135e+20,1.7952939220985442e+19,242.80713987471108,11.984976958572158,10.21820269432114,189.15736684298528,30.874506888859745,0.0002823057200754238,0.00021740236953917487,0.024881158490885062,0.0013380524632502567,3014579.1377185336
1760.3557687178254,2945.3758172086473,2936.859252561618,4157.468987585603,4199.951004103408,459.9999999999999,0.9731045992191656,0.00021595469632437097,0.0,4.429909267306722e+19,5.011554527814782e+20,0.0,8.12178595631364e+20,1.7901707596937271e+19,242.98589090137315,12.08546916615551,10.38178218484464,189.24585577473076,30.699266345563807,0.0002794953866341418,0.00021595469632437097,0.024908843674510912,0.0013697868219689437,3014579.1377185336
2142.8290657922626,2940.414786569525,2931.8981730736646,4125.017164005731,4173.460814473492,459.9999999999999,0.9694628496695644,0.0002145116027828259,0.0,4.422091314173634e+19,5.012336323128091e+20,0.0,8.115317498571506e+20,1.7853034615888517e+19,243.16928586526328,12.188231328075103,10.548291751242571,189.33060390943234,30.527220893432016,0.0002767484048857671,0.0002145116027828259,0.024936304323898584,0.0014023845593814925,3014579.1377185336
2528.30672647804,2935.454062492662,2926.937215114754,4092.2322292189083,4146.77035378942,459.9999999999999,0.9656956669064799,0.0002130963941372307,0.0,4.4136725886428185e+19,5.0131781956811725e+20,0.0,8.108788866047018e+20,1.7809250822600251e+19,243.36125495979513,12.29525059203697,10.718292075767252,189.4099284691436,30.361434824327574,0.0002741021435078648,0.0002130963941372307,0.024963216166915096,0.0014364991248678005,3014579.1377185336
2916.8363591581583,2930.4937824004783,2921.9768712519094,4059.68950166566,4120.152892877504,459.9999999999999,0.9619037993498207,0.00021167797986492177,0.0,4.405138643928895e+19,5.014031590152565e+20,0.0,8.102220550075419e+20,1.7767286742355317e+19,243.55681037971468,12.404072047640573,10.891200271805436,189.48599300629914,30.19779551210928,0.00027150467441508936,0.00021167797986492177,0.024990017634737658,0.001471345779988791,3014579.1377185336
3308.4771793037653,2925.53377040062,2917.016383668203,4026.7396588916927,4093.2621782325195,459.9999999999999,0.9579573937874921,0.0002102953066162921,0.0,4.395866767201796e+19,5.014958777825275e+20,0.0,8.095580190692175e+20,1.7731121728191863e+19,243.76259876038452,12.518081481913232,11.067929775215836,189.55591011337637,30.04153685272514,0.0002690203889345048,0.0002102953066162921,0.025016151834057282,0.0015080764182881005,3014579.1377185336
3703.2754380106926,2920.5743321145283,2912.056834392001,3994.1279930947917,4066.5198981083577,459.9999999999999,0.9540114446972838,0.00020890175350555312,0.0,4.38659630323404e+19,5.0158858242220504e+20,0.0,8.088913651191858e+20,1.7696110225243859e+19,243.9709322818711,12.63344355229389,11.24752284554249,189.62294793709253,29.886497258737403,0.0002665725544580504,0.00020890175350555312,0.025042275122081667,0.0015453771307552702,3014579.1377185336
4101.302629724145,2915.6148965934617,2907.0969126132845,3961.3962523348387,4039.514181187675,459.9999999999999,0.9499488396229012,0.00020753164944210565,0.0,4.376771314401916e+19,5.016868323105263e+20,0.0,8.082183463365168e+20,1.7665786655060527e+19,244.18779280813862,12.753229195073809,11.430834804101487,189.6845518998678,29.737286025385128,0.0002642174535808732,0.00020753164944210565,0.025067897919638406,0.0015843406187087546,3014579.1377185336
4502.585386626422,2910.6561784587707,2902.137736131632,3928.6879094977708,4012.5916701908386,459.9999999999999,0.9458183733158174,0.00020617076192807547,0.0,4.366620390126636e+19,5.017883415532791e+20,0.0,8.075403656633014e+20,1.763874267662374e+19,244.41085242108042,12.87630072864951,11.617593355475062,189.7416813445196,29.59202641211833,0.0002619313983915815,0.00020617076192807547,0.0250932195985617,0.0016245689731322472,3014579.1377185336
4907.20886593312,2905.697508565818,2897.1786775239843,3896.532985561037,3985.83701659482,459.9999999999999,0.9416879471926807,0.0002047988966558051,0.0,4.356467615555499e+19,5.0188986929899045e+20,0.0,8.068592810063752e+20,1.7612915742720377e+19,244.63672736861324,13.000942796247012,11.807413427885411,189.79578472665625,29.447986618525636,0.00025968033441246867,0.0002047988966558051,0.025118534530898403,0.0016654008693971758,3014579.1377185336
5315.204848758876,2900.738830381879,2892.2200000103917,3863.6677759142995,3958.9040952791784,459.9999999999999,0.937423504005313,0.00020345460412576948,0.0,4.345677918244032e+19,5.019977662721051e+20,0.0,8.061709231837049e+20,1.7592402864705843e+19,244.87236409316088,13.130794872108966,12.001289522418755,189.84387623289666,29.310464612681574,0.00025752875888792947,0.00020345460412576948,0.025143276581915553,0.0017082392441774327,3014579.1377185336
5726.600756801665,2895.7809215901448,2887.2617367071452,3831.1809844785375,3932.0249264303006,459.9999999999999,0.9331028605144821,0.0002021157279325147,0.0,4.334627844589958e+19,5.0210826700864586e+20,0.0,8.054774903265569e+20,1.7574999033478554e+19,245.11409582822225,13.263900958764783,12.199074753541995,189.88717699563583,29.1766758614064,0.00025545788922129876,0.0002021157279325147,0.025167767701679715,0.001752333698181935,3014579.1377185336
6141.48929682374,2890.8230011406918,2882.3039737735935,3799.019804373124,3905.285403604716,459.9999999999999,0.9287822068643583,0.00020076590361381433,0.0,4.323575365731818e+19,5.0221879179722726e+20,0.0,8.047805388657593e+20,1.7558914731986424e+19,245.35896573600562,13.398817129079884,12.40018806210782,189.92720001981277,29.044175109112867,0.00025342404873745806,0.00020076590361381433,0.025192253110039177,0.0017970598779308657,3014579.1377185336
6559.899136453867,2885.8650324966093,2877.3460724631746,3767.078681914751,3878.5886644465195,459.9999999999999,0.9244029099883796,0.00019942166469814516,0.0,4.312243042447622e+19,5.023321150300692e+20,0.0,8.040772311163455e+20,1.7545905782948274e+19,245.61002284417336,13.53718716773748,12.605056367513264,189.96271288349794,28.915172881585416,0.0002514508166827674,0.00019942166469814516,0.025216493265326878,0.0018430808805428636,3014579.1377185336
