t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_melt(bar),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),viscosity(Pa.s),R_solid(m)
0.0,2968.705714001176,2953.862185431169,9033.45933237343,5678.758392511706,459.9999999999999,0.9889216219930441,0.00022301270307023875,0.0,7.538387129171722e+18,1.2882524923446464e+20,0.0,8.06169009673827e+20,2.7164323659506225e+19,76.38250680858114,11.40263475622086,1.6237124030638124,31.92500133429257,31.04218240134343,4.8179547840707594e-05,0.00022301270307023875,0.016284718555355748,0.001232221878073631,3014579.1377185336
10.0,2968.534051005054,2958.295818203819,5503.842588792479,5708.223878787205,459.9999999999999,0.9888162655319767,0.0002229577653693623,0.0,7.539057805882229e+18,1.2882457855775413e+20,0.0,8.061163726580257e+20,2.7154890977279058e+19,76.38114288736988,11.404611529991476,1.624789961272137,31.929697564157305,31.032990073699974,4.8160058163976666e-05,0.0002229577653693623,0.01628760596321115,0.0012331210186978313,3014579.1377185336
30.0,2968.190771222009,2957.9506092820475,5502.523932606708,5707.191677197472,459.9999999999999,0.9886034194712331,0.00022284892214413998,0.0,7.540361983368774e+18,1.2882327438026759e+20,0.0,8.060109051330365e+20,2.713621910621123e+19,76.37856676772107,11.40863778509288,1.6269478620142266,31.93903310739215,31.014739105377643,4.8121297413175904e-05,0.00022284892214413998,0.016293349890864964,0.001234940025200909,3014579.1377185336
70.0,2967.50439855238,2957.260369152546,5499.855759328408,5705.108000455708,459.9999999999999,0.9881752097573772,0.00022263243509845808,0.0,7.542922535351534e+18,1.2882071382828483e+20,0.0,8.057997522153743e+20,2.709916155776425e+19,76.3736170775038,11.41678047099659,1.6312717740296572,31.95762188729034,30.978424512157726,4.8044101070234365e-05,0.00022263243509845808,0.01630479602845758,0.0012386060204588633,3014579.1377185336
150.0,2966.13240518166,2955.880651096859,5494.538450015061,5700.934532500587,459.9999999999999,0.9873192594629028,0.00022219913301086005,0.0,7.548029237902541e+18,1.2881560712573382e+20,0.0,8.053774317487541e+20,2.702533322067283e+19,76.36381461477323,11.433071008337006,1.639946350834447,31.994725642123452,30.905934795811444,4.7890056144475574e-05,0.00022219913301086005,0.016327665002479817,0.0012459532764259981,3014579.1377185336
310.0,2963.3914272137663,2953.1239476545798,5483.682559147034,5692.368798692416,459.9999999999999,0.9855575648973215,0.000221348006581567,0.0,7.557601089453588e+18,1.2880603527418277e+20,0.0,8.045299308002058e+20,2.688162176018047e+19,76.34694548938752,11.466853206857428,1.657421930483712,32.06779295690061,30.76351454787773,4.758649664082819e-05,0.000221348006581567,0.016372834679249517,0.0012610687851917612,3014579.1377185336
601.8666291311383,2958.4024333406,2948.1061928021836,5463.570028581227,5676.344024039946,459.9999999999999,0.98227896709086,0.00021981422167274343,0.0,7.574041028641374e+18,1.2878959533499498e+20,0.0,8.02980157574565e+20,2.662721298831782e+19,76.32078019298577,11.530230136967305,1.6896949363378122,32.198854125750884,30.508422651033133,4.704196584406882e-05,0.00021981422167274343,0.016454229485477194,0.0012893801639191865,3014579.1377185336
894.377139814198,2953.420860412961,2943.094958653533,5442.863813176003,5659.885660001237,459.9999999999999,0.978842308784886,0.000218324353040317,0.0,7.588386836203569e+18,1.2877524952743279e+20,0.0,8.014209333776389e+20,2.6386117866011173e+19,76.3037346277338,11.597636765694347,1.7225521764788874,32.32602708495208,30.26176057577717,4.651296709222001e-05,0.000218324353040317,0.016533771793680353,0.0013192296224387831,3014579.1377185336
1187.9696606248617,2948.4400076073293,2938.0842451172425,5421.831235827956,5642.821595147327,459.9999999999999,0.9753235864436169,0.00021685002726468493,0.0,7.601515252524532e+18,1.2876212111111183e+20,0.0,7.998602624035831e+20,2.6154011237054104e+19,76.2924779269101,11.667540340791934,1.7560081162036754,32.45057925217779,30.02043551018044,4.599478609158113e-05,0.00021685002726468493,0.016612192745559817,0.0013501311761289138,3014579.1377185336
1482.6907980144024,2943.4597144816053,2933.074661315689,5399.88527141234,5625.208984504212,459.9999999999999,0.9717170198200921,0.0002153927466507158,0.0,7.613355231988318e+18,1.2875028113164804e+20,0.0,7.982975461671507e+20,2.593103737202213e+19,76.28727733643649,11.740139045868755,1.7900771129079356,32.57240064718656,29.784613266224472,4.548770833193115e-05,0.0002153927466507158,0.016689434121510544,0.0013821699029849717,3014579.1377185336
