t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
0.0,2773.6874001683377,2746.0198683516564,4785.973780531627,3764.2588456545564,207.0,0.8125510139314182,NaN,0.00016964365099830732,NaN,6044168150033435.0,1.7384940899862548e+19,2.226061892658657e+19,5.157890590821243e+16,8.108795541579811e+20,2.5531744483961445e+20,NaN,138.6572802769413,18.851891045896693,8.00343931266611,82.6771104940379,28.585484756287045,0.00010979383961868835,0.00016964365099830732,0.022209507696186452,NaN,1.0,NaN
10.0,2773.608897144146,2751.4798083563605,3553.5259379879813,3786.8705209178656,207.0,0.8124662604948328,NaN,0.00016984506883640067,NaN,6055884873483984.0,1.7393073769383844e+19,2.220061908098455e+19,5.157589057444559e+16,8.100434503924139e+20,2.552900465370896e+20,NaN,138.60847834589265,18.823379835843912,8.014502119251915,82.71446339990666,28.516475972401615,0.00010924443594147804,0.00016984506883640067,0.02222375038518901,NaN,1.0,NaN
30.0,2773.451750940196,2751.311730102229,3556.404879466121,3789.756078347887,207.0,0.8122966023069064,NaN,0.00017002779352639672,NaN,6034345698893314.0,1.7380677472914983e+19,2.214274464782456e+19,5.128487993937784e+16,8.08309057501522e+20,2.552638944356721e+20,NaN,138.5654830486839,18.79957615754914,8.02772211379254,82.7507433075129,28.44747086824594,0.0001086968481799268,0.00017002779352639672,0.022238153161392684,NaN,1.0,NaN
70.0,2773.1372172645306,2750.975361803815,3562.2076129212833,3795.5872137900983,207.0,0.8119570254535443,NaN,0.0001703587676932201,NaN,5986241857740552.0,1.7359972621027674e+19,2.201872881783179e+19,5.06546811914193e+16,8.048483901384052e+20,2.5520738503168967e+20,NaN,138.46938947342124,18.74476116765196,8.05390353952349,82.82831854755528,28.301782259641865,0.00010756507208093548,0.0001703587676932201,0.022268500018948048,NaN,1.0,NaN
150.0,2772.507104077997,2750.3291675142227,3567.513600335564,3800.9049237663676,207.0,0.8112767426421936,NaN,0.00017060692326468287,NaN,5875314631766227.0,1.7300189134703088e+19,2.1888663389201297e+19,4.946176747231956e+16,7.995057496025828e+20,2.5514895508079903e+20,NaN,138.38129388633953,18.698574642522935,8.089555666785404,82.91040677619236,28.14137801989389,0.00010634258355760879,0.00017060692326468287,0.02230245529058208,NaN,1.0,NaN
310.0,2771.2451673039327,2749.1565022086925,3549.179647243832,3782.4648006972384,207.0,0.8099143304363376,NaN,0.00016949308896127097,NaN,5684690543080849.0,1.712681586490745e+19,2.214310114987292e+19,4.810990067995402e+16,7.968903374946765e+20,2.5527133558767878e+20,NaN,138.66931349804392,18.894500628109423,8.091669774795575,82.75513585331323,28.38749877546434,0.00010829154340317673,0.00016949308896127097,0.022254245727789255,NaN,1.0,NaN
630.0,2768.7361639441806,2746.6962513399594,3540.039725609101,3773.2846881366268,207.0,0.8072055601777035,NaN,0.00016911601226424517,NaN,5711671794510326.0,1.7061195598598234e+19,2.208783527139199e+19,4.802088767178697e+16,7.931447878170584e+20,2.5525509683309845e+20,NaN,138.74068413423697,18.974076838239313,8.17421088042543,82.79469447125913,28.256308610825542,0.00010732248804755268,0.00016911601226424517,0.022285573224877578,NaN,1.0,NaN
1267.703410711271,2763.760216166768,2741.80852175708,3523.28509775321,3756.4606545446713,207.0,0.8017189505908386,NaN,0.00016822740228250848,NaN,5800222194072829.0,1.6942976667474508e+19,2.2023243847842615e+19,4.819473255622377e+16,7.87154237209912e+20,2.5524276762191148e+20,NaN,138.92361410138867,19.157708868995265,8.334260415815205,82.84365937448683,28.045044234459148,0.00010578935162988135,0.00016822740228250848,0.02233785612343027,NaN,1.0,NaN
1908.489286324762,2758.8000465994596,2736.994311551604,3493.955858669381,3727.0001770115487,207.0,0.7962478321839211,NaN,0.00016653019821039536,NaN,5764110387183925.0,1.674228566105495e+19,2.2183928403586535e+19,4.766323776212778e+16,7.817771694311415e+20,2.553310411766579e+20,NaN,139.307110626375,19.467387732910264,8.462453160731815,82.7516594360593,28.08219300678479,0.00010621316221057605,0.00016653019821039536,0.022338997409592158,NaN,1.0,NaN
2554.4207075374557,2753.8431622569537,2732.1791684146046,3465.4570725766525,3698.3740334113613,207.0,0.7907803374139843,NaN,0.00016492590394870694,NaN,5763571463769955.0,1.6567619033643174e+19,2.231078723365536e+19,4.7377625929068696e+16,7.768154121050313e+20,2.554020071298822e+20,NaN,139.66188960861277,19.76052615079927,8.597236959048846,82.6795485014684,28.080529175506985,0.00010634375417104066,0.00016492590394870694,0.022348135087895297,NaN,1.0,NaN
