t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
0.0,3000.0,2961.463943974728,7444.452740872688,8689.214165068895,1244.7628171928716,1.0,NaN,0.0002358278469351845,NaN,0.0,2.3277712290869346e+19,6.088838268548847e+18,0.0,4.6046760613066664e+20,2.4942735688057795e+20,NaN,118.74470642092592,3.8283491176413835,4.5937195936641215,98.46686694234322,11.266653225111662,1.9300886095283372e-05,0.0002358278469351845,0.025837670612291058,NaN,1.0,NaN
1000.0,2976.6693785904617,2938.9318903639437,7239.475094476207,8484.2378436366,1244.7628171928716,0.9935085773542877,NaN,0.0002256496619399925,NaN,153566429449167.5,2.3327107486553203e+19,5.912554074385524e+18,849720759372216.5,4.601380466377893e+20,2.4937739300133375e+20,NaN,118.90052466014228,3.899165849912109,4.905867637509483,98.6660800929668,10.834487541606281,1.8082202671293035e-05,0.0002256496619399925,0.02597107280605926,NaN,1.0,NaN
1192.8795603439212,2972.2950474504783,2934.7510173905443,7190.033980560632,8434.784611861918,1244.7506992519316,0.9910666604838605,NaN,0.00022417997063647654,NaN,213191134670008.25,2.3304251821243384e+19,5.893463427660912e+18,1171685754893543.8,4.600595783179217e+20,2.494001507298173e+20,NaN,118.95862109985572,3.9234933421481566,4.97128591557604,98.69339451882372,10.774395601674327,1.790801588609598e-05,0.00022417997063647654,0.025991953869600425,NaN,1.0,NaN
1413.3470491692424,2967.327938886439,2929.998361542038,7135.326569081513,8380.07486409298,1244.7483619488105,0.9880571375380549,NaN,0.00022257744030856785,NaN,287327178245925.5,2.327283965932885e+19,5.874433793585959e+18,1567211500954806.0,4.599714844445943e+20,2.494314520076219e+20,NaN,119.03007822673968,3.953290838703872,5.047400177982416,98.72196132643981,10.710093503847705,1.7721236301009605e-05,0.00022257744030856785,0.02601493557550774,NaN,1.0,NaN
1635.2744401022792,2962.366154455067,2925.2566134603153,7079.303547725104,8324.04915952627,1244.7456903368018,0.9848767410498355,NaN,0.00022103476136650814,NaN,367687300432342.9,2.3236525571224072e+19,5.85779087419013e+18,1990566457301049.5,4.5988093687598934e+20,2.494676552955713e+20,NaN,119.10657727784239,3.9850833904805496,5.125338590153282,98.74822749737527,10.64931730487122,1.7544325116008073e-05,0.00022103476136650814,0.026037280437021054,NaN,1.0,NaN
1858.911111548543,2957.4054765278047,2920.5174799647016,7023.008315762122,8267.75124981462,1244.7430010337857,0.9815735119062267,NaN,0.00021952248559170022,NaN,452662954932743.1,2.31973072405848e+19,5.842706161762029e+18,2432405754772010.0,4.5978870424310736e+20,2.4950676188157415e+20,NaN,119.18650030416713,4.018250979527944,5.204919731888224,98.7726562857089,10.590789898277327,1.7374189508545148e-05,0.00021952248559170022,0.0260592667973785,NaN,1.0,NaN
2084.3204958364367,2952.445280608608,2915.780351887961,6966.4397330692145,8211.179959726567,1244.740291017809,0.9781527050912777,NaN,0.00021803185400492224,NaN,541843506512629.94,2.3155785624304804e+19,5.828934498246781e+18,2890064909227934.0,4.596948101060349e+20,2.4954817053143086e+20,NaN,119.26937708852581,4.0526217055981375,5.28610278462125,98.79537444975188,10.5341279565508,1.7209866539206683e-05,0.00021803185400492224,0.026080978428944322,NaN,1.0,NaN
2311.5387226566672,2947.4855919070633,2911.045882348751,6909.441858744805,8154.179356455311,1244.737559520203,0.9746249665802339,NaN,0.00021657184951404132,NaN,636040795621893.4,2.3111240330519847e+19,5.816781731610458e+18,3367508996282474.0,4.595990880274129e+20,2.4959260203244287e+20,NaN,119.3558769383183,4.088488815707573,5.3690294573080175,98.81618358352384,10.479763275038373,1.7052313907080826e-05,0.00021657184951404132,0.026102325283199956,NaN,1.0,NaN
2540.603731058538,2942.5265468799753,2906.3130189647313,6852.318462768102,8097.053206121967,1244.7348061031498,0.9710037840750388,NaN,0.00021512601442454066,NaN,734236373343136.2,2.3064895157050405e+19,5.805758497296231e+18,3858828195942764.0,4.59502002227198e+20,2.4963883201157408e+20,NaN,119.44498183898882,4.1254559260701456,5.453552749316681,98.83534333426618,10.426963621028246,1.6899777746190393e-05,0.00021512601442454066,0.02612346311980069,NaN,1.0,NaN
2771.5605051517487,2937.5679170112385,2901.5809000447366,6795.230962293989,8039.9629438182565,1244.7320303069066,0.9672941693563972,NaN,0.00021369942544029373,NaN,836964146672466.1,2.3016327239153967e+19,5.796045660749e+18,4366488637708026.0,4.594033395435823e+20,2.496872835731275e+20,NaN,119.53710358840478,4.163709747852999,5.539774252912858,98.85272994067323,10.375975615407713,1.675278476705981e-05,0.00021369942544029373,0.026144341743506494,NaN,1.0,NaN
3004.44416475296,2932.6096107403705,2896.8507542700468,6737.848687439218,7982.577857445256,1244.729231586358,0.9635019209278249,NaN,0.00021228442145403972,NaN,943808007375654.9,2.2966101324135703e+19,5.787421020652126e+18,4887873196727110.0,4.593033010640384e+20,2.4973739170954553e+20,NaN,119.63179073932098,4.203080835456278,5.627644123412728,98.86845119190875,10.326460163781654,1.661050650827118e-05,0.00021228442145403972,0.026165034452434368,NaN,1.0,NaN
3239.2861116677523,2927.6518655084205,2892.122308716153,6680.3027383669005,7925.029085762651,1244.7264095159255,0.9596338579311978,NaN,0.00021088741179595962,NaN,1055401450873491.4,2.2913702040632893e+19,5.780108973825329e+18,5425945616662952.0,4.59201638039524e+20,2.4978967209922363e+20,NaN,119.72953721159367,4.24379327978483,5.717273519319986,98.88235439282035,10.278728002505048,1.6473622081628292e-05,0.00021088741179595962,0.026185476489906875,NaN,1.0,NaN
3476.129612006247,2922.6946075812903,2887.394049833958,6622.955657843224,7867.679163316331,1244.7235637150825,0.9556974060972792,NaN,0.0002094897269722025,NaN,1170428184184653.5,2.2860576909493604e+19,5.773520787355105e+18,5973383555784596.0,4.5909891754206e+20,2.4984267648918166e+20,NaN,119.82910187804029,4.285340429942594,5.808469004635868,98.89476379110171,10.231915782620417,1.6340103640624257e-05,0.0002094897269722025,0.026205852125372603,NaN,1.0,NaN
3715.0152054429054,2917.7375527033028,2882.668371895636,6565.138903660689,7809.859536055209,1244.720693659533,0.9516717040966839,NaN,0.0002081206197597764,NaN,1291383116854011.0,2.2804381879068176e+19,5.768639894491495e+18,6542882346412035.0,4.5899413066156225e+20,2.4989875019876647e+20,NaN,119.93261699930333,4.32864439870814,5.901645013174421,98.90507731498057,10.187418177835045,1.6213125057829617e-05,0.0002081206197597764,0.026225868137418035,NaN,1.0,NaN
3955.970368653536,2912.7812513167687,2877.9426257926475,6507.653803624882,7752.3715461986085,1244.7177988580204,0.947583552650856,NaN,0.00020675105136784186,NaN,1416059579940173.8,2.274742124131386e+19,5.764523581987578e+18,7122489744158914.0,4.5888820814599e+20,2.4995558775933262e+20,NaN,120.03806506095958,4.372864952779197,5.9964572238216,98.91382869646354,10.143871595386743,1.6089517211508845e-05,0.00020675105136784186,0.026245813491511994,NaN,1.0,NaN
4199.049980260432,2907.825055817241,2873.217092249118,6450.268864039578,7694.983689446669,1244.7148789775836,0.9434431307384971,NaN,0.00020538467693260456,NaN,1544900782331786.0,2.2689376975096623e+19,5.76131056057744e+18,7714154175943688.0,4.5878097369090825e+20,2.5001350736708567e+20,NaN,120.14577277191502,4.418154600081056,6.09299936036784,98.92091593600331,10.101457880973776,1.5969667701405666e-05,0.00020538467693260456,0.026265652554466286,NaN,1.0,NaN
4444.278010137379,2902.8691742428955,2868.4923608196336,6392.890225406185,7637.602106965606,1244.7119333532062,0.9392327967115798,NaN,0.0002040354926724608,NaN,1679234824075017.5,2.262910850341885e+19,5.759491678359658e+18,8324342023592640.0,4.586717519321077e+20,2.5007365026662705e+20,NaN,120.2568127216568,4.464995802224983,6.19149471272629,98.92602300350438,10.06085858252423,1.585510308441999e-05,0.0002040354926724608,0.02628524199589985,NaN,1.0,NaN
4691.689117729664,2897.913693715734,2863.767721567701,6335.716461872785,7580.425371554424,1244.7089616944234,0.9349561440599777,NaN,0.00020268841843112666,NaN,1817942996201280.0,2.2567857428843622e+19,5.758589754688827e+18,8946772505278025.0,4.5856117273679784e+20,2.501347739384676e+20,NaN,120.37017366785702,4.512949699928689,6.291861335581026,98.92933244194829,10.021402085414135,1.5744745559343162e-05,0.00020268841843112666,0.02630473728750403,NaN,1.0,NaN
