t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
NaN,2000,NaN,NaN,NaN,NaN,0.04079093852415462,4,4,NaN,3.514605855509093e+16,1.2131744409301962e+17,1.3630426044018152e+20,7.49803495873628e+19,6.424706629753543e+20,8.490225523299148e+20,6.399691787692542e+21,141062823.07670996,1280.4433151899254,29.912210288299864,9.681722010526633,90.59071590018121,0.00025076601359345745,1.6611367819427667e-05,17.607030672091263,NaN,6304830.541555687,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.0503680204087974,4,4,NaN,3.488322268900953e+16,1.4451076171375082e+17,1.3628132995842692e+20,7.208864677581428e+19,7.23380138608419e+20,7.710047795083982e+20,5.795852012608606e+21,127994795.87008122,1153.3614054240447,29.42501318794744,10.155055008834461,87.00621177046233,0.00025869749908441253,1.4611094699649596e-05,17.604017635788658,NaN,6287406.841505179,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.05994796568609462,4,4,NaN,3.462236299536472e+16,1.6724736725334493e+17,1.3625885421258095e+20,6.945008567129519e+19,7.929369626713803e+20,7.040865165499563e+20,5.279932951564122e+21,116824704.74437806,1045.1490956349155,28.982812446022535,10.595689722381255,83.5191731473124,0.00026347129483514077,1.302077943922392e-05,17.60643777146088,NaN,6269882.228098373,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.06952998567479099,4,4,NaN,3.436353543324084e+16,1.8961099195340928e+17,1.3623674941544296e+20,6.701712838255444e+19,8.531873157142997e+20,6.462691207957778e+20,4.835872003907614e+21,107206370.23690881,952.3102458742385,28.581469500777697,11.007025032279817,80.16468460479084,0.0002656218400168318,1.1733942791705832e-05,17.613975689122864,NaN,6252256.198953763,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.0791135780248966,4,4,NaN,3.410669315690627e+16,2.1167369750097027e+17,1.3621494355217179e+20,6.4757019152913146e+19,9.057460824329008e+20,5.959704633068181e+20,4.450987896092e+21,98866385.37107582,872.0935192414823,28.21730709145952,11.392059302439907,76.96069177256689,0.00026562463422035614,1.067681677306495e-05,17.62634022955586,NaN,6234527.938207234,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.08869840309537697,4,4,NaN,3.3851732935691292e+16,2.3349690763181622e+17,1.3619337530226215e+20,6.264543252852005e+19,9.518976805791524e+20,5.5193045178495966e+20,4.1152064789856607e+21,91587501.0355696,802.3182385529052,27.886792098439837,11.753619515652646,73.91608647613972,0.00026391459962429875,9.79646428159987e-06,17.64322706001185,NaN,6216696.425860299,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.09828422054303018,4,4,NaN,3.3598523512836908e+16,2.551331208500957e+17,1.3617199229846677e+20,6.066341937641026e+19,9.92671847274918e+20,5.131382982413037e+20,3.820467918130383e+21,85195856.3024003,741.2443368767562,27.586690811530065,12.0942570765725,71.0330083361018,0.00026086707958842225,9.054337460900598e-06,17.664341071706406,NaN,6198760.4980427595,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.10787085405694002,4,4,NaN,3.334692188589206e+16,2.7662725878338614e+17,1.3615074976216033e+20,5.879573504692841e+19,1.0289005587010727e+21,4.787772711446309e+20,3.5602769316925245e+21,79551298.57676248,687.4732031689135,27.31407180661231,12.416253955284342,68.30919161475829,0.000256798447325956,8.421858186853152e-06,17.689400594819,NaN,6180718.882204826,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.11745817047055021,4,4,NaN,3.309678266974814e+16,2.980178412391074e+17,1.3612960931892073e+20,5.7029830799998214e+19,1.061261097057308e+21,4.4818263703532595e+20,3.3293610390309385e+21,74540026.86590515,639.8724930998292,27.066294438344276,12.721639055262703,65.7395822156338,0.0002519706189162048,7.877492777347159e-06,17.718139738569295,NaN,6162570.2185714245,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.127046066748073,4,4,NaN,3.284796339903333e+16,3.1933798985590586e+17,1.3610853798957466e+20,5.535519884788882e+19,1.0903088414800452e+21,4.2080952456469833e+20,3.1234099101663976e+21,70068979.75004908,597.5188969219082,26.840989575297993,13.012209487552367,63.317447511639394,0.00024659733468584,7.40477454888873e-06,17.75030943782546,NaN,6144313.073624614,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.1366344615330352,4,4,NaN,3.260032742804564e+16,3.4061627467730074e+17,1.3608750734072419e+20,5.376292245838346e+19,1.1165024010750098e+21,3.962082413592393e+20,2.938875528250082e+21,66061531.84785294,559.6543469919094,26.636036753790936,13.289553526641681,61.03513336222941,0.00024085092553332695,6.990941167758636e-06,17.78567763110905,NaN,6125945.948732224,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.14622328946562177,4,4,NaN,3.2353745398963988e+16,3.6187742262887885e+17,1.360664927748017e+20,5.224535328688095e+19,1.1402230108411375e+21,3.740052007646142e+20,2.772818054272189e+21,62454173.81401626,525.6523073538074,26.449540333452514,13.555073346504193,58.884575609380896,0.00023486884507385058,6.625979019108587e-06,17.82402887539908,NaN,6107467.285696193,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.15581249724730847,4,4,NaN,3.210809585541224e+16,3.831429074514895e+17,1.3604547293952262e+20,5.079587206765016e+19,1.1617896043390382e+21,3.5388808848594416e+20,2.6227861792035444e+21,59193934.64849097,494.9916579632572,26.279806190569765,13.810006479681823,56.85764078756212,0.00022875960615115288,6.301942144759085e-06,17.86516361304387,NaN,6088875.470272972,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.16540204084546853,4,4,NaN,3.1863265349676724e+16,4.0443143904788486e+17,1.3602442923843196e+20,4.940870637711986e+19,1.1814706082713793e+21,3.355942502441333e+20,2.486723635001973e+21,56236367.14943236,467.23632936293313,26.12531979709809,14.055445479721781,54.94634823175097,0.00022260797734088551,6.012459614718907e-06,17.908897238569192,NaN,6070168.8343133,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.17499188346341094,4,4,NaN,3.1619148256580668e+16,4.257593674454692e+17,1.360033454271275e+20,4.8078788888547344e+19,1.1994932354220991e+21,3.189015405819863e+20,2.3628956615703e+21,53543963.05152026,442.01931643878004,25.984726074785748,14.292355610774239,53.143010156597285,0.0002164794206993411,5.752374263241741e-06,17.955059061241176,NaN,6051345.656931904,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.18458199403741513,4,4,NaN,3.137564642579296e+16,4.4714101357166214e+17,1.3598220728283213e+20,4.680164519990404e+19,1.216050856306159e+21,3.03621063386569e+20,2.2498307871618444e+21,51084897.95283946,419.03004635188887,25.856811069431156,14.521590634805687,51.44031552841977,0.00021042382148254597,5.517474278769706e-06,18.003491214674312,NaN,6032404.164974413,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.19417234610469916,4,4,NaN,3.1132668757139452e+16,4.685888936599933e+17,1.3596100238041244e+20,4.557330377320509e+19,1.23130890142975e+21,2.895913596896766e+20,2.1462743524496281e+21,48832028.53899392,398.00434479490735,25.740493987055615,14.743899854107996,49.83133696892831,0.0002044780072494687,5.304299923501809e-06,18.05404913139725,NaN,6013342.532959397,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.20376291693763796,4,4,NaN,3.0890130776703308e+16,4.9011375262185504e+17,1.3593972005943096e+20,4.439022277111718e+19,1.2454095351060478e+21,2.7667380701546725e+20,2.051151664743516e+21,46762099.977279045,378.7163703044823,25.634780176530086,14.959961739608069,48.30968376924726,0.0001986702536012375,5.109960898860572e-06,18.106594890148333,NaN,5994158.882616142,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.21335368687246667,4,4,NaN,3.0647954277245124e+16,5.117250135324284e+17,1.3591835097501983e+20,4.324922999666291e+19,1.2584754983000476e+21,2.6474883659592142e+20,1.9635377581195039e+21,44855092.70187136,360.9721527810449,25.53877013600177,15.1703859424771,46.869420203191154,0.0001930211811918424,4.932037018528172e-06,18.160999304779573,NaN,5974851.282101097,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.22294463878229984,4,4,NaN,3.0406066843925628e+16,5.334308668773645e+17,1.3589688700910823e+20,4.214747309009836e+19,1.270613280615623e+21,2.5371281118691027e+20,1.882632667956855e+21,43093686.79686238,344.6043632431406,25.45168183262283,15.375701103814393,45.50492947409548,0.0001875435871079727,4.768513632469074e-06,18.21714711639075,NaN,5955417.744950616,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.23253575765877246,4,4,NaN,3.0164401463148876e+16,5.552378185706377e+17,1.3587532172279572e+20,4.1082377958619955e+19,1.2819155384182448e+21,2.434756485157666e+20,1.8077424113131727e+21,41462855.49247389,329.46802277260235,25.372741631949328,15.576403812899212,44.21119983861795,0.00018224810842691857,4.617645368707499e-06,18.274920216118087,NaN,5935856.228810239,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.2421270302765014,4,4,NaN,2.99228963348613e+16,5.771519897704123e+17,1.3585364905672422e+20,4.005161384305755e+19,1.2924632105629222e+21,2.3395874048665194e+20,1.7382623173069788e+21,39949503.45270268,315.43703783900406,25.301228881121922,15.772947966187937,42.983638217864076,0.00017714193185007913,4.477936473259746e-06,18.33420434091956,NaN,5916164.633968576,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.2517184449214422,4,4,NaN,2.9681494150101908e+16,5.99181190955717e+17,1.3583186125772367e+20,3.905306371590279e+19,1.302327278947065e+21,2.2509322222966417e+20,1.6736632481222044e+21,38542168.36833183,302.40125894007315,25.23646594689398,15.965749454023486,41.81803276163597,0.00017222955291070142,4.348096252633911e-06,18.394888399035224,NaN,5896340.801715124,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.2613099911690772,4,4,NaN,2.94401405339028e+16,6.213406125554604e+17,1.3580994318974011e+20,3.808479885877621e+19,1.3115707315116803e+21,2.1681803452217534e+20,1.6134767177661127e+21,37230688.93581812,290.2637539664585,25.178023730892914,16.15508252276284,40.7098574034621,0.0001675043714172738,4.22713071038235e-06,18.456905352635534,NaN,5876382.512535058,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.27090165970185404,4,4,NaN,2.9198781442929852e+16,6.436343159083322e+17,1.3578789084547824e+20,3.7145056701765165e+19,1.3202503527948718e+21,2.0907815539599534e+20,1.5572881245515838e+21,36006024.89044303,278.94116822718996,25.126518319077306,16.340475418076082,39.65191990924023,0.00016291281534366588,4.114871439150146e-06,18.5203834443646,NaN,5856287.484149231,NaN
