t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
NaN,2000,NaN,NaN,NaN,NaN,0.04079093852415462,4,4,NaN,9.487791559272296e+16,3.1840698565241024e+17,2.7250816298441418e+20,7.60104378796675e+19,6.536497925713101e+20,8.368133344416595e+20,6.655046526163417e+21,148403568.37329635,1310.2451855487925,60.43638542893853,19.751948124617467,93.60159685068975,0.0005514838457231302,1.6292605389865675e-05,18.197220743271743,NaN,6304830.541555687,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.0503680204087974,4,4,NaN,9.418781172632581e+16,3.8044516638146976e+17,2.7244681490755165e+20,7.306814895296047e+19,7.36083469774109e+20,7.573219461655678e+20,6.039140581269235e+21,135075143.70960218,1180.551798570281,59.65756835131363,20.756922154278104,89.78456595433431,0.0005676863457095267,1.4375359675820928e-05,18.25289245208027,NaN,6287406.841505179,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.05994796568609462,4,4,NaN,9.350079400506992e+16,4.4172285545010694e+17,2.7238622423620443e+20,7.038307601283771e+19,8.069553558649962e+20,6.891351330148032e+20,5.512741708302987e+21,123678895.0799468,1070.0304320537834,58.96894258074289,21.70382488165957,86.08516120073557,0.0005772312015516228,1.2846594716518797e-05,18.315876728289812,NaN,6269882.228098373,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.06952998567479099,4,4,NaN,9.281693010933544e+16,5.024654752467348e+17,2.7232616548030343e+20,6.7906999604647485e+19,8.683383976563841e+20,6.302281676316053e+20,5.05958579939866e+21,113864373.53447232,975.1405023216555,58.36065662296589,22.600008340990886,82.54197502880182,0.0005814201271706548,1.160479230207877e-05,18.38560361993149,NaN,6252256.198953763,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.0791135780248966,4,4,NaN,9.21360387264471e+16,5.628682030992306e+17,2.7226644364383384e+20,6.560669970154158e+19,9.218709984836818e+20,5.789958667074137e+20,4.6668155389048573e+21,105354361.33282433,893.0968589576503,57.82523194255495,23.450937002721385,79.16999358293864,0.0005812553026031857,1.0581053559561816e-05,18.461633947733624,NaN,6234527.938207234,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.08869840309537697,4,4,NaN,9.145780218929752e+16,6.230982510167082e+17,2.7220689183245363e+20,6.345750418862019e+19,9.688580028554112e+20,5.3415805784860525e+20,4.324202578592166e+21,97928268.2387131,821.689681738149,57.355646192358236,24.261656658488505,75.97511043610136,0.0005776295701250651,9.72582242940375e-06,18.543533677489147,NaN,6216696.425860299,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.09828422054303018,4,4,NaN,9.078183664589109e+16,6.832979959051645e+17,2.7214736805310857e+20,6.14401895046342e+19,1.0103467310016454e+21,4.94686644386357e+20,4.023554144797894e+21,91409345.52701192,759.1540917260742,56.945597041141276,25.036605819981755,72.95658037690107,0.0005712958308142034,9.00294523010911e-06,18.63089448599257,NaN,6198760.4980427595,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.10787085405694002,4,4,NaN,9.010773356290051e+16,7.435886742206826e+17,2.72087751477876e+20,5.953928541255489e+19,1.047184192568842e+21,4.5975008691123965e+20,3.758260215658762e+21,85654961.48793785,704.0695632834389,56.58914923069642,25.77989011117851,70.11044095591642,0.0005629049955923557,8.385321610800969e-06,18.723310015765815,NaN,6180718.882204826,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.11745817047055021,4,4,NaN,8.943508345898267e+16,8.040731265413866e+17,2.7202793967565917e+20,5.774205295651925e+19,1.0800605996376744e+21,4.286709122984428e+20,3.522949726834127e+21,80549177.82222933,655.2853773786187,56.281099795591,26.49501883214702,67.4297213757762,0.0005529791795912075,7.85258231507424e-06,18.820406432166294,NaN,6162570.2185714245,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.127046066748073,4,4,NaN,8.876348948206245e+16,8.648391774860812e+17,2.7196784521869138e+20,5.603782115985043e+19,1.1095422941244722e+21,4.0089344960831377e+20,3.313227828697767e+21,75997112.8739354,611.8620764748123,56.01653736085978,27.18524091742474,64.90672462614448,0.000541962223392974,7.388942400807553e-06,18.921810943280196,NaN,6144313.073624614,NaN
