t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
NaN,2000,NaN,NaN,NaN,NaN,0.04079093852415462,4,4,NaN,3.7719183042356896e+17,1.069860856508709e+18,5.443958430843861e+20,8.673133906465725e+18,9.947825401389284e+19,4.849596856890362e+19,1.4052545729738336e+21,38156163.09423521,107.19064206764354,134.9987196451378,118.7599997629324,20.61183427900972,0.0004327949359597176,2.2487218243034167e-06,29.458374038323914,NaN,6304830.541555687,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.0503680204087974,4,4,NaN,3.748680661841797e+17,1.2997670227725947e+18,5.441682606823614e+20,8.235615357616508e+18,1.0759749063335096e+20,4.081425049829471e+19,1.3440165971613864e+21,36831327.76802566,90.60521298012327,135.16133219940423,124.32874578848745,18.217614410757644,0.0003700942243108268,2.056735227253788e-06,30.136611186916838,NaN,6287406.841505179,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.05994796568609462,4,4,NaN,3.7251691313395795e+17,1.530364410335666e+18,5.439400144478487e+20,7.850877854578338e+18,1.1383142972374848e+20,3.4965048910935368e+19,1.297161157463526e+21,35817257.91849479,77.68299258112012,135.22878331980218,129.05537071603496,16.20511512933594,0.0003153743122417223,1.9107439036405635e-06,30.706505192761988,NaN,6269882.228098373,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.06952998567479099,4,4,NaN,3.701444215306272e+17,1.761166028720259e+18,5.4371158532106774e+20,7.507564389430702e+18,1.1871257936683246e+20,3.0427212732998984e+19,1.2606149150491064e+21,35025877.38098705,67.46422399503145,135.22317876403156,133.06033756115633,14.510762715573884,0.00026882278282284696,1.7973025332070668e-06,31.18453435301854,NaN,6252256.198953763,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.0791135780248966,4,4,NaN,3.677552701866028e+17,1.9918898060271076e+18,5.4348325069510495e+20,7.197751396605886e+18,1.2260705912793337e+20,2.6842545964722913e+19,1.2315806293999952e+21,34396718.16981252,59.263755276113734,135.16532979833778,136.45968104158115,13.078183960232096,0.00022976201245140398,1.7074100414501672e-06,31.586471060188313,NaN,6234527.938207234,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.08869840309537697,4,4,NaN,3.6535302875168474e+17,2.2224067742703306e+18,5.4325513596829657e+20,6.915610697821097e+18,1.25769517811601e+20,2.396222797984007e+19,1.2081151881850504e+21,33887802.937609,52.58922082778214,135.0720928829247,139.35669457643124,11.85982211353484,0.00019719097775036486,1.634899848551216e-06,31.926105039105206,NaN,6216696.425860299,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.09828422054303018,4,4,NaN,3.6294039194721555e+17,2.4527123662205015e+18,5.430272430131512e+20,6.656705562550481e+18,1.2837963083448064e+20,2.1611020092231012e+19,1.1888526553411205e+21,33469572.530285574,47.083824422931684,134.9596303363212,141.8359325962507,10.816166183916138,0.00017004208712338112,1.575616721037138e-06,32.21513383790587,NaN,6198760.4980427595,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.10787085405694002,4,4,NaN,3.6051935864757485e+17,2.6828615756890476e+18,5.4279951483698224e+20,6.417574002991057e+18,1.3056590326658079e+20,1.9663879219690394e+19,1.1728179277898115e+21,33120935.53631168,42.48638705130447,134.84035260940735,143.96702246152333,9.915444215519475,0.00014735741311706422,1.5266126949562854e-06,32.463071012996764,NaN,6180718.882204826,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.11745817047055021,4,4,NaN,3.5809139887684397e+17,2.9129534711833165e+18,5.425718509012589e+20,6.195462301602194e+18,1.324216699659927e+20,1.803022422166727e+19,1.1593040970302038e+21,32826607.27431662,38.60350820876591,134.72347785784459,145.80665866615385,9.132298062423597,0.00012832564150450754,1.4857536916028692e-06,32.67754630936909,NaN,6162570.2185714245,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.127046066748073,4,4,NaN,3.556575741236325e+17,3.143113166379064e+18,5.423441250308166e+20,5.988145292981482e+18,1.3401577174542102e+20,1.6643439450859694e+19,1.1477909190017806e+21,32575339.263619654,35.29027272077873,134.61603837660897,147.40047659265505,8.446491084734319,0.0001122783063144837,1.4514785222993804e-06,32.86466102489276,NaN,6144313.073624614,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.1366344615330352,4,4,NaN,3.5321863087641626e+17,3.3734746910710595e+18,5.421162024493719e+20,5.793800584815286e+18,1.3539975543501714e+20,1.5453800469429797e+19,1.137889628088037e+21,32358727.69494025,32.43674957907695,134.52337042176967,148.785206017487,7.841850708065346,9.867377413809637e-05,1.422625047962761e-06,33.029291780357774,NaN,6125945.948732224,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.14622328946562177,4,4,NaN,3.507750744000798e+17,3.6041961749725005e+18,5.41887924521947e+20,5.610918057131916e+18,1.3661276595922721e+20,1.4423672472903051e+19,1.1293038548683366e+21,32170401.09578684,29.958405451392768,134.4473971999582,149.99253193544914,7.305587766851794,8.708439904574905e-05,1.39823393121308e-06,33.175230084108726,NaN,6107467.285696193,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.15581249724730847,4,4,NaN,3.483272108972391e+17,3.835461903326303e+18,5.4165910665709584e+20,5.438233212575836e+18,1.3768506714232134e+20,1.3524056134365094e+19,1.1218078986771838e+21,32005441.06828809,27.789585815217315,134.3931951541803,151.0445633151198,6.826987754270377,7.714976938689372e-05,1.3777122515383234e-06,33.30574674636463,NaN,6088875.470272972,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.16540204084546853,4,4,NaN,3.458751789050138e+17,4.067443717885803e+18,5.4142957687452854e+20,5.274677266785062e+18,1.3864026356220341e+20,1.2732415660273834e+19,1.1152248015463154e+21,31860022.022336524,25.8785756363562,134.36306897893232,151.96098364631234,6.397521900958498,6.858854674333862e-05,1.3605347817116144e-06,33.42339879685403,NaN,6070168.8343133,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.17499188346341094,4,4,NaN,3.4341899231495277e+17,4.300316301382971e+18,5.411991604776216e+20,5.119339226080245e+18,1.394970317069273e+20,1.2030985556254718e+19,1.1094148233571686e+21,31731122.924639333,24.184215438515782,134.35877451085673,152.75797436092014,6.010202309275719,6.117359046323288e-05,1.3462885658138384e-06,33.530274893114985,NaN,6051345.656931904,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.18458199403741513,4,4,NaN,3.409585644901302e+17,4.534256288495986e+18,5.409676809183332e+20,4.971436613352452e+18,1.4027032102557152e+20,1.1405598850338324e+19,1.1042663338623056e+21,31616330.31770622,22.673403763455205,134.3816595767208,153.44892176188523,5.659261917371186,5.472069197207516e-05,1.3346458939447768e-06,33.62809328476799,NaN,6032404.164974413,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.19417234610469916,4,4,NaN,3.384937269406552e+17,4.769441918582218e+18,5.407349601257967e+20,4.830292617406684e+18,1.4097222608671462e+20,1.0844837785140988e+19,1.0996892073055947e+21,31513695.527951993,21.31926091541695,134.4327660491106,154.04496995480153,5.339907857363017,4.907971177539209e-05,1.3253446618855064e-06,33.7182773155776,NaN,6013342.532959397,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.20376291693763796,4,4,NaN,3.360242438050745e+17,5.006053055251921e+18,5.4050081847226257e+20,4.695318058959731e+18,1.4161262852086124e+20,1.0339409909441313e+19,1.0956099767820722e+21,31421629.740224767,20.09976343276381,134.5129170154902,154.5554419121255,5.048129502694496,4.412760964881308e-05,1.3181743693770224e-06,33.80201457792827,NaN,5994158.882616142,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.21335368687246667,4,4,NaN,3.335498230892544e+17,5.24427130742856e+18,5.4026507464080176e+20,4.5659970139417027e+18,1.4219967530427554e+20,9.881684171045112e+18,1.0919682254698511e+21,31338825.960032016,18.9967167923161,134.62277735605016,154.9881750245147,4.780549262316828,3.976300819314976e-05,1.3129655403437598e-06,33.88030272248431,NaN,5974851.282101097,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.22294463878229984,4,4,NaN,3.3107012544305696e+17,5.484280286193632e+18,5.4002754535968276e+20,4.4418752456902886e+18,1.4274013950408676e+20,9.465341739485321e+18,1.0887138667729668e+21,31264200.237209108,17.99497409630367,134.7628975311961,155.34978790550312,4.534305542524598,3.5901933307475196e-05,1.3095817100061455e-06,33.953985277619495,NaN,5955417.744950616,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.23253575765877246,4,4,NaN,3.2858477101917984e+17,5.726265972170701e+18,5.397880450281298e+20,4.322550817065863e+18,1.4323969554097532e+20,9.085110131221221e+18,1.0858050729577362e+21,31196846.872700315,17.081835680541307,134.9337486913383,155.6458904410731,4.306960050590283,3.2474458857723134e-05,1.3079134152640831e-06,34.023780039338845,NaN,5935856.228810239,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.2421270302765014,4,4,NaN,3.2609334482127616e+17,5.970417136362213e+18,5.395463852901363e+20,4.207666410812059e+18,1.437031314434522e+20,8.736558634998086e+18,1.0832066796900399e+21,31136003.91907849,16.246583200685414,135.13574946300105,155.88125173637425,4.096423983529117,2.9422057132543146e-05,1.3078735956529322e-06,34.09030163296609,NaN,5916164.633968576,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.2517184449214422,4,4,NaN,3.235954008631555e+17,6.216925793754272e+18,5.3930237457670255e+20,4.096903000662884e+18,1.4413451414991402e+20,8.415939338685401e+18,1.0808889446695928e+21,31081026.34007328,15.480114748875565,135.36928642877857,156.05993529013674,3.9008988544758063,2.6695497108460262e-05,1.3093940472230433e-06,34.15407955713914,NaN,5896340.801715124,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.2613099911690772,4,4,NaN,3.2109046538680115e+17,6.465987676498005e+18,5.3905581762943484e+20,3.9899745995134577e+18,1.4453731944333261e+20,8.120062446416298e+18,1.0788265726153909e+21,31031364.931039173,14.774656631168577,135.634729811253,156.18540849001394,3.7188287423476774,2.425316919560619e-05,1.3124226729975477e-06,34.21557270394955,NaN,5876382.512535058,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.27090165970185404,4,4,NaN,3.1857803933084e+17,6.717802718903874e+18,5.3880651501308504e+20,3.886623873183276e+18,1.4491453497378107e+20,7.846197642298024e+18,1.0769979426548936e+21,30986549.617070097,14.123533862225088,135.9324454948673,156.26063185365481,3.5488615167033704,2.2059743277087438e-05,1.316921344118582e-06,34.275181113093524,NaN,5856287.484149231,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.280493442157825,4,4,NaN,3.1605760019822726e+17,6.972575551351649e+18,5.385542626197699e+20,3.7866184549459594e+18,1.4526874260721035e+20,7.5919954271061e+18,1.0753844909968159e+21,30946176.109452076,13.520986031998527,136.2628042399014,156.28813219052705,3.389817160862181,2.0085088339707536e-05,1.3228642354585365e-06,34.3332555413928,NaN,5836053.369404107,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.2900853310043004,4,4,NaN,3.1352860343847386e+17,7.230516007019826e+18,5.3829885116086125e+20,3.689747831304878e+18,1.4560218475061454e+20,7.355423907343007e+18,1.0739702137965994e+21,30909895.161313467,12.96201852439079,136.62618873212918,156.2700629181737,3.240661744713611,1.8303398364455773e-05,1.3302365349077567e-06,34.39010529628977,NaN,5815677.754013476,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.2996773194317139,4,4,NaN,3.1099048343218035e+17,7.491839660206751e+18,5.380400656276807e+20,3.59582069645503e+18,1.4591681815333352e+20,7.134717639473964e+18,1.0727412637975548e+21,30877403.85080745,12.442281496764192,137.02299894840544,156.20825405233998,3.1004859220266945,1.669248162405402e-05,1.3390334510910507e-06,34.44600468139994,NaN,5795158.154151591,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.3092694012639407,4,4,NaN,3.0844265413905517e+17,7.756768454942174e+18,5.37777684662238e+20,3.504662693633015e+18,1.4621435784227253e+20,6.928335953357025e+18,1.0716856205934891e+21,30848438.455162738,11.957970820421728,137.4536561780408,156.1042538436724,2.9684870729855555,1.5233180067073812e-05,1.3492594626636421e-06,34.501198325263786,NaN,5774492.013895517,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.31886157088209977,4,4,NaN,3.058845094349951e+17,8.025531596572189e+18,5.37511479665312e+20,3.4161144776711373e+18,1.4649631322636104e+20,6.734928785230348e+18,1.0707928187597389e+21,30822768.57271911,11.505746515115126,137.918605883429,155.95936360622434,2.8439544013800924,1.3908892775190887e-05,1.3609277651074357e-06,34.55590560418991,NaN,5753676.702512915,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.3284538231594783,4,4,NaN,3.0331542309371885e+17,8.298367209638648e+18,5.372412131385868e+20,3.3300300456725325e+18,1.4676401794039862e+20,6.553308503191347e+18,1.0700537207370905e+21,30800192.202950764,11.082665211041478,138.41831931711667,155.77466693057085,2.726256443051563,1.2705183115795159e-05,1.3740598779418523e-06,34.61032431964649,NaN,5732709.51159007,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.33804615340568606,4,4,NaN,3.007347481935407e+17,8.575526228930762e+18,5.369666347941949e+20,3.2462752926483727e+18,1.4701865464576418e+20,6.382426550849804e+18,1.069460321470132e+21,30780531.484822053,10.686123928610632,138.95329317908758,155.55105413487038,2.614830561662543,1.1609453614530453e-05,1.3886853729344718e-06,34.66463373984239,NaN,5711587.651993781,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.3476385573185116,4,4,NaN,2.9814181525136704e+17,8.85728280478512e+18,5.366874711512826e+20,3.1647267568293e+18,1.4726127573024688e+20,6.22135400218614e+18,1.069005566455189e+21,30763628.642533846,10.313813042897115,139.52404485507648,155.28924235208737,2.5091741164413537,1.0610676128812582e-05,1.4048416595385983e-06,34.718997041441234,NaN,5690308.250659533,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.3572310309422402,4,4,NaN,2.955359276124803e+17,9.143942687323453e+18,5.364034171563831e+20,3.0852705228957983e+18,1.4749283071317002e+20,6.069255253196493e+18,1.0686840622813672e+21,30749341.44415219,9.9636768968105,140.1321498192042,154.98877334198642,2.4088032213345447,9.698689112863478e-06,1.4226141754912232e-06,34.77362066987893,NaN,5668868.347197244,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.3668235706314198,4,4,NaN,2.9291635828470637e+17,9.435729976358214e+18,5.3611424943667616e+20,3.0078012649845166e+18,1.477141608261699e+20,5.925394398107928e+18,1.0684906822743952e+21,30737554.434531495,9.633883699135412,140.7784522504074,154.64988690096737,2.313311149192134,8.865005089202125e-06,1.4420659439621957e-06,34.828654557941,NaN,5647264.890304804,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.37641617301924296,4,4,NaN,2.902823725369023e+17,9.73291151706199e+18,5.358197018817204e+20,2.9322214111428413e+18,1.479260126273484e+20,5.789122450771128e+18,1.0684200150586488e+21,30728162.685068727,9.32278636354968,141.46252491581893,154.2739372202669,2.222368748945317,8.10259234127143e-06,1.4632197799220363e-06,34.8841683945099,NaN,5625494.73397848,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.3860088349898555,4,4,NaN,2.876332175157256e+17,1.0035779234677567e+19,5.355194833191258e+20,2.858440402282939e+18,1.481290671570816e+20,5.65984892989777e+18,1.0684679090738616e+21,30721070.212493196,9.028909710208524,142.18503965988126,153.86109686898848,2.1356469608093933,7.404757830157781e-06,1.486147635843127e-06,34.94028211492612,NaN,5603554.633508143,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.39560155365402233,4,4,NaN,2.8496811768025837e+17,1.0344637377391323e+19,5.352132902762476e+20,2.786374035252965e+18,1.4832393952199996e+20,5.537042932009333e+18,1.0686307125570082e+21,30716191.55965095,8.750925973766508,142.94670037609248,153.4114327569804,2.0528481811130255,6.765553588303389e-06,1.510930650716854e-06,34.99710802805503,NaN,5581441.241244059,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.4051943263276721,4,4,NaN,2.8228627368883117e+17,1.0659805869072376e+19,5.349008036285581e+20,2.715943882877624e+18,1.4851118667816776e+20,5.420225928216881e+18,1.0689052063982691e+21,30713450.314022616,8.487637123252714,143.74824123480926,152.92491430892835,1.97370272580237,6.179679596803219e-06,1.537659647130656e-06,35.05475176895071,NaN,5559151.102120763,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.4147871505129226,4,4,NaN,2.7958686043979066e+17,1.0981629155834229e+19,5.345816797550449e+20,2.6470767785367537e+18,1.486913141187949e+20,5.308965591930617e+18,1.0692885306193889e+21,30712777.42003395,8.237959638990654,144.59042140790328,152.40142012070885,1.8979657956989757,5.642401184618234e-06,1.5664356680750642e-06,35.113313021656126,NaN,5536680.648922146,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.42438002388124996,4,4,NaN,2.7686902281921776e+17,1.1310499561388937e+19,5.342555271871105e+20,2.579704356401064e+18,1.4886478372604173e+20,5.202868406819425e+18,1.0697783397731638e+21,30714108.31267682,8.000910645461973,145.4742686330785,151.84048860416124,1.8254084708808171,5.149413187211172e-06,1.597381917930945e-06,35.17289996779614,NaN,5514026.197270534,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.43397294425851785,4,4,NaN,2.7413186907215664e+17,1.1646756080723403e+19,5.339220078215233e+20,2.5137626387792077e+18,1.4903202529722224e+20,5.101568553260745e+18,1.07037377876833e+21,30717390.564781047,7.775602149276287,146.40238420668004,151.24012468445676,1.7557882554895383,4.696550126182839e-06,1.6306987858881029e-06,35.23369804509089,NaN,5491183.940320901,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.4435659096116244,4,4,NaN,2.7137448582545818e+17,1.1990718294728446e+19,5.3358080299076485e+20,2.449191672048417e+18,1.4919340948921994e+20,5.004755327993823e+18,1.0710718753666771e+21,30722582.83211196,7.561219527555863,147.37389456758623,150.6017437670038,1.6889644886717154,4.280844201626779e-06,1.6664509658457662e-06,35.29569799822035,NaN,5468149.943139754,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.453158918036563,4,4,NaN,2.6859594265727024e+17,1.2342768113369297e+19,5.3323153171529223e+20,2.385935199401639e+18,1.493492843162157e+20,4.912136973644828e+18,1.0718706493733163e+21,30729635.046479892,7.357025795439019,148.38952509950047,149.92502209257864,1.6247718518330487,3.899230303845857e-06,1.704784863450312e-06,35.35897535303021,NaN,5444920.1367463935,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.46275196774771954,4,4,NaN,2.657952799034954e+17,1.2703326262278404e+19,5.3287377422913654e+20,2.323940362315048e+18,1.4949996600136122e+20,4.823450125585968e+18,1.0727686488589284e+21,30738507.165316243,7.162359396034987,149.45019667413422,149.20945193946667,1.5630583288066362,3.548916988645697e-06,1.7458686129491042e-06,35.423609699029775,NaN,5421490.3117922135,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.47234505706825647,4,4,NaN,2.629715020361612e+17,1.307287166879559e+19,5.3250705260048666e+20,2.2631574351294533e+18,1.4964573586466056e+20,4.738463189472254e+18,1.073765099434128e+21,30749162.53730641,6.976649026161573,150.55737825676403,148.45391206249445,1.50368099190188,3.2273189473038386e-06,1.78991363510873e-06,35.48970438542051,NaN,5397856.111851616,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.4819381844214541,4,4,NaN,2.6012357069879606e+17,1.3451801313999624e+19,5.321309708866199e+20,2.2035395859389125e+18,1.497868452792466e+20,4.656971624076631e+18,1.0748601985558027e+21,30761578.67772634,6.799404892678411,151.71340854979482,147.65646786162594,1.446500686793111,2.9320249569664163e-06,1.8371904446767787e-06,35.55740122563476,NaN,5374013.026295641,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.4915313483228958,4,4,NaN,2.572504237282385e+17,1.3840520640330066e+19,5.317451247072601e+20,2.1450425114204892e+18,1.499242701872003e+20,4.578043790641356e+18,1.0760463004994651e+21,30775607.33219347,6.628071372406657,152.91800989343878,146.8189784028765,1.391009089916324,2.6595934975657396e-06,1.8878347967015493e-06,35.62683485526332,NaN,5349956.38271685,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.5011245473734018,4,4,NaN,2.5435097414764083e+17,1.4239498699572165e+19,5.3134904609759835e+20,2.0876228208940214e+18,1.5006562797664993e+20,4.4941056917183017e+18,1.0772637541740691e+21,30789952.201636843,6.441570493532108,154.1741365831983,145.95088409583173,1.3329264936622032,2.393669021557291e-06,1.941872000104913e-06,35.69951474351308,NaN,5325681.33887106,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.5107177802526263,4,4,NaN,2.5142409887823565e+17,1.4649274357176474e+19,5.309421973152636e+20,2.0312383105724495e+18,1.5021020770419393e+20,4.405910474495856e+18,1.0785194075377167e+21,30804730.249006625,6.241744631247602,155.4838275189973,145.0489425865173,1.272783602808425,2.137483488642537e-06,1.9996424446582735e-06,35.77540596297414,NaN,5301182.874098368,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.5203110457132436,4,4,NaN,2.4846862989324902e+17,1.5070320119454001e+19,5.3052410702197136e+20,1.9758536722475768e+18,1.5033429543928663e+20,4.337207377727972e+18,1.0800022003236538e+21,30824015.104403473,6.095138691998446,156.84124004547286,144.0798685107632,1.2238997880818694,1.9332497259534273e-06,2.0621719263332972e-06,35.84987962617981,NaN,5276455.7801823355,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.5299043425756629,4,4,NaN,2.4548336802943712e+17,1.5503182254211052e+19,5.300942301490779e+20,1.9214364915597228e+18,1.5045592512467586e+20,4.269994873026633e+18,1.0815690658785324e+21,30844723.240597434,5.9515815008905895,158.2513503055611,143.0681885349911,1.176108179485526,1.7445497898438202e-06,2.1292150927008334e-06,35.92643753164311,NaN,5251494.651602325,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.5394976697232103,4,4,NaN,2.4246707022047328e+17,1.5948518373085475e+19,5.296519103280125e+20,1.8679533541415752e+18,1.50572699008218e+20,4.206704126902604e+18,1.0832412561200817e+21,30867278.062257793,5.8179967695966015,159.71600598504486,142.00804848180098,1.1307256003544137,1.574134974292536e-06,2.2013131871235585e-06,36.004715899919745,NaN,5226293.875129605,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.5490910260977329,4,4,NaN,2.3941843523312e+17,1.6406876588308578e+19,5.291966007477769e+20,1.815374002380096e+18,1.5067907781146945e+20,4.152904675412714e+18,1.0850645968986065e+21,30892660.14836399,5.710401514049324,161.23485534354782,140.89063149827774,1.0907094110362976,1.4281494310530456e-06,2.279105395623063e-06,36.083655330175716,NaN,5200847.618713034,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.5586844106955796,4,4,NaN,2.3633612367518096e+17,1.6878956164153946e+19,5.287276034834893e+20,1.7636678273598144e+18,1.5079162822770164e+20,4.0920604342007716e+18,1.0869073071380031e+21,30918023.981350135,5.581675893663923,162.81380349607858,139.73761388233174,1.047142888003116,1.2823232499141838e-06,2.362471569201816e-06,36.16656147269715,NaN,5175149.8195947595,NaN
