t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
NaN,2000,NaN,NaN,NaN,NaN,0.04079093852415462,4,4,NaN,4.5268560227430936e+16,1.3137514001095525e+17,1.3628408024259304e+20,8.427535830570937e+18,9.18212524177433e+19,5.639856824095017e+19,6.432082041122191e+20,15934012.381963037,95.58586338608502,28.85515531624834,20.242084438896143,14.65698739634572,2.9743817748180223e-05,3.536406195532454e-06,22.520130884636682,NaN,6304830.541555687,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.0503680204087974,4,4,NaN,4.498323266021527e+16,1.5951005160379306e+17,1.3625623065856737e+20,8.021567295491974e+18,1.0023246073114008e+20,4.839332846263242e+19,5.813745180761935e+20,14595343.169225143,81.96673315775243,28.605979123649284,21.754985783072957,13.625700666477783,2.9949997273502417e-05,3.0090039952249255e-06,23.10564229664645,NaN,6287406.841505179,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.05994796568609462,4,4,NaN,4.469463450881425e+16,1.8812741438772304e+17,1.3622790189393486e+20,7.661555192243562e+18,1.0689616051584796e+20,4.208964078117285e+19,5.3286569509136846e+20,13544715.178400762,71.15632738797292,28.415075800055188,23.184907417530923,12.690808854704716,2.9706907981686464e-05,2.6140526562738033e-06,23.679847993499262,NaN,6269882.228098373,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.06952998567479099,4,4,NaN,4.440287232451949e+16,2.1720909950732416e+17,1.3619911197099948e+20,7.337939628262098e+18,1.1225125698126029e+20,3.7058159879741964e+19,4.9427714811809405e+20,12708575.129316177,62.44579218242296,28.269181316879436,24.527652645675765,11.843093729671496,2.9103482378168828e-05,2.3117583728971144e-06,24.23506421032841,NaN,6252256.198953763,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.0791135780248966,4,4,NaN,4.410806963722133e+16,2.4670961333127907e+17,1.3616990625986288e+20,7.044065219243814e+18,1.1661177951255552e+20,3.299151175746502e+19,4.631785294421669e+20,12034453.643302323,55.33067250652617,28.155361121487374,25.78308448512306,11.07538800229022,2.8238549179808684e-05,2.075297833667454e-06,24.7652522445612,NaN,6234527.938207234,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.08869840309537697,4,4,NaN,4.3810378260438936e+16,2.7656826043406022e+17,1.3614034530413697e+20,6.775017756063251e+18,1.2020634666347051e+20,2.9665992069730628e+19,4.3780871526430304e+20,11484306.267683497,49.44625319112712,28.064257970416037,26.95250313257424,10.380019298715613,2.7192946002237035e-05,1.886849074133858e-06,25.266665626903173,NaN,6216696.425860299,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.09828422054303018,4,4,NaN,4.350997736855268e+16,3.067184307307191e+17,1.3611049553473223e+20,6.52702729659322e+18,1.232038678552978e+20,2.6916461337373356e+19,4.168726524194121e+20,11030153.693558654,44.52441956304371,27.98765381179283,28.03917493408584,9.750260849885795,2.6038213168970628e-05,1.7339279494706343e-06,25.737021215638105,NaN,6198760.4980427595,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.10787085405694002,4,4,NaN,4.3207066356733464e+16,3.370954236247904e+17,1.3608042145284999e+20,6.297122938672814e+18,1.2573073375825543e+20,2.4619499792336085e+19,3.994069925790905e+20,10651163.649174122,40.36511105584642,27.920262220536486,29.046990325882536,9.179246450245957,2.4826270813531e-05,1.6079231085263614e-06,26.17569819690129,NaN,6180718.882204826,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.11745817047055021,4,4,NaN,4.2901855074721256e+16,3.67638954638747e+17,1.3605018313311807e+20,6.082915860996781e+18,1.2788254959820451e+20,2.268189103006303e+19,3.846865787155061e+20,10331660.075068612,36.816728650922954,27.857915210798716,29.98104158812836,8.660890194362057,2.359851137548575e-05,1.5025617248876845e-06,26.58302287024679,NaN,6162570.2185714245,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.127046066748073,4,4,NaN,4.259455612147065e+16,3.982960197461815e+17,1.360198333669639e+20,5.882454527374287e+18,1.2973244658531552e+20,2.1032455376574415e+19,3.721599628828535e+20,10059715.52875066,33.763111761468025,27.797716674456893,30.84672337544354,8.18957967265325,2.2384471002287622e-05,1.4132816940108714e-06,26.960067188128026,NaN,6144313.073624614,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.1366344615330352,4,4,NaN,4.22853780838317e+16,4.2902112476324614e+17,1.3598941743998447e+20,5.694123623345004e+18,1.3133698805406763e+20,1.961624481185165e+19,3.614038143578571e+20,9826155.38255671,31.11434250466111,27.73820458698998,31.648990410894335,7.759993778096541,2.1202098043139113e-05,1.3367971326583596e-06,27.30850198843858,NaN,6125945.948732224,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.14622328946562177,4,4,NaN,4.197452118520213e+16,4.597733090390554e+17,1.359589761126072e+20,5.516571290034375e+18,1.3274018372677512e+20,1.8390601472454801e+19,3.520903157561379e+20,9623883.575130524,28.799948953387158,27.67816911389802,32.39309614700301,7.367600195352913,2.0064799840481434e-05,1.2705685593847907e-06,27.630135987542435,NaN,6107467.285696193,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.15581249724730847,4,4,NaN,4.166217594551726e+16,4.905194712230046e+17,1.3592854229566297e+20,5.348655351120916e+18,1.3397660542178366e+20,1.732209571635978e+19,3.4396292847792724e+20,9447354.929732714,26.76409359576527,27.616455412061995,33.084439180695966,7.0085409073123275,1.8982362148222566e-05,1.2125970393641265e-06,27.926775781698865,NaN,6088875.470272972,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.16540204084546853,4,4,NaN,4.134852035471387e+16,5.212345334932238e+17,1.3589814088898354e+20,5.189402532057944e+18,1.350738137849871e+20,1.6384140172219185e+19,3.368192019590536e+20,9292171.553228838,24.962298844414267,27.55303398545797,33.727295125916605,6.679068450997051,1.7957301946996453e-05,1.1614589701927255e-06,28.20044819439563,NaN,6070168.8343133,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.17499188346341094,4,4,NaN,4.1033717960637096e+16,5.518979509968525e+17,1.3586779227387401e+20,5.037977122501812e+18,1.3605384082734188e+20,1.555553853942055e+19,3.304979773692054e+20,9154838.999542095,23.35865257057252,27.487767329571458,34.32592926719675,6.376022714092703,1.6991066778601428e-05,1.1159951823273076e-06,28.453033554530307,NaN,6051345.656931904,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.18458199403741513,4,4,NaN,4.071791831682684e+16,5.824927847437292e+17,1.3583751323977094e+20,4.893656570514003e+18,1.3693454715654822e+20,1.4819152762202008e+19,3.248698309106216e+20,9032540.970528966,21.92404803380878,27.42093406993103,34.88388275950585,6.096527677307662,1.6082317996691848e-05,1.075332241967954e-06,28.686380755599593,NaN,6032404.164974413,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.19417234610469916,4,4,NaN,4.0401257838184184e+16,6.130046232410239e+17,1.3580731806175224e+20,4.755812282027422e+18,1.3773031583807373e+20,1.4161228369163119e+19,3.198303748503541e+20,8923024.07493165,20.634507932274424,27.35240831624736,35.40505358553316,5.838254638721744,1.5230618414905993e-05,1.0386955152632888e-06,28.90208582977194,NaN,6013342.532959397,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.20376291693763796,4,4,NaN,4.008386088736326e+16,6.434231430581151e+17,1.3577721693888605e+20,4.62389427552342e+18,1.3845302913569325e+20,1.3570433078047625e+19,3.15294160653546e+20,8824434.246367998,19.470267544056217,27.28235500655619,35.892648589553225,5.599055877038233,1.4433633662645093e-05,1.0054954992505316e-06,29.101684991531886,NaN,5994158.882616142,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.21335368687246667,4,4,NaN,3.976583999515831e+16,6.737406292921153e+17,1.3574721747354421e+20,4.4974187433934464e+18,1.3911251198594197e+20,1.3037425759928822e+19,3.1119092230223344e+20,8735246.36225895,18.414876805530188,27.21097472327562,36.34955946828466,5.3770379542366955,1.3688558548905017e-05,9.752526325168706e-07,29.28658898629807,NaN,5974851.282101097,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.22294463878229984,4,4,NaN,3.944729668792447e+16,7.039514977693286e+17,1.357173251483743e+20,4.375957987166862e+18,1.3971694555224932e+20,1.255445294984805e+19,3.074624612574206e+20,8654196.911441233,17.454550189463642,27.13848201395103,36.77839267933273,5.170530284198669,1.299235309354978e-05,9.475729460867892e-07,29.45808570828016,NaN,5955417.744950616,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.23253575765877246,4,4,NaN,3.9128322357696824e+16,7.340519060009421e+17,1.3568754371447284e+20,4.2591321752323103e+18,1.402731878496524e+20,1.2115036464379435e+19,3.040602446759623e+20,8580232.000026131,16.57766089123657,27.065092867033172,37.18149642108592,4.978056549261872,1.2341898117983293e-05,9.221300117230112e-07,29.617346472213413,NaN,5935856.228810239,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.2421270302765014,4,4,NaN,3.880899912714743e+16,7.640394210124419e+17,1.3565787552269189e+20,4.1466025439546747e+18,1.4078702409674649e+20,1.1713729848563057e+19,3.0094353905624075e+20,8512466.92739534,15.774343935601028,26.991017004708716,37.56098602396675,4.79830966924748,1.1734099254424763e-05,8.986512327218775e-07,29.765433918799218,NaN,5916164.633968576,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.2517184449214422,4,4,NaN,3.848940068579879e+16,7.939127618938971e+17,1.3562832178025189e+20,4.03806575176998e+18,1.4126336346980788e+20,1.1345927267686377e+19,2.980779469953218e+20,8450154.537730925,15.036182010829119,26.916450284183988,37.91877018902218,4.630130842674517,1.1165961154011753e-05,8.769069927557045e-07,29.903309805063785,NaN,5896340.801715124,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.2613099911690772,4,4,NaN,3.816959307385392e+16,8.236716104582134e+17,1.355988827392996e+20,3.933249161216868e+18,1.4170639557122521e+20,1.1007711756822108e+19,2.954342553785917e+20,8392660.154557038,14.355955311929906,26.841576331328206,38.25656890990414,4.472489493312189,1.063461921365504e-05,8.567029400017032e-07,30.031844831032085,NaN,5876382.512535058,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.27090165970185404,4,4,NaN,3.784963540067285e+16,8.533164237352901e+17,1.355695578836957e+20,3.8319068732353684e+18,1.421197149596397e+20,1.0695734656389102e+19,2.9298751955953258e+20,8339441.740733445,13.727440522280176,26.76656493428961,38.5759337504963,4.32446721722148,1.0137365893667718e-05,8.37873495592496e-07,30.151826928800656,NaN,5856287.484149231,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.280493442157825,4,4,NaN,3.752958050927572e+16,8.828482838037311e+17,1.3554034607851864e+20,3.733816375607555e+18,1.4250642116925414e+20,1.0407118944402485e+19,2.907163302462345e+20,8290034.022866193,13.145248271627038,26.6915708478313,38.87826659397707,4.1852440154515875,9.671664987822716e-06,8.202766711811806e-07,30.263968968259473,NaN,5836053.369404107,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.2900853310043004,4,4,NaN,3.720947558408812e+16,9.122687830157385e+17,1.3551124568423182e+20,3.6387756957800125e+18,1.4286919965884347e+20,1.0139381134640658e+19,2.886022234352499e+20,8244035.690076128,12.604690909866552,26.616734234259745,39.16483558032627,4.054086129511912,9.23515480828124e-06,8.037900347707132e-07,30.368916187276,NaN,5815677.754013476,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.2996773194317139,4,4,NaN,3.688936270076761e+16,9.41579933657165e+17,1.3548225464647377e+20,3.5466009703616143e+18,1.432103876728083e+20,9.89036784609425e+18,2.866292024309269e+20,8201099.021356516,12.101674261277596,26.54218152423921,39.436789295855185,3.930335510375803,8.825645649114979e-06,7.88307477650609e-07,30.467253027267315,NaN,5795158.154151591,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.3092694012639407,4,4,NaN,3.656927932069203e+16,9.7078409865683e+17,1.3545337056485417e+20,3.457124360779787e+18,1.4353202814038213e+20,9.658203988102167e+18,2.847833484097195e+20,8160921.431893553,11.632608499827226,26.468026544853373,39.69516936082918,3.813400690704858,8.441113554272877e-06,7.737366064980334e-07,30.55950936906915,NaN,5774492.013895517,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.31886157088209977,4,4,NaN,3.624925873324609e+16,9.99883940729088e+17,1.3542459074336932e+20,3.370192258023672e+18,1.4383591403250393e+20,9.44125019873646e+18,2.8305250138665927e+20,8123238.545441523,11.194334367950242,26.394371814095628,39.94092156358793,3.702748861220967,8.079691818929185e-06,7.599966273515716e-07,30.646166189183923,NaN,5753676.702512915,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.3284538231594783,4,4,NaN,3.5929330449222e+16,1.0288823880381094e+18,1.3539591222434431e+20,3.285663730012169e+18,1.4412362506136165e+20,9.238067697890228e+18,2.8142599751118583e+20,8087818.487869927,10.784061781802077,26.3213099386868,40.17490568391914,3.5978989797448184,7.739661220524953e-06,7.47016619772655e-07,30.727660671553174,NaN,5732709.51159007,NaN
