t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
NaN,2000,NaN,NaN,NaN,NaN,0.04079093852415462,4,4,NaN,2.891042746330828e+17,9.314336005103128e+17,5.446223578961791e+20,4.3114806115438756e+19,4.051942520565534e+20,3.9087320873476666e+20,3.9794343644235133e+21,93931826.96350297,693.0671903929209,129.11161765964076,53.897591649990595,63.24098248980372,0.0008774311633549334,9.98634571412434e-06,21.08403189547872,NaN,6304830.541555687,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.0503680204087974,4,4,NaN,2.8708192451454422e+17,1.1283796847122313e+18,5.4442743416209585e+20,4.129955028147836e+19,4.525627802723673e+20,3.4531993635291326e+20,3.6254458913574926e+21,86270892.26349571,616.67553337823,128.82488405831052,57.27647443383073,59.93113006529022,0.0008918655523157772,8.803634957952655e-06,21.448482627156668,NaN,6287406.841505179,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.05994796568609462,4,4,NaN,2.8504082301575712e+17,1.3284196250867707e+18,5.4422943532322003e+20,3.965577141107568e+19,4.923740603460487e+20,3.071524351496344e+20,3.3296339943152665e+21,79866508.18379256,552.5574425635075,128.72720836780016,60.559016366501346,56.82050975307753,0.0008968886181836057,7.863184664914185e-06,21.82404899513589,NaN,6269882.228098373,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.06952998567479099,4,4,NaN,2.8298089539680333e+17,1.5319676013427725e+18,5.4402794727458315e+20,3.8150856118188155e+19,5.2609730916515034e+20,2.7493410162342032e+20,3.0805255350633633e+21,74471221.99657018,498.2659805552915,128.78730332685154,63.7477060640753,53.91032866440249,0.0008942117552888599,7.102850876726364e-06,22.207446010779368,NaN,6252256.198953763,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.0791135780248966,4,4,NaN,2.8090176712540915e+17,1.739271546908276e+18,5.438227224572888e+20,3.6762168311674716e+19,5.5487139166154464e+20,2.475487069335399e+20,2.8692320344555053e+21,69893266.82136391,451.91622015106753,128.97606966409762,66.8440815639805,51.19540495251082,0.0008853572181644651,6.479005599239687e-06,22.59551649410153,NaN,6234527.938207234,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.08869840309537697,4,4,NaN,2.78803001876818e+17,1.9504275907697687e+18,5.4361366517867617e+20,3.5472844997072458e+19,5.795878437116043e+20,2.2412157819808252e+20,2.6888100570131244e+21,65982787.9259188,412.044542293264,129.26754405383633,69.84839262490988,48.66652266357215,0.0008716120822484344,5.96049622221395e-06,22.985312059062434,NaN,6216696.425860299,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.09828422054303018,4,4,NaN,2.766842495190739e+17,2.165401654384012e+18,5.434008098674196e+20,3.4269745537309995e+19,6.009515485737512e+20,2.0396097279569805e+20,2.53378531630353e+21,62621603.846449256,377.50351289471,129.63836812242283,72.76041332937054,46.31288445590119,0.0008540813559311406,5.524503808395786e-06,23.374113787157285,NaN,6198760.4980427595,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.10787085405694002,4,4,NaN,2.7454532578172506e+17,2.3840241013380777e+18,5.4318432634420265e+20,3.3142312773961548e+19,6.195249657499482e+20,1.865149883828497e+20,2.3998045108323085e+21,59715701.20004972,347.3856791729105,130.06824226470818,75.57941683568563,44.12283482860703,0.0008336831781492115,5.154091808107403e-06,23.75948930959215,NaN,6180718.882204826,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.11745817047055021,4,4,NaN,2.7238627372622666e+17,2.6059530849162675e+18,5.429645564126798e+20,3.2081878833375998e+19,6.357591979676469e+20,1.7134119010573654e+20,2.2833827748901972e+21,57189936.28397781,320.96709699398707,130.53418853279814,78.30861118886297,42.088649770343935,0.0008114519523626627,4.835555467403696e-06,24.13899046944286,NaN,6162570.2185714245,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.127046066748073,4,4,NaN,2.702074067970919e+17,2.8309926324258156e+18,5.427416957320995e+20,3.1081208513592504e+19,6.500215142592238e+20,1.5807954413394326e+20,2.1816825055669448e+21,54983157.905703254,297.6600092309382,131.01036477146917,80.95541895185751,40.20499300616387,0.0007884678601674722,4.557602495169432e-06,24.51023177529421,NaN,6144313.073624614,NaN
