t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
NaN,2000,NaN,NaN,NaN,NaN,0.04079093852415462,4,4,NaN,3.7921403451328024e+16,1.1879214153450568e+17,1.3630401039784491e+20,4.163018259209228e+19,3.788580467956255e+20,4.186940375190519e+20,3.2496617300487176e+21,72635190.64901933,632.8596080863357,29.030603729751057,11.181374999832663,53.280188734367314,0.00011920809114640043,1.1731071124047771e-05,18.033902657159583,NaN,6304830.541555687,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.0503680204087974,4,4,NaN,3.7664004609026584e+16,1.416493091095605e+17,1.3628141062911214e+20,3.993219119421062e+19,4.2345859978656514e+20,3.75791475925994e+20,2.9186405774969133e+21,65468993.88388708,563.4695292402514,28.52485634399156,11.78964773241183,50.90577220761277,0.00012312633941519773,1.0187363615443735e-05,18.083237637648665,NaN,6287406.841505179,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.05994796568609462,4,4,NaN,3.740826289033405e+16,1.641869267952501e+17,1.3625912875314515e+20,3.83932497940108e+19,4.611743412561241e+20,3.396146758566345e+20,2.640808665670076e+21,59451171.725584015,505.44627592969914,28.07838253425475,12.358551970415096,48.628372413466856,0.00012542384674442744,8.983097409839721e-06,18.14150792983506,NaN,6269882.228098373,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.06952998567479099,4,4,NaN,3.715411350896067e+16,1.8650835437037328e+17,1.3623706147495145e+20,3.6982733485847994e+19,4.933690929583843e+20,3.088304404625373e+20,2.405466261044311e+21,54351096.90636055,456.46726679942174,27.684978525900686,12.89283237468098,46.465756935770756,0.00012640226784700517,8.024341909993512e-06,18.208078845590805,NaN,6252256.198953763,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.0791135780248966,4,4,NaN,3.690140690409917e+16,2.0870168036269974e+17,1.3621512085556398e+20,3.5679430546364203e+19,5.210903179543354e+20,2.8241251840606965e+20,2.2043996843855354e+21,49991659.55929856,414.7559380415201,27.339083428036897,13.396680437188566,44.42476011038374,0.0001263269145990549,7.247559110158155e-06,18.282350862331104,NaN,6234527.938207234,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.08869840309537697,4,4,NaN,3.664995157293223e+16,2.3084292301111722e+17,1.361932310682466e+20,3.4467585080794546e+19,5.4515113719535914e+20,2.5956354463061557e+20,2.0312452498967508e+21,46235589.012682445,378.9406055894479,27.035729702645362,13.873768066983576,42.50565473420441,0.0001254234553730342,6.60854627007508e-06,18.363761820218105,NaN,6216696.425860299,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.09828422054303018,4,4,NaN,3.639953882275032e+16,2.5299374916387206e+17,1.3617133065484401e+20,3.3334960365997756e+19,5.661889629778493e+20,2.3965834356292216e+20,1.881031540931734e+21,42975562.46349191,347.9558464688384,26.771543868531978,14.326535919392825,40.70156845844561,0.00012384109246171924,6.076920883783933e-06,18.451956036461407,NaN,6198760.4980427595,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.10787085405694002,4,4,NaN,3.614996056500546e+16,2.7520228973147046e+17,1.3614937169253414e+20,3.2271761754768855e+19,5.8470706966150296e+20,2.2220343549049736e+20,1.7498408043832871e+21,40127089.992833085,320.95889996928753,26.541253436342018,14.758748940293902,39.011870164661644,0.0001217877764587989,5.6281207900609506e-06,18.546214136334875,NaN,6180718.882204826,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.11745817047055021,4,4,NaN,3.5901019364268628e+16,2.975113072303624e+17,1.3612731161623595e+20,3.126997627321294e+19,6.01108252512257e+20,2.068040381212991e+20,1.6345497348774712e+21,37622736.93226885,297.28293923106435,26.341235388106156,15.172903148332663,37.43016691578217,0.0001193922922146839,5.245115229888667e-06,18.6460405572966,NaN,6162570.2185714245,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.127046066748073,4,4,NaN,3.565252920277711e+16,3.199559635976227e+17,1.3610511545003018e+20,3.0322938082047492e+19,6.157172068289003e+20,1.9314212199582122e+20,1.5326498857435742e+21,35408325.56046908,276.39418732904323,26.16830002040266,15.571137452351586,35.94950912902387,0.00011675664670979175,4.91508436710332e-06,18.750973806527924,NaN,6144313.073624614,NaN
