t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
NaN,2000,NaN,NaN,NaN,NaN,0.04079093852415462,4,4,NaN,1.4033177393020837e+17,4.8485329701691386e+17,2.7229626281471335e+20,5.920247018578645e+18,4.243053383384453e+19,4.2159128861536774e+20,6.421646726803664e+20,17732120.880217258,32.14580928902203,76.60004762246271,62.81341573990468,5.761916575888509,1.697488710204011e-05,2.5909281214263166e-06,32.264647373455226,NaN,6304830.541555687,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.0503680204087974,4,4,NaN,1.392807427156048e+17,5.800859058364173e+17,2.7220208123710846e+20,5.730592951288715e+18,4.720400373862939e+19,4.170074727778728e+20,6.273934108287488e+20,17419360.38584028,28.354669449596983,75.58990436664881,64.92553295350129,5.323479027015774,1.5690493138153455e-05,2.3613377953743087e-06,32.53122507458902,NaN,6287406.841505179,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.05994796568609462,4,4,NaN,1.3823319383084122e+17,6.735977629062592e+17,2.7210961692892332e+20,5.559248785958017e+18,5.129892238785611e+19,4.1308389829397676e+20,6.153862183854167e+20,17165411.269805558,25.326546754340857,74.63719259008923,66.74011006116162,4.950246581731599,1.4521776840550463e-05,2.1785306531981863e-06,32.742161865094836,NaN,6269882.228098373,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.06952998567479099,4,4,NaN,1.371904544080251e+17,7.655486581530258e+17,2.720187087730993e+20,5.402361904548669e+18,5.487221107381333e+19,4.09667496489429e+20,6.054263077486217e+20,16954950.375486784,22.861906646328748,73.74417829005849,68.31411345497082,4.629289854062132,1.346880527380835e-05,2.029699331751777e-06,32.911138737440865,NaN,6252256.198953763,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.0791135780248966,4,4,NaN,1.3615326032154885e+17,8.561003171533902e+17,2.719291943081853e+20,5.257300450416406e+18,5.80352512338574e+19,4.0664951778351723e+20,5.970179840747063e+20,16777394.121916275,20.821465843374675,72.91000327811555,69.69208112238628,4.350376535132465,1.2522531037026757e-05,1.9062450533689073e-06,33.04823597556881,NaN,6234527.938207234,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.08869840309537697,4,4,NaN,1.3512196538579478e+17,9.454061173077911e+17,2.7184091980296664e+20,5.122149481385498e+18,6.086890916367367e+19,4.039510108227316e+20,5.8981189646585627e+20,16625288.359045647,19.10655188830967,72.13254924020315,70.90825918875255,4.105509788394309,1.167079584240926e-05,1.8022608589497056e-06,33.16090306327297,NaN,6216696.425860299,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.09828422054303018,4,4,NaN,1.3409668067383134e+17,1.0336123615436632e+18,2.717537388434426e+20,4.995455997347098e+18,6.343321059519609e+19,4.015134028752475e+20,5.835566336524963e+20,16493271.151018636,17.646006495223986,71.4089248454994,71.98927753837845,3.888490003928195,1.0901561092290044e-05,1.7135558492883292e-06,33.25465475590923,NaN,6198760.4980427595,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.10787085405694002,4,4,NaN,1.3307735997997088e+17,1.1208498808656755e+18,2.716675206448144e+20,4.87608375652974e+18,6.577359889095338e+19,3.992923868203074e+20,5.780671957190473e+20,16377414.11875046,16.387637265855556,70.73539869492055,72.95653148039908,3.6945618924045727,1.0204611739332976e-05,1.6370292183175243e-06,33.3335402070855,NaN,6180718.882204826,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.11745817047055021,4,4,NaN,1.3206385967043787e+17,1.207245945363199e+18,2.7158213808062644e+20,4.763123485332122e+18,6.792520031279239e+19,3.97253745669666e+20,5.732054924658491e+20,16274771.32315015,15.292443591064025,70.1091097094957,73.82623220204485,3.5199165757452144,9.570226550651518e-06,1.5704457273612716e-06,33.400704516887615,NaN,6162570.2185714245,NaN
NaN,2000,NaN,NaN,NaN,NaN,0.127046066748073,4,4,NaN,1.3105596989479798e+17,1.2929095530871537e+18,2.7149748236267818e+20,4.655833987460363e+18,6.991560154280023e+19,3.9537063393752986e+20,5.688660459352214e+20,16183101.639621954,14.33079897270885,69.52708083228852,74.61155920149164,3.3615668745738363,8.990438002559532e-06,1.512087435750622e-06,33.45852969261142,NaN,6144313.073624614,NaN
