t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
  1.998401444325E-05,  3.598872304603E+03,  3.599999999976E+03,  3.681483621620E+02,  3.050659029608E+05,  9.918599818371E+02,  9.305230993257E-01,NaN,NaN,  1.286524959376E-02,  4.084955739974E+15,  6.612802035931E+19,  2.067843814674E+20,  3.437388603324E+17,  4.625986909267E+20,  5.905832702980E+19,  1.050067749980E+13,  1.678738807258E+02,  1.214425555625E+01,  1.457296231499E+02,NaN,  1.000000000000E+01,NaN,  2.019655056426E-06,  3.962778705426E-02,NaN,  3.504050000000E+06,  4.266428405037E-07
  3.996802888651E-05,  3.598744660801E+03,  3.599999999948E+03,  4.247322492355E+02,  3.049994453232E+05,  9.918599818371E+02,  9.305230993139E-01,NaN,NaN,  1.241352505126E-02,  4.084955740685E+15,  6.612802035867E+19,  2.067843814681E+20,  3.437388603955E+17,  4.625986909265E+20,  5.905832702979E+19,  1.050067749980E+13,  1.678738807264E+02,  1.214425555645E+01,  1.457296231504E+02,NaN,  9.999999999976E+00,NaN,  2.019655056426E-06,  3.962778705425E-02,NaN,  3.504050000000E+06,  4.266428405118E-07
  5.995204332976E-05,  3.598617069407E+03,  3.599999999916E+03,  4.832452769780E+02,  3.049330270931E+05,  9.918599818371E+02,  9.305230993004E-01,NaN,NaN,  1.201937900319E-02,  4.084955741494E+15,  6.612802035795E+19,  2.067843814688E+20,  3.437388604672E+17,  4.625986909263E+20,  5.905832702974E+19,  1.050067749980E+13,  1.678738807271E+02,  1.214425555668E+01,  1.457296231509E+02,NaN,  9.999999999941E+00,NaN,  2.019655056426E-06,  3.962778705425E-02,NaN,  3.504050000000E+06,  4.266428405211E-07
  1.000905685107E-04,  3.598360942008E+03,  3.599999999841E+03,  6.061212518268E+02,  3.047997354856E+05,  9.918599818371E+02,  9.305230992688E-01,NaN,NaN,  1.135753428559E-02,  4.084955743395E+15,  6.612802035624E+19,  2.067843814705E+20,  3.437388606357E+17,  4.625986909258E+20,  5.905832702993E+19,  1.050067749980E+13,  1.678738807289E+02,  1.214425555722E+01,  1.457296231521E+02,NaN,  9.999999999917E+00,NaN,  2.019655056426E-06,  3.962778705421E-02,NaN,  3.504050000000E+06,  4.266428405429E-07
  1.402290936916E-04,  3.598105010168E+03,  3.599999999751E+03,  7.354891050290E+02,  3.046665944074E+05,  9.918599818371E+02,  9.305230992308E-01,NaN,NaN,  1.082131087015E-02,  4.084955745678E+15,  6.612802035419E+19,  2.067843814725E+20,  3.437388608380E+17,  4.625986909252E+20,  5.905832703018E+19,  1.050067749980E+13,  1.678738807309E+02,  1.214425555787E+01,  1.457296231535E+02,NaN,  9.999999999893E+00,NaN,  2.019655056426E-06,  3.962778705417E-02,NaN,  3.504050000000E+06,  4.266428405690E-07
  1.803676188725E-04,  3.597849294331E+03,  3.599999999644E+03,  8.707129797346E+02,  3.045336143611E+05,  9.918599818371E+02,  9.305230991857E-01,NaN,NaN,  1.037421345935E-02,  4.084955748392E+15,  6.612802035175E+19,  2.067843814749E+20,  3.437388610785E+17,  4.625986909245E+20,  5.905832703051E+19,  1.050067749980E+13,  1.678738807333E+02,  1.214425555864E+01,  1.457296231552E+02,NaN,  9.999999999869E+00,NaN,  2.019655056426E-06,  3.962778705412E-02,NaN,  3.504050000000E+06,  4.266428406000E-07
  2.438722219091E-04,  3.597445184760E+03,  3.599999999437E+03,  1.095417508017E+03,  3.043235641784E+05,  9.918599818371E+02,  9.305230990983E-01,NaN,NaN,  9.795554266890E-03,  4.084955753645E+15,  6.612802034704E+19,  2.067843814796E+20,  3.437388615440E+17,  4.625986909231E+20,  5.905832703118E+19,  1.050067749980E+13,  1.678738807381E+02,  1.214425556013E+01,  1.457296231585E+02,NaN,  9.999999999831E+00,NaN,  2.019655056426E-06,  3.962778705402E-02,NaN,  3.504050000000E+06,  4.266428406601E-07
  3.073768249456E-04,  3.597041661365E+03,  3.599999999182E+03,  1.331979358842E+03,  3.041139398025E+05,  9.918599818371E+02,  9.305230989906E-01,NaN,NaN,  9.328236767735E-03,  4.084955760123E+15,  6.612802034123E+19,  2.067843814853E+20,  3.437388621181E+17,  4.625986909215E+20,  5.905832703205E+19,  1.050067749980E+13,  1.678738807440E+02,  1.214425556197E+01,  1.457296231625E+02,NaN,  9.999999999793E+00,NaN,  2.019655056426E-06,  3.962778705390E-02,NaN,  3.504050000000E+06,  4.266428407343E-07
  4.134855572092E-04,  3.596368771000E+03,  3.599999998641E+03,  1.750538937572E+03,  3.037646523446E+05,  9.918599818371E+02,  9.305230987624E-01,NaN,NaN,  8.712263271198E-03,  4.084955773847E+15,  6.612802032892E+19,  2.067843814976E+20,  3.437388633342E+17,  4.625986909179E+20,  5.905832703400E+19,  1.050067749980E+13,  1.678738807564E+02,  1.214425556587E+01,  1.457296231712E+02,NaN,  9.999999999730E+00,NaN,  2.019655056426E-06,  3.962778705364E-02,NaN,  3.504050000000E+06,  4.266428408913E-07
  5.195942894728E-04,  3.595697616562E+03,  3.599999997949E+03,  2.194719467244E+03,  3.034166008144E+05,  9.918599818371E+02,  9.305230984707E-01,NaN,NaN,  8.233399345690E-03,  4.084955791391E+15,  6.612802031320E+19,  2.067843815132E+20,  3.437388648889E+17,  4.625986909134E+20,  5.905832703657E+19,  1.050067749980E+13,  1.678738807724E+02,  1.214425557085E+01,  1.457296231822E+02,NaN,  9.999999999667E+00,NaN,  2.019655056426E-06,  3.962778705330E-02,NaN,  3.504050000000E+06,  4.266428410920E-07
