t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
8.2985E-13,3549.000,3550.000,3.1004E+02,7.8817E+04,9.9186E+02,0.907698,NaN,NaN,1.3547E-02,5.4659E-06,6.4891E-02,2.0802E-01,1.5486E+18,1.5284E+21,8.8733E+19,9.5531E+12,3.6635E+02,6.3146E+01,2.9320E+02,NaN,1.0000E+01,NaN,1.8374E-06,3.8383E-02,NaN,3.5041E+06,4.4170E-07
5.7536E-05,3548.963,3550.000,3.2541E+02,7.8812E+04,9.9186E+02,0.907698,NaN,NaN,1.3384E-02,5.4659E-06,6.4891E-02,2.0802E-01,1.5486E+18,1.5284E+21,8.8733E+19,9.5531E+12,3.6635E+02,6.3146E+01,2.9320E+02,NaN,1.0000E+01,NaN,1.8374E-06,3.8383E-02,NaN,3.5041E+06,4.4170E-07
1.9387E-03,3547.760,3550.000,9.0851E+02,7.8640E+04,9.9186E+02,0.907698,NaN,NaN,1.0354E-02,5.4659E-06,6.4891E-02,2.0802E-01,1.5486E+18,1.5284E+21,8.8733E+19,9.5531E+12,3.6635E+02,6.3146E+01,2.9320E+02,NaN,1.0000E+01,NaN,1.8374E-06,3.8383E-02,NaN,3.5041E+06,4.4170E-07
6.7365E-03,3544.753,3550.000,2.8265E+03,7.8213E+04,9.9186E+02,0.907698,NaN,NaN,7.7961E-03,5.4659E-06,6.4891E-02,2.0802E-01,1.5486E+18,1.5284E+21,8.8733E+19,9.5531E+12,3.6635E+02,6.3146E+01,2.9320E+02,NaN,1.0000E+01,NaN,1.8374E-06,3.8383E-02,NaN,3.5041E+06,4.4170E-07
1.8108E-02,3538.045,3550.000,8.4754E+03,7.7267E+04,9.9186E+02,0.907697,NaN,NaN,5.9245E-03,5.4659E-06,6.4891E-02,2.0802E-01,1.5486E+18,1.5284E+21,8.8733E+19,9.5531E+12,3.6635E+02,6.3146E+01,2.9320E+02,NaN,1.0000E+01,NaN,1.8374E-06,3.8383E-02,NaN,3.5041E+06,4.4170E-07
4.3788E-02,3525.288,3549.999,2.2314E+04,7.5495E+04,9.9186E+02,0.907697,NaN,NaN,4.6510E-03,5.4660E-06,6.4891E-02,2.0802E-01,1.5486E+18,1.5284E+21,8.8733E+19,9.5531E+12,3.6635E+02,6.3146E+01,2.9320E+02,NaN,1.0000E+01,NaN,1.8374E-06,3.8383E-02,NaN,3.5041E+06,4.4170E-07
9.2355E-02,3509.302,3549.994,4.3393E+04,7.3322E+04,9.9186E+02,0.907695,NaN,NaN,3.9386E-03,5.4663E-06,6.4891E-02,2.0802E-01,1.5487E+18,1.5284E+21,8.8733E+19,9.5530E+12,3.6635E+02,6.3146E+01,2.9320E+02,NaN,1.0000E+01,NaN,1.8374E-06,3.8383E-02,NaN,3.5041E+06,4.4171E-07
2.0533E-01,3495.338,3549.976,6.4278E+04,7.1466E+04,9.9186E+02,0.907686,NaN,NaN,3.5701E-03,5.4672E-06,6.4890E-02,2.0802E-01,1.5490E+18,1.5284E+21,8.8734E+19,9.5527E+12,3.6635E+02,6.3148E+01,2.9320E+02,NaN,1.0000E+01,NaN,1.8373E-06,3.8383E-02,NaN,3.5041E+06,4.4171E-07
3.9918E-01,3491.931,3549.937,6.9616E+04,7.1017E+04,9.9186E+02,0.907667,NaN,NaN,3.4996E-03,5.4693E-06,6.4888E-02,2.0802E-01,1.5496E+18,1.5284E+21,8.8735E+19,9.5519E+12,3.6636E+02,6.3151E+01,2.9320E+02,NaN,1.0000E+01,NaN,1.8372E-06,3.8383E-02,NaN,3.5042E+06,4.4172E-07
7.6443E-01,3491.643,3549.864,6.9958E+04,7.0973E+04,9.9186E+02,0.907631,NaN,NaN,3.4954E-03,5.4732E-06,6.4885E-02,2.0803E-01,1.5508E+18,1.5284E+21,8.8739E+19,9.5504E+12,3.6637E+02,6.3157E+01,2.9321E+02,NaN,1.0000E+01,NaN,1.8369E-06,3.8382E-02,NaN,3.5044E+06,4.4175E-07
6.6352E+00,3490.591,3548.678,6.9724E+04,7.0737E+04,9.9186E+02,0.907049,NaN,NaN,3.4990E-03,5.5367E-06,6.4828E-02,2.0808E-01,1.5701E+18,1.5283E+21,8.8794E+19,9.5268E+12,3.6654E+02,6.3251E+01,2.9329E+02,NaN,1.0000E+01,NaN,1.8323E-06,3.8378E-02,NaN,3.5074E+06,4.4212E-07
3.1370E+01,3486.198,3543.722,6.8744E+04,6.9757E+04,9.9186E+02,0.904594,NaN,NaN,3.5145E-03,5.8037E-06,6.4589E-02,2.0832E-01,1.6515E+18,1.5280E+21,8.9025E+19,9.4283E+12,3.6727E+02,6.3648E+01,2.9363E+02,NaN,1.0000E+01,NaN,1.8134E-06,3.8362E-02,NaN,3.5198E+06,4.4367E-07
7.4875E+01,3478.601,3535.157,6.7068E+04,6.8081E+04,9.9186E+02,0.900275,NaN,NaN,3.5417E-03,6.2705E-06,6.4170E-02,2.0874E-01,1.7948E+18,1.5275E+21,8.9435E+19,9.2592E+12,3.6857E+02,6.4353E+01,2.9422E+02,NaN,1.0000E+01,NaN,1.7809E-06,3.8332E-02,NaN,3.5411E+06,4.4639E-07
1.0754E+02,3473.004,3528.850,6.5849E+04,6.6861E+04,9.9186E+02,0.897030,NaN,NaN,3.5620E-03,6.6188E-06,6.3858E-02,2.0905E-01,1.9027E+18,1.5270E+21,8.9745E+19,9.1355E+12,3.6954E+02,6.4886E+01,2.9466E+02,NaN,1.0000E+01,NaN,1.7571E-06,3.8309E-02,NaN,3.5568E+06,4.4842E-07
1.2390E+02,3470.234,3525.730,6.5250E+04,6.6331E+04,9.9186E+02,0.895403,NaN,NaN,3.5721E-03,6.7459E-06,6.3743E-02,2.0917E-01,1.9423E+18,1.5269E+21,8.9859E+19,9.0745E+12,3.6990E+02,6.5082E+01,2.9482E+02,NaN,1.0000E+01,NaN,1.7454E-06,3.8301E-02,NaN,3.5645E+06,4.4943E-07
1.2447E+02,3470.097,3525.621,6.5293E+04,6.6305E+04,9.9186E+02,0.895346,NaN,NaN,3.5716E-03,6.7520E-06,6.3738E-02,2.0917E-01,1.9441E+18,1.5269E+21,8.9864E+19,9.0724E+12,3.6992E+02,6.5091E+01,2.9482E+02,NaN,1.0000E+01,NaN,1.7449E-06,3.8300E-02,NaN,3.5648E+06,4.4946E-07
