t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
8.2985E-13,3549.000,3550.000,3.1004E+02,4.0134E+04,9.9186E+02,0.907698,NaN,NaN,1.3547E-02,5.4659E-06,6.4891E-02,2.0802E-01,1.5486E+18,1.5284E+21,8.8733E+19,9.5531E+12,1.4645E+02,6.3146E+01,7.3300E+01,NaN,1.0000E+01,NaN,1.8374E-06,2.9934E-02,NaN,3.5041E+06,4.4170E-07
5.7095E-05,3548.964,3550.000,3.2521E+02,4.0131E+04,9.9186E+02,0.907698,NaN,NaN,1.3386E-02,5.4659E-06,6.4891E-02,2.0802E-01,1.5486E+18,1.5284E+21,8.8733E+19,9.5531E+12,1.4645E+02,6.3146E+01,7.3300E+01,NaN,1.0000E+01,NaN,1.8374E-06,2.9934E-02,NaN,3.5041E+06,4.4170E-07
1.6822E-03,3547.933,3550.000,8.1655E+02,4.0063E+04,9.9186E+02,0.907698,NaN,NaN,1.0634E-02,5.4659E-06,6.4891E-02,2.0802E-01,1.5486E+18,1.5284E+21,8.8733E+19,9.5531E+12,1.4645E+02,6.3146E+01,7.3300E+01,NaN,1.0000E+01,NaN,1.8374E-06,2.9934E-02,NaN,3.5041E+06,4.4170E-07
6.0738E-03,3545.232,3550.000,2.4880E+03,3.9885E+04,9.9186E+02,0.907698,NaN,NaN,8.0487E-03,5.4659E-06,6.4891E-02,2.0802E-01,1.5486E+18,1.5284E+21,8.8733E+19,9.5531E+12,1.4645E+02,6.3146E+01,7.3300E+01,NaN,1.0000E+01,NaN,1.8374E-06,2.9934E-02,NaN,3.5041E+06,4.4170E-07
1.6483E-02,3539.425,3550.000,7.1968E+03,3.9505E+04,9.9186E+02,0.907698,NaN,NaN,6.1717E-03,5.4659E-06,6.4891E-02,2.0802E-01,1.5486E+18,1.5284E+21,8.8733E+19,9.5531E+12,1.4645E+02,6.3146E+01,7.3300E+01,NaN,1.0000E+01,NaN,1.8374E-06,2.9934E-02,NaN,3.5041E+06,4.4170E-07
3.8911E-02,3529.853,3549.999,1.6995E+04,3.8884E+04,9.9186E+02,0.907697,NaN,NaN,4.9786E-03,5.4660E-06,6.4891E-02,2.0802E-01,1.5486E+18,1.5284E+21,8.8733E+19,9.5531E+12,1.4645E+02,6.3146E+01,7.3300E+01,NaN,1.0000E+01,NaN,1.8374E-06,2.9934E-02,NaN,3.5041E+06,4.4170E-07
8.1190E-02,3520.146,3549.996,2.8708E+04,3.8263E+04,9.9186E+02,0.907696,NaN,NaN,4.3671E-03,5.4661E-06,6.4891E-02,2.0802E-01,1.5487E+18,1.5284E+21,8.8733E+19,9.5531E+12,1.4645E+02,6.3146E+01,7.3300E+01,NaN,1.0000E+01,NaN,1.8374E-06,2.9934E-02,NaN,3.5041E+06,4.4170E-07
1.9628E-01,3514.393,3549.985,3.6298E+04,3.7899E+04,9.9186E+02,0.907690,NaN,NaN,4.1183E-03,5.4667E-06,6.4891E-02,2.0802E-01,1.5488E+18,1.5284E+21,8.8733E+19,9.5528E+12,1.4645E+02,6.3147E+01,7.3300E+01,NaN,1.0000E+01,NaN,1.8374E-06,2.9934E-02,NaN,3.5041E+06,4.4171E-07
3.5804E-01,3513.963,3549.968,3.6860E+04,3.7871E+04,9.9186E+02,0.907682,NaN,NaN,4.1026E-03,5.4677E-06,6.4890E-02,2.0802E-01,1.5491E+18,1.5284E+21,8.8734E+19,9.5525E+12,1.4645E+02,6.3148E+01,7.3301E+01,NaN,1.0000E+01,NaN,1.8373E-06,2.9933E-02,NaN,3.5041E+06,4.4171E-07
1.0186E+00,3513.888,3549.897,3.6865E+04,3.7863E+04,9.9186E+02,0.907647,NaN,NaN,4.1025E-03,5.4714E-06,6.4886E-02,2.0802E-01,1.5503E+18,1.5284E+21,8.8737E+19,9.5511E+12,1.4646E+02,6.3154E+01,7.3302E+01,NaN,1.0000E+01,NaN,1.8370E-06,2.9933E-02,NaN,3.5043E+06,4.4174E-07
